t,phase,master_x,master_y,master_z,master_qx,master_qy,master_qz,master_qw,pointing_x,pointing_y,pointing_z,clutch,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,cmd_x,cmd_y,cmd_z,gripper_rad,autonomy_state,intent_top,intent_top_p,intent_margin,intent_ambiguous,intent_dist,intent_ids,grasp_offered,channels_live,ik_success,ik_fail,ik_rejected,clearance_m,payload_kg,estop
0.5043,reach,-0.5469399639849523,0.2234999872687333,1.4202399639849523,0.0,0.0,0.0,1.0,0.6860006002507871,-0.2425002121877825,-0.6860006002507871,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,-0.5469399639849523,0.2234999872687333,1.4202399639849523,0.7929,DIRECT,tag_1,0.5032330186209221,0.006466037241844136,1,"[0.49676698137907793, 0.5032330186209221]","[""tag_0"", ""tag_1""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,5545.0,0.0,-1.0,0.0,1
0.5101,reach,-0.5469399639849523,0.2234999872687333,1.4202399639849523,0.0,0.0,0.0,1.0,0.6860006002507871,-0.2425002121877825,-0.6860006002507871,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,-0.5469399639849523,0.2234999872687333,1.4202399639849523,0.7929,DIRECT,tag_1,0.5032330186209221,0.006466037241844136,1,"[0.49676698137907793, 0.5032330186209221]","[""tag_0"", ""tag_1""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,5545.0,0.0,-1.0,0.0,1
0.5114,reach,-0.5469399639849523,0.2234999872687333,1.4202399639849523,0.0,0.0,0.0,1.0,0.6860006002507871,-0.2425002121877825,-0.6860006002507871,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,-0.5469399639849523,0.2234999872687333,1.4202399639849523,0.7929,DIRECT,tag_1,0.5032330186209221,0.006466037241844136,1,"[0.49676698137907793, 0.5032330186209221]","[""tag_0"", ""tag_1""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,5545.0,0.0,-1.0,0.0,1
0.517,reach,-0.5487189095650098,0.2237803869636602,1.4186535439162824,0.0,0.0,0.0,1.0,0.6860006002507871,-0.2425002121877825,-0.6860006002507871,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,-0.5487189095650098,0.2237803869636602,1.4186535439162824,0.7929,DIRECT,tag_1,0.5032330186209221,0.006466037241844136,1,"[0.49676698137907793, 0.5032330186209221]","[""tag_0"", ""tag_1""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,5545.0,0.0,-1.0,0.0,1
0.5174,reach,-0.5487189095650098,0.2237803869636602,1.4186535439162824,0.0,0.0,0.0,1.0,-0.7412273250239648,0.11683320621954842,-0.6610083619458064,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,-0.5487189095650098,0.2237803869636602,1.4186535439162824,0.7929,DIRECT,tag_1,0.5032330186209221,0.006466037241844136,1,"[0.49676698137907793, 0.5032330186209221]","[""tag_0"", ""tag_1""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,5545.0,0.0,-1.0,0.0,1
0.5176,reach,-0.5487189095650098,0.2237803869636602,1.4186535439162824,0.0,0.0,0.0,1.0,-0.7412273250239648,0.11683320621954842,-0.6610083619458064,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,-0.5487189095650098,0.2237803869636602,1.4186535439162824,0.7929,DIRECT,tag_1,0.5032330186209221,0.006466037241844136,1,"[0.49676698137907793, 0.5032330186209221]","[""tag_0"", ""tag_1""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,5545.0,0.0,-1.0,0.0,1
0.5178,reach,-0.5487189095650098,0.2237803869636602,1.4186535439162824,0.0,0.0,0.0,1.0,-0.7412273250239648,0.11683320621954842,-0.6610083619458064,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,-0.5487189095650098,0.2237803869636602,1.4186535439162824,0.7929,DIRECT,tag_1,0.5032330186209221,0.006466037241844136,1,"[0.49676698137907793, 0.5032330186209221]","[""tag_0"", ""tag_1""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,5545.0,0.0,-1.0,0.0,1
0.5194,reach,-0.5487189095650098,0.2237803869636602,1.4186535439162824,0.0,0.0,0.0,1.0,-0.7412273250239648,0.11683320621954842,-0.6610083619458064,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,-0.5487189095650098,0.2237803869636602,1.4186535439162824,0.7929,DIRECT,tag_1,0.5032330186209221,0.006466037241844136,1,"[0.49676698137907793, 0.5032330186209221]","[""tag_0"", ""tag_1""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,5545.0,0.0,-1.0,0.0,1
0.5212,reach,-0.5487189095650098,0.2237803869636602,1.4186535439162824,0.0,0.0,0.0,1.0,-0.7412273250239648,0.11683320621954842,-0.6610083619458064,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,-0.5487189095650098,0.2237803869636602,1.4186535439162824,0.7929,DIRECT,tag_1,0.5032330186209221,0.006466037241844136,1,"[0.49676698137907793, 0.5032330186209221]","[""tag_0"", ""tag_1""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,5545.0,0.0,-1.0,0.0,1
0.5236,reach,-0.5487189095650098,0.2237803869636602,1.4186535439162824,0.0,0.0,0.0,1.0,-0.7412273250239648,0.11683320621954842,-0.6610083619458064,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,-0.5487189095650098,0.2237803869636602,1.4186535439162824,0.7929,DIRECT,tag_1,0.5032330186209221,0.006466037241844136,1,"[0.49676698137907793, 0.5032330186209221]","[""tag_0"", ""tag_1""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,5545.0,0.0,-1.0,0.0,1
