t,phase,master_x,master_y,master_z,master_qx,master_qy,master_qz,master_qw,pointing_x,pointing_y,pointing_z,clutch,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,cmd_x,cmd_y,cmd_z,gripper_rad,autonomy_state,intent_top,intent_top_p,intent_margin,intent_ambiguous,intent_dist,intent_ids,grasp_offered,channels_live,ik_success,ik_fail,ik_rejected,clearance_m,payload_kg,estop
0.5041,reach,0.8296085652584533,0.372795529929801,0.9135350107977054,0.0,0.0,0.0,1.0,-0.4498572456924242,-0.42174116783665117,0.7872501799617473,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,0.8296085652584533,0.372795529929801,0.9135350107977054,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,6277.0,0.0,-1.0,0.0,1
0.5049,reach,0.8296085652584533,0.372795529929801,0.9135350107977054,0.0,0.0,0.0,1.0,-0.4498572456924242,-0.42174116783665117,0.7872501799617473,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,0.8296085652584533,0.372795529929801,0.9135350107977054,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,6277.0,0.0,-1.0,0.0,1
0.5074,reach,0.830871440916572,0.3737443231752009,0.9117280972830027,0.0,0.0,0.0,1.0,-0.4498572456924242,-0.42174116783665117,0.7872501799617473,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,0.830871440916572,0.3737443231752009,0.9117280972830027,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,6277.0,0.0,-1.0,0.0,1
0.5078,reach,0.830871440916572,0.3737443231752009,0.9117280972830027,0.0,0.0,0.0,1.0,0.5261981908827637,0.3953305189166471,-0.7528806311260777,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,0.830871440916572,0.3737443231752009,0.9117280972830027,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,6277.0,0.0,-1.0,0.0,1
0.5081,reach,0.830871440916572,0.3737443231752009,0.9117280972830027,0.0,0.0,0.0,1.0,0.5261981908827637,0.3953305189166471,-0.7528806311260777,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,0.830871440916572,0.3737443231752009,0.9117280972830027,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,6277.0,0.0,-1.0,0.0,1
0.5084,reach,0.830871440916572,0.3737443231752009,0.9117280972830027,0.0,0.0,0.0,1.0,0.5261981908827637,0.3953305189166471,-0.7528806311260777,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,0.830871440916572,0.3737443231752009,0.9117280972830027,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,6277.0,0.0,-1.0,0.0,1
0.509,reach,0.830871440916572,0.3737443231752009,0.9117280972830027,0.0,0.0,0.0,1.0,0.5261981908827637,0.3953305189166471,-0.7528806311260777,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,0.830871440916572,0.3737443231752009,0.9117280972830027,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,6277.0,0.0,-1.0,0.0,1
0.5149,reach,0.830871440916572,0.3737443231752009,0.9117280972830027,0.0,0.0,0.0,1.0,0.5261981908827637,0.3953305189166471,-0.7528806311260777,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,0.830871440916572,0.3737443231752009,0.9117280972830027,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,6277.0,0.0,-1.0,0.0,1
0.5161,reach,0.830871440916572,0.3737443231752009,0.9117280972830027,0.0,0.0,0.0,1.0,0.5261981908827637,0.3953305189166471,-0.7528806311260777,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,0.830871440916572,0.3737443231752009,0.9117280972830027,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,6277.0,0.0,-1.0,0.0,1
0.5191,reach,0.830871440916572,0.3737443231752009,0.9117280972830027,0.0,0.0,0.0,1.0,0.5261981908827637,0.3953305189166471,-0.7528806311260777,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,0.830871440916572,0.3737443231752009,0.9117280972830027,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,6277.0,0.0,-1.0,0.0,1
