condition,frac_on_target_left,invalid_reason,max_error_mm_left,participant,phase_lag_s_left,rms_error_mm_left,rms_error_mm_right,scenario,speed_left,speed_right,task,unimanual,valid,wear_time_s
direct,0.988,,46.696640617677936,P00,0.2999999999999936,23.731521911553877,24.052786405942218,S1_both_slow,0.05,0.05,T7_pursuit,,True,300
direct,0.083,,124.58427412325987,P00,0.3199999999999932,68.12414963969232,31.87129056846931,S2_one_fast,0.2,0.05,T7_pursuit,,True,320
direct,0.106,,132.1462799686724,P00,0.3199999999999932,72.84493425304876,72.64748443972942,S3_both_fast,0.2,0.2,T7_pursuit,,True,340
direct,0.032,,149.9968396203684,P00,0.3199999999999932,94.24267807728013,43.91277092253842,S4_asymmetric,0.3,0.08,T7_pursuit,,True,360
direct,0.082,,108.35325846103467,P00,0.3199999999999932,66.40748581565305,23.075085867388154,B1_left_only,0.2,0.0,T7_pursuit,left,True,380
direct,0.997,,42.616954158430225,P00,-11.25999999999976,22.969923099395885,66.35128349279218,B2_right_only,0.0,0.2,T7_pursuit,right,True,400
assisted,1.0,,24.648725094270233,P00,0.19999999999999574,13.43994109831769,13.318478946265447,S1_both_slow,0.05,0.05,T7_pursuit,,True,420
assisted,0.476,,63.15299977985085,P00,0.19999999999999574,41.15388195967045,17.322160643638544,S2_one_fast,0.2,0.05,T7_pursuit,,True,440
assisted,0.44,,73.70821327191419,P00,0.19999999999999574,43.32957038031681,43.619030681249306,S3_both_fast,0.2,0.2,T7_pursuit,,True,460
assisted,0.11,,88.53066658950907,P00,0.19999999999999574,59.156679746526244,24.50927852251141,S4_asymmetric,0.3,0.08,T7_pursuit,,True,480
assisted,0.503,,58.23041008732909,P00,0.19999999999999574,40.51864898998616,11.615668879276281,B1_left_only,0.2,0.0,T7_pursuit,left,True,500
assisted,1.0,,22.972780199082695,P00,-10.719999999999771,11.322430522310546,40.63271463278281,B2_right_only,0.0,0.2,T7_pursuit,right,True,520
shared,1.0,,10.340170174771163,P00,0.11999999999999744,6.363654088227851,6.409079340171516,S1_both_slow,0.05,0.05,T7_pursuit,,True,540
shared,1.0,,30.418161581078973,P00,0.11999999999999744,23.379242749768565,7.174862782641221,S2_one_fast,0.2,0.05,T7_pursuit,,True,560
shared,1.0,,33.2301568300181,P00,0.11999999999999744,23.67699779347045,23.637979581220534,S3_both_fast,0.2,0.2,T7_pursuit,,True,580
shared,0.924,,43.151341937869695,P00,0.11999999999999744,34.387367381840065,10.871182495908691,S4_asymmetric,0.3,0.08,T7_pursuit,,True,600
shared,1.0,,29.35780122802522,P00,0.11999999999999744,23.327994827248947,3.4746077184250406,B1_left_only,0.2,0.0,T7_pursuit,left,True,620
