t,wall,sim_left_j1,sim_left_j2,sim_left_j3,sim_left_j4,sim_left_j5,sim_left_j6,sim_left_j7,real_left_j1,real_left_j2,real_left_j3,real_left_j4,real_left_j5,real_left_j6,real_left_j7,master_left_x,master_left_y,master_left_z,master_left_qx,master_left_qy,master_left_qz,master_left_qw,cmd_left_x,cmd_left_y,cmd_left_z,sim_left_fresh,real_left_fresh,master_left_fresh,sim_right_j1,sim_right_j2,sim_right_j3,sim_right_j4,sim_right_j5,sim_right_j6,sim_right_j7,real_right_j1,real_right_j2,real_right_j3,real_right_j4,real_right_j5,real_right_j6,real_right_j7,master_right_x,master_right_y,master_right_z,master_right_qx,master_right_qy,master_right_qz,master_right_qw,cmd_right_x,cmd_right_y,cmd_right_z,sim_right_fresh,real_right_fresh,master_right_fresh,vr_left_engaged,vr_left_grip,vr_left_refused,vr_left_disp_m,vr_left_lag_m,vr_left_cutoff_hz,vr_left_tracked,vr_left_fresh,vr_right_engaged,vr_right_grip,vr_right_refused,vr_right_disp_m,vr_right_lag_m,vr_right_cutoff_hz,vr_right_tracked,vr_right_fresh,estop,n_detections,autonomy_left,autonomy_right
0.3413,1788063451.5307,,,,,,,,1.711200842624964,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514761874469198,-2.259110284234051,0.5765,0.389181,0.955371,-0.536039,0.780221,-0.177863,0.268854,,,,0,1,1,,,,,,,,2.6609746348242833,-1.5906145063628303,-0.10863460192207626,-0.4811091056705207,2.3540919245117276,0.9181414971406576,-2.3585974604439235,-0.42132,0.296579,0.820947,0.44586,0.861626,0.063599,0.234017,,,,0,1,1,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,
0.3913,1788063451.5807,,,,,,,,1.7111999105185827,0.6352986759350563,2.336898822830285,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,0.5765,0.389181,0.955371,-0.536039,0.780221,-0.177863,0.268854,,,,0,1,1,,,,,,,,2.661401805863132,-1.5907567191650405,-0.10977443486863017,-0.48111336672826477,2.355254394327547,0.9178218512308208,-2.359056056783635,-0.42132,0.296579,0.820947,0.44586,0.861626,0.063599,0.234017,,,,0,1,1,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,
0.4454,1788063451.6348,0.5015561327432071,1.6981995033639332,-2.3701363067980004,-0.1546914843398088,-1.9705016409302327,1.3745486279079504,-0.8183734517364704,1.7111999105185827,0.6352986759350563,2.336898822830285,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,0.575381,0.388855,0.954923,-0.536002,0.781524,-0.176804,0.265823,,,,1,1,1,2.6585403078649152,-1.5914676701157366,-0.1026039947168105,-0.4819957645939769,2.347591567317632,0.9207994768173624,-2.3562555660461144,2.6616281745557884,-1.590807319225752,-0.1104210503813014,-0.48112295410818906,2.355854670837251,0.9175745101445798,-2.359253929652628,-0.421319,0.296585,0.820944,0.445861,0.861626,0.063599,0.234016,,,,1,1,1,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,
0.4923,1788063451.6818,0.5017451855539206,1.698119805355458,-2.3684148728442875,-0.15463233334552068,-1.966590475700112,1.3747766283879783,-0.818487087350605,1.7112003099927462,0.6352991419882471,2.336899355462503,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,0.573962,0.388437,0.954356,-0.535938,0.783172,-0.17547,0.261959,,,,1,1,1,2.658502394931132,-1.5914521697773611,-0.10241742561180178,-0.4820147147034542,2.3473764185118045,0.9208309234694553,-2.3562035002376494,2.6616281745557884,-1.590807319225752,-0.1104210503813014,-0.48112295410818906,2.355854670837251,0.9175745101445798,-2.359253929652628,-0.42132,0.296583,0.820944,0.44586,0.861626,0.063599,0.234017,,,,1,1,1,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,
0.5418,1788063451.7312,0.5019049626003778,1.698048353123026,-2.3695604939536166,-0.15460118185509908,-1.9606494069673501,1.3749741550645078,-0.8185952232894254,1.7112003099927462,0.6352986759350563,2.336899355462503,-1.544021437827458,-0.33428317582005407,-0.514761874469198,-2.259110284234051,0.574895,0.38872,0.954738,-0.535993,0.782075,-0.176342,0.264525,,,,1,1,1,2.658502394931132,-1.5914521697773611,-0.10241742561180178,-0.4820147147034542,2.3473764185118045,0.9208309234694553,-2.3562035002376494,2.6616542735344715,-1.5908568540220274,-0.11053609894039283,-0.48111975831488096,2.355792086551634,0.9175440835291256,-2.359399338248146,-0.42132,0.296579,0.820946,0.44586,0.861626,0.0636,0.234017,,,,1,1,1,0,0,,,,,0,1,0,0,,,,,0,1,0,0,,
0.5919,1788063451.7813,0.5019284046572368,1.6980400516593055,-2.370704704725409,-0.15459097938029187,-1.960763065854647,1.3750018055657225,-0.8186069006380726,1.7112003099927462,0.6352986759350563,2.336899355462503,-1.544021437827458,-0.33428317582005407,-0.514761874469198,-2.259110284234051,0.574895,0.38872,0.954738,-0.535993,0.782075,-0.176342,0.264525,,,,1,0,0,2.6584802116359008,-1.5914677938823414,-0.10231798703436419,-0.48196784530752235,2.347278165879625,0.9208721432042556,-2.3562042780290513,2.6616542735344715,-1.5908568540220274,-0.11053609894039283,-0.48111975831488096,2.355792086551634,0.9175440835291256,-2.359399338248146,-0.42132,0.296579,0.820946,0.44586,0.861626,0.0636,0.234017,,,,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,
0.6417,1788063451.8312,0.5020170734856911,1.6980098541982365,-2.3754216407047988,-0.15454906649686975,-1.9617623079230708,1.3751055897351327,-0.8186486415841135,1.7112003099927462,0.6352982098818656,2.336899355462503,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,0.575519,0.389028,0.955137,-0.536176,0.781104,-0.176884,0.266652,,,,1,1,1,2.6584577265634444,-1.5914836305346005,-0.10221719571390091,-0.4819203383094636,2.3471785766377877,0.9209139236842938,-2.3562050664013756,2.6619962234184373,-1.5909468688668722,-0.11191508375283586,-0.4811240193726251,2.3569745300756293,0.9171711743974873,-2.3598150576943078,-0.42132,0.296581,0.820946,0.44586,0.861626,0.063599,0.234017,,,,1,1,1,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,
0.6942,1788063451.8836,0.5021126884274676,1.6979661038653155,-2.377249243487574,-0.1545289589904776,-1.9612333471113614,1.3752229153210425,-0.8187125227067709,1.7112003099927462,0.6352982098818656,2.336899355462503,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,0.574496,0.388634,0.954617,-0.536015,0.782476,-0.175956,0.263548,,,,1,0,1,2.6584296569205965,-1.5914856953864982,-0.102084518831795,-0.48190260832042625,2.3470346641226416,0.9209496797416061,-2.3561837475805136,2.6619962234184373,-1.5909468688668722,-0.11191508375283586,-0.4811240193726251,2.3569745300756293,0.9171711743974873,-2.3598150576943078,-0.421319,0.296586,0.820943,0.44586,0.861626,0.063599,0.234017,,,,1,0,1,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,
0.7442,1788063451.9336,0.5022424376461505,1.6979052292340149,-2.378498985308525,-0.15450750870452096,-1.9566990829255744,1.3753826196055816,-0.8188032590771227,1.7112003099927462,0.6352986759350563,2.336899355462503,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,0.574352,0.388548,0.95451,-0.535956,0.782724,-0.175839,0.263013,,,,1,1,1,2.6583659649206517,-1.5914662701798767,-0.10177422482037349,-0.48191900052543946,2.3466816751373094,0.9210084247128474,-2.356105137770025,2.6624335144694284,-1.5911679112373487,-0.11322642427359088,-0.4811410636036016,2.3583641675324323,0.9167402083540852,-2.360234505565995,-0.421319,0.296585,0.820943,0.44586,0.861626,0.063599,0.234017,,,,1,1,1,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,
0.7932,1788063451.9827,0.5022882310433463,1.69788428654449,-2.378973630568896,-0.15449910837846517,-1.954610970522161,1.3754386861511365,-0.8188346059975156,1.7111999105185827,0.6352986759350563,2.336899355462503,-1.544021970459676,-0.33428317582005407,-0.514762407101416,-2.259110284234051,0.574352,0.388548,0.95451,-0.535956,0.782724,-0.175839,0.263013,,,,1,1,1,2.658323814426123,-1.5914622256298052,-0.10157226391956589,-0.4819091807008959,2.346457789576079,0.9210554665967977,-2.356064206986144,2.6625115450893677,-1.5912073260214818,-0.11382723341551275,-0.4811474551902178,2.358860847075732,0.9166327498041005,-2.3604097415657224,-0.421319,0.296585,0.820943,0.44586,0.861626,0.063599,0.234017,,,,1,1,1,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,
