t,phase,master_x,master_y,master_z,master_qx,master_qy,master_qz,master_qw,pointing_x,pointing_y,pointing_z,clutch,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,cmd_x,cmd_y,cmd_z,gripper_rad,autonomy_state,intent_top,intent_top_p,intent_margin,intent_ambiguous,intent_dist,intent_ids,grasp_offered,channels_live,ik_success,ik_fail,ik_rejected,clearance_m,payload_kg,estop
0.001,reach,,,,,,,,,,,,0.66709993125143,-0.04459856614668112,1.162797270637523,,,,,0.0,0.0,0.0,0.0,DIRECT,,,,,,,,,,,,,,0
0.0576,reach,,,,,,,,,,,,0.6670999303417899,-0.04459856433001824,1.1627972666757034,,,,,0.0,0.0,-0.025000000000000133,0.0,DIRECT,,,,,,,,,,,,,,0
0.1098,reach,,,,,,,,,,,,0.6670999298901664,-0.04459856285090896,1.1627972630860413,,,,,0.0,0.0,-0.050000000000000044,0.0,DIRECT,,,,,,,,,,,,,,0
0.1658,reach,,,,,,,,,,,,0.667279687715945,-0.04450685373896346,1.151855075458947,,,,,0.0,0.0,-0.07499999999999996,0.0,DIRECT,,,,,,,,,,,,,,0
0.2192,reach,,,,,,,,,,,,0.667279687715945,-0.04450685373896346,1.151855075458947,,,,,0.0,0.0,-0.10000000000000009,0.0,DIRECT,,,,,,,,,,,,,,0
0.2805,reach,,,,,,,,,,,,0.6675998133076544,-0.044336275427789174,1.1366119875245502,,,,,0.0,0.0,-0.10000000000000009,0.0,DIRECT,,,,,,,,,,,,,,0
0.3441,reach,,,,,,,,,,,,0.6680484996436864,-0.044095587746310394,1.1210149360524753,,,,,0.0,0.0,-0.10000000000000009,0.0,DIRECT,,,,,,,,,,,,,,0
0.397,reach,,,,,,,,,,,,0.6685682287427991,-0.04381973113737386,1.105671815164909,,,,,0.0,0.0,-0.10000000000000009,0.0,DIRECT,,,,,,,,,,,,,,0
0.4484,grasp,,,,,,,,,,,,0.6687429221542084,-0.04372323219083546,1.0904467784831755,,,,,0.0,0.0,-0.10000000000000009,0.42352941176470593,DIRECT,,,,,,,,,,,,,,0
0.5024,grasp,,,,,,,,,,,,0.6687429221542084,-0.04372323219083546,1.0904467784831755,,,,,0.0,0.0,-0.10000000000000009,0.42352941176470593,DIRECT,,,,,,,,,,,,,,0
