t,phase,master_x,master_y,master_z,master_qx,master_qy,master_qz,master_qw,pointing_x,pointing_y,pointing_z,clutch,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,cmd_x,cmd_y,cmd_z,gripper_rad,autonomy_state,intent_top,intent_top_p,intent_margin,intent_ambiguous,intent_dist,intent_ids,grasp_offered,channels_live,ik_success,ik_fail,ik_rejected,clearance_m,payload_kg,estop
0.0008,reach,,,,,,,,,,,,0.2500000177491165,0.3499999797812457,1.3200000020363598,,,,,0.25,0.35,1.32,0.0,ASSIST,,,,,,,,,,,,,,0
0.054,reach,,,,,,,,,,,,0.24999941151152394,0.34999982228020293,1.3200012988126055,,,,,0.25,0.35,1.32,0.0,ASSIST,,,,,,,,,,,,,,0
0.1137,reach,,,,,,,,,,,,0.2499996520168889,0.3499998844244599,1.3200008029472303,,,,,0.25,0.35,1.32,0.0,ASSIST,,,,,,,,,,,,,,0
0.1714,reach,,,,,,,,,,,,0.2499996520168889,0.3499998844244599,1.3200008029472303,,,,,0.25,0.35,1.32,0.0,ASSIST,,,,,,,,,,,,,,0
0.2255,reach,,,,,,,,,,,,0.2499997670389228,0.3499999141730417,1.3200005628969962,,,,,0.25,0.35,1.32,0.0,ASSIST,,,,,,,,,,,,,,0
0.2852,reach,,,,,,,,,,,,0.25000001786002346,0.349999979724299,1.3200000020905918,,,,,0.25,0.35,1.348,0.0,ASSIST,,,,,,,,,,,,,,0
0.3443,reach,,,,,,,,,,,,0.2500287021130135,0.35002887196745563,1.321007407242444,,,,,0.25,0.35,1.3760000000000001,0.0,ASSIST,,,,,,,,,,,,,,0
0.3954,reach,,,,,,,,,,,,0.2502405885683245,0.3502260561804937,1.3281729679947665,,,,,0.25,0.35,1.4040000000000001,0.0,ASSIST,,,,,,,,,,,,,,0
0.4493,reach,,,,,,,,,,,,0.2502405885683245,0.3502260561804937,1.3281729679947665,,,,,0.25,0.35,1.4320000000000002,0.0,ASSIST,,,,,,,,,,,,,,0
0.5049,reach,,,,,,,,,,,,0.25051882728323827,0.35038053590916046,1.3369543006414064,,,,,0.25,0.35,1.46,0.0,ASSIST,,,,,,,,,,,,,,0
0.5564,reach,,,,,,,,,,,,0.25136265798297036,0.35070047980922553,1.3494782057957853,,,,,0.25,0.35,1.488,0.0,ASSIST,,,,,,,,,,,,,,0
0.6136,reach,,,,,,,,,,,,0.2525041501765964,0.3511717172630982,1.3647554459326132,,,,,0.25,0.35,1.516,0.0,ASSIST,,,,,,,,,,,,,,0
0.6732,reach,,,,,,,,,,,,0.2537453687104417,0.35178918547478694,1.3824369552793245,,,,,0.25,0.35,1.544,0.0,ASSIST,,,,,,,,,,,,,,0
0.7258,reach,,,,,,,,,,,,0.2537453687104417,0.35178918547478694,1.3824369552793245,,,,,0.25,0.35,1.572,0.0,ASSIST,,,,,,,,,,,,,,0
0.7817,reach,,,,,,,,,,,,0.25495975339893995,0.3525620804689416,1.40192895003551,,,,,0.25,0.35,1.6,0.0,ASSIST,,,,,,,,,,,,,,0
0.8335,reach,,,,,,,,,,,,0.2562317377814767,0.3538395652639769,1.4237529347356541,,,,,0.25,0.35,1.6,0.0,ASSIST,,,,,,,,,,,,,,0
0.8955,reach,,,,,,,,,,,,0.25775184243268595,0.3555271106079479,1.4443953368617595,,,,,0.25,0.35,1.6,0.0,ASSIST,,,,,,,,,,,,,,0
0.9533,reach,,,,,,,,,,,,0.25833381306668635,0.3561754753243957,1.4642451598053492,,,,,0.25,0.35,1.6,0.0,ASSIST,,,,,,,,,,,,,,0
1.0099,reach,,,,,,,,,,,,0.25833381306668635,0.3561754753243957,1.4642451598053492,,,,,0.25,0.35,1.6,0.0,ASSIST,,,,,,,,,,,,,,0
1.0669,reach,,,,,,,,,,,,0.25894586294356053,0.35649254980202555,1.4818511754144814,,,,,0.25,0.35,1.6,0.0,ASSIST,,,,,,,,,,,,,,0
1.1276,reach,,,,,,,,,,,,0.25904326770631136,0.35649508476992847,1.4963986879565747,,,,,0.25,0.35,1.6,0.0,ASSIST,,,,,,,,,,,,,,0
