t,phase,master_x,master_y,master_z,master_qx,master_qy,master_qz,master_qw,pointing_x,pointing_y,pointing_z,clutch,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,cmd_x,cmd_y,cmd_z,gripper_rad,autonomy_state,intent_top,intent_top_p,intent_margin,intent_ambiguous,intent_dist,intent_ids,grasp_offered,channels_live,ik_success,ik_fail,ik_rejected,clearance_m,payload_kg,estop
0.0005,reach,,,,,,,,,,,,0.35710443205661324,0.09539981455419172,1.0653070684334418,,,,,0.3571,0.0954,1.0653,0.0,DIRECT,,,,,,,,,,,,,,0
0.0651,reach,,,,,,,,,,,,0.35710443205661324,0.09539981455419172,1.0653070684334418,,,,,0.3571,0.0954,1.0653,0.0,DIRECT,,,,,,,,,,,,,,0
0.1168,reach,,,,,,,,,,,,0.35709999871862547,0.09539999163193441,1.0653000064304612,,,,,0.3571,0.0954,1.0653,0.0,DIRECT,,,,,,,,,,,,,,0
0.1718,reach,,,,,,,,,,,,0.3571000552277831,0.09539998354526102,1.065300135663925,,,,,0.3571,0.0954,1.0653,0.0,DIRECT,,,,,,,,,,,,,,0
0.225,reach,,,,,,,,,,,,0.3571000823744298,0.09539997941635497,1.0653001981868317,,,,,0.3571,0.0954,1.0653,0.0,DIRECT,,,,,,,,,,,,,,0
0.2777,reach,,,,,,,,,,,,0.3571000823744298,0.09539997941635497,1.0653001981868317,,,,,0.3571,0.0954,1.0653,0.0,DIRECT,,,,,,,,,,,,,,0
0.3299,reach,,,,,,,,,,,,0.35709999867546544,0.09539999155240325,1.0653000063292963,,,,,0.3571,0.0954,1.1653,0.0,DIRECT,,,,,,,,,,,,,,0
0.3849,reach,,,,,,,,,,,,0.3569333534867937,0.09616717095589483,1.0709592221579616,,,,,0.3571,0.0954,1.1402999999999999,0.0,DIRECT,,,,,,,,,,,,,,0
0.4371,reach,,,,,,,,,,,,0.3569333534867937,0.09616717095589483,1.0709592221579616,,,,,0.3571,0.0954,1.1153,0.0,DIRECT,,,,,,,,,,,,,,0
0.4968,reach,,,,,,,,,,,,0.3567833902506309,0.09740667192501223,1.0825169109579456,,,,,0.3571,0.0954,1.0903,0.0,DIRECT,,,,,,,,,,,,,,0
0.5542,grasp,,,,,,,,,,,,0.3569126429838289,0.09705838677989692,1.091813906105171,,,,,0.3571,0.0954,1.0653,0.0,DIRECT,,,,,,,,,,,,,,0
0.605,grasp,,,,,,,,,,,,0.3570963004656458,0.09550426608766621,1.087996547998592,,,,,0.3571,0.0954,1.0653,0.0,DIRECT,,,,,,,,,,,,,,0
0.6591,grasp,,,,,,,,,,,,0.3570963004656458,0.09550426608766621,1.087996547998592,,,,,0.3571,0.0954,1.0653,0.5176470588235293,DIRECT,,,,,,,,,,,,,,0
