t,phase,master_x,master_y,master_z,master_qx,master_qy,master_qz,master_qw,pointing_x,pointing_y,pointing_z,clutch,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,cmd_x,cmd_y,cmd_z,gripper_rad,autonomy_state,intent_top,intent_top_p,intent_margin,intent_ambiguous,intent_dist,intent_ids,grasp_offered,channels_live,ik_success,ik_fail,ik_rejected,clearance_m,payload_kg,estop
0.0006,reach,,,,,,,,,,,,0.3570999983274472,0.09539999031366225,1.0653000050712866,,,,,0.3571,0.0954,1.0653,0.0,ASSIST,,,,,,,,,,,,,,0
0.0582,reach,,,,,,,,,,,,0.3570999983274472,0.09539999031366225,1.0653000050712866,,,,,0.3571,0.0954,1.0653,0.0,ASSIST,,,,,,,,,,,,,,0
0.1176,reach,,,,,,,,,,,,0.357099999011484,0.09539999010455463,1.0653000069077736,,,,,0.3571,0.0954,1.0653,0.0,ASSIST,,,,,,,,,,,,,,0
0.173,reach,,,,,,,,,,,,0.3571000007404536,0.09539998958817375,1.0653000115625868,,,,,0.3571,0.0954,1.0653,0.0,ASSIST,,,,,,,,,,,,,,0
0.2324,reach,,,,,,,,,,,,0.35709999997850905,0.09539998980492187,1.0653000095092342,,,,,0.3571,0.0954,1.0653,0.0,ASSIST,,,,,,,,,,,,,,0
0.2886,reach,,,,,,,,,,,,0.35709999997850905,0.09539998980492187,1.0653000095092342,,,,,0.3571,0.0954,1.0653,0.0,ASSIST,,,,,,,,,,,,,,0
0.3462,reach,,,,,,,,,,,,0.3570999997322185,0.09539998987057668,1.0653000088449749,,,,,0.3571,0.0954,1.1653,0.0,ASSIST,,,,,,,,,,,,,,0
0.4057,reach,,,,,,,,,,,,0.3570999983224408,0.09539999028349216,1.0653000050389743,,,,,0.3571,0.0954,1.1402999999999999,0.0,ASSIST,,,,,,,,,,,,,,0
0.4639,reach,,,,,,,,,,,,0.35703617099900603,0.09707185908406951,1.0778683076841413,,,,,0.3571,0.0954,1.1153,0.0,ASSIST,,,,,,,,,,,,,,0
0.5158,reach,,,,,,,,,,,,0.3570445216313422,0.09759969616296121,1.0893032122943838,,,,,0.3571,0.0954,1.0903,0.0,ASSIST,,,,,,,,,,,,,,0
0.5686,reach,,,,,,,,,,,,0.3570445216313422,0.09759969616296121,1.0893032122943838,,,,,0.3571,0.0954,1.0653,0.0,ASSIST,,,,,,,,,,,,,,0
0.6216,reach,,,,,,,,,,,,0.3570897122790715,0.0957987815519244,1.0910316930366417,,,,,0.3571,0.0954,1.0653,0.0,ASSIST,,,,,,,,,,,,,,0
0.6736,grasp,,,,,,,,,,,,0.357097501706111,0.09567294466153226,1.0804485108596786,,,,,0.3571,0.0954,1.0653,0.5176470588235293,ASSIST,,,,,,,,,,,,,,0
0.7301,grasp,,,,,,,,,,,,0.3571000683976329,0.09558138997830673,1.070361121048285,,,,,0.3571,0.0954,1.0653,0.5176470588235293,ASSIST,,,,,,,,,,,,,,0
0.7912,grasp,,,,,,,,,,,,0.3571000683976329,0.09558138997830673,1.070361121048285,,,,,0.3571,0.0954,1.0653,0.5176470588235293,ASSIST,,,,,,,,,,,,,,0
0.8552,grasp,,,,,,,,,,,,0.3570978552149907,0.0954041243667722,1.0653354650522808,,,,,0.3571,0.0954,1.0653,0.5176470588235293,ASSIST,,,,,,,,,,,,,,0
0.908,grasp,,,,,,,,,,,,0.3570999983892209,0.09539999028579049,1.0653000049171006,,,,,0.3571,0.0954,1.0653,0.5176470588235293,ASSIST,,,,,,,,,,,,,,0
0.9641,grasp,,,,,,,,,,,,0.35709999831417083,0.09539999023601758,1.0653000049926749,,,,,0.3571,0.0954,1.0653,0.5176470588235293,ASSIST,,,,,,,,,,,,,,0
