t,phase,master_x,master_y,master_z,master_qx,master_qy,master_qz,master_qw,pointing_x,pointing_y,pointing_z,clutch,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,cmd_x,cmd_y,cmd_z,gripper_rad,autonomy_state,intent_top,intent_top_p,intent_margin,intent_ambiguous,intent_dist,intent_ids,grasp_offered,channels_live,ik_success,ik_fail,ik_rejected,clearance_m,payload_kg,estop,joints_left,joints_right,ee_r_x,ee_r_y,ee_r_z,ee_r_qx,ee_r_qy,ee_r_qz,ee_r_qw,cmd_r_x,cmd_r_y,cmd_r_z,gripper_rad_right,clearance_left_m,clearance_right_m,clearance_source,ik_success_right,ik_fail_right,ik_rejected_right,vr_ctrl_left,vr_ctrl_right,autonomy_cmd,autonomy_blend,voice_utterance,voice_parse,master_joints,objects
0.0007,reach,,,,,,,,,,,,0.2970999919784469,0.13539997997510783,1.1628000032669292,-0.08960374578100065,0.4860201776873309,0.8693361345359969,0.003200126997502732,0.2971,0.1354,1.1628,0.0,ASSIST,,,,,,,,,11042.0,0.0,5.0,0.11982306604805328,,0,"[-1.69378, -1.7653, -0.79937, -1.8346, -1.56862, -0.6088, 0.12663]","[-1.06804, 1.74861, 0.96838, 2.14774, -0.55926, -0.73032, 2.12954]",-0.3199999780489133,0.12499997192762374,1.2800000178477828,0.13349927056094377,0.5422969703622053,0.8287953329986621,0.03449980717781365,-0.32,0.125,1.28,0.0,0.11982306604805328,0.14080125357934886,sim,9358.0,0.0,2.0,,,"[0.2971, 0.1354, 1.1628]",,hey doc oc grab the blue cube,,,
0.0533,reach,,,,,,,,,,,,0.2970974169042463,0.1353995640233271,1.1628023338041513,-0.08960314439057507,0.48601749091310475,0.8693377116190594,0.0031965917457602872,0.2971,0.1354,1.1378,0.0,ASSIST,,,,,,,,,11043.0,0.0,5.0,0.11982306582661038,,0,"[-1.69127, -1.76811, -0.80303, -1.83467, -1.56644, -0.60382, 0.12703]","[-1.06798, 1.74851, 0.96828, 2.14774, -0.55938, -0.73039, 2.12975]",-0.3199999735268609,0.12499997224516218,1.2800000176072446,0.13349927674212525,0.5422969748883572,0.8287953289547935,0.03449980926007983,-0.32,0.125,1.28,0.0,0.11982306582661038,0.14080125358648518,sim,9359.0,0.0,2.0,,,"[0.2971, 0.1354, 1.1378]",,hey doc oc grab the blue cube,,,
0.1071,reach,,,,,,,,,,,,0.2970974169042463,0.1353995640233271,1.1628023338041513,-0.08960314439057507,0.48601749091310475,0.8693377116190594,0.0031965917457602872,0.2971,0.1354,1.1128,0.0,ASSIST,,,,,,,,,11044.0,0.0,5.0,0.11982046110002231,,0,"[-1.68544, -1.76834, -0.80164, -1.82485, -1.54301, -0.60395, 0.10336]","[-1.06785, 1.7483, 0.96807, 2.14774, -0.55962, -0.73055, 2.13017]",-0.3199999735268609,0.12499997224516218,1.2800000176072446,0.13349927674212525,0.5422969748883572,0.8287953289547935,0.03449980926007983,-0.32,0.125,1.28,0.0,0.11982046110002231,0.1408012491239953,sim,9360.0,0.0,2.0,,,"[0.2971, 0.1354, 1.1128]",,hey doc oc grab the blue cube,,,
0.1671,reach,,,,,,,,,,,,0.2971636780089791,0.13560089624345406,1.1570208944361746,-0.0892786616496495,0.4862306319190058,0.8692508821543682,0.003463673128965506,0.2971,0.1354,1.0878,0.0,ASSIST,,,,,,,,,11045.0,0.0,5.0,0.11982046110002231,,0,"[-1.68109, -1.76589, -0.79604, -1.81179, -1.51687, -0.61034, 0.07396]","[-1.06775, 1.74814, 0.96792, 2.14774, -0.5598, -0.73067, 2.1305]",-0.319999977605175,0.12499997195464024,1.2800000178244935,0.13349927116665683,0.5422969708198278,0.8287953325942776,0.034499807355275844,-0.32,0.125,1.28,0.0,0.11982046110002231,0.14080125314815028,sim,9361.0,0.0,2.0,,,"[0.2971, 0.1354, 1.0878]",,hey doc oc grab the blue cube,,,
0.2225,reach,,,,,,,,,,,,0.29727607015546426,0.13621518566767926,1.147700029005823,-0.08841929994210036,0.487014255782505,0.8688965412384957,0.004235880798707411,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,11046.0,0.0,5.0,0.11992803397479604,,0,"[-1.6761, -1.76248, -0.78781, -1.7931, -1.48342, -0.62109, 0.03533]","[-1.06767, 1.74799, 0.96777, 2.14774, -0.55998, -0.73078, 2.13081]",-0.31999997806502584,0.12499997191940132,1.2800000178491464,0.1334992705378066,0.542296970369717,0.8287953329997124,0.03449980712403438,-0.32,0.125,1.28,0.0,0.11992803397479604,0.14080125314815028,sim,9362.0,0.0,2.0,,,"[0.2971, 0.1354, 1.0628]",,hey doc oc grab the blue cube,,,
0.2771,reach,,,,,,,,,,,,0.29731681598610316,0.13699109617337368,1.139246091787684,-0.087447066351848,0.4881039616272509,0.8683783504100921,0.0051549751973982835,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,11047.0,0.0,5.0,0.12017034821743787,,0,"[-1.67271, -1.75945, -0.77973, -1.77529, -1.45631, -0.63292, 0.00267]","[-1.06757, 1.74783, 0.96761, 2.14773, -0.56016, -0.7309, 2.13113]",-0.3200032786625327,0.12499830049156141,1.2799964589577957,0.13349772464216264,0.5422968488576232,0.8287956732239481,0.034499525789787246,-0.32,0.125,1.28,0.0,0.12017034821743787,0.14080125360163007,sim,9363.0,0.0,2.0,,,"[0.2971, 0.1354, 1.0628]",,hey doc oc grab the blue cube,,,
0.3281,reach,,,,,,,,,,,,0.29726464281333576,0.13793965467236818,1.1293602649062298,-0.0863290997714901,0.4895157596268402,0.8676881175530182,0.006240053437379571,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,11048.0,0.0,5.0,0.1203817037001782,,0,"[-1.67016, -1.75641, -0.77155, -1.75839, -1.43249, -0.64503, -0.02688]","[-1.06745, 1.74765, 0.96742, 2.14773, -0.56037, -0.73105, 2.13152]",-0.3200001428100748,0.1249998875868466,1.2799998379091213,0.13349919522081044,0.5422969662636822,0.8287953483678951,0.03449979391738234,-0.32,0.125,1.28,0.0,0.1203817037001782,0.14080435736827876,sim,9364.0,0.0,2.0,,,"[0.2971, 0.1354, 1.0628]",,hey doc oc grab the blue cube,,,
0.3799,reach,,,,,,,,,,,,0.29726464281333576,0.13793965467236818,1.1293602649062298,-0.0863290997714901,0.4895157596268402,0.8676881175530182,0.006240053437379571,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,11049.0,0.0,5.0,0.12054717233245417,,0,"[-1.66788, -1.75312, -0.76293, -1.74144, -1.40911, -0.65761, -0.05629]","[-1.06738, 1.74752, 0.9673, 2.14773, -0.56052, -0.73113, 2.13178]",-0.3200001428100748,0.1249998875868466,1.2799998379091213,0.13349919522081044,0.5422969662636822,0.8287953483678951,0.03449979391738234,-0.32,0.125,1.28,0.0,0.12054717233245417,0.14080140842498476,sim,9365.0,0.0,2.0,,,"[0.2971, 0.1354, 1.0628]",,hey doc oc grab the blue cube,,,
0.4325,reach,,,,,,,,,,,,0.29718404533337894,0.1385483610620168,1.1194764247656346,-0.08560766175298777,0.4904473127450574,0.8672277843977466,0.006980805033328746,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,11050.0,0.0,5.0,0.12054717233245417,,0,"[-1.66582, -1.7496, -0.75389, -1.7244, -1.38607, -0.67067, -0.08564]","[-1.06728, 1.74737, 0.96715, 2.14773, -0.56069, -0.73125, 2.13209]",-0.3200041077753193,0.12499788251686855,1.2799955812384247,0.13349733946932787,0.5422968125833358,0.8287957619909533,0.034499453943509,-0.32,0.125,1.28,0.0,0.12054717233245417,0.14080140842498476,sim,9366.0,0.0,2.0,,,"[0.2971, 0.1354, 1.0628]",,hey doc oc grab the blue cube,,,
0.4874,reach,,,,,,,,,,,,0.2970776384364352,0.13881170955279648,1.1100212037015038,-0.0853056836951104,0.4908958877483091,0.8670008144238959,0.007331814878366773,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,11051.0,0.0,5.0,0.12061139830058637,,0,"[-1.66391, -1.7452, -0.74288, -1.70495, -1.36059, -0.68629, -0.11879]","[-1.06718, 1.74721, 0.967, 2.14772, -0.56086, -0.73137, 2.1324]",-0.31999997702586974,0.1249999719705393,1.2800000177842443,0.1334992719516244,0.542296971476679,0.8287953320298838,0.03449980755139208,-0.32,0.125,1.28,0.0,0.12061139830058637,0.1408051372427619,sim,9367.0,0.0,2.0,,,"[0.2971, 0.1354, 1.0628]",,hey doc oc grab the blue cube,,,
