t,phase,master_x,master_y,master_z,master_qx,master_qy,master_qz,master_qw,pointing_x,pointing_y,pointing_z,clutch,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,cmd_x,cmd_y,cmd_z,gripper_rad,autonomy_state,intent_top,intent_top_p,intent_margin,intent_ambiguous,intent_dist,intent_ids,grasp_offered,channels_live,ik_success,ik_fail,ik_rejected,clearance_m,payload_kg,estop,joints_left,joints_right,ee_r_x,ee_r_y,ee_r_z,ee_r_qx,ee_r_qy,ee_r_qz,ee_r_qw,cmd_r_x,cmd_r_y,cmd_r_z,gripper_rad_right,clearance_left_m,clearance_right_m,clearance_source,ik_success_right,ik_fail_right,ik_rejected_right,vr_ctrl_left,vr_ctrl_right,autonomy_cmd,autonomy_blend,voice_utterance,voice_parse,master_joints,objects
0.0007,reach,,,,,,,,,,,,0.2970982563505616,0.1354033582369622,1.162796972528954,-0.08960329825530616,0.4860201273425145,0.8693362078655025,0.0032003833777254805,0.0,0.0,0.0,0.0,DIRECT,,,,,,,,,11860.0,0.0,5.0,0.11982208581917306,,0,"[-1.5969, -1.88926, -0.94763, -1.83709, -1.46081, -0.40143, 0.12356]","[-1.0633, 1.74093, 0.96074, 2.14762, -0.56799, -0.73616, 2.14521]",-0.3199999570904544,0.12499994333840525,1.280000035114864,0.13349928988685333,0.5422969858433644,0.8287953197768794,0.034499806678414506,0.0,0.0,0.0,0.0,0.11982208581917306,0.1408012297016061,sim,10020.0,0.0,2.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,,,,,
0.0588,reach,,,,,,,,,,,,0.2970982561098481,0.1354033586676469,1.1627969719383382,-0.08960329819438419,0.4860201273004417,0.8693362078952949,0.003200383380035287,0.0,0.0,-0.025000000000000133,0.0,DIRECT,,,,,,,,,11866.0,0.0,5.0,0.11982208581917306,,0,"[-1.59689, -1.88927, -0.94764, -1.83709, -1.4608, -0.40141, 0.12356]","[-1.06329, 1.74092, 0.96073, 2.14762, -0.568, -0.73617, 2.14523]",-0.3199999565692271,0.12499994360004496,1.2800000356490109,0.13349929011711215,0.5422969858675691,0.8287953197222163,0.03449980672012322,0.0,0.0,0.0,0.0,0.11982208581917306,0.1408012297016061,sim,10023.0,0.0,2.0,"[0.0, 0.0, -0.025000000000000133]","[0.0, 0.0, 0.0]",,,,,,
0.1101,reach,,,,,,,,,,,,0.29709333768695756,0.13544219971357058,1.1598694446995288,-0.08956922882698334,0.4861161139970993,0.8692858988459956,0.00324083742393204,0.0,0.0,-0.050000000000000044,0.0,DIRECT,,,,,,,,,11871.0,0.0,5.0,0.11982208567524055,,0,"[-1.59625, -1.8845, -0.94197, -1.83101, -1.44331, -0.40878, 0.10232]","[-1.06329, 1.74091, 0.96073, 2.14762, -0.568, -0.73617, 2.14523]",-0.32000035483223577,0.12499974426157834,1.2799996294686047,0.13349911296049766,0.542296966232611,0.8287953624912705,0.03449977342867705,0.0,0.0,0.0,0.0,0.11982208567524055,0.14080122921121818,sim,10026.0,0.0,2.0,"[0.0, 0.0, -0.050000000000000044]","[0.0, 0.0, 0.0]",,,,,,
0.1697,reach,,,,,,,,,,,,0.29709333768695756,0.13544219971357058,1.1598694446995288,-0.08956922882698334,0.4861161139970993,0.8692858988459956,0.00324083742393204,0.0,0.0,-0.07499999999999996,0.0,DIRECT,,,,,,,,,11875.0,0.0,5.0,0.11982552005702746,,0,"[-1.59557, -1.87699, -0.93271, -1.82084, -1.41811, -0.42147, 0.07093]","[-1.06328, 1.7409, 0.96072, 2.14762, -0.56801, -0.73618, 2.14525]",-0.32000035483223577,0.12499974426157834,1.2799996294686047,0.13349911296049766,0.542296966232611,0.8287953624912705,0.03449977342867705,0.0,0.0,0.0,0.0,0.11982552005702746,0.14080160397191743,sim,10029.0,0.0,2.0,"[0.0, 0.0, -0.07499999999999996]","[0.0, 0.0, 0.0]",,,,,,
0.2294,reach,,,,,,,,,,,,0.29704458291854247,0.1356771334128402,1.154095606177824,-0.08936816805472268,0.4866779991383857,0.8689912762346719,0.0034666296653224605,0.0,0.0,-0.10000000000000009,0.0,DIRECT,,,,,,,,,11880.0,0.0,5.0,0.11982799994523968,,0,"[-1.59521, -1.8692, -0.9225, -1.80902, -1.39405, -0.43622, 0.03997]","[-1.06328, 1.7409, 0.96071, 2.14762, -0.56802, -0.73618, 2.14527]",-0.32000002177599296,0.1249999109614362,1.279999969144977,0.13349926111171734,0.5422969826567986,0.828795326722002,0.03449980127083989,0.0,0.0,0.0,0.0,0.11982799994523968,0.14080129056982935,sim,10032.0,0.0,2.0,"[0.0, 0.0, -0.10000000000000009]","[0.0, 0.0, 0.0]",,,,,,
0.2905,reach,,,,,,,,,,,,0.29689332903212856,0.13618683761884348,1.14739741222084,-0.08892697336719667,0.4878396837244626,0.8683830670405679,0.0039096379094047,0.0,0.0,-0.10000000000000009,0.0,DIRECT,,,,,,,,,11886.0,0.0,5.0,0.1197906542126269,,0,"[-1.59516, -1.86033, -0.91, -1.7936, -1.3679, -0.45509, 0.0052]","[-1.06327, 1.74089, 0.96071, 2.14762, -0.56803, -0.73619, 2.14529]",-0.3199999665288875,0.12499993861522346,1.2800000254934063,0.1334992856848793,0.5422969853765943,0.8287953207921456,0.034499805885384247,0.0,0.0,0.0,0.0,0.1197906542126269,0.14080123858315344,sim,10036.0,0.0,2.0,"[0.0, 0.0, -0.10000000000000009]","[0.0, 0.0, 0.0]",,,,,,
0.349,reach,,,,,,,,,,,,0.29660461974358054,0.13700211556906972,1.1390271933814267,-0.0881833600551417,0.4896006760885341,0.867464044129519,0.004583134898210344,0.0,0.0,-0.10000000000000009,0.0,DIRECT,,,,,,,,,11890.0,0.0,5.0,0.11969023181007885,,0,"[-1.59541, -1.85169, -0.89682, -1.77614, -1.34275, -0.47572, -0.02925]","[-1.06327, 1.74088, 0.9607, 2.14762, -0.56804, -0.7362, 2.1453]",-0.31999995797626346,0.12499994289727451,1.280000034219163,0.13349928948683276,0.5422969857952636,0.8287953198761419,0.034499806597808165,0.0,0.0,0.0,0.0,0.11969023181007885,0.14080123858315344,sim,10039.0,0.0,2.0,"[0.0, 0.0, -0.10000000000000009]","[0.0, 0.0, 0.0]",,,,,,
0.4001,reach,,,,,,,,,,,,0.2962082477224989,0.1379748356598977,1.1299365635784255,-0.0872445898071483,0.49160309844502503,0.866421371229669,0.005364944094155176,0.0,0.0,-0.10000000000000009,0.0,DIRECT,,,,,,,,,11894.0,0.0,5.0,0.11969023181007885,,0,"[-1.59574, -1.84596, -0.88763, -1.76354, -1.32621, -0.49037, -0.05237]","[-1.06326, 1.74087, 0.96069, 2.14762, -0.56805, -0.7362, 2.14531]",-0.31999995674498605,0.12499994351332105,1.2800000354746068,0.1334992900348267,0.5422969858564372,0.8287953197435965,0.034499806699893054,0.0,0.0,0.0,0.0,0.11969023181007885,0.14080123053537932,sim,10043.0,0.0,2.0,"[0.0, 0.0, -0.10000000000000009]","[0.0, 0.0, 0.0]",,,,,,
0.4591,reach,,,,,,,,,,,,0.2962082477224989,0.1379748356598977,1.1299365635784255,-0.0872445898071483,0.49160309844502503,0.866421371229669,0.005364944094155176,0.0,0.0,-0.10000000000000009,0.0,DIRECT,,,,,,,,,11900.0,0.0,5.0,0.11952802294412783,,0,"[-1.59696, -1.83513, -0.87017, -1.74091, -1.29808, -0.51768, -0.09297]","[-1.06326, 1.74086, 0.96068, 2.14762, -0.56806, -0.73621, 2.14533]",-0.31999995674498605,0.12499994351332105,1.2800000354746068,0.1334992900348267,0.5422969858564372,0.8287953197435965,0.034499806699893054,0.0,0.0,0.0,0.0,0.11952802294412783,0.140801229376738,sim,10046.0,0.0,2.0,"[0.0, 0.0, -0.10000000000000009]","[0.0, 0.0, 0.0]",,,,,,
0.5189,reach,,,,,,,,,,,,0.29581286917284044,0.1387117427075249,1.1205049207758988,-0.0864952543764408,0.49310808196768163,0.8656369501571862,0.005971682432455643,0.0,0.0,-0.10000000000000009,0.0,DIRECT,,,,,,,,,11905.0,0.0,5.0,0.11931883688399149,,0,"[-1.59811, -1.82564, -0.85487, -1.72125, -1.27388, -0.54154, -0.12808]","[-1.06325, 1.74086, 0.96067, 2.14762, -0.56807, -0.73622, 2.14535]",-0.31999995653404045,0.1249999436190859,1.280000035690521,0.13349929012799733,0.5422969858664682,0.8287953197213369,0.03449980671643377,0.0,0.0,0.0,0.0,0.11931883688399149,0.1408012291782603,sim,10050.0,0.0,2.0,"[0.0, 0.0, -0.10000000000000009]","[0.0, 0.0, 0.0]",,,,,,
0.5787,reach,,,,,,,,,,,,0.29557643695385016,0.13910054911446335,1.1110488617998218,-0.08602819950097335,0.49387013386153605,0.8652459484238095,0.006394412122437441,0.0,0.0,-0.10000000000000009,0.0,DIRECT,,,,,,,,,11910.0,0.0,5.0,0.11918370164460658,,0,"[-1.59957, -1.81587, -0.83912, -1.7017, -1.25055, -0.56583, -0.16263]","[-1.06325, 1.74085, 0.96067, 2.14762, -0.56808, -0.73622, 2.14537]",-0.3199999564985522,0.12499994363717065,1.280000035727842,0.13349929014281514,0.5422969858675585,0.828795319718162,0.034499806718229664,0.0,0.0,0.0,0.0,0.11918370164460658,0.1408012291449006,sim,10053.0,0.0,2.0,"[0.0, 0.0, -0.10000000000000009]","[0.0, 0.0, 0.0]",,,,,,
0.6393,reach,,,,,,,,,,,,0.2954724169232508,0.13913295411348953,1.1017390279652932,-0.08590016027882934,0.4938898160188862,0.8652463843993309,0.006535011919485436,0.0,0.0,-0.10000000000000009,0.0,DIRECT,,,,,,,,,11915.0,0.0,5.0,0.11909075566758215,,0,"[-1.60137, -1.80576, -0.8228, -1.68212, -1.22794, -0.59071, -0.19682]","[-1.06324, 1.74084, 0.96066, 2.14762, -0.56809, -0.73623, 2.14538]",-0.31999995649280655,0.12499994364016587,1.280000035734324,0.1334992901448287,0.5422969858676179,0.8287953197178188,0.03449980671774657,0.0,0.0,0.0,0.0,0.11909075566758215,0.14080122913950674,sim,10055.0,0.0,2.0,"[0.0, 0.0, -0.10000000000000009]","[0.0, 0.0, 0.0]",,,,,,
0.7033,reach,,,,,,,,,,,,0.295522147072645,0.1388219501128981,1.0925956842335702,-0.08612357975900552,0.49319665044182764,0.865620730789567,0.006367372283122545,0.0,0.0,-0.10000000000000009,0.0,DIRECT,,,,,,,,,11920.0,0.0,5.0,0.11909075566758215,,0,"[-1.60307, -1.79717, -0.80894, -1.6659, -1.20968, -0.61169, -0.22491]","[-1.06324, 1.74083, 0.96065, 2.14762, -0.56809, -0.73623, 2.14539]",-0.3199999564927051,0.12499994364053385,1.2800000357355197,0.13349929014393527,0.5422969858669763,0.8287953197184277,0.03449980671666263,0.0,0.0,0.0,0.0,0.11909075566758215,0.14080122913944504,sim,10059.0,0.0,2.0,"[0.0, 0.0, -0.10000000000000009]","[0.0, 0.0, 0.0]",,,,,,
0.7591,grasp,,,,,,,,,,,,0.29574039347652986,0.1381847694243739,1.0836583365322934,-0.08670553826495711,0.4918333300512556,0.8663415544844411,0.005868224463915314,0.0,0.0,-0.10000000000000009,0.42352941176470593,DIRECT,,,,,,,,,11925.0,0.0,5.0,0.11906330783488343,,0,"[-1.60586, -1.78482, -0.78899, -1.64337, -1.18527, -0.64156, -0.26343]","[-1.06323, 1.74083, 0.96065, 2.14762, -0.5681, -0.73624, 2.14541]",-0.31999995649307317,0.1249999436404654,1.2800000357357326,0.13349929014325848,0.5422969858667404,0.8287953197187296,0.03449980671573981,0.0,0.0,0.0,0.0,0.11906330783488343,0.14080122913980375,sim,10063.0,0.0,2.0,"[0.0, 0.0, -0.10000000000000009]","[0.0, 0.0, 0.0]",,,,,,
0.8101,grasp,,,,,,,,,,,,0.29614506703239807,0.13723196379247415,1.0748498799072481,-0.0876578526548023,0.48982751284542014,0.8673868912010052,0.005008942031439976,0.0,0.0,-0.07333333333333347,0.42352941176470593,DIRECT,,,,,,,,,11930.0,0.0,5.0,0.11912270946216377,,0,"[-1.60827, -1.7756, -0.77408, -1.62728, -1.16876, -0.66358, -0.29046]","[-1.06323, 1.74082, 0.96064, 2.14762, -0.56811, -0.73624, 2.14542]",-0.3199999564932218,0.12499994364035288,1.2800000357357875,0.13349929014300324,0.5422969858668415,0.8287953197187359,0.03449980671498359,0.0,0.0,0.0,0.0,0.11912270946216377,0.14080122913980375,sim,10067.0,0.0,2.0,"[0.0, 0.0, -0.07333333333333347]","[0.0, 0.0, 0.0]",,,,,,
0.8628,grasp,,,,,,,,,,,,0.29614506703239807,0.13723196379247415,1.0748498799072481,-0.0876578526548023,0.48982751284542014,0.8673868912010052,0.005008942031439976,0.0,0.0,-0.046666666666666634,0.42352941176470593,DIRECT,,,,,,,,,11935.0,0.0,5.0,0.11929482992969505,,0,"[-1.61076, -1.76787, -0.76241, -1.61728, -1.15889, -0.67978, -0.30834]","[-1.06323, 1.74082, 0.96063, 2.14762, -0.56811, -0.73625, 2.14543]",-0.3199999564932218,0.12499994364035288,1.2800000357357875,0.13349929014300324,0.5422969858668415,0.8287953197187359,0.03449980671498359,0.0,0.0,0.0,0.0,0.11929482992969505,0.1408012291399396,sim,10070.0,0.0,2.0,"[0.0, 0.0, -0.046666666666666634]","[0.0, 0.0, 0.0]",,,,,,
0.9192,grasp,,,,,,,,,,,,0.2968152205676982,0.135930532134453,1.0722899573514437,-0.08903951969096913,0.48710404380465727,0.8687851994662517,0.0037271478019487193,0.0,0.0,-0.020000000000000018,0.42352941176470593,DIRECT,,,,,,,,,11939.0,0.0,5.0,0.11965863217108862,,0,"[-1.61304, -1.76628, -0.76617, -1.63623, -1.17607, -0.66852, -0.28709]","[-1.06322, 1.74081, 0.96063, 2.14762, -0.56812, -0.73625, 2.14544]",-0.31999995649551166,0.12499994364009476,1.2800000357359262,0.1334992901398782,0.5422969858648594,0.8287953197206082,0.03449980671325497,0.0,0.0,0.0,0.0,0.11965863217108862,0.14080122914218887,sim,10073.0,0.0,2.0,"[0.0, 0.0, -0.020000000000000018]","[0.0, 0.0, 0.0]",,,,,,
0.9793,grasp,,,,,,,,,,,,0.2969359116325651,0.1357924934951938,1.0819172860648376,-0.08918121981846053,0.4867501139573974,0.8689696486382057,0.0035757991757760354,0.0,0.0,-0.020000000000000018,0.42352941176470593,DIRECT,,,,,,,,,11944.0,0.0,5.0,0.11974664984891516,,0,"[-1.61306, -1.77214, -0.77879, -1.65789, -1.199, -0.64714, -0.25474]","[-1.06322, 1.7408, 0.96062, 2.14762, -0.56813, -0.73626, 2.14546]",-0.31999995649518576,0.12499994364000794,1.2800000357359258,0.13349929014029036,0.542296985865436,0.8287953197201846,0.034499806712771364,0.0,0.0,0.0,0.0,0.11974664984891516,0.14080122914185558,sim,10076.0,0.0,2.0,"[0.0, 0.0, -0.020000000000000018]","[0.0, 0.0, 0.0]",,,,,,
