t,phase,master_x,master_y,master_z,master_qx,master_qy,master_qz,master_qw,pointing_x,pointing_y,pointing_z,clutch,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,cmd_x,cmd_y,cmd_z,gripper_rad,autonomy_state,intent_top,intent_top_p,intent_margin,intent_ambiguous,intent_dist,intent_ids,grasp_offered,channels_live,ik_success,ik_fail,ik_rejected,clearance_m,payload_kg,estop,joints_left,joints_right,ee_r_x,ee_r_y,ee_r_z,ee_r_qx,ee_r_qy,ee_r_qz,ee_r_qw,cmd_r_x,cmd_r_y,cmd_r_z,gripper_rad_right,clearance_left_m,clearance_right_m,clearance_source,ik_success_right,ik_fail_right,ik_rejected_right,vr_ctrl_left,vr_ctrl_right,autonomy_cmd,autonomy_blend,voice_utterance,voice_parse,master_joints,objects
0.0012,reach,,,,,,,,,,,,0.6670999878279062,-0.0445993294619933,1.1627987341341401,-0.08960372012150682,0.4860199043981793,0.8693362898032705,0.0032001719102847247,0.6671,-0.0446,1.1628,0.0,ASSIST,,,,,,,,,13466.0,0.0,5.0,0.4870999911267689,,0,"[-1.11642, -0.79055, -1.11944, -2.10384, -1.17311, -0.85261, -0.97361]","[-1.75604, 1.28537, 1.60434, 2.11299, -0.53625, 0.18285, 2.609]",-0.6328999965754141,0.00539999733277724,1.1627999973748873,0.13349925097374446,0.5422969564839584,0.8287953451203331,0.0344998099205333,-0.6329,0.0054,1.1628,0.0,0.4870999911267689,0.4528999965692478,sim,11232.0,0.0,2.0,,,"[0.6671, -0.0446, 1.1628]",,hey doc oc grab the blue cube,,,
0.0547,reach,,,,,,,,,,,,0.6670999878279062,-0.0445993294619933,1.1627987341341401,-0.08960372012150682,0.4860199043981793,0.8693362898032705,0.0032001719102847247,0.6671,-0.0446,1.1378,0.0,ASSIST,,,,,,,,,13467.0,0.0,5.0,0.48709998782790626,,0,"[-1.11625, -0.79084, -1.11986, -2.10384, -1.17288, -0.85222, -0.9738]","[-1.75601, 1.28573, 1.60466, 2.11299, -0.53857, 0.18308, 2.61123]",-0.6328999965754141,0.00539999733277724,1.1627999973748873,0.13349925097374446,0.5422969564839584,0.8287953451203331,0.0344998099205333,-0.6329,0.0054,1.1378,0.0,0.48709998782790626,0.4528999965754141,sim,11233.0,0.0,2.0,,,"[0.6671, -0.0446, 1.1378]",,hey doc oc grab the blue cube,,,
0.1089,reach,,,,,,,,,,,,0.6672805251296543,-0.044508268192043676,1.1582386912459464,-0.08941988332529444,0.48600352879576625,0.8693636198293974,0.003398673458964827,0.6671,-0.0446,1.1128,0.0,ASSIST,,,,,,,,,13468.0,0.0,5.0,0.48709998782790626,,0,"[-1.11838, -0.80255, -1.10491, -2.08219, -1.14886, -0.86492, -0.98772]","[-1.75979, 1.29927, 1.60757, 2.10098, -0.54356, 0.20123, 2.60539]",-0.6329515062566408,0.005450044592716974,1.1609634732405407,0.1335118663965954,0.5422898347594678,0.82879915537873,0.03447138946069171,-0.6329,0.0054,1.1128,0.0,0.48709998782790626,0.4528999965754141,sim,11234.0,0.0,2.0,,,"[0.6671, -0.0446, 1.1128]",,hey doc oc grab the blue cube,,,
0.1657,reach,,,,,,,,,,,,0.667698504127386,-0.04429558778677062,1.1425943552704452,-0.088995103937292,0.4859700058244976,0.8694239829798385,0.0038681692830161594,0.6671,-0.0446,1.0878,0.0,ASSIST,,,,,,,,,13469.0,0.0,5.0,0.4872805251296543,,0,"[-1.12145, -0.81623, -1.08697, -2.05558, -1.12156, -0.88096, -1.00379]","[-1.76527, 1.32004, 1.6121, 2.08095, -0.54837, 0.2302, 2.59321]",-0.6333910064915549,0.0058115146188334466,1.14840243777084,0.13362498091151845,0.5422704401565422,0.8288037049523713,0.03422795445317788,-0.6329,0.0054,1.0878,0.0,0.4872805251296543,0.45295150625664077,sim,11235.0,0.0,2.0,,,"[0.6671, -0.0446, 1.0878]",,hey doc oc grab the blue cube,,,
0.219,reach,,,,,,,,,,,,0.667698504127386,-0.04429558778677062,1.1425943552704452,-0.088995103937292,0.4859700058244976,0.8694239829798385,0.0038681692830161594,0.6671,-0.0446,1.0628,0.0,ASSIST,,,,,,,,,13470.0,0.0,5.0,0.48769850412738597,,0,"[-1.126, -0.83307, -1.06569, -2.02126, -1.09044, -0.90166, -1.02279]","[-1.77091, 1.34323, 1.61747, 2.0571, -0.55307, 0.26352, 2.57866]",-0.6333910064915549,0.0058115146188334466,1.14840243777084,0.13362498091151845,0.5422704401565422,0.8288037049523713,0.03422795445317788,-0.6329,0.0054,1.0628,0.0,0.48769850412738597,0.4533910064915549,sim,11236.0,0.0,2.0,,,"[0.6671, -0.0446, 1.0628]",,hey doc oc grab the blue cube,,,
0.275,reach,,,,,,,,,,,,0.6684419633649864,-0.0439125571080764,1.1266862847352557,-0.08823672474001881,0.4859170173575149,0.86952668896624,0.004719091537421424,0.6671,-0.0446,1.0628,0.0,ASSIST,,,,,,,,,13471.0,0.0,5.0,0.48769850412738597,,0,"[-1.13025, -0.84674, -1.04924, -1.99231, -1.06722, -0.91902, -1.03758]","[-1.77485, 1.36232, 1.62226, 2.03522, -0.55606, 0.29239, 2.5653]",-0.6339192587797058,0.006248007178975945,1.1363647898369187,0.13379583979105159,0.5423073000066512,0.8287648667515181,0.03391550165399099,-0.6329,0.0054,1.0628,0.0,0.48769850412738597,0.4539192587797058,sim,11237.0,0.0,2.0,,,"[0.6671, -0.0446, 1.0628]",,hey doc oc grab the blue cube,,,
0.329,reach,,,,,,,,,,,,0.669408203845002,-0.04341513910641703,1.1112706626266131,-0.0872517887706338,0.4858540331864103,0.8696544451064133,0.005842080064481587,0.6671,-0.0446,1.0628,0.0,ASSIST,,,,,,,,,13472.0,0.0,5.0,0.4884419633649864,,0,"[-1.13558, -0.86312, -1.02934, -1.95712, -1.0398, -0.94026, -1.05516]","[-1.77942, 1.38579, 1.62826, 2.00716, -0.55917, 0.32863, 2.548]",-0.6347671480967245,0.006954471860864897,1.1236460947098037,0.13412555172395618,0.542457335853254,0.8286345035440239,0.033395129735986635,-0.6329,0.0054,1.0628,0.0,0.4884419633649864,0.4539192587797058,sim,11238.0,0.0,2.0,,,"[0.6671, -0.0446, 1.0628]",,hey doc oc grab the blue cube,,,
0.3807,reach,,,,,,,,,,,,0.669542339928423,-0.043340816527057235,1.0963671808701254,-0.08711059852368323,0.485865483116011,0.8696608819040917,0.006035430977839578,0.6671,-0.0446,1.0628,0.0,ASSIST,,,,,,,,,13473.0,0.0,5.0,0.489408203845002,,0,"[-1.13995, -0.87544, -1.01344, -1.93, -1.01907, -0.95705, -1.0684]","[-1.78297, 1.40387, 1.63281, 1.98546, -0.56136, 0.3566, 2.53443]",-0.6352413217509885,0.007334884423705834,1.11063570448237,0.13433204843584273,0.5425935466996499,0.8285224435711982,0.033131621477614115,-0.6329,0.0054,1.0628,0.0,0.489408203845002,0.4547671480967245,sim,11239.0,0.0,2.0,,,"[0.6671, -0.0446, 1.0628]",,hey doc oc grab the blue cube,,,
0.4389,reach,,,,,,,,,,,,0.669542339928423,-0.043340816527057235,1.0963671808701254,-0.08711059852368323,0.485865483116011,0.8696608819040917,0.006035430977839578,0.6671,-0.0446,1.0628,0.0,ASSIST,,,,,,,,,13474.0,0.0,5.0,0.48954233992842305,,0,"[-1.1445, -0.8875, -0.99711, -1.90291, -0.9987, -0.97414, -1.08136]","[-1.78666, 1.42254, 1.63743, 1.96294, -0.56339, 0.38556, 2.52013]",-0.6352413217509885,0.007334884423705834,1.11063570448237,0.13433204843584273,0.5425935466996499,0.8285224435711982,0.033131621477614115,-0.6329,0.0054,1.0628,0.0,0.48954233992842305,0.45524132175098847,sim,11240.0,0.0,2.0,,,"[0.6671, -0.0446, 1.0628]",,hey doc oc grab the blue cube,,,
0.4984,grasp,,,,,,,,,,,,0.6689389386478408,-0.04364330783153286,1.0818081529961658,-0.08771854382446716,0.48592268465366595,0.8695721785630137,0.005369159847048284,0.6671,-0.0446,1.0628,0.42352941176470593,ASSIST,,,,,,,,,13475.0,0.0,5.0,0.4889389386478408,,0,"[-1.15038, -0.901, -0.97678, -1.8711, -0.97566, -0.99506, -1.09591]","[-1.79102, 1.44451, 1.6428, 1.93634, -0.56555, 0.41972, 2.50303]",-0.6352400699806244,0.007315897227390178,1.0975417462201136,0.1343636339240987,0.5426635657220993,0.8284700974772436,0.03316573386092864,-0.6329,0.0054,1.0628,0.0,0.4889389386478408,0.45524006998062444,sim,11241.0,0.0,2.0,,,"[0.6671, -0.0446, 1.0628]",,hey doc oc grab the blue cube,,,
