t,phase,master_x,master_y,master_z,master_qx,master_qy,master_qz,master_qw,pointing_x,pointing_y,pointing_z,clutch,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,cmd_x,cmd_y,cmd_z,gripper_rad,autonomy_state,intent_top,intent_top_p,intent_margin,intent_ambiguous,intent_dist,intent_ids,grasp_offered,channels_live,ik_success,ik_fail,ik_rejected,clearance_m,payload_kg,estop,joints_left,joints_right,ee_r_x,ee_r_y,ee_r_z,ee_r_qx,ee_r_qy,ee_r_qz,ee_r_qw,cmd_r_x,cmd_r_y,cmd_r_z,gripper_rad_right,clearance_left_m,clearance_right_m,clearance_source,ik_success_right,ik_fail_right,ik_rejected_right,vr_ctrl_left,vr_ctrl_right,autonomy_cmd,autonomy_blend,voice_utterance,voice_parse,master_joints,objects
0.0007,reach,,,,,,,,,,,,0.2500000169836074,0.34999998092554746,1.3200000022553895,-0.08960371461724091,0.48602019928480955,0.8693361256484923,0.0032001338120237646,0.25,0.35,1.32,0.0,DIRECT,,,,,,,,,15161.0,0.0,5.0,0.13710039371635405,,0,"[-2.33402, -1.86251, -1.0227, -1.24055, -1.81973, -0.53353, 0.06769]","[-0.63546, 1.91652, 1.1924, 1.31636, -0.75059, -0.36254, 2.42818]",-0.24999995521229368,0.34999997291991897,1.319999941439049,0.1334993123889053,0.5422970059876242,0.8287953011410882,0.03449985065186499,-0.25,0.35,1.32,0.0,0.13710039371635405,0.14528952393232858,sim,12457.0,0.0,2.0,,,,,,,,
0.0572,reach,,,,,,,,,,,,0.24999613038083418,0.3499990101282951,1.3200038566290706,-0.08960453074290012,0.48601784900708456,0.869337369510101,0.0031963244719033627,0.25,0.35,1.32,0.0,DIRECT,,,,,,,,,15162.0,0.0,5.0,0.13710106489242269,,0,"[-2.33206, -1.86591, -1.02892, -1.24063, -1.81641, -0.52858, 0.07065]","[-0.63555, 1.91675, 1.19277, 1.31636, -0.75027, -0.36233, 2.42749]",-0.2499999265772549,0.34999997580174086,1.3199999551533221,0.1334993472224025,0.5422970413196323,0.8287952719698736,0.034499861268542605,-0.25,0.35,1.32,0.0,0.13710106489242269,0.14528925953500677,sim,12458.0,0.0,2.0,,,,,,,,
0.1249,reach,,,,,,,,,,,,0.24999613038083418,0.3499990101282951,1.3200038566290706,-0.08960453074290012,0.48601784900708456,0.869337369510101,0.0031963244719033627,0.25,0.35,1.32,0.0,DIRECT,,,,,,,,,15163.0,0.0,5.0,0.13709911290431104,,0,"[-2.32888, -1.87152, -1.03918, -1.24077, -1.81095, -0.52041, 0.0755]","[-0.63574, 1.91727, 1.1936, 1.31637, -0.74956, -0.36186, 2.42592]",-0.2499999265772549,0.34999997580174086,1.3199999551533221,0.1334993472224025,0.5422970413196323,0.8287952719698736,0.034499861268542605,-0.25,0.35,1.32,0.0,0.13709911290431104,0.14528913917860123,sim,12459.0,0.0,2.0,,,,,,,,
0.1776,reach,,,,,,,,,,,,0.24999998580450714,0.34999997301580005,1.320000034072665,-0.08960372095921439,0.48602017961737876,0.8693361361025712,0.0032001033117552116,0.25,0.35,1.32,0.0,DIRECT,,,,,,,,,15164.0,0.0,5.0,0.13710220931516787,,0,"[-2.32691, -1.87506, -1.04561, -1.24085, -1.80752, -0.51527, 0.07853]","[-0.63585, 1.91756, 1.19406, 1.31637, -0.74916, -0.36159, 2.42504]",-0.24999994873863707,0.34999997350912876,1.3199999445843607,0.13349932010129628,0.542297013738995,0.8287952947229286,0.03449985315032155,-0.25,0.35,1.32,0.0,0.13710220931516787,0.14528887972309662,sim,12460.0,0.0,2.0,,,,,,,,
0.2372,reach,,,,,,,,,,,,0.25000001702402924,0.34999998074731914,1.320000002091077,-0.08960371460897305,0.4860201991451739,0.8693361257264861,0.003200134063173614,0.25,0.35,1.32,0.0,DIRECT,,,,,,,,,15165.0,0.0,5.0,0.13710220931516787,,0,"[-2.32446, -1.87953, -1.0537, -1.24096, -1.80321, -0.50881, 0.08233]","[-0.63604, 1.91807, 1.19489, 1.31638, -0.74846, -0.36112, 2.42349]",-0.24999993521615368,0.34999997487248674,1.3199999510748748,0.13349933657441196,0.542297030442742,0.8287952809290973,0.03449985821469675,-0.25,0.35,1.32,0.0,0.13710220931516787,0.14528887972309662,sim,12461.0,0.0,2.0,,,,,,,,
0.2887,reach,,,,,,,,,,,,0.24999906198954552,0.3499997419663135,1.3200010472801007,-0.0896038948070838,0.486019551805683,0.8693364725378897,0.0031991894884603584,0.25,0.35,1.348,0.0,DIRECT,,,,,,,,,15166.0,0.0,5.0,0.1371027529928194,,0,"[-2.32239, -1.88338, -1.06064, -1.24105, -1.79951, -0.50326, 0.08558]","[-0.63618, 1.91846, 1.19551, 1.31639, -0.74792, -0.36076, 2.4223]",-0.24999993941873824,0.349999974418618,1.3199999490875012,0.1334993313757385,0.5422970251468164,0.8287952852943853,0.03449985670901589,-0.25,0.35,1.348,0.0,0.1371027529928194,0.14528865245431255,sim,12462.0,0.0,2.0,,,,,,,,
0.3478,reach,,,,,,,,,,,,0.2500720151275149,0.3501086930453176,1.3243896557787478,-0.08942230746553606,0.4860604187604918,0.8693318274693657,0.003330764279821564,0.25,0.35,1.3760000000000001,0.0,DIRECT,,,,,,,,,15167.0,0.0,5.0,0.13710276762397483,,0,"[-2.32779, -1.88414, -1.06677, -1.24428, -1.81631, -0.50093, 0.10443]","[-0.628, 1.9134, 1.19153, 1.31855, -0.73564, -0.36935, 2.41878]",-0.25004300829393,0.3500827605195243,1.3242116606561016,0.13338762109841762,0.5421905681042279,0.828882073319276,0.03452012350003919,-0.25,0.35,1.3760000000000001,0.0,0.13710276762397483,0.1452884439473014,sim,12463.0,0.0,2.0,,,,,,,,
0.4075,reach,,,,,,,,,,,,0.2500720151275149,0.3501086930453176,1.3243896557787478,-0.08942230746553606,0.4860604187604918,0.8693318274693657,0.003330764279821564,0.25,0.35,1.4040000000000001,0.0,DIRECT,,,,,,,,,15168.0,0.0,5.0,0.13717192174463733,,0,"[-2.34073, -1.88212, -1.07273, -1.24987, -1.85204, -0.50187, 0.13768]","[-0.60274, 1.8981, 1.17981, 1.32426, -0.70008, -0.39484, 2.40995]",-0.25004300829393,0.3500827605195243,1.3242116606561016,0.13338762109841762,0.5421905681042279,0.828882073319276,0.03452012350003919,-0.25,0.35,1.4040000000000001,0.0,0.13717192174463733,0.1453624361307477,sim,12464.0,0.0,2.0,,,,,,,,
0.4691,reach,,,,,,,,,,,,0.25030276658694395,0.3504277729427195,1.3344879602789397,-0.08888372497783996,0.4860823274041735,0.8693734452764664,0.003669750336519022,0.25,0.35,1.4320000000000002,0.0,DIRECT,,,,,,,,,15169.0,0.0,5.0,0.13740391122371373,,0,"[-2.35694, -1.87856, -1.07777, -1.25511, -1.89257, -0.50526, 0.17286]","[-0.57304, 1.88186, 1.16931, 1.32876, -0.66089, -0.4217, 2.39984]",-0.25017554406098896,0.35038848106906745,1.339011827028489,0.13304095140292266,0.5418785912222785,0.8291386212854704,0.034595437814732566,-0.25,0.35,1.4320000000000002,0.0,0.13740391122371373,0.14562247648636026,sim,12465.0,0.0,2.0,,,,,,,,
0.527,reach,,,,,,,,,,,,0.2506283726695342,0.3508666826106101,1.3449702683853948,-0.08816424248782008,0.4859804235350647,0.8695019814679359,0.004049507446756956,0.25,0.35,1.46,0.0,DIRECT,,,,,,,,,15170.0,0.0,5.0,0.13740391122371373,,0,"[-2.37001, -1.87501, -1.08029, -1.25802, -1.92191, -0.50923, 0.19637]","[-0.55001, 1.87033, 1.1631, 1.3306, -0.63214, -0.44045, 2.39224]",-0.2503276824832843,0.3508451930907078,1.3542222232623882,0.13265188012908094,0.5415533621531206,0.8294092360978196,0.03469515404926776,-0.25,0.35,1.46,0.0,0.13740391122371373,0.1459888980720865,sim,12466.0,0.0,2.0,,,,,,,,
