t,phase,master_x,master_y,master_z,master_qx,master_qy,master_qz,master_qw,pointing_x,pointing_y,pointing_z,clutch,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,cmd_x,cmd_y,cmd_z,gripper_rad,autonomy_state,intent_top,intent_top_p,intent_margin,intent_ambiguous,intent_dist,intent_ids,grasp_offered,channels_live,ik_success,ik_fail,ik_rejected,clearance_m,payload_kg,estop,joints_left,joints_right,ee_r_x,ee_r_y,ee_r_z,ee_r_qx,ee_r_qy,ee_r_qz,ee_r_qw,cmd_r_x,cmd_r_y,cmd_r_z,gripper_rad_right,clearance_left_m,clearance_right_m,clearance_source,ik_success_right,ik_fail_right,ik_rejected_right,vr_ctrl_left,vr_ctrl_right,autonomy_cmd,autonomy_blend,voice_utterance,voice_parse,master_joints,objects
0.0007,reach,,,,,,,,,,,,0.35709999832927997,0.0953999903244811,1.0653000050828534,-0.08960371747054642,0.4860201920677922,0.8693361294074052,0.0032001288717820623,0.3571,0.0954,1.0653,0.0,ASSIST,,,,,,,,,15363.0,0.0,5.0,0.17709999833044593,,0,"[-1.26481, -2.09294, -1.33256, -1.76344, -2.58116, 0.38207, 1.36315]","[-1.51852, 1.39544, 1.28491, 2.11707, -0.74009, -0.12548, 2.60657]",-0.522899989539747,0.07539999768459044,1.167800001909794,0.13349925668794793,0.5422969543709849,0.8287953455442494,0.034499810838720314,-0.5229,0.0754,1.1678000000000002,0.0,0.17709999833044593,0.34289998953997886,sim,12659.0,0.0,2.0,,,"[0.3571, 0.0954, 1.0653]",,,,,
0.0546,reach,,,,,,,,,,,,0.35709999832927997,0.0953999903244811,1.0653000050828534,-0.08960371747054642,0.4860201920677922,0.8693361294074052,0.0032001288717820623,0.3571,0.0954,1.0653,0.0,ASSIST,,,,,,,,,15364.0,0.0,5.0,0.17709999832927997,,0,"[-1.26484, -2.09279, -1.3324, -1.76344, -2.58174, 0.38196, 1.36365]","[-1.51852, 1.39543, 1.28491, 2.11707, -0.74013, -0.12548, 2.60661]",-0.522899989539747,0.07539999768459044,1.167800001909794,0.13349925668794793,0.5422969543709849,0.8287953455442494,0.034499810838720314,-0.5229,0.0754,1.1428000000000003,0.0,0.17709999832927997,0.34289998953974704,sim,12660.0,0.0,2.0,,,"[0.3571, 0.0954, 1.0653]",,,,,
0.1075,reach,,,,,,,,,,,,0.3571000004389798,0.09539998970189173,1.0653000107418407,-0.08960371166177367,0.4860201798846654,0.8693361368001765,0.003200133537226392,0.3571,0.0954,1.0653,0.0,ASSIST,,,,,,,,,15365.0,0.0,5.0,0.17710000043897983,,0,"[-1.26489, -2.09258, -1.33218, -1.76343, -2.5825, 0.38182, 1.36429]","[-1.52611, 1.40765, 1.29253, 2.10818, -0.74642, -0.10745, 2.60422]",-0.522899989539293,0.07539999768927774,1.1678000019022743,0.13349925669021787,0.5422969543937405,0.8287953455291684,0.034499810834539776,-0.5229,0.0754,1.1178000000000001,0.0,0.17710000043897983,0.34289998953929296,sim,12661.0,0.0,2.0,,,"[0.3571, 0.0954, 1.0653]",,,,,
0.1651,reach,,,,,,,,,,,,0.3570999998345997,0.09539998986924608,1.0653000091233016,-0.08960371332797439,0.4860201833566984,0.869336134692254,0.00320013219894617,0.3571,0.0954,1.0653,0.0,ASSIST,,,,,,,,,15366.0,0.0,5.0,0.17710000043897983,,0,"[-1.26493, -2.09239, -1.33197, -1.76343, -2.5832, 0.38169, 1.36489]","[-1.53753, 1.42717, 1.30503, 2.0937, -0.75585, -0.07852, 2.59994]",-0.5229606666865623,0.0756095674600521,1.1609782429414226,0.1334905947715879,0.5420298579959179,0.8289717551304135,0.03449236646642794,-0.5229,0.0754,1.0928,0.0,0.17710000043897983,0.34289998953929296,sim,12662.0,0.0,2.0,,,"[0.3571, 0.0954, 1.0653]",,,,,
0.2176,reach,,,,,,,,,,,,0.35710000029540007,0.09539998972558922,1.0653000103625934,-0.08960371205796384,0.4860201806804609,0.8693361363156167,0.0032001332161736454,0.3571,0.0954,1.0653,0.0,ASSIST,,,,,,,,,15367.0,0.0,5.0,0.17709999983459973,,0,"[-1.26498, -2.0922, -1.33177, -1.76343, -2.5839, 0.38157, 1.36549]","[-1.54982, 1.45031, 1.32044, 2.07589, -0.76578, -0.0439, 2.5938]",-0.5231596962423184,0.07618107733158808,1.1523007545617496,0.13355206638461645,0.5414110438542767,0.8293722785746993,0.0343445874750694,-0.5229,0.0754,1.0678,0.0,0.17709999983459973,0.3429606666865623,sim,12663.0,0.0,2.0,,,"[0.3571, 0.0954, 1.0653]",,,,,
0.2692,reach,,,,,,,,,,,,0.3570999996052657,0.09539998992051607,1.065300008503232,-0.08960371396784092,0.4860201846725381,0.8693361338925386,0.0032001316872385488,0.3571,0.0954,1.0653,0.0,ASSIST,,,,,,,,,15368.0,0.0,5.0,0.17710000029540007,,0,"[-1.26502, -2.09202, -1.33157, -1.76343, -2.58459, 0.38144, 1.36608]","[-1.55887, 1.46945, 1.3338, 2.0602, -0.77255, -0.01469, 2.58722]",-0.5235551648284718,0.07713201047061968,1.1437794847893157,0.13382628645413108,0.5406707112419677,0.8298286015821119,0.0339145846985912,-0.5229,0.0754,1.0678,0.0,0.17710000029540007,0.3431596962423184,sim,12664.0,0.0,2.0,,,"[0.3571, 0.0954, 1.0653]",,,,,
0.3249,reach,,,,,,,,,,,,0.3570999996052657,0.09539998992051607,1.065300008503232,-0.08960371396784092,0.4860201846725381,0.8693361338925386,0.0032001316872385488,0.3571,0.0954,1.1653,0.0,ASSIST,,,,,,,,,15369.0,0.0,5.0,0.17709999960526573,,0,"[-1.26505, -2.09187, -1.33142, -1.76343, -2.58513, 0.38134, 1.36654]","[-1.5676, 1.48863, 1.34735, 2.044, -0.77849, 0.01486, 2.57971]",-0.5235551648284718,0.07713201047061968,1.1437794847893157,0.13382628645413108,0.5406707112419677,0.8298286015821119,0.0339145846985912,-0.5229,0.0754,1.0678,0.0,0.17709999960526573,0.34355516482847176,sim,12665.0,0.0,2.0,,,"[0.3571, 0.0954, 1.1653]",,,,,
0.3776,reach,,,,,,,,,,,,0.35709999832389117,0.0953999902923316,1.06530000504845,-0.08960371751569565,0.48602019210041986,0.8693361293845845,0.0032001288517010977,0.3571,0.0954,1.1402999999999999,0.0,ASSIST,,,,,,,,,15370.0,0.0,5.0,0.17709999960526573,,0,"[-1.2733, -2.08665, -1.32386, -1.78008, -2.58409, 0.3573, 1.36219]","[-1.57803, 1.51129, 1.36326, 2.02461, -0.78454, 0.04995, 2.56981]",-0.523996837039898,0.07809959806283517,1.1348825960980145,0.1342066495168083,0.5401441600710415,0.8301303813338413,0.03341274536988758,-0.5229,0.0754,1.0678,0.0,0.17709999960526573,0.34355516482847176,sim,12666.0,0.0,2.0,,,"[0.3571, 0.0954, 1.1402999999999999]",,,,,
0.4327,reach,,,,,,,,,,,,0.35705146892811007,0.09700976064115502,1.0776793527508077,-0.09081590438964189,0.48523894592102584,0.8696462354908102,0.0033259536986097564,0.3571,0.0954,1.1153,0.0,ASSIST,,,,,,,,,15371.0,0.0,5.0,0.17709999832389117,,0,"[-1.28184, -2.0809, -1.31491, -1.80006, -2.58232, 0.32805, 1.35669]","[-1.58694, 1.52932, 1.37534, 2.00788, -0.78396, 0.07881, 2.55618]",-0.52427476710177,0.07874398659900378,1.125525742464543,0.1346177589762794,0.5401422559509245,0.8300761253033867,0.03313651318058052,-0.5229,0.0754,1.0678,0.0,0.17709999832389117,0.343996837039898,sim,12667.0,0.0,2.0,,,"[0.3571, 0.0954, 1.1153]",,,,,
0.4853,reach,,,,,,,,,,,,0.35705684989015446,0.09745429175061632,1.0888818158974494,-0.09105105151474484,0.4854358295719719,0.8695112049167654,0.0034678393886504147,0.3571,0.0954,1.0903,0.0,ASSIST,,,,,,,,,15372.0,0.0,5.0,0.17705146892811008,,0,"[-1.28906, -2.07545, -1.30562, -1.82093, -2.58029, 0.29858, 1.35096]","[-1.59643, 1.54872, 1.38842, 1.9901, -0.78426, 0.10969, 2.54249]",-0.5243417633918401,0.07905497127595634,1.1149353257346202,0.13510069781163642,0.540712221293502,0.8296252907738804,0.03316582733793943,-0.5229,0.0754,1.0678,0.0,0.17705146892811008,0.34427476710177,sim,12668.0,0.0,2.0,,,"[0.3571, 0.0954, 1.0903]",,,,,
