participant,session,experiment,block,trial_index,condition,scenario,target_id,arm,completion_time_s,grasp_success,positioning_error_m,failed_attempts,path_length_m,straight_line_m,path_ratio,time_to_handover_s,intervention_count,correction_time_s,fitts_distance_m,fitts_width_m,fitts_id_bits,fitts_movement_time_s,assist_entered,assist_cancelled,assist_duration_s,intent_correct_at_handover,intent_switches,coupling,sep_err_rms_mm,sep_err_max_mm,height_diff_rms_mm,height_diff_max_mm,tilt_rms_deg,tilt_max_deg,path_efficiency,time_above_threshold_s,min_sag_mm,rms_error_mm_left,max_error_mm_left,phase_lag_s_left,frac_on_target_left,rms_error_mm_right,speed_left,speed_right,unimanual,blocks_placed,blocks_missed,blocks_dropped,blocks_attempted,picks,success_rate,carrying_at_end,hold_disturbance_max_mm,hold_disturbance_rms_mm,hold_disturbed,time_to_first_place_s,mean_cycle_time_s,scene_faults,duration_s,samples,kind,dyad_id,role_order,wearer_id,operator_id,mounting,prior_acquaintance,wearer_stance,coordination_latency_s,anticipation_s,initiator,comm_events,comm_requests,comm_warnings,wearer_motion_rms_mm,wearer_motion_hz,sway_amplitude_mm,metronome_bpm,awareness_accuracy,awareness_confidence,wearer_borg,operator_borg,wearer_stop_events,flinch_events,valid,invalid_reason,dropout_fraction,estop_events,nasa_tlx_mental,nasa_tlx_physical,nasa_tlx_temporal,nasa_tlx_performance,nasa_tlx_effort,nasa_tlx_frustration,nasa_tlx_raw,trust_scale,fatigue_borg,wall_clock
PILOT,20260811_225742,msc_m0,0,0,01_master_teleop,D3_three_targets,M0,both,2.9,1,,,0.6973,0.6592,0.9453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,58,single-arm pointing,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2026-08-11T22:57:49
PILOT,20260811_225742,msc_m0,0,1,06_full_autonomy,D3_three_targets,M0,both,2.9,1,,,0.6945,0.6671,0.9605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,58,single-arm pointing,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2026-08-11T22:58:03
PILOT,20260811_225742,msc_m0,0,2,03_shared_autonomy,D3_three_targets,M0,both,2.9,1,,,0.6946,0.6671,0.9604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,58,single-arm pointing,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2026-08-11T22:58:18
PILOT,20260811_225742,msc_m0,0,3,02_vr_teleop,D3_three_targets,M0,both,2.9,1,,,0.6875,0.6671,0.9704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,58,single-arm pointing,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2026-08-11T22:58:51
PILOT,20260811_225742,msc_m0,0,4,04_vr_shared,D3_three_targets,M0,both,2.9,1,,,0.5869,0.327,0.5572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,58,single-arm pointing,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2026-08-11T22:59:03
PILOT,20260811_225742,msc_m1,0,5,01_master_teleop,S1_left_arm,M1,both,7.0,1,,,1.2678,0.1882,0.1485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,140,single-arm pick and place,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2026-08-11T22:59:26
PILOT,20260811_225742,msc_m1,0,6,06_full_autonomy,S1_left_arm,M1,both,7.0,1,,,1.233,0.1882,0.1526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,140,single-arm pick and place,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2026-08-11T22:59:45
PILOT,20260811_225742,msc_m1,0,7,03_shared_autonomy,S1_left_arm,M1,both,7.0,1,,,1.249,0.1882,0.1507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,140,single-arm pick and place,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2026-08-11T23:00:05
PILOT,20260811_225742,msc_m1,0,8,02_vr_teleop,S1_left_arm,M1,both,7.0,1,,,1.2684,0.1882,0.1484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,140,single-arm pick and place,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2026-08-11T23:00:42
PILOT,20260811_225742,msc_m1,0,9,04_vr_shared,S1_left_arm,M1,both,7.0,1,,,1.3617,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,140,single-arm pick and place,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2026-08-11T23:01:00
