t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786017693.5219,A_left_j1,A,left,0,,,0,176.2000,344.2000,167.2000,353.7000,0.0000,0.0000,354.8000,337.2000,23.6000,0.0000,154.4000,0.0000,10.3000,0.0000,-0.87400,0.02400,0.37500,2.64000,1.79000,1.66000,-0.91200,0.06400,0.30500,-0.99000,0.25000,-0.80000,13.1,1.3,0.0,2.0,0.719011,0.257602,1.317829,-0.672256,0.289421,1.195476,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.718624,0.257473,1.317638,-0.672256,0.289419,1.195474,-1.929375,-1.181639,-1.504111,-1.463845,-2.999071,0.151412,0.794829,-1.048589,1.402956,1.593677,1.311824,-0.836513,0.373802,2.808045,1,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,451,406,4,3,451,406,0,0,0,0,0.55658,0.49208,0
1786017693.5443,A_left_j1,A,left,0,,,1,176.2000,344.2000,167.2000,353.7000,0.0000,0.0000,354.8000,337.2000,23.6000,0.0000,154.4000,0.0000,10.3000,0.0000,-0.87400,0.02400,0.37500,2.64000,1.79000,1.66000,-0.91200,0.06400,0.30500,-0.99000,0.25000,-0.80000,13.4,1.8,0.0,0.0,0.719011,0.257602,1.317829,-0.672256,0.289421,1.195476,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.718624,0.257473,1.317638,-0.672256,0.289419,1.195474,-1.929481,-1.181523,-1.504100,-1.463530,-2.999121,0.151644,0.794759,-1.048589,1.402956,1.593677,1.311824,-0.836513,0.373802,2.808045,1,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,119943,406,45,3,119663,406,280,0,0,0,0.55658,0.49208,0
1786017693.5667,A_left_j1,A,left,0,,,2,176.2000,344.2000,167.2000,353.7000,0.0000,0.0000,354.8000,337.2000,23.6000,0.0000,154.4000,0.0000,10.3000,0.0000,-0.87400,0.02400,0.37500,2.64000,1.79000,1.66000,-0.91200,0.06400,0.30500,-0.99000,0.25000,-0.80000,13.0,1.9,0.0,0.0,0.719011,0.257602,1.317829,-0.672256,0.289421,1.195476,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.718624,0.257473,1.317638,-0.672256,0.289419,1.195474,-1.929560,-1.181424,-1.504097,-1.463273,-2.999164,0.151835,0.794701,-1.049429,1.408962,1.582507,1.323380,-0.841604,0.357390,2.809427,1,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,451,406,4,3,451,406,0,0,0,0,0.55658,0.49208,0
1786017693.5842,A_left_j1,A,left,0,,,3,176.2000,344.2000,167.2000,353.7000,0.0000,0.0000,354.8000,337.2000,23.6000,0.0000,154.4000,0.0000,10.3000,0.0000,-0.87400,0.02400,0.37500,2.64000,1.79000,1.66000,-0.91200,0.06400,0.30500,-0.99000,0.25000,-0.80000,13.0,1.6,0.0,0.0,0.719011,0.257602,1.317829,-0.672256,0.289421,1.195476,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.718624,0.257473,1.317638,-0.672256,0.289419,1.195474,-1.929560,-1.181424,-1.504097,-1.463273,-2.999164,0.151835,0.794701,-1.049429,1.408962,1.582507,1.323380,-0.841604,0.357390,2.809427,1,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,451,406,4,3,451,406,0,0,0,0,0.55658,0.49208,0
1786017693.6140,A_left_j1,A,left,0,,,4,176.2000,344.2000,167.2000,353.7000,0.0000,0.0000,354.8000,337.2000,23.6000,0.0000,154.4000,0.0000,10.3000,0.0000,-0.87400,0.02400,0.37500,2.64000,1.79000,1.66000,-0.91200,0.06400,0.30500,-0.99000,0.25000,-0.80000,13.5,1.8,0.0,0.0,0.719011,0.257602,1.317829,-0.672256,0.289421,1.195476,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.718624,0.257473,1.317638,-0.672256,0.289419,1.195474,-1.929569,-1.180925,-1.503365,-1.463282,-3.004123,0.151778,0.799138,-1.051189,1.424276,1.560174,1.349610,-0.859037,0.322150,2.816326,1,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,451,406,4,3,451,406,0,0,0,0,0.55658,0.49208,0
1786017693.6250,A_left_j1,A,left,0,,,5,176.2000,344.2000,167.2000,353.7000,0.0000,0.0000,354.8000,337.2000,23.6000,0.0000,154.4000,0.0000,10.3000,0.0000,-0.87400,0.02400,0.37500,2.64000,1.79000,1.66000,-0.91200,0.06400,0.30500,-0.99000,0.25000,-0.80000,13.8,2.0,0.0,0.0,0.719011,0.257602,1.317829,-0.672256,0.289421,1.195476,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.718624,0.257473,1.317638,-0.672256,0.289419,1.195474,-1.929373,-1.181092,-1.503298,-1.463892,-3.004574,0.151311,0.799759,-1.050276,1.427958,1.572648,1.346033,-0.875797,0.333035,2.827435,1,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,451,406,4,3,451,406,0,0,0,0,0.55658,0.49208,0
1786017693.6483,A_left_j1,A,left,0,,,6,176.2000,344.2000,167.2000,353.7000,0.0000,0.0000,354.8000,337.2000,23.6000,0.0000,154.4000,0.0000,10.3000,0.0000,-0.87400,0.02400,0.37500,2.64000,1.79000,1.66000,-0.91200,0.06400,0.30500,-0.99000,0.25000,-0.80000,13.3,1.6,0.0,0.0,0.719011,0.257602,1.317829,-0.672256,0.289421,1.195476,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.718624,0.257473,1.317638,-0.672256,0.289419,1.195474,-1.929250,-1.181197,-1.503256,-1.464274,-3.004857,0.151018,0.800148,-1.050023,1.423285,1.576157,1.340081,-0.868370,0.340092,2.823829,1,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,119943,116909,45,31,119663,116876,280,32,0,1,0.55658,0.49208,0
1786017693.6638,A_left_j1,A,left,0,,,7,176.2000,344.2000,167.2000,353.7000,0.0000,0.0000,354.8000,337.2000,23.6000,0.0000,154.4000,0.0000,10.3000,0.0000,-0.87400,0.02400,0.37500,2.64000,1.79000,1.66000,-0.91200,0.06400,0.30500,-0.99000,0.25000,-0.80000,13.0,1.9,0.0,0.0,0.719011,0.257602,1.317829,-0.672256,0.289421,1.195476,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.718624,0.257473,1.317638,-0.672256,0.289419,1.195474,-1.929240,-1.181321,-1.503428,-1.464296,-3.003696,0.151019,0.799117,-1.049698,1.417279,1.580666,1.332431,-0.858823,0.349162,2.819196,1,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,119943,116909,45,31,119663,116876,280,32,0,1,0.55658,0.49208,0
1786017693.6827,A_left_j1,A,left,0,,,8,176.3000,3442.0000,67.0000,353.7000,0.0000,0.0000,355.0000,337.3000,24.0000,0.0000,154.2000,0.0000,109.3000,0.0000,-0.87000,0.02800,0.37700,2.47000,1.64000,1.61000,-0.91900,0.06600,0.30600,-1.33000,0.02000,-0.80000,13.0,1.9,0.0,0.0,0.718922,0.257600,1.317680,-0.592054,0.288683,1.195418,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.718624,0.257473,1.317638,-0.672256,0.289419,1.195474,-1.929230,-1.181679,-1.503953,-1.464300,-3.000148,0.151067,0.795945,-1.048941,1.410825,1.586071,1.323020,-0.848252,0.359883,2.813711,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,452,406,4,3,452,406,0,0,0,0,0.55627,0.49208,0
1786017693.7040,A_left_j1,A,left,0,,,9,176.3000,3442.0000,67.0000,353.7000,0.0000,0.0000,355.0000,337.3000,24.0000,0.0000,154.2000,0.0000,109.3000,0.0000,-0.87000,0.02800,0.37700,2.47000,1.64000,1.61000,-0.91900,0.06600,0.30600,-1.33000,0.02000,-0.80000,13.0,1.9,0.0,0.0,0.718922,0.257600,1.317680,-0.592054,0.288683,1.195418,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.718624,0.257473,1.317638,-0.672256,0.289419,1.195474,-1.929226,-1.181796,-1.504124,-1.464302,-2.998990,0.151083,0.794909,-1.047036,1.402664,1.593125,1.309050,-0.833492,0.374474,2.805143,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,119944,116910,45,31,119664,116877,280,32,0,1,0.55627,0.49995,0
