t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786017977.1345,A_left_j7,A,left,0,,,0,171.1000,338.1000,232.0000,267.5000,0.0000,0.0000,360.0000,350.4000,40.0000,0.0000,145.5000,0.0000,109.4000,0.0000,0.32900,-0.09200,0.91200,21.15000,0.90000,-14.98000,-0.93700,-0.00600,0.27300,1.27000,19.36000,-12.27000,9.6,1.3,0.0,1.0,0.781343,0.057669,1.365465,-0.497813,0.311627,1.200368,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.781343,0.057665,1.365465,-0.497813,0.311627,1.200368,-1.457867,-0.871153,-1.808636,-1.917072,3.070874,0.079749,0.667862,-0.989921,1.582784,1.346506,1.445142,-0.807555,0.032321,2.652744,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,2804,2356,7,3,2204,2354,600,2,0,0,0.59605,0.36914,0
1786017977.1591,A_left_j7,A,left,0,,,1,171.1000,338.1000,232.0000,267.5000,0.0000,0.0000,360.0000,350.4000,40.0000,0.0000,145.5000,0.0000,109.4000,0.0000,0.32900,-0.09200,0.91200,21.15000,0.90000,-14.98000,-0.93700,-0.00600,0.27300,1.27000,19.36000,-12.27000,9.6,1.3,0.0,1.0,0.781343,0.057669,1.365465,-0.497813,0.311627,1.200368,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.781343,0.057665,1.365465,-0.497813,0.311627,1.200368,-1.457867,-0.871153,-1.808636,-1.917072,3.070874,0.079749,0.667862,-0.989921,1.582784,1.346506,1.445142,-0.807555,0.032321,2.652744,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,122304,118861,48,31,121419,118826,885,34,0,1,0.59605,0.36914,0
1786017977.1768,A_left_j7,A,left,0,,,2,171.1000,338.1000,232.0000,267.5000,0.0000,0.0000,360.0000,350.4000,40.0000,0.0000,145.5000,0.0000,109.4000,0.0000,0.32900,-0.09200,0.91200,21.15000,0.90000,-14.98000,-0.93700,-0.00600,0.27300,1.27000,19.36000,-12.27000,9.6,1.3,0.0,1.0,0.781343,0.057669,1.365465,-0.497813,0.311627,1.200368,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.781343,0.057665,1.365465,-0.497813,0.311627,1.200368,-1.457867,-0.871153,-1.808636,-1.917072,3.070874,0.079749,0.667862,-0.989921,1.582784,1.346506,1.445142,-0.807555,0.032321,2.652744,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,2804,2356,7,3,2204,2354,600,2,0,0,0.59605,0.36914,0
1786017977.2017,A_left_j7,A,left,0,,,3,171.1000,338.1000,232.0000,267.5000,0.0000,0.0000,360.0000,350.4000,40.0000,0.0000,145.5000,0.0000,109.4000,0.0000,0.32900,-0.09200,0.91200,21.15000,0.90000,-14.98000,-0.93700,-0.00600,0.27300,1.27000,19.36000,-12.27000,9.6,1.3,0.0,1.0,0.781343,0.057669,1.365465,-0.497813,0.311627,1.200368,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.781343,0.057665,1.365465,-0.497813,0.311627,1.200368,-1.457867,-0.871153,-1.808636,-1.917072,3.070874,0.079749,0.667862,-0.989921,1.582784,1.346506,1.445142,-0.807555,0.032321,2.652744,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,2804,2356,7,3,2204,2354,600,2,0,0,0.59605,0.36914,0
1786017977.2179,A_left_j7,A,left,0,,,4,171.1000,338.1000,232.0000,267.5000,0.0000,0.0000,360.0000,350.4000,40.0000,0.0000,145.5000,0.0000,109.4000,0.0000,0.32900,-0.09200,0.91200,21.15000,0.90000,-14.98000,-0.93700,-0.00600,0.27300,1.27000,19.36000,-12.27000,9.6,1.3,0.0,1.0,0.781343,0.057669,1.365465,-0.497813,0.311627,1.200368,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.781343,0.057665,1.365465,-0.497813,0.311627,1.200368,-1.457867,-0.871153,-1.808636,-1.917072,3.070874,0.079749,0.667862,-0.989921,1.582784,1.346506,1.445142,-0.807555,0.032321,2.652744,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,2804,118861,7,31,2204,118826,600,34,0,1,0.59605,0.36914,0
1786017977.2377,A_left_j7,A,left,0,,,5,171.1000,338.1000,232.0000,267.5000,0.0000,0.0000,360.0000,350.4000,40.0000,0.0000,145.5000,0.0000,109.4000,0.0000,0.32900,-0.09200,0.91200,21.15000,0.90000,-14.98000,-0.93700,-0.00600,0.27300,1.27000,19.36000,-12.27000,9.6,1.3,0.0,1.0,0.781343,0.057669,1.365465,-0.497813,0.311627,1.200368,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.781343,0.057665,1.365465,-0.497813,0.311627,1.200368,-1.457867,-0.871153,-1.808636,-1.917072,3.070874,0.079749,0.667862,-0.989921,1.582784,1.346506,1.445142,-0.807555,0.032321,2.652744,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,122304,118861,48,31,121419,118826,885,34,0,1,0.59605,0.36914,0
1786017977.2600,A_left_j7,A,left,0,,,6,171.1000,338.1000,232.0000,267.5000,0.0000,0.0000,360.0000,350.4000,40.0000,0.0000,145.5000,0.0000,109.4000,0.0000,0.32900,-0.09200,0.91200,21.15000,0.90000,-14.98000,-0.93700,-0.00600,0.27300,1.27000,19.36000,-12.27000,9.6,1.3,0.0,1.0,0.781343,0.057669,1.365465,-0.497813,0.311627,1.200368,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.781343,0.057665,1.365465,-0.497813,0.311627,1.200368,-1.457867,-0.871153,-1.808636,-1.917072,3.070874,0.079749,0.667862,-0.989921,1.582784,1.346506,1.445142,-0.807555,0.032321,2.652744,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,122304,118861,48,31,121419,118826,885,34,0,1,0.59605,0.36914,0
1786017977.2793,A_left_j7,A,left,0,,,7,171.1000,338.1000,232.0000,267.5000,0.0000,0.0000,360.0000,350.4000,40.0000,0.0000,145.5000,0.0000,109.4000,0.0000,0.32900,-0.09200,0.91200,21.15000,0.90000,-14.98000,-0.93700,-0.00600,0.27300,1.27000,19.36000,-12.27000,10.6,2.2,0.0,1.0,0.781343,0.057669,1.365465,-0.497813,0.311627,1.200368,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.781343,0.057665,1.365465,-0.497813,0.311627,1.200368,-1.457867,-0.871153,-1.808636,-1.917072,3.070874,0.079749,0.667862,-0.989921,1.582784,1.346506,1.445142,-0.807555,0.032321,2.652744,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,122304,2356,48,3,121419,2354,885,2,0,0,0.59605,0.36914,0
1786017977.2967,A_left_j7,A,left,0,,,8,172.3000,339.8000,232.0000,265.6000,0.0000,0.0000,360.0000,350.5000,40.0000,0.0000,145.8000,0.0000,109.4000,0.0000,0.27300,-0.04600,0.92400,5.72000,-4.56000,-6.28000,-0.93800,0.00200,0.27300,-0.04000,3.76000,-1.87000,10.6,2.2,0.0,1.0,0.781343,0.057669,1.365465,-0.578823,0.311336,1.201542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.781343,0.057665,1.365465,-0.497813,0.311627,1.200368,-1.457867,-0.871153,-1.808636,-1.917072,3.070874,0.079749,0.667862,-0.989921,1.582784,1.346506,1.445142,-0.807555,0.032321,2.652744,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,2804,118861,7,31,2204,118826,600,34,0,1,0.59605,0.36914,0
1786017977.3322,A_left_j7,A,left,0,,,9,172.3000,339.8000,232.0000,265.6000,0.0000,0.0000,360.0000,350.5000,40.0000,0.0000,145.8000,0.0000,109.4000,0.0000,0.27300,-0.04600,0.92400,5.72000,-4.56000,-6.28000,-0.93800,0.00200,0.27300,-0.04000,3.76000,-1.87000,10.6,2.2,0.0,1.0,0.781343,0.057669,1.365465,-0.578823,0.311336,1.201542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.781343,0.057666,1.365465,-0.497813,0.311627,1.200368,-1.457872,-0.871160,-1.808640,-1.917070,3.070992,0.079748,0.667747,-0.989921,1.582784,1.346506,1.445142,-0.807555,0.032321,2.652744,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,122305,2356,48,3,121420,2354,885,2,0,0,0.60134,0.36914,0
1786017977.3362,A_left_j7,A,left,0,,,10,172.3000,339.8000,232.0000,265.6000,0.0000,0.0000,360.0000,350.5000,40.0000,0.0000,145.8000,0.0000,109.4000,0.0000,0.27300,-0.04600,0.92400,5.72000,-4.56000,-6.28000,-0.93800,0.00200,0.27300,-0.04000,3.76000,-1.87000,10.6,2.2,0.0,1.0,0.781343,0.057669,1.365465,-0.578823,0.311336,1.201542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.781343,0.057666,1.365465,-0.497813,0.311627,1.200368,-1.457872,-0.871160,-1.808640,-1.917070,3.070992,0.079748,0.667747,-0.989921,1.582784,1.346506,1.445142,-0.807555,0.032321,2.652744,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,122305,118862,48,31,121420,118827,885,34,0,1,0.60134,0.36463,0
1786017977.3601,A_left_j7,A,left,0,,,11,172.3000,339.8000,232.0000,265.6000,0.0000,0.0000,360.0000,350.5000,40.0000,0.0000,145.8000,0.0000,109.4000,0.0000,0.27300,-0.04600,0.92400,5.72000,-4.56000,-6.28000,-0.93800,0.00200,0.27300,-0.04000,3.76000,-1.87000,10.6,2.2,0.0,1.0,0.781343,0.057669,1.365465,-0.578823,0.311336,1.201542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.781343,0.057666,1.365465,-0.497813,0.311627,1.200368,-1.457883,-0.871175,-1.808649,-1.917067,3.071249,0.079746,0.667497,-0.991255,1.569919,1.357336,1.436741,-0.801452,0.049728,2.657228,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,2805,2357,7,3,2205,2355,600,2,0,0,0.60134,0.36463,0
1786017977.3828,A_left_j7,A,left,0,,,12,172.3000,339.8000,232.0000,265.6000,0.0000,0.0000,360.0000,350.5000,40.0000,0.0000,145.8000,0.0000,109.4000,0.0000,0.27300,-0.04600,0.92400,5.72000,-4.56000,-6.28000,-0.93800,0.00200,0.27300,-0.04000,3.76000,-1.87000,10.6,2.2,0.0,1.0,0.781343,0.057669,1.365465,-0.578823,0.311336,1.201542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.781343,0.057666,1.365465,-0.497813,0.311627,1.200368,-1.457892,-0.871187,-1.808656,-1.917064,3.071464,0.079743,0.667288,-0.992575,1.557180,1.368060,1.428423,-0.795410,0.066963,2.661668,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,2805,2357,7,3,2205,2355,600,2,0,0,0.60134,0.36463,0
1786017977.3967,A_left_j7,A,left,0,,,13,172.3000,339.8000,232.0000,265.6000,0.0000,0.0000,360.0000,350.5000,40.0000,0.0000,145.8000,0.0000,109.4000,0.0000,0.27300,-0.04600,0.92400,5.72000,-4.56000,-6.28000,-0.93800,0.00200,0.27300,-0.04000,3.76000,-1.87000,10.6,2.2,0.0,1.0,0.781343,0.057669,1.365465,-0.578823,0.311336,1.201542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.781343,0.057669,1.365465,-0.521119,0.312653,1.199732,-1.457892,-0.871187,-1.808656,-1.917064,3.071464,0.079743,0.667288,-0.993458,1.548662,1.375230,1.422861,-0.791369,0.078488,2.664637,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,2805,118862,7,31,2205,118827,600,34,0,1,0.60134,0.36463,0
1786017977.4182,A_left_j7,A,left,0,,,14,172.3000,339.8000,232.0000,265.6000,0.0000,0.0000,360.0000,350.5000,40.0000,0.0000,145.8000,0.0000,109.4000,0.0000,0.27300,-0.04600,0.92400,5.72000,-4.56000,-6.28000,-0.93800,0.00200,0.27300,-0.04000,3.76000,-1.87000,10.6,2.2,0.0,1.0,0.781343,0.057669,1.365465,-0.578823,0.311336,1.201542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.781343,0.057669,1.365465,-0.521119,0.312653,1.199732,-1.457892,-0.871187,-1.808656,-1.917064,3.071464,0.079743,0.667288,-0.994330,1.540242,1.382319,1.417363,-0.787375,0.089881,2.667572,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,122305,118862,48,31,121420,118827,885,34,0,1,0.60134,0.36463,0
1786017977.4358,A_left_j7,A,left,0,,,15,172.3000,339.8000,232.0000,265.6000,0.0000,0.0000,360.0000,350.5000,40.0000,0.0000,145.8000,0.0000,109.4000,0.0000,0.27300,-0.04600,0.92400,5.72000,-4.56000,-6.28000,-0.93800,0.00200,0.27300,-0.04000,3.76000,-1.87000,10.6,2.2,0.0,1.0,0.781343,0.057669,1.365465,-0.578823,0.311336,1.201542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.781343,0.057669,1.365465,-0.521119,0.312653,1.199732,-1.457892,-0.871187,-1.808656,-1.917064,3.071464,0.079743,0.667288,-0.995213,1.531723,1.389490,1.411801,-0.783334,0.101407,2.670541,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,2805,118862,7,31,2205,118827,600,34,0,1,0.60134,0.36463,0
