t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786018113.1137,A_right_j4,A,right,0,,,0,53.2000,345.5000,188.9000,15.0000,10.5000,0.0000,360.0000,243.4000,76.2000,0.0000,238.8000,0.0000,176.3000,0.0000,-0.87100,0.01800,0.36700,1.95000,2.04000,1.79000,-0.00100,0.03400,0.93500,4.14000,0.33000,-1.62000,8.0,2.9,1.0,0.0,0.952608,0.258267,1.327705,-0.529892,0.276299,1.407683,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.758293,0.249950,1.193534,-0.531052,0.318665,1.409072,-1.808303,-1.288056,-1.585643,-1.239265,-2.984485,0.486319,0.901378,-0.615655,1.180421,1.063962,1.545271,-0.237647,-0.308088,2.607744,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,123863,3711,49,3,122526,3640,1337,71,0,0,0.54595,0.39794,0
1786018113.1415,A_right_j4,A,right,0,,,1,153.3000,345.5000,188.9000,159.7000,10.9000,0.0000,360.0000,243.5000,76.2000,0.0000,238.8000,0.0000,176.4000,0.0000,-0.84600,0.01800,0.36400,3.76000,0.47000,-0.07000,0.00000,0.09300,0.96100,7.79000,0.08000,-4.98000,8.0,2.9,1.0,0.0,0.756223,0.248985,1.190340,-0.531052,0.318665,1.409072,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.758293,0.249950,1.193534,-0.531052,0.318665,1.409072,-1.814279,-1.282357,-1.584058,-1.233264,-2.984091,0.492133,0.895799,-0.615605,1.180330,1.063803,1.545269,-0.237966,-0.308115,2.608190,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,4361,3712,7,3,3320,3641,1041,71,0,0,0.54595,0.39794,0
1786018113.1603,A_right_j4,A,right,0,,,2,153.3000,345.5000,1889.0000,159.9000,11.1000,0.0000,360.0000,243.5000,76.2000,0.0000,238.8000,0.0000,176.4000,0.0000,-0.86300,0.01600,0.38500,1.98000,3.06000,2.73000,0.00000,0.09300,0.96100,7.79000,0.08000,-4.98000,7.2,0.9,1.0,0.0,0.952608,0.258267,1.327705,-0.531052,0.318665,1.409072,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.758293,0.249950,1.193534,-0.531052,0.318665,1.409072,-1.826045,-1.270628,-1.579023,-1.221469,-2.985899,0.503501,0.885912,-0.619777,1.176312,1.063919,1.557315,-0.236632,-0.315079,2.608445,0,0,1.0000,1.0000,0,1,1,0,0.0927,0.0000,,,,,123863,3712,49,3,122526,3641,1337,71,0,0,0.54595,0.39794,0
1786018113.1853,A_right_j4,A,right,0,,,3,153.3000,345.5000,1889.0000,159.9000,11.1000,0.0000,360.0000,243.5000,76.2000,0.0000,23.8000,0.0000,176.4000,0.0000,-0.86300,0.01600,0.38500,1.98000,3.06000,2.73000,0.01100,0.08600,0.95000,2.40000,-5.42000,0.24000,7.2,0.9,1.0,0.0,0.952608,0.258267,1.327705,-0.529892,0.276299,1.407683,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.759395,0.251038,1.196527,-0.531049,0.315667,1.409054,-1.838281,-1.258430,-1.573786,-1.209202,-2.987780,0.515324,0.875630,-0.624105,1.172144,1.064040,1.569813,-0.235248,-0.322305,2.608711,0,0,1.0000,1.0000,0,0,1,1,0.0927,0.0924,,,,,4362,3712,7,3,3321,3641,1041,71,0,0,0.54751,0.39794,0
1786018113.2000,A_right_j4,A,right,0,,,4,153.3000,345.5000,1889.0000,159.9000,11.1000,0.0000,360.0000,243.6000,76.2000,0.0000,238.6000,0.0000,176.4000,0.0000,-0.86300,0.01600,0.38500,1.98000,3.06000,2.73000,0.03700,0.07500,0.92700,2.46000,-2.57000,2.56000,7.9,0.5,1.0,0.0,0.952608,0.258267,1.327705,-0.529892,0.276299,1.407683,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.759395,0.251038,1.196527,-0.531049,0.315667,1.409054,-1.820260,-1.276915,-1.581474,-1.227732,-2.984212,0.497583,0.890256,-0.619658,1.176198,1.063657,1.557203,-0.237167,-0.315060,2.609175,0,0,1.0000,1.0000,0,1,1,0,0.0927,0.0000,,,,,123865,120224,49,31,122527,120110,1338,113,0,1,0.54751,0.39794,0
1786018113.2169,A_right_j4,A,right,0,,,5,153.3000,345.3000,188.9000,159.9000,11.1000,0.0000,360.0000,243.8000,76.2000,0.0000,238.7000,0.0000,176.4000,0.0000,-0.86300,0.01400,0.36400,4.63000,-0.88000,0.92000,0.02700,0.09700,0.93800,5.92000,2.47000,5.69000,8.3,0.4,1.0,0.0,0.756214,0.249002,1.190270,-0.531052,0.318665,1.409072,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.759395,0.251038,1.196527,-0.531049,0.315667,1.409054,-1.820087,-1.277272,-1.581630,-1.227750,-2.983819,0.497317,0.890193,-0.616523,1.179056,1.063387,1.548316,-0.238520,-0.309954,2.609502,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,123865,120224,49,31,122527,120110,1338,113,0,1,0.54751,0.39794,0
1786018113.2361,A_right_j4,A,right,0,,,6,153.3000,345.4000,188.9000,159.9000,12.8000,0.0000,360.0000,243.8000,76.2000,0.0000,238.7000,0.0000,176.0000,0.0000,-0.87100,0.02000,0.35200,3.84000,0.82000,0.41000,0.03300,0.11000,0.94200,3.79000,5.58000,10.38000,8.2,0.4,1.0,0.0,0.757340,0.249015,1.190515,-0.531052,0.318665,1.409072,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.759395,0.251038,1.196527,-0.531049,0.315667,1.409054,-1.830736,-1.266676,-1.577235,-1.216697,-2.985279,0.507626,0.881183,-0.617629,1.177931,1.063353,1.551570,-0.238280,-0.311846,2.609743,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,123865,120225,49,31,122527,120111,1338,113,0,1,0.54751,0.39678,0
1786018113.2623,A_right_j4,A,right,0,,,7,153.3000,345.4000,188.9000,159.9000,12.8000,0.0000,360.0000,243.8000,76.2000,0.0000,238.7000,0.0000,176.0000,0.0000,-0.87100,0.02000,0.35200,3.84000,0.82000,0.41000,0.03300,0.11000,0.94200,3.79000,5.58000,10.38000,8.2,0.4,1.0,0.0,0.757340,0.249015,1.190515,-0.531052,0.318665,1.409072,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.761098,0.252234,1.199739,-0.531048,0.315299,1.409051,-1.831708,-1.265847,-1.576976,-1.215663,-2.985057,0.508590,0.880153,-0.621243,1.174445,1.063452,1.562012,-0.237114,-0.317883,2.609956,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,123866,120225,49,31,122528,120111,1338,113,0,1,0.54901,0.39678,0
1786018113.2951,A_right_j4,A,right,0,,,8,153.3000,345.4000,188.9000,159.9000,12.8000,0.0000,360.0000,243.8000,76.2000,0.0000,238.7000,0.0000,176.0000,0.0000,-0.87100,0.02000,0.35200,3.84000,0.82000,0.41000,0.03300,0.11000,0.94200,3.79000,5.58000,10.38000,8.2,0.4,1.0,0.0,0.757340,0.249015,1.190515,-0.531052,0.318665,1.409072,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.761098,0.252234,1.199739,-0.531048,0.315299,1.409051,-1.831708,-1.265847,-1.576976,-1.215663,-2.985057,0.508590,0.880153,-0.621243,1.174445,1.063452,1.562012,-0.237114,-0.317883,2.609956,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,4364,120225,7,31,3322,120111,1042,113,0,1,0.54901,0.39678,0
1786018113.2971,A_right_j4,A,right,0,,,9,153.3000,345.4000,189.0000,159.9000,15.2000,0.0000,360.0000,243.8000,76.2000,0.0000,238.3000,0.0000,174.4000,0.0000,-0.86400,0.02200,0.37000,3.22000,3.53000,-0.11000,0.03300,0.03300,0.93700,-1.51000,0.44000,7.54000,8.0,1.6,1.0,0.0,0.756931,0.249023,1.190384,-0.531052,0.318665,1.409072,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.761098,0.252234,1.199739,-0.531048,0.315299,1.409051,-1.827001,-1.270643,-1.579032,-1.220528,-2.984127,0.504051,0.883970,-0.620052,1.175506,1.063321,1.558660,-0.237686,-0.315963,2.610166,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,4364,3715,7,3,3322,3644,1042,71,0,0,0.54901,0.39678,0
