t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786018426.0207,B_left_diagonal_up_right_down_left,B,left,0,,,0,135.3000,304.9000,251.6000,356.3000,254.2000,0.0000,360.0000,350.6000,36.6000,0.0000,145.3000,0.0000,109.8000,0.0000,0.18700,-0.01300,0.92100,-17.10000,18.69000,3.55000,-0.93000,0.00000,0.24900,-1.74000,-0.96000,-1.76000,10.1,0.8,1.0,1.0,0.832515,0.042452,1.506633,-0.466136,0.250634,1.361556,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.873107,0.286526,1.354012,-0.446375,0.297687,1.434676,-2.118814,-1.061318,-1.576337,-0.948233,-2.840593,0.496533,0.552737,-0.620924,1.413316,1.202259,1.600255,-0.249233,-0.268808,2.342291,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126267,7291,575,9,124366,6286,1901,1005,0,0,0.62207,0.31068,0
1786018426.0358,B_left_diagonal_up_right_down_left,B,left,0,,,1,135.3000,304.9000,251.6000,356.3000,254.2000,0.0000,360.0000,350.6000,36.5000,0.0000,145.3000,0.0000,109.8000,0.0000,0.18700,-0.01300,0.92100,-17.10000,18.69000,3.55000,-0.90200,0.00800,0.24400,-2.21000,-1.63000,-2.22000,8.8,2.0,1.0,1.0,0.832515,0.042452,1.506633,-0.373580,0.249042,1.284784,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.858050,0.303068,1.347967,-0.447111,0.300289,1.442059,-2.123272,-1.065451,-1.573985,-0.942723,-2.839038,0.499764,0.555658,-0.616136,1.413570,1.203556,1.594463,-0.248926,-0.263016,2.342578,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126267,123787,575,38,124366,122722,1901,1063,0,2,0.62207,0.31068,0
1786018426.0554,B_left_diagonal_up_right_down_left,B,left,0,,,2,135.3000,304.4000,251.1000,353.7000,253.8000,0.0000,360.0000,350.6000,36.5000,0.0000,145.1000,0.0000,109.8000,0.0000,0.13600,-0.05700,0.94100,7.76000,-2.89000,5.79000,-0.95000,-0.00300,0.24700,-1.69000,4.44000,-0.70000,9.7,1.7,1.0,1.0,1.025175,0.325374,1.311395,-0.466136,0.250634,1.361556,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.858050,0.303068,1.347967,-0.447111,0.300289,1.442059,-2.133992,-1.075392,-1.568327,-0.929472,-2.835298,0.507535,0.562682,-0.604662,1.414177,1.206666,1.580584,-0.248190,-0.249136,2.343265,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,6766,123788,533,38,5152,122723,1614,1063,0,2,0.62207,0.31801,0
1786018426.0782,B_left_diagonal_up_right_down_left,B,left,0,,,3,135.3000,304.5000,251.2000,355.8000,253.8000,0.0000,360.0000,350.6000,36.5000,0.0000,145.1000,0.0000,109.8000,0.0000,0.12000,-0.04800,0.94500,10.83000,-8.60000,9.76000,-0.94800,-0.00000,0.25900,3.37000,3.66000,0.51000,9.8,2.0,1.0,1.0,0.832515,0.042452,1.506633,-0.373580,0.249042,1.284784,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.858050,0.303068,1.347967,-0.447111,0.300289,1.442059,-2.136757,-1.077956,-1.566868,-0.926054,-2.834333,0.509540,0.564494,-0.601720,1.414333,1.207463,1.577026,-0.248001,-0.245578,2.343442,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,6766,7292,533,9,5152,6287,1614,1005,0,0,0.62207,0.31801,0
1786018426.1009,B_left_diagonal_up_right_down_left,B,left,0,,,4,135.3000,304.5000,251.2000,355.8000,253.8000,0.0000,360.0000,350.6000,36.5000,0.0000,145.1000,0.0000,109.8000,0.0000,0.12000,-0.04800,0.94500,10.83000,-8.60000,9.76000,-0.94800,-0.00000,0.25900,3.37000,3.66000,0.51000,10.1,1.5,1.0,1.0,0.832515,0.042452,1.506633,-0.373580,0.249042,1.284784,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.842162,0.318810,1.342719,-0.450772,0.293152,1.428403,-2.141280,-1.082151,-1.564481,-0.920462,-2.832755,0.512819,0.567458,-0.606519,1.412673,1.206047,1.583465,-0.247084,-0.252010,2.343368,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126267,123788,575,38,124366,122723,1901,1063,0,2,0.62207,0.31801,0
1786018426.1149,B_left_diagonal_up_right_down_left,B,left,0,,,5,135.3000,304.4000,251.1000,350.4000,25.0000,0.0000,360.0000,350.5000,36.5000,0.0000,145.1000,0.0000,109.8000,0.0000,159.00000,-0.07900,0.92600,12.54000,-13.94000,14.35000,-0.97200,0.01900,0.27100,3.62000,-3.30000,2.74000,10.1,1.5,1.0,1.0,0.837096,0.323516,1.341243,-0.609408,0.476302,1.342328,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.842162,0.318810,1.342719,-0.450772,0.293152,1.428403,-2.146384,-1.086883,-1.561787,-0.914153,-2.830974,0.516519,0.570803,-0.611070,1.411098,1.204701,1.589573,-0.246218,-0.258111,2.343305,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126267,123788,575,38,124366,122723,1901,1063,0,2,0.62207,0.31801,0
1786018426.1384,B_left_diagonal_up_right_down_left,B,left,0,,,6,135.3000,304.4000,251.1000,350.4000,25.0000,0.0000,360.0000,350.5000,36.5000,0.0000,145.1000,0.0000,109.8000,0.0000,159.00000,-0.07900,0.92600,12.54000,-13.94000,14.35000,-0.97200,0.01900,0.27100,3.62000,-3.30000,2.74000,10.1,1.5,1.0,1.0,0.837096,0.323516,1.341243,-0.609408,0.476302,1.342328,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.842162,0.318810,1.342719,-0.450772,0.293152,1.428403,-2.168271,-1.107179,-1.550236,-0.887098,-2.823338,0.532386,0.585144,-0.633376,1.403383,1.198115,1.619506,-0.241957,-0.288010,2.342968,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126267,7293,575,9,124366,6288,1901,1005,0,0,0.62207,0.32026,0
1786018426.1629,B_left_diagonal_up_right_down_left,B,left,0,,,7,135.3000,304.4000,251.1000,350.4000,25.0000,0.0000,360.0000,350.5000,36.5000,0.0000,145.1000,0.0000,109.8000,0.0000,159.00000,-0.07900,0.92600,12.54000,-13.94000,14.35000,-0.97200,0.01900,0.27100,3.62000,-3.30000,2.74000,10.1,1.5,1.0,1.0,0.837096,0.323516,1.341243,-0.609408,0.476302,1.342328,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.842162,0.318810,1.342719,-0.450772,0.293152,1.428403,-2.173844,-1.112347,-1.547295,-0.880209,-2.821394,0.536426,0.588796,-0.638527,1.401612,1.196606,1.626413,-0.240959,-0.294908,2.342865,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,6766,123790,533,38,5152,122725,1614,1063,0,2,0.62207,0.32026,0
1786018426.1782,B_left_diagonal_up_right_down_left,B,left,0,,,8,135.6000,304.4000,252.0000,354.7000,254.0000,0.0000,360.0000,350.6000,36.4000,0.0000,145.1000,0.0000,109.8000,0.0000,0.18800,-0.00100,0.92000,5.01000,-1.15000,-1.10000,-0.91600,-0.00400,0.23100,-8.27000,-6.24000,2.42000,9.2,1.9,1.0,1.0,1.025175,0.325374,1.311395,-0.466136,0.250634,1.361556,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.837097,0.323517,1.341246,-0.451386,0.289094,1.418551,-2.182789,-1.120642,-1.542574,-0.869151,-2.818273,0.542911,0.594658,-0.647377,1.405791,1.194431,1.633907,-0.244861,-0.302361,2.340900,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126267,123790,575,38,124366,122725,1901,1063,0,2,0.62207,0.32026,0
1786018426.1980,B_left_diagonal_up_right_down_left,B,left,0,,,9,135.6000,304.4000,252.0000,354.7000,254.0000,0.0000,360.0000,350.6000,36.4000,0.0000,145.1000,0.0000,109.8000,0.0000,0.18800,-0.00100,0.92000,5.01000,-1.15000,-1.10000,-0.91600,-0.00400,0.23100,-8.27000,-6.24000,2.42000,9.2,1.9,1.0,1.0,1.025175,0.325374,1.311395,-0.466136,0.250634,1.361556,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.837097,0.323517,1.341246,-0.451386,0.289094,1.418551,-2.182789,-1.120642,-1.542574,-0.869151,-2.818273,0.542911,0.594658,-0.647377,1.405791,1.194431,1.633907,-0.244861,-0.302361,2.340900,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126267,123790,575,38,124366,122725,1901,1063,0,2,0.62207,0.32026,0
