t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786018541.7752,B_right_diagonal_up_left_down_right,B,right,0,,,0,151.2000,345.7000,130.6000,192.5000,149.9000,0.0000,360.0000,123.1000,42.7000,0.0000,142.8000,0.0000,53.9000,0.0000,-0.84600,-0.00300,0.37900,-0.31000,4.11000,3.24000,0.32400,-0.09700,0.90000,4.00000,-0.92000,-11.36000,11.2,2.3,1.0,1.0,0.898100,0.345856,1.098245,-0.252466,0.217195,1.327594,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.701544,0.341337,1.176377,-0.252470,0.217199,1.327601,-2.029535,-1.429761,-1.519464,-0.935108,-3.030625,0.559696,1.084133,-0.804098,1.863553,1.017209,1.821910,-0.582382,-0.705764,2.207320,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7373,124572,799,220,5455,123310,1918,1260,0,2,0.48521,0.10278,0
1786018541.7967,B_right_diagonal_up_left_down_right,B,right,0,,,1,151.2000,345.7000,130.6000,192.5000,149.9000,0.0000,360.0000,123.1000,42.7000,0.0000,142.8000,0.0000,53.9000,0.0000,-0.84600,-0.00300,0.37900,-0.31000,4.11000,3.24000,0.32400,-0.09700,0.90000,4.00000,-0.92000,-11.36000,11.2,2.3,1.0,1.0,0.898100,0.345856,1.098245,-0.252466,0.217195,1.327594,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.701486,0.341366,1.176377,-0.252470,0.217199,1.327601,-2.029036,-1.431347,-1.519852,-0.936761,-3.030027,0.558395,1.085184,-0.804098,1.863553,1.017209,1.821910,-0.582382,-0.705764,2.207320,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126912,8065,840,192,124691,6865,2221,1200,0,0,0.48569,0.10278,0
1786018541.8172,B_right_diagonal_up_left_down_right,B,right,0,,,2,151.2000,345.7000,130.6000,192.5000,149.9000,0.0000,360.0000,123.1000,42.7000,0.0000,142.8000,0.0000,53.9000,0.0000,-0.84600,-0.00300,0.37900,-0.31000,4.11000,3.24000,0.32400,-0.09700,0.90000,4.00000,-0.92000,-11.36000,11.2,2.3,1.0,1.0,0.898100,0.345856,1.098245,-0.252466,0.217195,1.327594,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.701486,0.341366,1.176377,-0.252470,0.217199,1.327601,-2.029036,-1.431347,-1.519852,-0.936761,-3.030027,0.558395,1.085184,-0.804098,1.863553,1.017209,1.821910,-0.582382,-0.705764,2.207320,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7373,8065,799,192,5455,6865,1918,1200,0,0,0.48521,0.10278,0
1786018541.8416,B_right_diagonal_up_left_down_right,B,right,0,,,3,151.2000,345.7000,130.6000,192.4000,150.7000,0.0000,360.0000,123.0000,42.8000,0.0000,142.8000,0.0000,53.8000,0.0000,-0.84300,-0.01900,0.38600,5.40000,-0.56000,3.09000,0.34800,0.02700,0.89100,-9.18000,-2.47000,7.73000,11.3,1.6,1.0,1.0,0.694452,0.345631,1.176650,-0.252466,0.217195,1.327594,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.701486,0.341366,1.176377,-0.252470,0.217199,1.327601,-2.026848,-1.429494,-1.521565,-0.939134,3.251923,0.556078,1.083963,-0.804098,1.863553,1.017209,1.821910,-0.582382,-0.705764,2.207320,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126912,8065,840,192,124691,6865,2221,1200,0,0,0.48569,0.10278,0
1786018541.8701,B_right_diagonal_up_left_down_right,B,right,0,,,4,151.2000,345.7000,130.6000,192.4000,149.9000,0.0000,360.0000,123.0000,42.8000,0.0000,142.7000,0.0000,53.9000,0.0000,-0.85400,-0.00000,0.38300,4.44000,1.85000,3.82000,0.32300,0.00800,0.88600,-11.76000,-2.92000,8.77000,10.6,1.6,1.0,1.0,0.696708,0.345556,1.177086,-0.961179,0.416098,1.666607,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.701428,0.341397,1.176377,-0.252470,0.217199,1.327602,-2.026178,-1.428823,-1.522089,-0.939804,3.251499,0.555408,1.083521,-0.804227,1.863776,1.017457,1.821913,-0.582214,-0.705590,2.206868,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126912,8065,840,192,124691,6865,2221,1200,0,0,0.48569,0.10278,0
1786018541.8861,B_right_diagonal_up_left_down_right,B,right,0,,,5,151.2000,345.7000,130.6000,192.4000,149.9000,0.0000,360.0000,123.0000,42.8000,0.0000,142.7000,0.0000,53.9000,0.0000,-0.85400,-0.00000,0.38300,4.44000,1.85000,3.82000,0.32300,0.00800,0.88600,-11.76000,-2.92000,8.77000,10.6,1.6,1.0,1.0,0.696708,0.345556,1.177086,-0.961179,0.416098,1.666607,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.701428,0.341397,1.176377,-0.252470,0.217199,1.327602,-2.026178,-1.428823,-1.522089,-0.939804,3.251499,0.555408,1.083521,-0.804227,1.863776,1.017457,1.821913,-0.582214,-0.705590,2.206868,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7373,8065,799,192,5455,6865,1918,1200,0,0,0.48521,0.10278,0
1786018541.9101,B_right_diagonal_up_left_down_right,B,right,0,,,6,151.2000,345.7000,130.6000,192.4000,149.9000,0.0000,360.0000,123.0000,42.8000,0.0000,142.5000,0.0000,53.9000,0.0000,-0.86000,0.01300,0.39500,-0.05000,5.89000,6.60000,0.31800,-0.03900,0.86000,-11.03000,-1.93000,6.44000,10.8,2.2,1.0,1.0,0.754367,0.038491,1.295741,-0.047208,0.254795,1.234554,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.701428,0.341397,1.176377,-0.252470,0.217199,1.327602,-2.024132,-1.426775,-1.523690,-0.941848,3.250205,0.553363,1.082170,-0.804500,1.864249,1.017983,1.821920,-0.581859,-0.705222,2.205912,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126912,124574,840,220,124691,123312,2221,1260,0,2,0.48569,0.10278,0
1786018541.9164,B_right_diagonal_up_left_down_right,B,right,0,,,7,151.2000,345.7000,130.6000,192.4000,149.9000,0.0000,360.0000,123.0000,42.8000,0.0000,142.5000,0.0000,53.9000,0.0000,-0.86000,0.01300,0.39500,-0.05000,5.89000,6.60000,0.31800,-0.03900,0.86000,-11.03000,-1.93000,6.44000,10.8,2.2,1.0,1.0,0.754367,0.038491,1.295741,-0.047208,0.254795,1.234554,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.701428,0.341397,1.176377,-0.252470,0.217199,1.327602,-2.023383,-1.426025,-1.524277,-0.942597,3.249731,0.552614,1.081675,-0.804500,1.864249,1.017983,1.821920,-0.581859,-0.705222,2.205912,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7373,124574,799,220,5455,123312,1918,1260,0,2,0.48521,0.10278,0
1786018541.9388,B_right_diagonal_up_left_down_right,B,right,0,,,8,151.2000,345.7000,130.6000,192.4000,149.9000,0.0000,360.0000,123.0000,42.8000,0.0000,142.5000,0.0000,53.9000,0.0000,-0.86000,0.01300,0.39500,-0.05000,5.89000,6.60000,0.31800,-0.03900,0.86000,-11.03000,-1.93000,6.44000,10.8,2.2,1.0,1.0,0.754367,0.038491,1.295741,-0.047208,0.254795,1.234554,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.701369,0.341427,1.176377,-0.252466,0.217195,1.327595,-2.022412,-1.425053,-1.525037,-0.943568,3.249116,0.551643,1.081034,-0.804500,1.864249,1.017983,1.821920,-0.581859,-0.705222,2.205912,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126912,8067,840,192,124691,6867,2221,1200,0,0,0.48569,0.10278,0
1786018541.9693,B_right_diagonal_up_left_down_right,B,right,0,,,9,151.2000,345.7000,130.6000,192.4000,149.4000,0.0000,360.0000,123.0000,42.8000,0.0000,142.5000,0.0000,53.9000,0.0000,-0.85600,-0.03400,0.36500,7.70000,-1.55000,-0.31000,0.31800,-0.03900,0.86000,-11.03000,-1.93000,6.44000,11.3,1.7,1.0,1.0,0.755955,0.038447,1.296048,-0.047208,0.254795,1.234554,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.701369,0.341427,1.176377,-0.252466,0.217195,1.327595,-2.022051,-1.424692,-1.525319,-0.943929,3.248888,0.551282,1.080796,-0.804500,1.864249,1.017983,1.821920,-0.581859,-0.705222,2.205912,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126912,124575,840,220,124691,123313,2221,1260,0,2,0.48569,0.10278,0
