t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786018715.9553,C_left_down,C,left,0,down,,0,128.8000,326.3000,251.6000,297.9000,0.0000,0.0000,360.0000,351.7000,39.9000,0.0000,148.6000,0.0000,112.9000,0.0000,0.19500,0.12900,0.97800,-32.14000,23.69000,11.80000,-0.93300,0.01300,0.24100,-2.44000,7.64000,-1.93000,13.7,2.1,1.0,1.0,0.705215,0.198720,1.598136,-0.118263,0.191171,1.126052,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.646801,0.174708,1.582156,-0.277287,0.219128,1.274350,-2.313905,-0.936116,-1.468939,-1.813915,2.729593,-0.525585,1.044142,-0.949664,1.881178,1.065790,1.802907,-0.620087,-0.536536,2.178625,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127547,124819,1284,752,125017,123557,2530,1260,0,2,0.42176,0.12365,0
1786018715.9767,C_left_down,C,left,0,down,,1,128.8000,326.3000,251.6000,297.9000,0.0000,0.0000,360.0000,351.7000,39.9000,0.0000,148.8000,0.0000,112.9000,0.0000,0.19500,0.12900,0.97800,-32.14000,23.69000,11.80000,964.00000,0.01000,0.25000,-136.00000,0.79000,-2.88000,13.4,1.9,1.0,1.0,0.705215,0.198720,1.598136,-1.126612,0.389605,1.665871,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.646801,0.174708,1.582156,-0.277287,0.219128,1.274350,-2.313905,-0.936116,-1.468939,-1.813915,2.729593,-0.525585,1.044142,-0.951778,1.878027,1.065800,1.804907,-0.619160,-0.535361,2.179739,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127547,124820,1285,752,125017,123558,2530,1260,0,2,0.42176,0.12365,0
1786018715.9985,C_left_down,C,left,0,down,,2,128.8000,326.3000,251.6000,297.9000,0.0000,0.0000,360.0000,351.7000,39.9000,0.0000,148.8000,0.0000,112.9000,0.0000,0.19500,0.12900,0.97800,-32.14000,23.69000,11.80000,964.00000,0.01000,0.25000,-136.00000,0.79000,-2.88000,16.4,3.6,1.0,1.0,0.705215,0.198720,1.598136,-1.126612,0.389605,1.665871,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.646801,0.174708,1.582156,-0.277287,0.219128,1.274350,-2.313905,-0.936116,-1.468939,-1.813915,2.729593,-0.525585,1.044142,-0.953338,1.875742,1.065970,1.806355,-0.618262,-0.534392,2.180315,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127547,124820,1285,752,125017,123558,2530,1260,0,2,0.42176,0.12365,0
1786018716.0273,C_left_down,C,left,0,down,,3,128.8000,326.3000,251.6000,297.9000,0.0000,0.0000,360.0000,351.7000,39.9000,0.0000,148.8000,0.0000,112.9000,0.0000,0.19500,0.12900,0.97800,-32.14000,23.69000,11.80000,964.00000,0.01000,0.25000,-136.00000,0.79000,-2.88000,16.4,3.6,1.0,1.0,0.705215,0.198720,1.598136,-1.126612,0.389605,1.665871,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.646801,0.174708,1.582156,-0.279436,0.218704,1.273403,-2.313905,-0.936116,-1.468939,-1.813915,2.729593,-0.525585,1.044142,-0.954213,1.874460,1.066065,1.807167,-0.617758,-0.533849,2.180638,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127547,8332,1285,719,125017,7132,2530,1200,0,0,0.42176,0.12365,0
1786018716.0452,C_left_down,C,left,0,down,,4,128.8000,326.3000,251.6000,297.9000,0.0000,0.0000,360.0000,351.7000,39.9000,0.0000,148.8000,0.0000,113.0000,0.0000,0.19500,0.12900,0.97800,-32.14000,23.69000,11.80000,-0.96200,-0.01900,0.23000,-3.65000,-3.43000,4.32000,15.4,3.9,1.0,1.0,0.705215,0.198720,1.598136,-0.277057,0.219028,1.274402,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.646801,0.174708,1.582156,-0.279436,0.218704,1.273403,-2.313905,-0.936116,-1.468939,-1.813915,2.729593,-0.525585,1.044142,-0.955685,1.872303,1.066225,1.808535,-0.616910,-0.532935,2.181182,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127547,8332,1285,719,125017,7132,2530,1200,0,0,0.42176,0.12365,0
1786018716.0583,C_left_down,C,left,0,down,,5,126.2000,319.9000,256.6000,317.5000,0.0000,0.0000,360.0000,351.7000,99.0000,0.0000,148.8000,0.0000,113.0000,0.0000,0.20000,-0.07200,0.81000,-0.21000,6.11000,4.52000,-0.93800,-0.01300,0.22600,-3.11000,-3.02000,2.48000,16.3,3.5,1.0,1.0,0.705215,0.198720,1.598136,-0.119317,0.190940,1.131756,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.646801,0.174708,1.582156,-0.279436,0.218704,1.273403,-2.313905,-0.936116,-1.468939,-1.813915,2.729593,-0.525585,1.044142,-0.955698,1.872284,1.066226,1.808547,-0.616902,-0.532927,2.181186,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7968,124820,1241,752,5756,123558,2212,1260,0,2,0.42176,0.12365,0
1786018716.0765,C_left_down,C,left,0,down,,6,126.2000,319.9000,256.6000,317.5000,0.0000,0.0000,360.0000,351.7000,99.0000,0.0000,148.8000,0.0000,113.0000,0.0000,0.20000,-0.07200,0.81000,-0.21000,6.11000,4.52000,-0.93800,-0.01300,0.22600,-3.11000,-3.02000,2.48000,16.3,3.5,1.0,1.0,0.705215,0.198720,1.598136,-0.119317,0.190940,1.131756,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.646801,0.174708,1.582156,-0.279436,0.218704,1.273403,-2.313905,-0.936116,-1.468939,-1.813915,2.729593,-0.525585,1.044142,-0.955698,1.872284,1.066226,1.808547,-0.616902,-0.532927,2.181186,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7968,8332,1241,719,5756,7132,2212,1200,0,0,0.42176,0.12365,0
1786018716.1153,C_left_down,C,left,0,down,,7,126.0000,317.6000,257.5000,318.7000,0.0000,0.0000,360.0000,351.7000,99.0000,0.0000,148.8000,0.0000,113.0000,0.0000,0.15900,0.01600,0.81500,4.08000,-5.34000,3.51000,-0.93800,-0.01300,0.22600,-3.11000,-3.02000,2.48000,16.2,3.7,1.0,1.0,0.599532,0.161386,1.267961,-0.119317,0.190940,1.131756,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.646801,0.174708,1.582156,-0.279436,0.218704,1.273403,-2.313905,-0.936116,-1.468939,-1.813915,2.729593,-0.525585,1.044142,-0.955698,1.872284,1.066226,1.808547,-0.616902,-0.532927,2.181186,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7968,8332,1242,719,5756,7132,2212,1200,0,0,0.42176,0.12365,0
1786018716.1204,C_left_down,C,left,0,down,,8,126.0000,317.6000,257.5000,318.7000,0.0000,0.0000,360.0000,351.7000,39.9000,0.0000,148.8000,0.0000,112.9000,0.0000,0.15900,0.01600,0.81500,4.08000,-5.34000,3.51000,-0.93800,-0.00900,0.21900,-2.44000,0.27000,1.60000,16.1,3.8,1.0,1.0,0.599532,0.161386,1.267961,-1.125690,0.389546,1.666153,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.646801,0.174708,1.582156,-0.279436,0.218704,1.273403,-2.313905,-0.936116,-1.468939,-1.813915,2.729593,-0.525585,1.044142,-0.955698,1.872284,1.066226,1.808547,-0.616902,-0.532927,2.181186,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7968,8332,1242,719,5756,7132,2212,1200,0,0,0.42176,0.12365,0
1786018716.1389,C_left_down,C,left,0,down,,9,126.0000,317.6000,257.5000,318.7000,0.0000,0.0000,360.0000,351.7000,39.9000,0.0000,148.8000,0.0000,112.9000,0.0000,0.15900,0.01600,0.81500,4.08000,-5.34000,3.51000,-0.93800,-0.00900,0.21900,-2.44000,0.27000,1.60000,16.1,3.8,1.0,1.0,0.599532,0.161386,1.267961,-1.125690,0.389546,1.666153,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.646801,0.174708,1.582156,-0.279436,0.218704,1.273403,-2.313905,-0.936116,-1.468939,-1.813915,2.729593,-0.525585,1.044142,-0.955698,1.872284,1.066226,1.808547,-0.616902,-0.532927,2.181186,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7968,8332,1242,719,5756,7132,2212,1200,0,0,0.42176,0.12365,0
