t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786018651.7344,C_left_left,C,left,0,left,,0,84.6000,319.2000,166.5000,177.0000,0.0000,0.0000,360.0000,348.8000,39.5000,0.0000,153.3000,0.0000,114.6000,0.0000,-0.43800,-0.14600,0.84600,7.51000,1.08000,-6.79000,-0.93700,0.00800,0.25400,-2.76000,-1.97000,-1.91000,9.8,1.5,1.0,1.0,0.872031,0.314991,1.299655,-1.124274,0.384181,1.666399,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.955880,0.246997,1.331039,-0.275041,0.214094,1.275932,-2.168977,-1.043071,-1.355337,-0.720223,3.105170,0.688211,0.792790,-0.941577,1.853378,1.036330,1.825292,-0.635333,-0.571013,2.219451,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127327,124715,1103,550,124903,123453,2424,1260,0,2,0.59803,0.13058,0
1786018651.7574,C_left_left,C,left,0,left,,1,84.6000,319.3000,166.6000,177.0000,0.0000,0.0000,360.0000,348.8000,39.5000,0.0000,153.3000,0.0000,114.6000,0.0000,-0.44800,-0.15800,792.00000,81.00000,3.00000,80.00000,-0.93700,0.00800,0.25400,-2.76000,-1.97000,-1.91000,9.8,1.5,1.0,1.0,1.034430,0.458762,1.274842,-1.124274,0.384181,1.666399,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.955880,0.246997,1.331039,-0.275041,0.214094,1.275932,-2.157528,-1.031620,-1.366784,-0.731673,3.098047,0.676760,0.787934,-0.941577,1.853378,1.036330,1.825292,-0.635333,-0.571013,2.219451,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127327,124715,1103,550,124903,123453,2424,1260,0,2,0.59803,0.13058,0
1786018651.7851,C_left_left,C,left,0,left,,2,84.6000,319.6000,166.9000,177.0000,0.0000,0.0000,360.0000,348.9000,39.5000,0.0000,153.3000,0.0000,114.6000,0.0000,-0.44900,-0.18800,0.82500,5.77000,-1.60000,-7.12000,-0.93600,-0.02700,0.25300,0.18000,4.04000,-3.47000,10.3,1.5,1.0,1.0,0.874104,0.095610,1.430485,-0.112942,0.186469,1.128236,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.951744,0.250991,1.328927,-0.275041,0.214094,1.275932,-2.146045,-1.020135,-1.378265,-0.743156,3.090903,0.665276,0.783065,-0.941577,1.853378,1.036330,1.825292,-0.635333,-0.571013,2.219451,1,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127327,124715,1104,550,124903,123453,2424,1260,0,2,0.59803,0.13058,0
1786018651.7953,C_left_left,C,left,0,left,,3,84.6000,319.6000,166.9000,177.0000,0.0000,0.0000,360.0000,348.9000,39.5000,0.0000,153.3000,0.0000,114.6000,0.0000,-0.44900,-0.18800,0.82500,5.77000,-1.60000,-7.12000,-0.93600,-0.02700,0.25300,0.18000,4.04000,-3.47000,10.3,1.5,1.0,1.0,0.874104,0.095610,1.430485,-0.112942,0.186469,1.128236,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.951744,0.250991,1.328927,-0.275041,0.214094,1.275932,-2.134420,-1.008508,-1.389888,-0.754781,3.083671,0.653649,0.778135,-0.941577,1.853378,1.036330,1.825292,-0.635333,-0.571013,2.219451,1,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127328,124715,1104,550,124904,123453,2424,1260,0,2,0.63782,0.13058,0
1786018651.8312,C_left_left,C,left,0,left,,4,84.6000,319.6000,166.9000,177.0000,0.0000,0.0000,360.0000,348.9000,39.5000,0.0000,153.3000,0.0000,114.6000,0.0000,-0.44900,-0.18800,0.82500,5.77000,-1.60000,-7.12000,-0.93600,-0.02700,0.25300,0.18000,4.04000,-3.47000,10.3,1.5,1.0,1.0,0.874104,0.095610,1.430485,-0.112942,0.186469,1.128236,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.927830,0.272580,1.318082,-0.275041,0.214094,1.275932,-2.099499,-0.973581,-1.424803,-0.789703,3.061945,0.618724,0.763327,-0.943776,1.857950,1.036054,1.822051,-0.640652,-0.567878,2.220109,1,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127329,124715,1104,550,124905,123453,2424,1260,0,2,0.63782,0.13058,0
1786018651.8356,C_left_left,C,left,0,left,,5,84.6000,319.6000,166.9000,177.0000,0.0000,0.0000,360.0000,348.9000,39.5000,0.0000,153.3000,0.0000,114.6000,0.0000,-0.44900,-0.18800,0.82500,5.77000,-1.60000,-7.12000,-0.93600,-0.02700,0.25300,0.18000,4.04000,-3.47000,10.3,1.5,1.0,1.0,0.874104,0.095610,1.430485,-0.112942,0.186469,1.128236,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.927830,0.272580,1.318082,-0.275041,0.214094,1.275932,-2.099499,-0.973581,-1.424803,-0.789703,3.061945,0.618724,0.763327,-0.943776,1.857950,1.036054,1.822051,-0.640652,-0.567878,2.220109,1,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127329,124715,1104,550,124905,123453,2424,1260,0,2,0.63782,0.13058,0
1786018651.8571,C_left_left,C,left,0,left,,6,84.6000,319.6000,166.9000,177.0000,0.0000,0.0000,360.0000,348.9000,39.5000,0.0000,153.3000,0.0000,114.6000,0.0000,-0.44900,-0.18800,0.82500,5.77000,-1.60000,-7.12000,-0.93600,-0.02700,0.25300,0.18000,4.04000,-3.47000,10.3,1.5,1.0,1.0,0.874104,0.095610,1.430485,-0.112942,0.186469,1.128236,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.927830,0.272580,1.318082,-0.275041,0.214094,1.275932,-2.075541,-0.949618,-1.448757,-0.813661,3.047039,0.594762,0.753167,-0.944707,1.859522,1.035948,1.820992,-0.642566,-0.566694,2.220349,1,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7753,124715,1060,550,5649,123453,2104,1260,0,2,0.63782,0.13058,0
1786018651.8855,C_left_left,C,left,0,left,,7,84.6000,319.8000,168.0000,177.5000,0.0000,0.0000,360.0000,349.0000,39.5000,0.0000,153.2000,0.0000,114.6000,0.0000,-0.41400,-0.21700,0.83400,3.45000,-10.51000,-7.21000,-0.93800,-0.00400,0.25600,0.89000,1.21000,-1.92000,8.1,0.8,1.0,1.0,0.875639,0.091502,1.431916,-0.113805,0.186394,1.127849,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.927830,0.272580,1.318082,-0.275041,0.214094,1.275932,-2.070591,-0.944667,-1.453705,-0.818611,3.043960,0.589812,0.751068,-0.944903,1.859852,1.035926,1.820770,-0.642968,-0.566445,2.220400,1,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127329,8226,1104,515,124905,7026,2424,1200,0,0,0.63782,0.12332,0
1786018651.9094,C_left_left,C,left,0,left,,8,84.6000,319.8000,168.0000,177.5000,0.0000,0.0000,360.0000,349.0000,39.5000,0.0000,153.2000,0.0000,114.6000,0.0000,-0.41400,-0.21700,0.83400,3.45000,-10.51000,-7.21000,-0.93800,-0.00400,0.25600,0.89000,1.21000,-1.92000,8.1,0.8,1.0,1.0,0.875639,0.091502,1.431916,-0.113805,0.186394,1.127849,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.927830,0.272580,1.318082,-0.275041,0.214094,1.275932,-2.064980,-0.939056,-1.459315,-0.824222,3.040469,0.584201,0.748689,-0.944908,1.859860,1.035926,1.820764,-0.642979,-0.566438,2.220401,1,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127329,124715,1104,550,124905,123453,2424,1260,0,2,0.63782,0.13058,0
1786018651.9444,C_left_left,C,left,0,left,,9,84.6000,319.9000,168.7000,178.2000,0.0000,0.0000,360.0000,349.0000,39.5000,0.0000,153.2000,0.0000,114.6000,0.0000,-0.40400,-0.21100,0.84800,17.39000,-13.97000,-9.30000,-0.92400,0.00700,0.25000,-2.15000,-2.03000,-1.54000,9.6,1.7,1.0,1.0,0.877077,0.087693,1.433277,-0.115271,0.186251,1.127213,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.900493,0.294581,1.308053,-0.275041,0.214094,1.275932,-2.059014,-0.933088,-1.465280,-0.830189,3.036757,0.578233,0.746159,-0.944908,1.859860,1.035926,1.820764,-0.642979,-0.566438,2.220401,1,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7753,8226,1060,515,5649,7026,2104,1200,0,0,0.63782,0.12332,0
