t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786018676.3903,C_left_right,C,left,0,right,,0,227.1000,344.1000,157.2000,303.2000,0.0000,0.0000,360.0000,349.0000,38.5000,0.0000,151.7000,0.0000,113.8000,0.0000,0.30100,-0.12700,0.88100,-12.50000,9.92000,12.21000,-0.92900,-0.01800,0.25000,1.19000,1.57000,-0.28000,10.7,2.0,1.0,1.0,0.884927,0.383126,1.608520,-0.113215,0.186487,1.127955,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.872038,0.314997,1.299656,-0.274298,0.214199,1.275321,-2.186770,-1.031314,-1.262599,-0.707738,2.999722,0.704706,0.847457,-0.941670,1.867360,1.033902,1.816045,-0.648843,-0.568865,2.220902,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127423,124761,1176,630,124933,123499,2490,1260,0,2,0.60488,0.11819,0
1786018676.4390,C_left_right,C,left,0,right,,1,226.9000,344.1000,157.2000,303.1000,0.0000,0.0000,360.0000,349.0000,38.5000,0.0000,151.7000,0.0000,113.9000,0.0000,0.32100,-0.16500,0.89400,-0.24000,-2.60000,-5.50000,-0.91900,-0.01400,0.26600,-0.59000,3.40000,-5.73000,10.2,2.0,1.0,1.0,1.042756,0.694446,1.412094,-0.273693,0.214285,1.275580,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.872038,0.314997,1.299656,-0.274298,0.214199,1.275321,-2.186770,-1.031314,-1.262599,-0.707738,2.999722,0.704706,0.847457,-0.941670,1.867360,1.033902,1.816045,-0.648843,-0.568865,2.220902,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127423,8267,1176,597,124933,7067,2490,1200,0,0,0.60488,0.11825,0
1786018676.4396,C_left_right,C,left,0,right,,2,226.9000,344.1000,157.2000,303.1000,0.0000,0.0000,360.0000,349.0000,38.5000,0.0000,151.7000,0.0000,113.9000,0.0000,0.32100,-0.16500,0.89400,-0.24000,-2.60000,-5.50000,-0.91900,-0.01400,0.26600,-0.59000,3.40000,-5.73000,10.2,2.0,1.0,1.0,1.042756,0.694446,1.412094,-0.273693,0.214285,1.275580,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.872038,0.314997,1.299656,-0.274298,0.214199,1.275321,-2.186770,-1.031314,-1.262599,-0.707738,2.999722,0.704706,0.847457,-0.941670,1.867360,1.033902,1.816045,-0.648843,-0.568865,2.220902,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127423,8267,1176,597,124933,7067,2490,1200,0,0,0.60488,0.11825,0
1786018676.4527,C_left_right,C,left,0,right,,3,226.9000,344.1000,157.2000,303.1000,0.0000,0.0000,360.0000,349.0000,38.5000,0.0000,151.7000,0.0000,113.9000,0.0000,0.32100,-0.16500,0.89400,-0.24000,-2.60000,-5.50000,-0.91900,-0.01400,0.26600,-0.59000,3.40000,-5.73000,10.2,2.0,1.0,1.0,1.042756,0.694446,1.412094,-0.273693,0.214285,1.275580,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.872038,0.314997,1.299656,-0.274298,0.214199,1.275321,-2.186770,-1.031314,-1.262599,-0.707738,2.999722,0.704706,0.847457,-0.941670,1.867360,1.033902,1.816045,-0.648843,-0.568865,2.220902,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7846,124761,1131,630,5675,123499,2171,1260,0,2,0.60445,0.11819,0
1786018676.4716,C_left_right,C,left,0,right,,4,226.9000,344.1000,157.2000,303.1000,0.0000,0.0000,360.0000,349.0000,38.5000,0.0000,151.7000,0.0000,113.9000,0.0000,0.32100,-0.16500,0.89400,-0.24000,-2.60000,-5.50000,-0.91900,-0.01400,0.26600,-0.59000,3.40000,-5.73000,10.2,2.0,1.0,1.0,1.042756,0.694446,1.412094,-0.273693,0.214285,1.275580,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.872038,0.314997,1.299656,-0.274298,0.214199,1.275321,-2.186770,-1.031314,-1.262599,-0.707738,2.999722,0.704706,0.847457,-0.941670,1.867360,1.033902,1.816045,-0.648843,-0.568865,2.220902,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127423,8267,1176,597,124933,7067,2490,1200,0,0,0.60488,0.11825,0
1786018676.5108,C_left_right,C,left,0,right,,5,226.9000,344.1000,157.2000,303.1000,0.0000,0.0000,360.0000,349.0000,38.5000,0.0000,151.7000,0.0000,113.9000,0.0000,0.32100,-0.16500,0.89400,-0.24000,-2.60000,-5.50000,-0.91900,-0.01400,0.26600,-0.59000,3.40000,-5.73000,10.2,2.0,1.0,1.0,1.042756,0.694446,1.412094,-0.273693,0.214285,1.275580,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.872038,0.314997,1.299656,-0.274298,0.214199,1.275321,-2.186770,-1.031314,-1.262599,-0.707738,2.999722,0.704706,0.847457,-0.941670,1.867360,1.033902,1.816045,-0.648843,-0.568865,2.220902,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7846,124761,1131,630,5675,123499,2171,1260,0,2,0.60445,0.11819,0
1786018676.5114,C_left_right,C,left,0,right,,6,226.9000,344.1000,157.2000,303.1000,0.0000,0.0000,360.0000,349.0000,38.5000,0.0000,151.7000,0.0000,113.9000,0.0000,0.32100,-0.16500,0.89400,-0.24000,-2.60000,-5.50000,-0.91900,-0.01400,0.26600,-0.59000,3.40000,-5.73000,10.2,2.0,1.0,1.0,1.042756,0.694446,1.412094,-0.273693,0.214285,1.275580,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.872038,0.314997,1.299656,-0.274298,0.214199,1.275321,-2.186770,-1.031314,-1.262599,-0.707738,2.999722,0.704706,0.847457,-0.941670,1.867360,1.033902,1.816045,-0.648843,-0.568865,2.220902,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7846,124761,1131,630,5675,123499,2171,1260,0,2,0.60445,0.11819,0
1786018676.5314,C_left_right,C,left,0,right,,7,226.9000,344.1000,157.2000,303.1000,0.0000,0.0000,360.0000,349.0000,38.5000,0.0000,151.7000,0.0000,113.9000,0.0000,0.32100,-0.16500,0.89400,-0.24000,-2.60000,-5.50000,-0.91900,-0.01400,0.26600,-0.59000,3.40000,-5.73000,10.2,2.0,1.0,1.0,1.042756,0.694446,1.412094,-0.273693,0.214285,1.275580,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.872038,0.314997,1.299656,-0.274298,0.214199,1.275321,-2.186770,-1.031314,-1.262599,-0.707738,2.999722,0.704706,0.847457,-0.941670,1.867360,1.033902,1.816045,-0.648843,-0.568865,2.220902,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127423,124761,1176,630,124933,123499,2490,1260,0,2,0.60488,0.11819,0
1786018676.5553,C_left_right,C,left,0,right,,8,226.9000,344.1000,157.2000,303.1000,0.0000,0.0000,360.0000,349.0000,38.5000,0.0000,151.7000,0.0000,113.9000,0.0000,0.32100,-0.16500,0.89400,-0.24000,-2.60000,-5.50000,-0.91900,-0.01400,0.26600,-0.59000,3.40000,-5.73000,10.2,2.0,1.0,1.0,1.042756,0.694446,1.412094,-0.273693,0.214285,1.275580,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.872038,0.314997,1.299656,-0.274298,0.214199,1.275321,-2.186770,-1.031314,-1.262599,-0.707738,2.999722,0.704706,0.847457,-0.941670,1.867360,1.033902,1.816045,-0.648843,-0.568865,2.220902,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127423,8267,1176,597,124933,7067,2490,1200,0,0,0.60488,0.11825,0
1786018676.5745,C_left_right,C,left,0,right,,9,226.9000,344.1000,157.2000,303.1000,0.0000,0.0000,360.0000,349.0000,38.5000,0.0000,151.7000,0.0000,113.9000,0.0000,0.32100,-0.16500,0.89400,-0.24000,-2.60000,-5.50000,-0.91900,-0.01400,0.26600,-0.59000,3.40000,-5.73000,10.2,2.0,1.0,1.0,1.042756,0.694446,1.412094,-0.273693,0.214285,1.275580,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.872038,0.314997,1.299656,-0.274298,0.214199,1.275321,-2.186770,-1.031314,-1.262599,-0.707738,2.999722,0.704706,0.847457,-0.941670,1.867360,1.033902,1.816045,-0.648843,-0.568865,2.220902,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127423,8267,1177,597,124933,7067,2490,1200,0,0,0.60488,0.11825,0
