t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786018793.8108,C_right_front,C,right,0,front,,0,162.9000,344.1000,164.5000,176.3000,0.0000,0.0000,360.0000,287.7000,26.8000,0.0000,100.2000,0.0000,125.9000,0.0000,-0.88700,0.08300,0.33500,-2.50000,3.55000,-0.45000,0.17100,-0.14100,0.91400,-0.83000,-0.13000,-0.08000,10.1,2.2,1.0,0.0,1.012983,0.668369,1.414080,-0.239029,0.008270,1.546418,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.748720,0.158124,1.374547,-0.239031,0.008278,1.546414,-1.793050,-1.097484,-1.700829,-1.837357,2.841994,-0.276564,1.309963,-0.230516,2.142030,1.275833,2.311998,-0.377898,-1.675069,1.668296,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127953,8457,1463,973,125226,7253,2727,1204,0,0,0.55010,0.10814,0
1786018793.8555,C_right_front,C,right,0,front,,1,162.8000,344.1000,164.5000,176.3000,8.0000,0.0000,360.0000,287.5000,26.7000,0.0000,100.0000,0.0000,125.3000,0.0000,-0.87800,0.11300,0.28100,3.85000,-5.56000,-2.69000,0.12700,-0.12900,0.90900,0.84000,-11.33000,-5.10000,9.3,1.6,1.0,0.0,1.012983,0.668369,1.414080,-0.239029,0.008270,1.546418,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.748720,0.158124,1.374547,-0.239031,0.008278,1.546414,-1.793050,-1.097484,-1.700829,-1.837357,2.841994,-0.276564,1.309963,-0.230516,2.142030,1.275833,2.311998,-0.377898,-1.675069,1.668296,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8362,124925,1423,1007,5967,123661,2395,1262,0,2,0.55010,0.10814,0
1786018793.8602,C_right_front,C,right,0,front,,2,162.8000,344.1000,164.5000,176.3000,8.0000,0.0000,360.0000,287.5000,26.7000,0.0000,100.0000,0.0000,125.3000,0.0000,-0.87800,0.11300,0.28100,3.85000,-5.56000,-2.69000,0.12700,-0.12900,0.90900,0.84000,-11.33000,-5.10000,9.3,1.6,1.0,0.0,1.012983,0.668369,1.414080,-0.239029,0.008270,1.546418,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.748720,0.158124,1.374547,-0.239031,0.008278,1.546414,-1.793050,-1.097484,-1.700829,-1.837357,2.841994,-0.276564,1.309963,-0.230516,2.142030,1.275833,2.311998,-0.377898,-1.675069,1.668296,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8362,124925,1423,1007,5967,123661,2395,1262,0,2,0.55010,0.10814,0
1786018793.8731,C_right_front,C,right,0,front,,3,162.8000,344.1000,164.5000,176.3000,20.4000,0.0000,36.0000,287.5000,26.7000,0.0000,100.0000,0.0000,125.3000,0.0000,-0.90500,0.11900,0.29700,1.34000,-2.89000,-0.50000,0.12700,-0.12900,0.90900,0.84000,-11.33000,-5.10000,9.3,1.6,1.0,0.0,1.012983,0.668369,1.414080,-0.239029,0.008270,1.546418,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.748720,0.158124,1.374547,-0.239031,0.008278,1.546414,-1.793050,-1.097484,-1.700829,-1.837357,2.841994,-0.276564,1.309963,-0.230516,2.142030,1.275833,2.311998,-0.377898,-1.675069,1.668296,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127953,124925,1464,1007,125226,123661,2727,1262,0,2,0.55010,0.10814,0
1786018793.8889,C_right_front,C,right,0,front,,4,162.8000,344.1000,164.5000,176.3000,20.4000,0.0000,36.0000,287.5000,26.7000,0.0000,100.0000,0.0000,125.3000,0.0000,-0.90500,0.11900,0.29700,1.34000,-2.89000,-0.50000,0.12700,-0.12900,0.90900,0.84000,-11.33000,-5.10000,9.3,1.6,1.0,0.0,1.012983,0.668369,1.414080,-0.239029,0.008270,1.546418,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.748720,0.158124,1.374547,-0.239031,0.008278,1.546414,-1.793050,-1.097484,-1.700829,-1.837357,2.841994,-0.276564,1.309963,-0.230516,2.142030,1.275833,2.311998,-0.377898,-1.675069,1.668296,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127953,8457,1464,973,125226,7253,2727,1204,0,0,0.55010,0.10814,0
1786018793.9013,C_right_front,C,right,0,front,,5,162.8000,344.1000,164.5000,176.3000,20.4000,0.0000,36.0000,287.5000,26.7000,0.0000,100.0000,0.0000,125.3000,0.0000,-0.90500,0.11900,0.29700,1.34000,-2.89000,-0.50000,0.12700,-0.12900,0.90900,0.84000,-11.33000,-5.10000,9.3,1.6,1.0,0.0,1.012983,0.668369,1.414080,-0.239029,0.008270,1.546418,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.748720,0.158124,1.374547,-0.239031,0.008278,1.546414,-1.793050,-1.097484,-1.700829,-1.837357,2.841994,-0.276564,1.309963,-0.230516,2.142030,1.275833,2.311998,-0.377898,-1.675069,1.668296,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8362,124925,1424,1008,5967,123661,2395,1262,0,2,0.55010,0.10814,0
1786018793.9581,C_right_front,C,right,0,front,,6,162.9000,344.1000,164.5000,176.3000,21.2000,0.0000,360.0000,287.4000,26.7000,0.0000,100.1000,0.0000,125.9000,0.0000,-0.88600,0.08100,0.31100,3.01000,7.76000,3.89000,0.18000,-0.07600,0.90300,-3.66000,-1.53000,-4.08000,9.9,1.8,1.0,0.0,1.012983,0.668369,1.414080,-1.093635,0.176181,1.944459,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.748720,0.158124,1.374547,-0.239031,0.008278,1.546414,-1.793050,-1.097484,-1.700829,-1.837357,2.841994,-0.276564,1.309963,-0.230516,2.142030,1.275833,2.311998,-0.377898,-1.675069,1.668296,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127953,8457,1464,974,125226,7253,2727,1204,0,0,0.55010,0.10814,0
1786018793.9587,C_right_front,C,right,0,front,,7,162.9000,344.1000,164.5000,176.3000,21.2000,0.0000,360.0000,287.4000,26.7000,0.0000,100.1000,0.0000,125.9000,0.0000,-0.88600,0.08100,0.31100,3.01000,7.76000,3.89000,0.18000,-0.07600,0.90300,-3.66000,-1.53000,-4.08000,9.9,1.8,1.0,0.0,1.012983,0.668369,1.414080,-1.093635,0.176181,1.944459,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.748720,0.158124,1.374547,-0.239031,0.008278,1.546414,-1.793050,-1.097484,-1.700829,-1.837357,2.841994,-0.276564,1.309963,-0.230516,2.142030,1.275833,2.311998,-0.377898,-1.675069,1.668296,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127953,8457,1464,974,125226,7253,2727,1204,0,0,0.55010,0.10814,0
1786018793.9629,C_right_front,C,right,0,front,,8,162.9000,344.1000,164.5000,176.3000,14.7000,0.0000,360.0000,287.3000,26.7000,0.0000,100.0000,0.0000,126.1000,0.0000,-0.89100,0.07800,0.32200,2.67000,7.99000,3.95000,0.18600,-0.09400,0.90000,-9.15000,-3.21000,-3.18000,9.9,1.3,1.0,0.0,0.640118,0.187199,1.314646,-0.239029,0.008270,1.546418,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.748720,0.158124,1.374547,-0.239031,0.008278,1.546414,-1.793050,-1.097484,-1.700829,-1.837357,2.841994,-0.276564,1.309963,-0.230516,2.142030,1.275833,2.311998,-0.377898,-1.675069,1.668296,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8362,124925,1424,1008,5967,123661,2395,1262,0,2,0.55010,0.10814,0
1786018793.9889,C_right_front,C,right,0,front,,9,162.9000,344.1000,164.5000,176.3000,6.2000,0.0000,360.0000,287.3000,26.7000,0.0000,100.0000,0.0000,126.2000,0.0000,-0.87900,0.05200,0.32400,1.28000,5.83000,3.49000,0.20300,-0.14700,0.90000,-9.54000,-3.70000,-2.77000,10.1,1.4,1.0,0.0,1.012983,0.668369,1.414080,-0.080265,-0.014738,1.392514,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.748720,0.158124,1.374547,-0.239031,0.008278,1.546414,-1.793050,-1.097484,-1.700829,-1.837357,2.841994,-0.276564,1.309963,-0.230516,2.142030,1.275833,2.311998,-0.377898,-1.675069,1.668296,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8362,124925,1424,1008,5967,123661,2395,1262,0,2,0.55010,0.10814,0
