t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786018836.5581,C_right_left,C,right,0,left,,0,160.7000,344.1000,157.5000,171.9000,43.5000,0.0000,360.0000,311.6000,20.0000,0.0000,100.8000,0.0000,164.6000,0.0000,-0.89100,0.00100,0.31300,7.18000,1.45000,5.92000,0.25000,0.04400,0.94800,1.41000,6.81000,5.68000,9.7,1.9,1.0,0.0,0.634116,0.158467,1.270976,-1.084407,0.101022,2.017462,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.652701,-0.134189,1.551000,-0.239029,0.008269,1.546418,-1.368415,-0.515645,-2.512408,-2.496444,2.380235,-0.678691,0.671049,-0.199312,2.043726,1.200536,2.311479,-0.347777,-1.716710,1.798661,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128213,8526,1558,1114,125341,7322,2872,1204,0,0,0.58202,0.09808,0
1786018836.5846,C_right_left,C,right,0,left,,1,160.7000,344.1000,157.5000,172.0000,42.1000,0.0000,360.0000,311.6000,20.1000,0.0000,100.9000,0.0000,164.2000,0.0000,-0.89000,0.01000,0.34200,5.87000,2.17000,3.36000,0.24900,0.09200,0.92600,1.18000,5.89000,3.95000,10.0,2.0,1.0,0.0,0.630104,0.157930,1.269584,-1.084407,0.101022,2.017462,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.652701,-0.134189,1.551000,-0.239029,0.008269,1.546418,-1.368415,-0.515645,-2.512408,-2.496444,2.380235,-0.678691,0.671049,-0.199312,2.043726,1.200536,2.311479,-0.347777,-1.716710,1.798661,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8595,8526,1526,1114,6072,7322,2523,1204,0,0,0.57654,0.09808,0
1786018836.5998,C_right_left,C,right,0,left,,2,160.7000,344.1000,157.5000,172.0000,42.1000,0.0000,360.0000,311.6000,20.1000,0.0000,100.9000,0.0000,164.2000,0.0000,-0.89000,0.01000,0.34200,5.87000,2.17000,3.36000,0.24900,0.09200,0.92600,1.18000,5.89000,3.95000,10.0,2.0,1.0,0.0,0.630104,0.157930,1.269584,-1.084407,0.101022,2.017462,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.652701,-0.134189,1.551000,-0.239029,0.008269,1.546418,-1.368415,-0.515645,-2.512408,-2.496444,2.380235,-0.678691,0.671049,-0.199312,2.043726,1.200536,2.311479,-0.347777,-1.716710,1.798661,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8595,8526,1526,1114,6072,7322,2523,1204,0,0,0.57654,0.09808,0
1786018836.6214,C_right_left,C,right,0,left,,3,160.7000,344.1000,157.5000,172.0000,41.8000,0.0000,360.0000,311.6000,20.1000,0.0000,100.9000,0.0000,164.1000,0.0000,-0.88800,0.01500,0.34500,4.18000,2.27000,2.43000,0.23300,0.10600,0.92100,0.11000,3.90000,2.89000,10.0,2.2,1.0,0.0,0.646772,-0.134995,1.548173,-0.073945,-0.091525,1.432710,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.652701,-0.134189,1.551000,-0.239029,0.008269,1.546418,-1.368415,-0.515645,-2.512408,-2.496444,2.380235,-0.678691,0.671049,-0.199312,2.043726,1.200536,2.311479,-0.347777,-1.716710,1.798661,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128213,8526,1558,1114,125341,7322,2872,1204,0,0,0.58202,0.09808,0
1786018836.6475,C_right_left,C,right,0,left,,4,160.7000,344.1000,157.5000,171.8000,41.2000,0.0000,360.0000,311.6000,20.2000,0.0000,100.9000,0.0000,163.5000,0.0000,-0.90100,0.02800,0.34700,0.36000,4.06000,-0.54000,0.25200,0.08600,0.91700,-5.17000,-3.31000,3.41000,10.0,2.2,1.0,0.0,0.629322,0.157823,1.269344,-1.084407,0.101022,2.017462,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.652701,-0.134189,1.551000,-0.239029,0.008269,1.546418,-1.368415,-0.515645,-2.512408,-2.496444,2.380235,-0.678691,0.671049,-0.199312,2.043726,1.200536,2.311479,-0.347777,-1.716710,1.798661,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128213,124993,1558,1153,125341,123729,2872,1262,0,2,0.58202,0.09808,0
1786018836.6586,C_right_left,C,right,0,left,,5,160.7000,344.1000,157.5000,171.8000,41.2000,0.0000,360.0000,311.6000,20.2000,0.0000,100.9000,0.0000,163.5000,0.0000,-0.90100,0.02800,0.34700,0.36000,4.06000,-0.54000,0.25200,0.08600,0.91700,-5.17000,-3.31000,3.41000,10.0,2.2,1.0,0.0,0.629322,0.157823,1.269344,-1.084407,0.101022,2.017462,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.652701,-0.134189,1.551000,-0.239029,0.008269,1.546418,-1.368415,-0.515645,-2.512408,-2.496444,2.380235,-0.678691,0.671049,-0.199312,2.043726,1.200536,2.311479,-0.347777,-1.716710,1.798661,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128213,124993,1558,1153,125341,123729,2872,1262,0,2,0.58202,0.09808,0
1786018836.6896,C_right_left,C,right,0,left,,6,160.7000,344.2000,157.5000,171.6000,40.2000,0.0000,360.0000,311.7000,20.2000,0.0000,101.0000,0.0000,164.4000,0.0000,-0.87500,0.06100,0.32200,-3.27000,-0.25000,-1.95000,0.30200,0.03600,0.90200,-0.61000,-5.54000,-9.27000,10.3,3.9,1.0,0.0,1.009897,0.654597,1.362563,-0.239029,0.008270,1.546418,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.652701,-0.134189,1.551000,-0.239029,0.008269,1.546418,-1.368415,-0.515645,-2.512408,-2.496444,2.380235,-0.678691,0.671049,-0.199312,2.043726,1.200536,2.311479,-0.347777,-1.716710,1.798661,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8595,8526,1526,1115,6072,7322,2523,1204,0,0,0.57654,0.09808,0
1786018836.7127,C_right_left,C,right,0,left,,7,160.7000,344.2000,157.4000,171.8000,40.1000,0.0000,360.0000,311.6000,20.2000,0.0000,101.0000,0.0000,164.5000,0.0000,-0.87000,0.04600,0.30300,-0.50000,-2.17000,0.28000,0.23600,0.11600,0.89900,-0.84000,-247.00000,-7.41000,10.3,3.9,1.0,0.0,0.631566,0.158109,1.270022,-1.084407,0.101022,2.017462,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.652701,-0.134189,1.551000,-0.239029,0.008269,1.546418,-1.368415,-0.515645,-2.512408,-2.496444,2.380235,-0.678691,0.671049,-0.199312,2.043726,1.200536,2.311479,-0.347777,-1.716710,1.798661,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128213,124993,1558,1153,125341,123729,2872,1262,0,2,0.58202,0.09808,0
1786018836.7194,C_right_left,C,right,0,left,,8,160.7000,344.2000,157.4000,171.8000,40.1000,0.0000,360.0000,311.6000,20.2000,0.0000,101.0000,0.0000,164.5000,0.0000,-0.87000,0.04600,0.30300,-0.50000,-2.17000,0.28000,0.23600,0.11600,0.89900,-0.84000,-247.00000,-7.41000,10.3,3.9,1.0,0.0,0.631566,0.158109,1.270022,-1.084407,0.101022,2.017462,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.652701,-0.134189,1.551000,-0.239029,0.008269,1.546418,-1.368415,-0.515645,-2.512408,-2.496444,2.380235,-0.678691,0.671049,-0.199312,2.043726,1.200536,2.311479,-0.347777,-1.716710,1.798661,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128213,124993,1558,1153,125341,123729,2872,1262,0,2,0.58202,0.09808,0
1786018836.7483,C_right_left,C,right,0,left,,9,160.8000,344.4000,157.4000,172.0000,44.2000,0.0000,360.0000,311.6000,20.2000,0.0000,101.0000,0.0000,164.9000,0.0000,-0.89300,0.06100,0.27900,4.69000,-2.91000,4.71000,0.23000,0.08000,0.88300,-1.15000,3.50000,-6.33000,9.8,2.8,1.0,0.0,0.635622,0.158679,1.271315,-1.084407,0.101022,2.017462,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.652701,-0.134189,1.551000,-0.239029,0.008269,1.546418,-1.368415,-0.515645,-2.512408,-2.496444,2.380235,-0.678691,0.671049,-0.199312,2.043726,1.200536,2.311479,-0.347777,-1.716710,1.798661,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8595,8526,1526,1115,6072,7322,2523,1204,0,0,0.57654,0.09808,0
1786018836.7641,C_right_left,C,right,0,left,,10,160.7000,344.3000,157.4000,172.1000,45.5000,0.0000,360.0000,311.9000,20.2000,0.0000,101.0000,0.0000,164.9000,0.0000,-0.87200,0.04500,0.27600,6.45000,-0.24000,6.16000,0.23300,0.07100,0.87200,-0.02000,7.25000,-7.60000,9.5,3.0,1.0,0.0,0.637753,0.158942,1.271933,-1.084407,0.101022,2.017462,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.652701,-0.134189,1.551000,-0.239029,0.008269,1.546418,-1.368415,-0.515645,-2.512408,-2.496444,2.380235,-0.678691,0.671049,-0.199312,2.043726,1.200536,2.311479,-0.347777,-1.716710,1.798661,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128213,124993,1558,1153,125341,123729,2872,1262,0,2,0.58202,0.09808,0
1786018836.7827,C_right_left,C,right,0,left,,11,160.7000,344.3000,157.4000,172.1000,45.5000,0.0000,360.0000,311.9000,20.2000,0.0000,101.0000,0.0000,164.9000,0.0000,-0.87200,0.04500,0.27600,6.45000,-0.24000,6.16000,0.23300,0.07100,0.87200,-0.02000,7.25000,-7.60000,9.5,3.0,1.0,0.0,0.637753,0.158942,1.271933,-1.084407,0.101022,2.017462,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.652701,-0.134189,1.551000,-0.239029,0.008269,1.546418,-1.368415,-0.515645,-2.512408,-2.496444,2.380235,-0.678691,0.671049,-0.199312,2.043726,1.200536,2.311479,-0.347777,-1.716710,1.798661,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8595,8526,1527,1115,6072,7322,2523,1204,0,0,0.57654,0.09808,0
1786018836.8063,C_right_left,C,right,0,left,,12,160.7000,344.3000,157.4000,172.1000,45.5000,0.0000,360.0000,311.9000,20.2000,0.0000,101.0000,0.0000,164.9000,0.0000,-0.87200,0.04500,0.27600,6.45000,-0.24000,6.16000,0.23300,0.07100,0.87200,-0.02000,7.25000,-7.60000,9.5,3.0,1.0,0.0,0.637753,0.158942,1.271933,-1.084407,0.101022,2.017462,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.652701,-0.134189,1.551000,-0.239029,0.008269,1.546418,-1.368415,-0.515645,-2.512408,-2.496444,2.380235,-0.678691,0.671049,-0.199312,2.043726,1.200536,2.311479,-0.347777,-1.716710,1.798661,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8596,124993,1527,1153,6072,123729,2524,1262,0,2,0.48199,0.09808,0
1786018836.8234,C_right_left,C,right,0,left,,13,160.7000,344.3000,157.4000,172.1000,45.5000,0.0000,360.0000,311.9000,20.2000,0.0000,101.0000,0.0000,164.9000,0.0000,-0.87200,0.04500,0.27600,6.45000,-0.24000,6.16000,0.23300,0.07100,0.87200,-0.02000,7.25000,-7.60000,9.5,3.0,1.0,0.0,0.637753,0.158942,1.271933,-1.084407,0.101022,2.017462,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.652701,-0.134189,1.551000,-0.239029,0.008269,1.546418,-1.368415,-0.515645,-2.512408,-2.496444,2.380235,-0.678691,0.671049,-0.199312,2.043726,1.200536,2.311479,-0.347777,-1.716710,1.798661,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8596,124993,1527,1153,6072,123729,2524,1262,0,2,0.48199,0.09808,0
1786018836.8399,C_right_left,C,right,0,left,,14,160.7000,344.2000,157.5000,172.5000,44.8000,0.0000,300.0000,311.7000,20.2000,0.0000,101.1000,0.0000,164.9000,0.0000,-0.89800,0.03400,0.31600,4.08000,8.47000,6.55000,0.26200,0.07300,0.90800,-5.06000,4.96000,-14.10000,9.2,1.7,1.0,0.0,1.010458,0.654662,1.361598,-0.239029,0.008270,1.546418,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.659979,-0.131940,1.553597,-0.239029,0.008269,1.546418,-1.368415,-0.515645,-2.512408,-2.496444,2.380235,-0.678691,0.671049,-0.199312,2.043726,1.200536,2.311479,-0.347777,-1.716710,1.798661,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128214,124993,1559,1153,125341,123729,2873,1262,0,2,0.48199,0.09808,0
