t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786018923.2964,D_left_front_left,D,left,0,front_left,,0,199.5000,331.5000,216.9000,275.7000,307.9000,2.4000,360.0000,351.2000,23.3000,0.0000,151.3000,0.0000,118.2000,0.0000,0.27600,0.05500,0.89500,-3.81000,11.40000,-13.56000,-0.94100,-0.02500,0.26900,3.84000,1.92000,-6.19000,13.9,4.0,1.0,1.0,0.733254,0.015730,1.720152,-0.157320,-0.493128,1.588645,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.731817,0.012198,1.721292,-0.100836,0.013868,1.408864,-2.303314,-0.303687,-1.524791,-1.795013,2.169809,-0.407547,0.971837,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128596,125207,1756,1385,125472,123759,3124,1406,0,42,0.61383,-0.05114,0
1786018923.3176,D_left_front_left,D,left,0,front_left,,1,199.5000,331.5000,216.9000,275.7000,307.9000,2.4000,360.0000,351.2000,23.3000,0.0000,151.3000,0.0000,118.2000,0.0000,0.27600,0.05500,0.89500,-3.81000,11.40000,-13.56000,-0.91800,-0.03700,0.25100,-3.60000,1.88000,-2.37000,13.9,4.0,1.0,1.0,0.733254,0.015730,1.720152,-0.157320,-0.493128,1.588645,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.731817,0.012198,1.721292,-0.100836,0.013868,1.408864,-2.303314,-0.303687,-1.524791,-1.795013,2.169809,-0.407547,0.971837,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8956,8736,1731,1347,6191,7346,2765,1338,0,52,0.61383,-0.05114,0
1786018923.3376,D_left_front_left,D,left,0,front_left,,2,199.5000,331.5000,216.9000,275.7000,307.9000,2.4000,360.0000,351.2000,23.3000,0.0000,151.3000,0.0000,118.2000,0.0000,0.27600,0.05500,0.89500,-3.81000,11.40000,-13.56000,-0.91800,-0.03700,0.25100,-3.60000,1.88000,-2.37000,13.9,4.0,1.0,1.0,0.733254,0.015730,1.720152,-0.157320,-0.493128,1.588645,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.731817,0.012198,1.721292,-0.100836,0.013868,1.408864,-2.303314,-0.303687,-1.524791,-1.795013,2.169809,-0.407547,0.971837,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8956,8736,1731,1347,6191,7346,2765,1338,0,52,0.61383,-0.05114,0
1786018923.3629,D_left_front_left,D,left,0,front_left,,3,199.5000,331.5000,216.9000,275.7000,307.9000,2.4000,360.0000,351.2000,23.3000,0.0000,151.3000,0.0000,118.2000,0.0000,0.27600,0.05500,0.89500,-3.81000,11.40000,-13.56000,-0.91800,-0.03700,0.25100,-3.60000,1.88000,-2.37000,13.9,4.0,1.0,1.0,0.733254,0.015730,1.720152,-0.157320,-0.493128,1.588645,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.732560,0.014020,1.720709,-0.100836,0.013868,1.408864,-2.306191,-0.305895,-1.517271,-1.790651,2.171972,-0.402181,0.972915,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128597,125208,1756,1385,125473,123759,3124,1407,0,42,0.60398,-0.05114,0
1786018923.3818,D_left_front_left,D,left,0,front_left,,4,200.8000,332.4000,216.9000,276.1000,306.5000,24.0000,360.0000,351.2000,23.3000,0.0000,151.3000,0.0000,118.2000,0.0000,0.25300,-0.06200,0.90200,23.24000,-10.27000,8.26000,-0.91800,-0.03700,0.25100,-3.60000,1.88000,-2.37000,13.8,4.1,1.0,1.0,0.733254,0.015730,1.720152,-0.157320,-0.493128,1.588645,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.732560,0.014020,1.720709,-0.100836,0.013868,1.408864,-2.307282,-0.306732,-1.514420,-1.788997,2.172792,-0.400147,0.973323,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128597,125208,1756,1385,125473,123759,3124,1407,0,42,0.60398,-0.05114,0
1786018923.3973,D_left_front_left,D,left,0,front_left,,5,200.8000,332.4000,216.9000,276.1000,306.5000,24.0000,360.0000,351.2000,23.3000,0.0000,151.0000,0.0000,118.3000,0.0000,0.25300,-0.06200,0.90200,23.24000,-10.27000,8.26000,-0.95000,0.00100,0.28300,-0.15000,2.17000,0.31000,13.8,4.1,1.0,1.0,0.733254,0.015730,1.720152,-0.157320,-0.493128,1.588645,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.732560,0.014020,1.720709,-0.100836,0.013868,1.408864,-2.307833,-0.307155,-1.512977,-1.788160,2.173207,-0.399117,0.973530,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8957,8737,1731,1347,6192,7346,2765,1339,0,52,0.60398,-0.05114,0
1786018923.4185,D_left_front_left,D,left,0,front_left,,6,201.0000,332.7000,217.4000,276.1000,306.3000,2.3000,360.0000,351.2000,23.3000,0.0000,151.3000,0.0000,118.2000,0.0000,0.43900,0.10300,0.92100,31.27000,-11.02000,-3.56000,-0.95300,-0.01200,0.28800,-0.02000,1.21000,2.66000,13.9,3.2,1.0,1.0,0.733254,0.015730,1.720152,-0.157320,-0.493128,1.588645,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.732560,0.014020,1.720709,-0.100836,0.013868,1.408864,-2.307858,-0.306732,-1.512468,-1.788159,2.173626,-0.398640,0.972740,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8958,8737,1731,1347,6193,7346,2765,1339,0,52,0.60446,-0.05114,0
1786018923.4398,D_left_front_left,D,left,0,front_left,,7,201.0000,333.0000,217.8000,283.2000,306.2000,2.0000,360.0000,351.2000,23.3000,0.0000,151.3000,0.0000,118.2000,0.0000,0.35000,0.08300,0.88100,22.24000,-9.27000,4.25000,-0.95300,-0.01200,0.28800,-0.02000,1.21000,2.66000,14.3,3.8,1.0,1.0,0.713962,0.303132,1.446585,-0.157320,-0.493128,1.588645,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.733250,0.015732,1.720153,-0.100836,0.013868,1.408864,-2.307877,-0.306393,-1.512060,-1.788159,2.173962,-0.398259,0.972108,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8958,8737,1731,1347,6193,7346,2765,1339,0,52,0.60446,-0.05114,0
1786018923.4592,D_left_front_left,D,left,0,front_left,,8,201.0000,333.0000,218.3000,278.3000,306.2000,2.4000,360.0000,351.2000,23.3000,0.0000,151.3000,0.0000,118.2000,0.0000,0.28900,0.10700,0.89800,-1.66000,9.75000,11.50000,-0.96200,-0.01900,0.29000,5.68000,-0.34000,4.82000,15.2,3.0,1.0,1.0,0.713962,0.303132,1.446585,-1.170179,-0.165741,2.057117,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.733250,0.015732,1.720153,-0.100836,0.013868,1.408864,-2.307929,-0.305508,-1.510994,-1.788158,2.174840,-0.397264,0.970457,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128599,125209,1756,1385,125475,123759,3124,1408,0,42,0.60492,-0.05114,0
1786018923.4846,D_left_front_left,D,left,0,front_left,,9,201.0000,333.0000,218.3000,278.3000,306.2000,2.4000,360.0000,351.2000,23.3000,0.0000,151.3000,0.0000,118.2000,0.0000,0.28900,0.10700,0.89800,-1.66000,9.75000,11.50000,-0.92400,-0.00600,0.26200,-2.68000,-7.14000,10.67000,15.2,3.0,1.0,1.0,0.713962,0.303132,1.446585,-1.170179,-0.165741,2.057117,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.733250,0.015732,1.720153,-0.100836,0.013868,1.408864,-2.307939,-0.305355,-1.510809,-1.788158,2.174993,-0.397091,0.970170,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8959,8738,1731,1347,6194,7346,2765,1340,0,52,0.60492,-0.05114,0
