t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786018947.5394,D_left_front_right,D,left,0,front_right,,0,195.1000,344.4000,137.2000,256.9000,0.0000,121.4000,349.2000,349.4000,20.7000,0.0000,153.7000,0.0000,121.7000,0.0000,0.28400,0.09400,0.89000,-23.17000,21.17000,21.54000,-0.90800,0.04400,0.22700,-0.07000,4.55000,-5.79000,12.2,1.9,1.0,1.0,0.797289,0.399498,1.759377,-0.198731,-0.509696,1.555125,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.713962,0.303132,1.446585,-0.100836,0.013868,1.408864,-2.229827,-1.039208,-1.316872,-1.339398,2.656754,0.034898,1.234825,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9066,8785,1787,1416,6249,7346,2817,1363,0,76,0.56138,-0.05114,0
1786018947.5647,D_left_front_right,D,left,0,front_right,,1,195.1000,344.4000,137.2000,256.9000,0.0000,121.4000,349.2000,349.4000,20.7000,0.0000,153.2000,0.0000,121.7000,0.0000,0.28400,0.09400,0.89000,-23.17000,21.17000,21.54000,-0.91000,0.05800,0.23800,1.27000,4.60000,-6.24000,12.2,1.9,1.0,1.0,0.797289,0.399498,1.759377,-0.199536,-0.509782,1.554830,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.713962,0.303132,1.446585,-0.100836,0.013868,1.408864,-2.229827,-1.039208,-1.316872,-1.339398,2.656754,0.034898,1.234825,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9066,8785,1787,1416,6249,7346,2817,1363,0,76,0.56138,-0.05114,0
1786018947.5833,D_left_front_right,D,left,0,front_right,,2,195.1000,344.4000,137.2000,256.9000,0.0000,121.4000,349.2000,349.4000,20.7000,0.0000,153.2000,0.0000,121.7000,0.0000,0.28400,0.09400,0.89000,-23.17000,21.17000,21.54000,-0.91000,0.05800,0.23800,1.27000,4.60000,-6.24000,12.2,1.9,1.0,1.0,0.797289,0.399498,1.759377,-0.199536,-0.509782,1.554830,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.713962,0.303132,1.446585,-0.100836,0.013868,1.408864,-2.229827,-1.039208,-1.316872,-1.339398,2.656754,0.034898,1.234825,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9066,125253,1787,1451,6249,123760,2817,1433,0,60,0.56138,-0.05114,0
1786018947.5996,D_left_front_right,D,left,0,front_right,,3,195.1000,344.4000,137.2000,256.9000,0.0000,121.4000,349.2000,349.4000,20.7000,0.0000,153.2000,0.0000,121.7000,0.0000,0.28400,0.09400,0.89000,-23.17000,21.17000,21.54000,-0.91000,0.05800,0.23800,1.27000,4.60000,-6.24000,12.2,1.9,1.0,1.0,0.797289,0.399498,1.759377,-0.199536,-0.509782,1.554830,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.713962,0.303132,1.446585,-0.100836,0.013868,1.408864,-2.229827,-1.039208,-1.316872,-1.339398,2.656754,0.034898,1.234825,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128705,125253,1810,1451,125527,123760,3178,1433,0,60,0.56138,-0.05114,0
1786018947.6230,D_left_front_right,D,left,0,front_right,,4,195.1000,344.4000,137.2000,256.9000,0.0000,121.4000,349.2000,349.4000,20.7000,0.0000,153.2000,0.0000,121.7000,0.0000,0.28400,0.09400,0.89000,-23.17000,21.17000,21.54000,-0.91000,0.05800,0.23800,1.27000,4.60000,-6.24000,12.2,1.9,1.0,1.0,0.797289,0.399498,1.759377,-0.199536,-0.509782,1.554830,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.713962,0.303132,1.446585,-0.100836,0.013868,1.408864,-2.229827,-1.039208,-1.316872,-1.339398,2.656754,0.034898,1.234825,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9066,8785,1787,1416,6249,7346,2817,1363,0,76,0.56138,-0.05114,0
1786018947.6419,D_left_front_right,D,left,0,front_right,,5,195.1000,344.5000,136.5000,256.9000,0.0000,123.9000,349.1000,349.2000,20.7000,0.0000,152.4000,0.0000,121.6000,0.0000,0.31200,-0.12900,0.94400,3.49000,3.50000,5.27000,-0.93600,0.02700,0.23500,-7.76000,-1.96000,-2.27000,12.2,1.9,1.0,1.0,1.082470,0.790698,1.532568,-0.281728,0.045248,1.405999,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.713962,0.303132,1.446585,-0.100836,0.013868,1.408864,-2.229827,-1.039208,-1.316872,-1.339398,2.656754,0.034898,1.234825,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9066,8785,1787,1416,6249,7346,2817,1363,0,76,0.56138,-0.05114,0
1786018947.6675,D_left_front_right,D,left,0,front_right,,6,195.1000,344.5000,136.5000,256.9000,0.0000,123.9000,349.1000,349.2000,20.7000,0.0000,152.4000,0.0000,121.6000,0.0000,0.31200,-0.12900,0.94400,3.49000,3.50000,5.27000,-0.93600,0.02700,0.23500,-7.76000,-1.96000,-2.27000,12.2,1.9,1.0,1.0,1.082470,0.790698,1.532568,-0.281728,0.045248,1.405999,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.713962,0.303132,1.446585,-0.100836,0.013868,1.408864,-2.229827,-1.039208,-1.316872,-1.339398,2.656754,0.034898,1.234825,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128705,125253,1810,1452,125527,123760,3178,1433,0,60,0.56138,-0.05114,0
1786018947.6805,D_left_front_right,D,left,0,front_right,,7,195.1000,344.5000,136.5000,256.9000,0.0000,123.9000,349.1000,349.2000,20.7000,0.0000,152.4000,0.0000,121.6000,0.0000,0.31200,-0.12900,0.94400,3.49000,3.50000,5.27000,-0.93600,0.02700,0.23500,-7.76000,-1.96000,-2.27000,12.2,1.9,1.0,1.0,1.082470,0.790698,1.532568,-0.281728,0.045248,1.405999,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.713962,0.303132,1.446585,-0.100836,0.013868,1.408864,-2.229827,-1.039208,-1.316872,-1.339398,2.656754,0.034898,1.234825,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128705,125253,1811,1452,125527,123760,3178,1433,0,60,0.56138,-0.05114,0
1786018947.7143,D_left_front_right,D,left,0,front_right,,8,195.1000,344.5000,136.3000,257.0000,0.0000,124.7000,349.2000,349.2000,20.5000,0.0000,150.3000,0.0000,121.6000,0.0000,0.34000,-0.08800,0.86800,-0.62000,-5.10000,1.54000,-0.94900,0.04200,0.26900,-2.47000,-1.22000,1.60000,12.2,1.9,1.0,1.0,0.797289,0.399498,1.759377,-0.198573,-0.509771,1.555265,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.713962,0.303132,1.446585,-0.100836,0.013868,1.408864,-2.229827,-1.039208,-1.316872,-1.339398,2.656754,0.034898,1.234825,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9066,8785,1788,1417,6249,7346,2817,1363,0,76,0.56138,-0.05114,0
1786018947.7363,D_left_front_right,D,left,0,front_right,,9,195.1000,344.5000,136.3000,257.0000,0.0000,124.7000,349.2000,349.2000,20.5000,0.0000,150.3000,0.0000,121.6000,0.0000,0.34000,-0.08800,0.86800,-0.62000,-5.10000,1.54000,-0.94900,0.04200,0.26900,-2.47000,-1.22000,1.60000,12.2,1.9,1.0,1.0,0.797289,0.399498,1.759377,-0.198573,-0.509771,1.555265,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.713962,0.303132,1.446585,-0.100836,0.013868,1.408864,-2.229827,-1.039208,-1.316872,-1.339398,2.656754,0.034898,1.234825,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9066,125253,1788,1452,6249,123760,2817,1433,0,60,0.56138,-0.05114,0
