t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019245.7997,D_right_down_back,D,right,0,down_back,,0,163.9000,344.1000,157.1000,173.4000,137.1000,171.7000,349.0000,335.8000,25.8000,0.0000,128.1000,0.0000,203.2000,0.0000,-0.89900,0.04200,0.28400,5.28000,0.71000,6.31000,-0.01100,0.06400,0.88300,-5.92000,9.59000,25.92000,9.7,3.0,1.0,1.0,0.607038,0.554051,1.400815,-1.295073,-0.971448,2.739108,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.627716,0.078726,1.607726,-0.100836,0.013868,1.408864,2.336655,-1.510527,-0.945855,2.023868,-2.756137,1.733088,0.809580,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9658,125765,2689,2317,6693,123760,2965,1858,0,147,0.33362,-0.05114,0
1786019245.8206,D_right_down_back,D,right,0,down_back,,1,163.9000,344.1000,157.1000,173.3000,157.7000,97.3000,349.0000,335.8000,25.4000,0.0000,127.5000,0.0000,201.3000,0.0000,-0.89800,0.03400,0.31200,3.26000,4.17000,6.09000,-0.15800,0.08800,0.91300,15.42000,17.42000,6.31000,7.2,2.5,1.0,1.0,0.628876,0.078981,1.608146,-0.378252,-1.181731,1.972405,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.627716,0.078726,1.607726,-0.100836,0.013868,1.408864,2.336655,-1.510527,-0.945855,2.023868,-2.756137,1.733088,0.809580,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9658,125765,2689,2317,6693,123760,2965,1858,0,147,0.33362,-0.05114,0
1786019245.8566,D_right_down_back,D,right,0,down_back,,2,163.9000,344.0000,157.1000,173.3000,160.9000,73.1000,349.0000,335.8000,25.4000,0.0000,127.5000,0.0000,201.3000,0.0000,-0.89800,0.01900,0.31500,4.45000,2.12000,0.83000,-0.15800,0.08800,0.91300,15.42000,17.42000,6.31000,10.0,1.3,1.0,1.0,1.101800,1.266577,1.619529,-0.378252,-1.181731,1.972405,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.627716,0.078726,1.607726,-0.100836,0.013868,1.408864,2.336655,-1.510527,-0.945855,2.023868,-2.756137,1.733088,0.809580,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129308,9314,2702,2269,125971,7347,3337,1818,0,149,0.33362,-0.05114,0
1786019245.8735,D_right_down_back,D,right,0,down_back,,3,163.9000,344.0000,157.1000,173.3000,160.9000,73.1000,349.0000,335.8000,25.1000,0.0000,127.1000,0.0000,200.0000,0.0000,-0.89800,0.01900,0.31500,4.45000,2.12000,0.83000,-0.14800,0.08800,0.94800,-9.21000,-0.41000,-8.69000,10.0,1.3,1.0,1.0,1.101800,1.266577,1.619529,-0.278852,-0.459506,2.294968,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.627716,0.078726,1.607726,-0.100836,0.013868,1.408864,2.336655,-1.510527,-0.945855,2.023868,-2.756137,1.733088,0.809580,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9658,125765,2689,2317,6693,123760,2965,1858,0,147,0.33362,-0.05114,0
1786019245.8839,D_right_down_back,D,right,0,down_back,,4,163.9000,344.0000,157.1000,173.3000,160.9000,73.1000,349.0000,335.8000,25.1000,0.0000,127.1000,0.0000,200.0000,0.0000,-0.89800,0.01900,0.31500,4.45000,2.12000,0.83000,-0.14800,0.08800,0.94800,-9.21000,-0.41000,-8.69000,10.0,1.3,1.0,1.0,1.101800,1.266577,1.619529,-0.278852,-0.459506,2.294968,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.627716,0.078726,1.607726,-0.100836,0.013868,1.408864,2.336655,-1.510527,-0.945855,2.023868,-2.756137,1.733088,0.809580,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9658,125765,2689,2317,6693,123760,2965,1858,0,147,0.33362,-0.05114,0
1786019245.9000,D_right_down_back,D,right,0,down_back,,5,163.9000,344.0000,157.1000,173.3000,160.9000,73.1000,349.0000,335.8000,25.1000,0.0000,127.1000,0.0000,200.0000,0.0000,-0.89800,0.01900,0.31500,4.45000,2.12000,0.83000,-0.14800,0.08800,0.94800,-9.21000,-0.41000,-8.69000,10.0,1.3,1.0,1.0,1.101800,1.266577,1.619529,-0.278852,-0.459506,2.294968,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.627716,0.078726,1.607726,-0.100836,0.013868,1.408864,2.336655,-1.510527,-0.945855,2.023868,-2.756137,1.733088,0.809580,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9658,125765,2689,2317,6693,123760,2965,1858,0,147,0.33362,-0.05114,0
1786019245.9219,D_right_down_back,D,right,0,down_back,,6,163.9000,344.0000,157.1000,173.3000,160.9000,73.1000,349.0000,336.3000,25.2000,0.0000,127.0000,0.0000,200.4000,0.0000,-0.89800,0.01900,0.31500,4.45000,2.12000,0.83000,0.00100,0.06300,0.88800,-11.99000,-4.84000,-1.53000,9.8,3.1,1.0,1.0,1.101800,1.266577,1.619529,-0.278852,-0.459506,2.294968,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.627716,0.078726,1.607726,-0.100836,0.013868,1.408864,2.336655,-1.510527,-0.945855,2.023868,-2.756137,1.733088,0.809580,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129308,9314,2702,2269,125971,7347,3337,1818,0,149,0.33362,-0.05114,0
1786019245.9407,D_right_down_back,D,right,0,down_back,,7,163.9000,344.0000,157.1000,173.3000,160.9000,73.1000,349.0000,336.3000,25.2000,0.0000,127.0000,0.0000,200.4000,0.0000,-0.89800,0.01900,0.31500,4.45000,2.12000,0.83000,0.00100,0.06300,0.88800,-11.99000,-4.84000,-1.53000,9.3,3.0,1.0,1.0,1.101800,1.266577,1.619529,-0.278852,-0.459506,2.294968,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.627716,0.078726,1.607726,-0.100836,0.013868,1.408864,2.336655,-1.510527,-0.945855,2.023868,-2.756137,1.733088,0.809580,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129308,9314,2702,2269,125971,7347,3337,1818,0,149,0.33362,-0.05114,0
1786019245.9638,D_right_down_back,D,right,0,down_back,,8,163.8000,344.1000,156.8000,173.5000,160.4000,138.5000,349.1000,336.3000,25.2000,0.0000,127.0000,0.0000,200.4000,0.0000,-0.88700,0.05900,0.30600,1.50000,1.11000,1.96000,0.00100,0.06300,0.88800,-11.99000,-4.84000,-1.53000,9.4,2.5,1.0,1.0,0.605364,0.553690,1.400223,-0.278852,-0.459506,2.294968,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.627716,0.078726,1.607726,-0.100836,0.013868,1.408864,2.336655,-1.510527,-0.945855,2.023868,-2.756137,1.733088,0.809580,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9658,9314,2689,2269,6693,7347,2965,1818,0,149,0.33362,-0.05114,0
1786019245.9822,D_right_down_back,D,right,0,down_back,,9,163.8000,344.1000,156.8000,173.5000,160.4000,138.5000,349.1000,336.6000,25.2000,0.0000,127.2000,0.0000,201.0000,0.0000,-0.88700,0.05900,0.30600,1.50000,1.11000,1.96000,-0.10700,0.07000,0.90600,-2.47000,5.27000,-1.16000,9.2,3.1,1.0,1.0,0.605364,0.553690,1.400223,-1.295073,-0.971448,2.739108,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.627716,0.078726,1.607726,-0.100836,0.013868,1.408864,2.336655,-1.510527,-0.945855,2.023868,-2.756137,1.733088,0.809580,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129308,125765,2702,2317,125971,123760,3337,1858,0,147,0.33362,-0.05114,0
