t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019215.1168,D_right_down_front,D,right,0,down_front,,0,163.9000,344.1000,158.1000,172.8000,142.6000,45.8000,349.6000,330.8000,34.7000,0.0000,118.8000,0.0000,35.0000,0.0000,-0.91000,0.04600,0.30800,5.10000,3.43000,4.66000,0.06600,-0.04900,0.92000,29.46000,-1.94000,-1.70000,9.9,2.7,1.0,1.0,0.600331,0.552781,1.399039,-1.296768,-0.846312,2.719923,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.620189,0.077386,1.642706,-0.100836,0.013868,1.408864,2.322410,-1.589128,-0.840626,1.981345,-2.779849,1.679982,0.661586,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129255,9314,2611,2162,125918,7347,3337,1818,0,149,0.29432,-0.05114,0
1786019215.1479,D_right_down_front,D,right,0,down_front,,1,163.9000,344.1000,158.1000,172.8000,142.6000,45.8000,349.6000,330.7000,33.7000,0.0000,120.6000,0.0000,4.8000,0.0000,-0.91000,0.04600,0.30800,5.10000,3.43000,4.66000,0.12100,0.14100,0.96800,-1.07000,-7.75000,-6.77000,10.2,2.9,1.0,1.0,0.600331,0.552781,1.399039,-0.392941,-1.147301,2.001369,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.620189,0.077386,1.642706,-0.100836,0.013868,1.408864,2.322410,-1.589128,-0.840626,1.981345,-2.779849,1.679982,0.661586,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9600,9314,2602,2162,6635,7347,2965,1818,0,149,0.29432,-0.05114,0
1786019215.1732,D_right_down_front,D,right,0,down_front,,2,163.9000,344.1000,158.1000,173.0000,131.6000,4.0000,349.6000,330.7000,33.5000,0.0000,120.8000,0.0000,0.0000,0.0000,-0.89600,0.03200,0.34100,-1.42000,4.08000,-2.68000,0.15300,0.03200,0.95800,-9.56000,-6.70000,-14.36000,10.6,1.9,1.0,1.0,0.626594,0.078591,1.610128,-0.392941,-1.147301,2.001369,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.620189,0.077386,1.642706,-0.100836,0.013868,1.408864,2.322410,-1.589128,-0.840626,1.981345,-2.779849,1.679982,0.661586,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9600,125765,2602,2208,6635,123760,2965,1858,0,147,0.29432,-0.05114,0
1786019215.1847,D_right_down_front,D,right,0,down_front,,3,163.9000,344.1000,158.2000,172.8000,131.1000,43.3000,349.5000,330.8000,33.3000,0.0000,105.6000,0.0000,0.0000,0.0000,-0.88200,0.03500,0.33700,-0.15000,-0.47000,-3.38000,0.26700,0.02600,0.92400,2.92000,0.95000,-27.59000,10.9,1.0,1.0,1.0,1.097100,1.266198,1.618529,-0.278852,-0.459506,2.294968,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.620189,0.077386,1.642706,-0.100836,0.013868,1.408864,2.322410,-1.589128,-0.840626,1.981345,-2.779849,1.679982,0.661586,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129255,125765,2611,2208,125918,123760,3337,1858,0,147,0.29432,-0.05114,0
1786019215.2074,D_right_down_front,D,right,0,down_front,,4,163.9000,344.1000,158.2000,172.7000,130.6000,94.3000,349.5000,330.8000,33.3000,0.0000,105.6000,0.0000,0.0000,0.0000,-0.87100,0.03600,0.32100,2.06000,-2.05000,-2.82000,0.26700,0.02600,0.92400,2.92000,0.95000,-27.59000,10.9,1.0,1.0,1.0,0.625785,0.078439,1.609265,-0.278852,-0.459506,2.294968,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.620189,0.077386,1.642706,-0.100836,0.013868,1.408864,2.322410,-1.589128,-0.840626,1.981345,-2.779849,1.679982,0.661586,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9600,9314,2602,2162,6635,7347,2965,1818,0,149,0.29432,-0.05114,0
1786019215.2228,D_right_down_front,D,right,0,down_front,,5,163.9000,344.1000,15.7000,172.7000,130.6000,126.2000,349.5000,330.7000,33.3000,0.0000,74.3000,0.0000,0.0000,0.0000,-0.88100,0.06200,0.30800,2.27000,-0.85000,-0.12000,0.16700,0.09600,0.91600,-5.10000,1.79000,5.34000,11.5,1.5,1.0,1.0,0.601294,0.552963,1.399400,-0.392941,-1.147301,2.001369,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.620189,0.077386,1.642706,-0.100836,0.013868,1.408864,2.322410,-1.589128,-0.840626,1.981345,-2.779849,1.679982,0.661586,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129255,9314,2611,2162,125918,7347,3337,1818,0,149,0.29432,-0.05114,0
1786019215.2486,D_right_down_front,D,right,0,down_front,,6,163.9000,344.2000,158.2000,172.7000,132.5000,144.4000,349.5000,330.7000,33.3000,0.0000,70.2000,0.0000,0.0000,0.0000,-0.89300,0.05200,0.29600,5.08000,0.44000,4.30000,0.16500,0.07000,0.90500,-6.76000,3.04000,9.53000,11.5,1.5,1.0,1.0,0.627827,0.078822,1.609515,-0.278852,-0.459506,2.294968,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.620189,0.077386,1.642706,-0.100836,0.013868,1.408864,2.322410,-1.589128,-0.840626,1.981345,-2.779849,1.679982,0.661586,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9600,125765,2602,2208,6635,123760,2965,1858,0,147,0.29432,-0.05114,0
1786019215.2679,D_right_down_front,D,right,0,down_front,,7,163.9000,344.2000,158.2000,172.7000,132.5000,144.4000,349.5000,330.7000,33.3000,0.0000,70.2000,0.0000,0.0000,0.0000,-0.89300,0.05200,0.29600,5.08000,0.44000,4.30000,0.16500,0.07000,0.90500,-6.76000,3.04000,9.53000,11.5,1.5,1.0,1.0,0.627827,0.078822,1.609515,-0.278852,-0.459506,2.294968,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.621008,0.077728,1.637989,-0.100836,0.013868,1.408864,2.322410,-1.589128,-0.840626,1.981345,-2.779849,1.679982,0.661586,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9600,125765,2602,2208,6635,123760,2965,1858,0,147,0.29432,-0.05114,0
1786019215.2971,D_right_down_front,D,right,0,down_front,,8,163.9000,344.2000,158.2000,172.7000,132.5000,144.4000,349.5000,330.7000,33.3000,0.0000,70.2000,0.0000,0.0000,0.0000,-0.89300,0.05200,0.29600,5.08000,0.44000,4.30000,0.16500,0.07000,0.90500,-6.76000,3.04000,9.53000,11.5,1.5,1.0,1.0,0.627827,0.078822,1.609515,-0.278852,-0.459506,2.294968,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.621008,0.077728,1.637989,-0.100836,0.013868,1.408864,2.322410,-1.589128,-0.840626,1.981345,-2.779849,1.679982,0.661586,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9600,125765,2603,2208,6635,123760,2965,1858,0,147,0.29432,-0.05114,0
1786019215.2976,D_right_down_front,D,right,0,down_front,,9,163.9000,344.2000,158.2000,172.7000,132.5000,144.4000,349.5000,330.7000,33.3000,0.0000,70.2000,0.0000,0.0000,0.0000,-0.89300,0.05200,0.29600,5.08000,0.44000,4.30000,0.16500,0.07000,0.90500,-6.76000,3.04000,9.53000,11.5,1.5,1.0,1.0,0.627827,0.078822,1.609515,-0.278852,-0.459506,2.294968,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.621008,0.077728,1.637989,-0.100836,0.013868,1.408864,2.322410,-1.589128,-0.840626,1.981345,-2.779849,1.679982,0.661586,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9600,125765,2603,2208,6635,123760,2965,1858,0,147,0.29432,-0.05114,0
