t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019140.6892,D_right_front_right,D,right,0,front_right,,0,167.9000,344.1000,158.5000,171.2000,63.4000,150.5000,343.0000,297.7000,20.4000,0.0000,99.8000,0.0000,153.0000,0.0000,-0.87500,0.05300,0.31900,-0.50000,-0.34000,0.04000,0.31300,0.05500,0.85800,8.47000,3.29000,-1.50000,11.2,2.3,1.0,1.0,0.632010,0.084955,1.568513,-0.194738,-0.929557,1.933434,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.643579,0.407895,1.626632,-0.100836,0.013868,1.408864,-3.298903,-1.329797,-1.321932,0.468327,-2.723327,1.119901,1.168501,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9465,9314,2375,1899,6512,7347,2953,1818,0,149,0.39449,-0.05114,0
1786019140.7095,D_right_front_right,D,right,0,front_right,,1,167.9000,344.2000,158.5000,171.2000,64.6000,164.5000,343.0000,297.3000,20.4000,0.0000,99.7000,0.0000,152.3000,0.0000,-0.88500,0.03300,0.31800,0.56000,0.20000,0.56000,0.26100,0.16800,0.87900,17.79000,7.27000,-8.14000,11.4,2.2,1.0,1.0,0.635500,0.490544,1.440052,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.643579,0.407895,1.626632,-0.100836,0.013868,1.408864,-3.298192,-1.330074,-1.322353,0.467657,-2.723705,1.119189,1.168256,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129112,9314,2385,1899,125790,7347,3322,1818,0,149,0.39449,-0.05114,0
1786019140.7464,D_right_front_right,D,right,0,front_right,,2,167.9000,344.1000,158.5000,171.2000,66.1000,171.9000,34.0000,297.3000,20.4000,0.0000,99.7000,0.0000,152.3000,0.0000,-0.87500,0.03800,0.31300,6.05000,0.96000,1.05000,0.26100,0.16800,0.87900,17.79000,7.27000,-8.14000,11.6,1.6,1.0,1.0,0.633558,0.085432,1.568931,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.642421,0.414894,1.616280,-0.100836,0.013868,1.408864,-3.285199,-1.335027,-1.329665,0.455710,-2.730617,1.106197,1.163868,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129113,125765,2385,1941,125790,123760,3323,1858,0,147,0.39428,-0.05114,0
1786019140.7502,D_right_front_right,D,right,0,front_right,,3,167.9000,344.1000,158.5000,171.2000,66.1000,171.9000,34.0000,297.3000,20.4000,0.0000,99.7000,0.0000,152.3000,0.0000,-0.87500,0.03800,0.31300,6.05000,0.96000,1.05000,0.26100,0.16800,0.87900,17.79000,7.27000,-8.14000,11.6,1.6,1.0,1.0,0.633558,0.085432,1.568931,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.642421,0.414894,1.616280,-0.100836,0.013868,1.408864,-3.285199,-1.335027,-1.329665,0.455710,-2.730617,1.106197,1.163868,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129113,125765,2385,1941,125790,123760,3323,1858,0,147,0.39428,-0.05114,0
1786019140.7781,D_right_front_right,D,right,0,front_right,,4,167.9000,344.1000,158.5000,171.2000,67.0000,173.5170,343.0000,297.3000,20.4000,0.0000,99.7000,0.0000,152.3000,0.0000,-0.87100,0.03700,0.31800,6.26000,4.68000,2.15000,0.26100,0.16800,0.87900,17.79000,7.27000,-8.14000,11.4,0.9,1.0,1.0,0.635500,0.490544,1.440052,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.642421,0.414894,1.616280,-0.100836,0.013868,1.408864,-3.261206,-1.344040,-1.342932,0.433975,-2.743225,1.082303,1.155882,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9467,125765,2375,1941,6513,123760,2954,1858,0,147,0.39146,-0.05114,0
1786019140.8036,D_right_front_right,D,right,0,front_right,,5,167.9000,344.1000,158.5000,171.2000,67.1000,169.6000,343.0000,297.0000,20.5000,0.0000,99.7000,0.0000,150.8000,0.0000,-0.87400,0.03700,0.32700,2.62000,7.34000,3.42000,0.29100,0.19800,0.90400,-11.62000,0.63000,0.91000,11.7,3.1,1.0,1.0,0.635500,0.490544,1.440052,-0.311882,-0.546856,2.284854,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.642421,0.414894,1.616280,-0.100836,0.013868,1.408864,-3.250720,-1.347790,-1.348454,0.424933,-2.748468,1.072083,1.152560,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129115,125765,2385,1941,125790,123760,3325,1858,0,147,0.39146,-0.05114,0
1786019140.8286,D_right_front_right,D,right,0,front_right,,6,167.9000,344.1000,158.5000,171.2000,67.1000,169.6000,343.0000,297.0000,20.5000,0.0000,99.7000,0.0000,150.8000,0.0000,-0.87400,0.03700,0.32700,2.62000,7.34000,3.42000,0.29100,0.19800,0.90400,-11.62000,0.63000,0.91000,11.7,3.1,1.0,1.0,0.635500,0.490544,1.440052,-0.311882,-0.546856,2.284854,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.642421,0.414894,1.616280,-0.100836,0.013868,1.408864,-3.250720,-1.347790,-1.348454,0.424933,-2.748468,1.072083,1.152560,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129115,125765,2385,1941,125790,123760,3325,1858,0,147,0.39146,-0.05114,0
1786019140.8340,D_right_front_right,D,right,0,front_right,,7,167.9000,344.1000,158.5000,171.2000,65.1000,171.9000,33.0000,296.9000,20.5000,0.0000,99.6000,0.0000,150.8000,0.0000,-0.89600,0.02100,0.37000,-0.87000,6.27000,4.36000,0.27600,0.18500,0.89600,-17.06000,1.81000,1.56000,11.2,1.7,1.0,1.0,0.635500,0.490544,1.440052,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.644460,0.405057,1.629725,-0.100836,0.013868,1.408864,-3.246857,-1.349162,-1.350474,0.421624,-2.750386,1.068342,1.151345,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9467,9314,2375,1900,6513,7347,2954,1818,0,149,0.39146,-0.05114,0
1786019140.8508,D_right_front_right,D,right,0,front_right,,8,167.9000,344.2000,158.5000,171.2000,63.4000,173.6000,342.9000,296.7000,20.5000,0.0000,99.6000,0.0000,150.8000,0.0000,-0.89400,0.01100,0.37300,1.53000,2.00000,1.85000,0.27100,0.08500,0.85800,-21.69000,-0.50000,0.37000,11.2,1.7,1.0,1.0,0.635500,0.490544,1.440052,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.644460,0.405057,1.629725,-0.100836,0.013868,1.408864,-3.239331,-1.351835,-1.354411,0.415177,-2.754125,1.061056,1.148976,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129115,125765,2385,1942,125790,123760,3325,1858,0,147,0.39146,-0.05114,0
1786019140.8758,D_right_front_right,D,right,0,front_right,,9,167.9000,344.2000,158.5000,171.2000,63.4000,173.6000,342.9000,296.6000,20.5000,0.0000,99.6000,0.0000,150.8000,0.0000,-0.89400,0.01100,0.37300,1.53000,2.00000,1.85000,0.36800,0.08100,0.84100,-11.79000,-2.82000,-4.52000,11.4,0.5,1.0,1.0,0.635500,0.490544,1.440052,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.643755,0.409746,1.623012,-0.100836,0.013868,1.408864,3.047728,-1.353288,-1.356471,0.411909,-2.756119,1.057316,1.147643,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9469,125765,2375,1942,6514,123760,2955,1858,0,147,0.39033,-0.05114,0
