t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019451.9448,E_left_front_r2,E,left,2,front,,0,181.5000,344.6000,187.0000,239.5000,0.0000,1.1000,322.4000,350.7000,26.6000,0.0000,0.0000,0.0000,121.9000,0.0000,0.39600,-0.13700,0.85100,8.16000,12.61000,-0.30000,-0.93900,-0.03100,0.34000,2.39000,7.00000,-13.65000,13.9,4.0,1.0,1.0,1.091536,0.244601,2.116848,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,0.1996,,,,,129436,9314,3408,2965,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
1786019451.9651,E_left_front_r2,E,left,2,front,,1,181.6000,344.0000,869.0000,239.5000,0.0000,0.0000,322.6000,350.9000,27.3000,0.0000,0.0000,0.0000,121.7000,0.0000,0.68000,-0.11800,0.70000,4.61000,16.40000,2.49000,-0.92600,-0.03700,0.32300,1.60000,8.40000,-1.05000,13.9,4.0,1.0,1.0,1.275034,1.578523,2.061819,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,0.4519,,,,,9803,125765,3378,3018,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019451.9945,E_left_front_r2,E,left,2,front,,2,181.9000,344.7000,186.6000,239.6000,0.0000,0.0000,322.4000,350.9000,27.3000,0.0000,0.0000,0.0000,121.7000,0.0000,0.36700,-0.07500,0.89900,-1.63000,20.43000,1.54000,-0.90600,-0.02500,0.31200,2.31000,9.63000,-0.18000,13.1,3.9,1.0,1.0,0.856862,0.822122,1.726022,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,0.4155,,,,,9803,125765,3378,3018,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019452.0069,E_left_front_r2,E,left,2,front,,3,181.9000,344.7000,186.6000,239.6000,0.0000,0.0000,322.4000,350.9000,27.3000,0.0000,0.0000,0.0000,121.7000,0.0000,0.36700,-0.07500,0.89900,-1.63000,20.43000,1.54000,-0.90600,-0.02500,0.31200,2.31000,9.63000,-0.18000,13.1,3.9,1.0,1.0,0.856862,0.822122,1.726022,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,0.4155,,,,,129436,9314,3408,2965,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
1786019452.0333,E_left_front_r2,E,left,2,front,,4,182.2000,344.6000,185.6000,241.4000,0.0000,0.0000,322.3000,350.9000,27.4000,0.0000,0.0000,0.0000,121.2000,0.0000,0.32700,-0.18000,0.90800,-1.79000,10.02000,-0.60000,-0.89600,-0.00500,0.31600,-0.05000,9.11000,-5.08000,14.8,4.8,1.0,1.0,1.275034,1.578523,2.061819,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,0.4904,,,,,129436,125765,3409,3018,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019452.0540,E_left_front_r2,E,left,2,front,,5,182.2000,344.6000,185.6000,241.4000,0.0000,0.0000,322.3000,350.9000,27.4000,0.0000,0.0000,0.0000,121.2000,0.0000,0.32700,-0.18000,0.90800,-1.79000,10.02000,-0.60000,-0.89600,-0.00500,0.31600,-0.05000,9.11000,-5.08000,14.8,4.8,1.0,1.0,1.275034,1.578523,2.061819,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,0.4904,,,,,129436,9314,3409,2966,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
1786019452.0707,E_left_front_r2,E,left,2,front,,6,182.2000,344.6000,185.6000,241.4000,0.0000,0.0000,322.3000,350.9000,27.4000,0.0000,0.0000,0.0000,121.2000,0.0000,0.32700,-0.18000,0.90800,-1.79000,10.02000,-0.60000,-0.89600,-0.00500,0.31600,-0.05000,9.11000,-5.08000,14.8,4.8,1.0,1.0,1.275034,1.578523,2.061819,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,0.4904,,,,,129436,9314,3409,2966,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
1786019452.0894,E_left_front_r2,E,left,2,front,,7,182.3000,344.6000,185.3000,241.8000,0.0000,0.0000,322.5000,350.9000,27.6000,0.0000,0.0000,0.0000,120.7000,0.0000,0.35700,-0.18700,0.83100,0.85000,-7.13000,7.56000,-0.94700,-0.04500,0.31000,-0.35000,-0.79000,5.09000,14.6,4.2,1.0,1.0,0.856862,0.822122,1.726022,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,0.5448,,,,,129436,9314,3409,2966,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
1786019452.1082,E_left_front_r2,E,left,2,front,,8,182.3000,344.6000,185.3000,241.8000,0.0000,0.0000,322.5000,350.9000,27.6000,0.0000,0.0000,0.0000,120.7000,0.0000,0.35700,-0.18700,0.83100,0.85000,-7.13000,7.56000,-0.94700,-0.04500,0.31000,-0.35000,-0.79000,5.09000,13.0,4.5,1.0,1.0,0.856862,0.822122,1.726022,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,0.5448,,,,,9803,125765,3379,3019,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019452.1395,E_left_front_r2,E,left,2,front,,9,182.3000,34.5000,185.3000,242.0000,0.0000,0.0000,322.3000,350.9000,27.6000,0.0000,0.0000,0.0000,120.4000,0.0000,0.42200,-0.04700,0.84400,7.55000,13.49000,-15.93000,-0.93000,-0.01600,0.30400,1.27000,-2.90000,3.37000,13.5,3.2,1.0,1.0,1.275034,1.578523,2.061819,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,0.6008,,,,,129436,9314,3409,2966,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
