t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019475.3521,E_left_left_r2,E,left,2,left,,0,156.1000,319.1000,230.4000,262.0000,297.0000,2.3000,360.0000,351.7000,23.4000,0.0000,0.0000,0.0000,122.9000,0.0000,0.30900,-0.07300,0.92300,9.65000,-4.59000,-10.43000,-0.93600,0.04700,0.20600,-1.23000,-0.88000,1.67000,18.4,9.1,1.0,1.0,0.856862,0.822122,1.726022,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,1.6149,,,,,9803,125765,3467,3102,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019475.3727,E_left_left_r2,E,left,2,left,,1,156.1000,319.2000,230.4000,261.9000,297.0000,2.3000,360.0000,351.7000,23.4000,0.0000,0.0000,0.0000,123.0000,0.0000,0.33100,-0.08600,0.91500,12.16000,-6.58000,-11.31000,-0.92700,0.05000,0.23400,-1.33000,-1.68000,-3.45000,18.4,9.1,1.0,1.0,1.275034,1.578523,2.061819,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,2.0220,,,,,9803,9314,3467,3052,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019475.4093,E_left_left_r2,E,left,2,left,,2,156.1000,319.2000,230.4000,261.9000,297.0000,2.3000,360.0000,351.7000,23.4000,0.0000,0.0000,0.0000,123.0000,0.0000,0.33100,-0.08600,0.91500,12.16000,-6.58000,-11.31000,-0.92700,0.05000,0.23400,-1.33000,-1.68000,-3.45000,18.4,9.1,1.0,1.0,1.275034,1.578523,2.061819,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,2.0220,,,,,9803,9314,3467,3052,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019475.4214,E_left_left_r2,E,left,2,left,,3,156.1000,319.2000,230.4000,261.9000,297.0000,2.3000,360.0000,351.7000,23.4000,0.0000,0.0000,0.0000,123.0000,0.0000,0.33100,-0.08600,0.91500,12.16000,-6.58000,-11.31000,-0.92700,0.05000,0.23400,-1.33000,-1.68000,-3.45000,18.4,9.1,1.0,1.0,1.275034,1.578523,2.061819,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,2.0220,,,,,9803,9314,3467,3052,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019475.4394,E_left_left_r2,E,left,2,left,,4,156.2000,319.7000,230.6000,260.7000,297.3000,2.3000,360.0000,351.7000,23.4000,0.0000,0.0000,0.0000,123.0000,0.0000,0.38800,0.09300,0.85000,-2.66000,7.05000,8.12000,-0.94900,0.03800,0.22100,-2.41000,-1.95000,-0.61000,18.6,8.4,1.0,1.0,0.856862,0.822122,1.726022,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,2.0941,,,,,9803,9314,3467,3052,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019475.4544,E_left_left_r2,E,left,2,left,,5,156.2000,319.8000,230.6000,260.5000,297.3000,2.4000,30.0000,351.7000,23.4000,0.0000,0.0000,0.0000,123.0000,0.0000,0.35600,-0.02200,0.86500,-13.70000,13.07000,15.27000,-0.94600,0.04400,0.21800,-3.00000,-0.66000,0.00000,18.6,8.4,1.0,1.0,1.032066,-0.060162,2.067321,-0.492407,-1.362939,2.353028,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,2.0262,,,,,129436,125765,3497,3102,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019475.4735,E_left_left_r2,E,left,2,left,,6,156.2000,319.8000,230.6000,260.5000,297.3000,2.4000,30.0000,351.7000,23.4000,0.0000,0.0000,0.0000,123.0000,0.0000,0.35600,-0.02200,0.86500,-13.70000,13.07000,15.27000,-0.94600,0.04400,0.21800,-3.00000,-0.66000,0.00000,18.6,8.4,1.0,1.0,1.032066,-0.060162,2.067321,-0.492407,-1.362939,2.353028,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,2.0262,,,,,129436,9314,3497,3052,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
1786019475.4940,E_left_left_r2,E,left,2,left,,7,156.2000,319.8000,230.6000,260.5000,297.3000,2.4000,30.0000,351.7000,23.4000,0.0000,0.0000,0.0000,123.0000,0.0000,0.35600,-0.02200,0.86500,-13.70000,13.07000,15.27000,-0.94600,0.04400,0.21800,-3.00000,-0.66000,0.00000,18.6,8.4,1.0,1.0,1.032066,-0.060162,2.067321,-0.492407,-1.362939,2.353028,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,2.0262,,,,,129436,125765,3497,3102,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019475.5155,E_left_left_r2,E,left,2,left,,8,156.2000,319.8000,230.6000,260.5000,297.3000,2.4000,30.0000,351.7000,23.4000,0.0000,0.0000,0.0000,123.0000,0.0000,0.35600,-0.02200,0.86500,-13.70000,13.07000,15.27000,-0.94600,0.04400,0.21800,-3.00000,-0.66000,0.00000,18.6,8.4,1.0,1.0,1.032066,-0.060162,2.067321,-0.492407,-1.362939,2.353028,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,2.0262,,,,,9803,9314,3467,3052,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019475.5432,E_left_left_r2,E,left,2,left,,9,156.2000,319.8000,230.6000,260.5000,297.3000,2.4000,30.0000,351.7000,23.4000,0.0000,0.0000,0.0000,123.0000,0.0000,0.35600,-0.02200,0.86500,-13.70000,13.07000,15.27000,-0.94600,0.04400,0.21800,-3.00000,-0.66000,0.00000,18.3,8.7,1.0,0.0,1.032066,-0.060162,2.067321,-0.492407,-1.362939,2.353028,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,2.0262,,,,,9803,9314,3467,3052,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
