t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019510.5296,E_left_up_r2,E,left,2,up,,0,119.8000,309.5000,281.2000,323.5000,0.0000,0.0000,322.6000,351.6000,22.7000,0.0000,0.0000,0.0000,123.0000,0.0000,0.32200,-0.05000,0.90100,1.16000,-3.85000,-5.37000,-0.92700,0.01800,0.24800,-2.45000,-1.18000,0.69000,12.8,2.4,1.0,1.0,0.856862,0.822122,1.726022,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,20.5377,,,,,9803,9314,3590,3170,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019510.5569,E_left_up_r2,E,left,2,up,,1,119.8000,309.5000,281.2000,323.5000,0.0000,0.0000,322.6000,351.6000,22.7000,0.0000,0.0000,0.0000,123.0000,0.0000,0.32200,-0.05000,0.90100,1.16000,-3.85000,-5.37000,-0.92700,0.01800,0.24800,-2.45000,-1.18000,0.69000,12.8,2.4,1.0,1.0,0.856862,0.822122,1.726022,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,20.5377,,,,,129436,125765,3622,3223,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019510.5734,E_left_up_r2,E,left,2,up,,2,119.8000,309.3000,281.3000,323.7000,0.0000,0.0000,322.7000,351.5000,22.7000,0.0000,0.0000,0.0000,123.0000,0.0000,0.28400,0.00700,0.82600,-15.66000,20.83000,0.72000,-0.93300,0.02200,0.23300,-2.63000,0.02000,-0.79000,12.8,2.4,1.0,1.0,1.032066,-0.060162,2.067321,-0.490384,-1.362630,2.355706,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,37.1486,,,,,9803,125765,3590,3223,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019510.5937,E_left_up_r2,E,left,2,up,,3,119.8000,309.3000,281.3000,323.7000,0.0000,0.0000,322.7000,351.5000,22.7000,0.0000,0.0000,0.0000,123.0000,0.0000,0.28400,0.00700,0.82600,-15.66000,20.83000,0.72000,-0.93300,0.02200,0.23300,-2.63000,0.02000,-0.79000,11.2,2.1,1.0,1.0,1.032066,-0.060162,2.067321,-0.490384,-1.362630,2.355706,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,37.1486,,,,,129436,9314,3622,3170,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
1786019510.6207,E_left_up_r2,E,left,2,up,,4,119.8000,308.9000,281.3000,324.0000,0.0000,0.0000,322.7000,351.5000,2.0000,0.0000,0.0000,0.0000,123.0000,0.0000,0.19000,-0.15500,0.92200,12.72000,0.08000,-7.39000,-0.94600,0.00900,0.23200,-1.39000,-1.11000,-1.18000,11.2,2.1,1.0,1.0,1.247760,1.619469,2.123108,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,27.0359,,,,,9803,125765,3590,3223,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019510.6313,E_left_up_r2,E,left,2,up,,5,119.8000,308.9000,281.3000,324.0000,0.0000,0.0000,322.7000,351.5000,2.0000,0.0000,0.0000,0.0000,123.0000,0.0000,0.19000,-0.15500,0.92200,12.72000,0.08000,-7.39000,-0.94600,0.00900,0.23200,-1.39000,-1.11000,-1.18000,11.2,2.1,1.0,1.0,1.032066,-0.060162,2.067321,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,27.0359,,,,,9803,125765,3590,3223,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019510.6994,E_left_up_r2,E,left,2,up,,6,119.8000,308.9000,281.3000,324.0000,0.0000,0.0000,322.7000,351.5000,22.8000,0.0000,0.0000,0.0000,123.0000,0.0000,0.21400,-0.09900,0.92800,27.35000,-10.66000,-11.55000,-0.94100,0.00100,0.24800,-2.18000,0.57000,2.05000,11.2,2.1,1.0,1.0,1.247760,1.619469,2.123108,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,27.0776,,,,,129436,9314,3622,3170,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
1786019510.6998,E_left_up_r2,E,left,2,up,,7,119.8000,308.9000,281.3000,324.0000,0.0000,0.0000,322.7000,351.5000,22.8000,0.0000,0.0000,0.0000,123.0000,0.0000,0.21400,-0.09900,0.92800,27.35000,-10.66000,-11.55000,-0.94100,0.00100,0.24800,-2.18000,0.57000,2.05000,11.2,2.1,1.0,1.0,1.247760,1.619469,2.123108,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,27.0776,,,,,129436,9314,3622,3170,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
1786019510.7085,E_left_up_r2,E,left,2,up,,8,119.8000,308.9000,281.3000,324.0000,0.0000,0.0000,322.7000,351.5000,22.8000,0.0000,0.0000,0.0000,123.0000,0.0000,0.21400,-0.09900,0.92800,27.35000,-10.66000,-11.55000,-0.94100,0.00100,0.24800,-2.18000,0.57000,2.05000,11.2,2.1,1.0,1.0,1.247760,1.619469,2.123108,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,27.0776,,,,,9803,125765,3590,3223,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019510.7107,E_left_up_r2,E,left,2,up,,9,119.8000,308.9000,281.3000,324.0000,0.0000,0.0000,322.7000,351.5000,22.8000,0.0000,0.0000,0.0000,123.0000,0.0000,0.21400,-0.09900,0.92800,27.35000,-10.66000,-11.55000,-0.94100,0.00100,0.24800,-2.18000,0.57000,2.05000,11.2,2.1,1.0,1.0,1.247760,1.619469,2.123108,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,27.0776,,,,,129436,9314,3622,3170,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
1786019510.7361,E_left_up_r2,E,left,2,up,,10,119.8000,308.9000,281.3000,324.0000,0.0000,0.0000,322.7000,351.5000,22.8000,0.0000,0.0000,0.0000,123.0000,0.0000,0.21400,-0.09900,0.92800,27.35000,-10.66000,-11.55000,-0.94100,0.00100,0.24800,-2.18000,0.57000,2.05000,11.2,2.1,1.0,1.0,1.247760,1.619469,2.123108,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,27.0776,,,,,9803,125765,3591,3224,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019510.7500,E_left_up_r2,E,left,2,up,,11,119.8000,308.9000,281.3000,324.0000,0.0000,0.0000,322.7000,351.5000,22.8000,0.0000,0.0000,0.0000,123.0000,0.0000,0.21400,-0.09900,0.92800,27.35000,-10.66000,-11.55000,-0.94100,0.00100,0.24800,-2.18000,0.57000,2.05000,11.2,2.1,1.0,1.0,1.247760,1.619469,2.123108,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,27.0776,,,,,9803,9314,3591,3171,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019510.7701,E_left_up_r2,E,left,2,up,,12,119.8000,308.9000,281.3000,324.0000,0.0000,0.0000,322.7000,351.5000,22.8000,0.0000,0.0000,0.0000,123.0000,0.0000,0.21400,-0.09900,0.92800,27.35000,-10.66000,-11.55000,-0.94100,0.00100,0.24800,-2.18000,0.57000,2.05000,11.2,2.1,1.0,1.0,1.247760,1.619469,2.123108,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,27.0776,,,,,9803,9314,3591,3171,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019510.7898,E_left_up_r2,E,left,2,up,,13,119.8000,308.9000,281.3000,324.0000,0.0000,0.0000,322.7000,351.5000,22.8000,0.0000,0.0000,0.0000,123.0000,0.0000,0.21400,-0.09900,0.92800,27.35000,-10.66000,-11.55000,-0.94100,0.00100,0.24800,-2.18000,0.57000,2.05000,11.2,2.1,1.0,1.0,1.247760,1.619469,2.123108,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,27.0776,,,,,9803,9314,3591,3171,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
