t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019565.5931,E_right_back_r2,E,right,2,back,,0,157.8000,344.1000,150.7000,174.8000,34.1000,0.0000,178.3000,360.0000,40.1000,0.0000,102.6000,0.0000,238.7000,0.0000,-0.90000,0.08800,0.32000,-2.96000,10.40000,6.00000,0.10100,0.05400,0.92900,-5.24000,-1.56000,-2.31000,17.8,9.4,1.0,1.0,1.031275,0.012906,2.006525,-0.416523,-1.532915,2.451940,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019565.6164,E_right_back_r2,E,right,2,back,,1,157.8000,344.1000,150.7000,174.8000,34.1000,0.0000,178.3000,360.0000,40.1000,0.0000,102.6000,0.0000,238.7000,0.0000,-0.90000,0.08800,0.32000,-2.96000,10.40000,6.00000,0.10100,0.05400,0.92900,-5.24000,-1.56000,-2.31000,17.8,9.4,1.0,1.0,1.031275,0.012906,2.006525,-0.416523,-1.532915,2.451940,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019565.6403,E_right_back_r2,E,right,2,back,,2,157.8000,344.1000,150.7000,174.8000,34.1000,0.0000,178.3000,360.0000,40.1000,0.0000,102.6000,0.0000,238.7000,0.0000,-0.90000,0.08800,0.32000,-2.96000,10.40000,6.00000,0.10100,0.05400,0.92900,-5.24000,-1.56000,-2.31000,17.1,8.2,1.0,1.0,1.031275,0.012906,2.006525,-0.416523,-1.532915,2.451940,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,125765,3815,3410,126090,123760,3346,1858,0,147,0.47296,-0.05114,1
1786019565.6672,E_right_back_r2,E,right,2,back,,3,157.8000,344.1000,150.7000,175.6000,35.6000,0.0000,178.2000,360.0000,40.6000,0.0000,103.3000,0.0000,238.9000,0.0000,-0.87700,0.00800,0.37100,1.95000,1.15000,-6.11000,0.07700,0.01700,0.91500,-11.77000,-0.40000,5.50000,17.3,8.6,1.0,1.0,1.024017,0.012345,2.004109,-0.416523,-1.532915,2.451940,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,125765,3815,3410,126090,123760,3346,1858,0,147,0.47296,-0.05114,1
1786019565.6799,E_right_back_r2,E,right,2,back,,4,157.8000,344.1000,150.7000,175.6000,35.6000,0.0000,178.2000,360.0000,40.6000,0.0000,103.3000,0.0000,238.9000,0.0000,-0.87700,0.00800,0.37100,1.95000,1.15000,-6.11000,0.07700,0.01700,0.91500,-11.77000,-0.40000,5.50000,17.3,8.6,1.0,1.0,1.024017,0.012345,2.004109,-0.416523,-1.532915,2.451940,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,125765,3815,3410,126090,123760,3346,1858,0,147,0.47296,-0.05114,1
1786019565.7093,E_right_back_r2,E,right,2,back,,5,157.8000,344.1000,150.7000,175.6000,35.6000,0.0000,178.2000,360.0000,40.6000,0.0000,103.3000,0.0000,238.9000,0.0000,-0.87700,0.00800,0.37100,1.95000,1.15000,-6.11000,0.07700,0.01700,0.91500,-11.77000,-0.40000,5.50000,17.3,8.6,1.0,1.0,1.024017,0.012345,2.004109,-0.416523,-1.532915,2.451940,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,125765,3815,3410,126090,123760,3346,1858,0,147,0.47296,-0.05114,1
1786019565.7281,E_right_back_r2,E,right,2,back,,6,157.8000,344.1000,150.7000,175.6000,35.6000,0.0000,178.2000,360.0000,40.6000,0.0000,103.3000,0.0000,238.9000,0.0000,-0.87700,0.00800,0.37100,1.95000,1.15000,-6.11000,0.07700,0.01700,0.91500,-11.77000,-0.40000,5.50000,17.3,8.6,1.0,1.0,1.024017,0.012345,2.004109,-0.416523,-1.532915,2.451940,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019565.7540,E_right_back_r2,E,right,2,back,,7,157.8000,344.1000,150.7000,175.6000,35.6000,0.0000,178.2000,360.0000,40.6000,0.0000,103.3000,0.0000,238.9000,0.0000,-0.87700,0.00800,0.37100,1.95000,1.15000,-6.11000,0.07700,0.01700,0.91500,-11.77000,-0.40000,5.50000,17.3,8.6,1.0,1.0,1.024017,0.012345,2.004109,-0.416523,-1.532915,2.451940,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,125765,3815,3410,126090,123760,3346,1858,0,147,0.47296,-0.05114,1
1786019565.7809,E_right_back_r2,E,right,2,back,,8,157.8000,344.1000,150.7000,175.6000,35.6000,0.0000,178.2000,360.0000,40.6000,0.0000,103.3000,0.0000,238.9000,0.0000,-0.87700,0.00800,0.37100,1.95000,1.15000,-6.11000,0.07700,0.01700,0.91500,-11.77000,-0.40000,5.50000,17.3,8.6,1.0,1.0,1.024017,0.012345,2.004109,-0.416523,-1.532915,2.451940,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,125765,3815,3410,126090,123760,3346,1858,0,147,0.47296,-0.05114,1
1786019565.7816,E_right_back_r2,E,right,2,back,,9,157.8000,344.1000,150.7000,175.6000,35.6000,0.0000,178.2000,360.0000,40.6000,0.0000,103.3000,0.0000,238.9000,0.0000,-0.87700,0.00800,0.37100,1.95000,1.15000,-6.11000,0.07700,0.01700,0.91500,-11.77000,-0.40000,5.50000,17.3,8.6,1.0,1.0,1.024017,0.012345,2.004109,-0.416523,-1.532915,2.451940,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,125765,3815,3410,126090,123760,3346,1858,0,147,0.47296,-0.05114,1
