t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019612.2971,E_right_down_r2,E,right,2,down,,0,158.1000,344.1000,150.4000,177.8000,39.4000,0.0000,180.0000,333.1000,31.0000,0.0000,114.1000,0.0000,199.0000,0.0000,-0.87200,0.03600,0.32800,1.79000,8.80000,9.07000,0.05200,0.08100,0.85500,26.11000,4.40000,-7.29000,9.5,2.1,1.0,1.0,0.827959,0.901610,1.692522,-1.342284,-1.179302,3.007626,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,125765,3771,3410,6825,123760,2978,1858,0,147,0.47296,-0.05114,1
1786019612.3186,E_right_down_r2,E,right,2,down,,1,158.1000,344.1000,150.4000,177.8000,39.4000,0.0000,180.0000,333.1000,31.0000,0.0000,114.1000,0.0000,199.0000,0.0000,-0.87200,0.03600,0.32800,1.79000,8.80000,9.07000,0.05200,0.08100,0.85500,26.11000,4.40000,-7.29000,9.5,2.1,1.0,1.0,0.827959,0.901610,1.692522,-1.342284,-1.179302,3.007626,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,125765,3815,3410,126090,123760,3346,1858,0,147,0.47296,-0.05114,1
1786019612.3386,E_right_down_r2,E,right,2,down,,2,158.1000,344.1000,150.4000,177.8000,39.4000,0.0000,180.0000,333.1000,31.0000,0.0000,114.1000,0.0000,199.0000,0.0000,-0.87200,0.03600,0.32800,1.79000,8.80000,9.07000,0.05200,0.08100,0.85500,26.11000,4.40000,-7.29000,9.5,2.1,1.0,1.0,0.827959,0.901610,1.692522,-1.342284,-1.179302,3.007626,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019612.3626,E_right_down_r2,E,right,2,down,,3,158.1000,344.1000,150.4000,177.8000,39.4000,0.0000,180.0000,333.1000,31.0000,0.0000,114.1000,0.0000,199.0000,0.0000,-0.87200,0.03600,0.32800,1.79000,8.80000,9.07000,0.05200,0.08100,0.85500,26.11000,4.40000,-7.29000,9.5,2.1,1.0,1.0,0.827959,0.901610,1.692522,-1.342284,-1.179302,3.007626,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,125765,3815,3410,126090,123760,3346,1858,0,147,0.47296,-0.05114,1
1786019612.3812,E_right_down_r2,E,right,2,down,,4,158.1000,344.1000,150.4000,177.8000,39.4000,0.0000,180.0000,333.1000,31.0000,0.0000,114.1000,0.0000,199.0000,0.0000,-0.87200,0.03600,0.32800,1.79000,8.80000,9.07000,0.05200,0.08100,0.85500,26.11000,4.40000,-7.29000,9.5,2.1,1.0,1.0,0.827959,0.901610,1.692522,-1.342284,-1.179302,3.007626,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019612.3981,E_right_down_r2,E,right,2,down,,5,158.1000,344.1000,150.4000,177.8000,39.4000,0.0000,180.0000,333.1000,31.0000,0.0000,114.1000,0.0000,199.0000,0.0000,-0.87200,0.03600,0.32800,1.79000,8.80000,9.07000,0.05200,0.08100,0.85500,26.11000,4.40000,-7.29000,9.5,2.1,1.0,1.0,0.827959,0.901610,1.692522,-1.342284,-1.179302,3.007626,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,125765,3815,3410,126090,123760,3346,1858,0,147,0.47296,-0.05114,1
1786019612.4182,E_right_down_r2,E,right,2,down,,6,158.1000,344.1000,150.3000,177.7000,38.1000,0.0000,180.1000,332.3000,29.7000,0.0000,113.8000,0.0000,197.5000,0.0000,-0.88600,0.07400,0.31100,-2.62000,1.40000,0.31000,0.06900,0.03800,0.92200,-12.27000,-2.85000,6.47000,9.5,1.9,1.0,1.0,1.259429,1.620860,2.125139,-0.392309,-0.678285,2.592542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,125765,3815,3410,126090,123760,3346,1858,0,147,0.47296,-0.05114,1
1786019612.4494,E_right_down_r2,E,right,2,down,,7,158.1000,344.2000,150.4000,177.7000,36.8000,0.0000,180.1000,332.3000,29.7000,0.0000,113.8000,0.0000,197.5000,0.0000,-0.88300,0.08200,0.29100,-1.04000,2.35000,1.41000,0.06900,0.03800,0.92200,-12.27000,-2.85000,6.47000,10.0,1.8,1.0,1.0,1.260675,1.620965,2.125546,-0.392309,-0.678285,2.592542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,9314,3815,3354,126090,7347,3346,1818,0,149,0.47296,-0.05114,1
1786019612.4677,E_right_down_r2,E,right,2,down,,8,158.1000,344.2000,150.4000,177.7000,36.8000,0.0000,180.1000,332.2000,29.6000,0.0000,113.6000,0.0000,197.0000,0.0000,-0.88300,0.08200,0.29100,-1.04000,2.35000,1.41000,0.05500,0.02500,0.93600,-3.47000,2.05000,2.47000,10.0,1.8,1.0,1.0,1.260675,1.620965,2.125546,-0.392309,-0.678285,2.592542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,125765,3771,3410,6825,123760,2978,1858,0,147,0.47296,-0.05114,1
1786019612.4779,E_right_down_r2,E,right,2,down,,9,158.1000,344.2000,150.4000,177.7000,36.8000,0.0000,180.1000,332.2000,29.6000,0.0000,113.6000,0.0000,197.0000,0.0000,-0.88300,0.08200,0.29100,-1.04000,2.35000,1.41000,0.05500,0.02500,0.93600,-3.47000,2.05000,2.47000,10.0,1.8,1.0,1.0,1.260675,1.620965,2.125546,-0.392309,-0.678285,2.592542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,9314,3815,3354,126090,7347,3346,1818,0,149,0.47296,-0.05114,1
