t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019554.1467,E_right_front_r2,E,right,2,front,,0,157.8000,344.1000,150.8000,177.6000,37.2000,0.0000,178.2000,287.4000,25.0000,0.0000,100.7000,0.0000,127.5000,0.0000,-0.88600,0.02400,0.35500,4.53000,-3.08000,4.59000,0.30500,-0.09200,0.86600,0.62000,3.47000,7.93000,14.4,3.6,1.0,1.0,1.130080,0.076084,2.142854,-0.416523,-1.532915,2.451940,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3738,3314,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019554.1628,E_right_front_r2,E,right,2,front,,1,157.8000,441.0000,151.0000,177.6000,36.2000,0.0000,178.2000,287.4000,25.0000,0.0000,100.7000,0.0000,127.2000,0.0000,-0.87800,0.02700,0.33000,10.05000,-0.92000,1.92000,0.30300,-0.07300,0.92300,3.98000,8.92000,10.18000,14.4,3.6,1.0,1.0,1.247760,1.619469,2.123108,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,125765,3771,3368,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019554.1818,E_right_front_r2,E,right,2,front,,2,157.8000,441.0000,151.0000,177.6000,36.2000,0.0000,178.2000,287.4000,25.0000,0.0000,100.7000,0.0000,127.2000,0.0000,-0.87800,0.02700,0.33000,10.05000,-0.92000,1.92000,0.30300,-0.07300,0.92300,3.98000,8.92000,10.18000,14.4,3.6,1.0,1.0,1.247760,1.619469,2.123108,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,125765,3771,3368,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019554.2053,E_right_front_r2,E,right,2,front,,3,157.8000,441.0000,151.0000,177.6000,36.2000,0.0000,178.2000,287.4000,25.0000,0.0000,100.7000,0.0000,127.2000,0.0000,-0.87800,0.02700,0.33000,10.05000,-0.92000,1.92000,0.30300,-0.07300,0.92300,3.98000,8.92000,10.18000,14.4,3.6,1.0,1.0,1.247760,1.619469,2.123108,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3738,3314,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019554.2265,E_right_front_r2,E,right,2,front,,4,157.8000,441.0000,151.0000,177.6000,36.2000,0.0000,178.2000,287.4000,25.0000,0.0000,100.7000,0.0000,127.2000,0.0000,-0.87800,0.02700,0.33000,10.05000,-0.92000,1.92000,0.30300,-0.07300,0.92300,3.98000,8.92000,10.18000,14.4,3.6,1.0,1.0,1.247760,1.619469,2.123108,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,125765,3772,3369,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019554.2428,E_right_front_r2,E,right,2,front,,5,157.8000,441.0000,151.0000,177.6000,36.2000,0.0000,178.2000,287.4000,25.0000,0.0000,100.7000,0.0000,127.2000,0.0000,-0.87800,0.02700,0.33000,10.05000,-0.92000,1.92000,0.30300,-0.07300,0.92300,3.98000,8.92000,10.18000,14.4,3.6,1.0,1.0,1.247760,1.619469,2.123108,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,125765,3772,3369,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019554.2689,E_right_front_r2,E,right,2,front,,6,157.8000,441.0000,151.0000,177.6000,36.2000,0.0000,178.2000,287.4000,25.0000,0.0000,100.7000,0.0000,127.2000,0.0000,-0.87800,0.02700,0.33000,10.05000,-0.92000,1.92000,0.30300,-0.07300,0.92300,3.98000,8.92000,10.18000,14.4,3.6,1.0,1.0,1.247760,1.619469,2.123108,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,9314,3772,3314,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
1786019554.3007,E_right_front_r2,E,right,2,front,,7,157.8000,441.0000,151.0000,177.6000,36.2000,0.0000,178.2000,287.4000,24.3000,0.0000,100.5000,0.0000,127.4000,0.0000,-0.87800,0.02700,0.33000,10.05000,-0.92000,1.92000,0.23600,0.01300,0.93700,-0.25000,-6.91000,-9.80000,13.6,5.0,1.0,1.0,1.247760,1.619469,2.123108,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,125765,3738,3369,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019554.3055,E_right_front_r2,E,right,2,front,,8,157.8000,441.0000,151.0000,177.6000,36.2000,0.0000,178.2000,287.4000,24.3000,0.0000,100.5000,0.0000,127.4000,0.0000,-0.87800,0.02700,0.33000,10.05000,-0.92000,1.92000,0.23600,0.01300,0.93700,-0.25000,-6.91000,-9.80000,13.6,5.0,1.0,1.0,1.247760,1.619469,2.123108,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,125765,3738,3369,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019554.3211,E_right_front_r2,E,right,2,front,,9,157.8000,441.0000,151.0000,177.6000,36.2000,0.0000,178.2000,287.4000,24.2000,0.0000,100.4000,0.0000,127.9000,0.0000,-0.87800,0.02700,0.33000,10.05000,-0.92000,1.92000,0.36200,-0.21500,0.79200,-10.71000,-7.14000,1.02000,14.6,3.6,1.0,1.0,1.247760,1.619469,2.123108,-0.416523,-1.532915,2.451940,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,9314,3772,3314,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
