t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019588.7487,E_right_right_r2,E,right,2,right,,0,157.9000,44.0000,150.7000,177.1000,40.6000,0.0000,178.4000,316.9000,62.0000,0.0000,106.0000,0.0000,148.9000,0.0000,-0.88500,0.02100,0.32700,4.09000,-12.77000,-4.65000,0.29200,-0.14500,0.88600,6.80000,-8.78000,-24.56000,12.9,4.2,1.0,1.0,1.025189,0.012544,2.007914,-0.407811,-1.539028,2.484586,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,125765,3815,3410,126090,123760,3346,1858,0,147,0.47296,-0.05114,1
1786019588.7687,E_right_right_r2,E,right,2,right,,1,157.9000,44.0000,150.7000,177.1000,40.6000,0.0000,178.4000,316.9000,62.0000,0.0000,106.0000,0.0000,148.9000,0.0000,-0.88500,0.02100,0.32700,4.09000,-12.77000,-4.65000,0.29200,-0.14500,0.88600,6.80000,-8.78000,-24.56000,12.9,4.2,1.0,1.0,1.025189,0.012544,2.007914,-0.407811,-1.539028,2.484586,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019588.7938,E_right_right_r2,E,right,2,right,,2,157.9000,44.0000,150.7000,177.1000,40.6000,0.0000,178.4000,316.9000,62.0000,0.0000,106.0000,0.0000,148.9000,0.0000,-0.88500,0.02100,0.32700,4.09000,-12.77000,-4.65000,0.29200,-0.14500,0.88600,6.80000,-8.78000,-24.56000,12.9,4.2,1.0,1.0,1.025189,0.012544,2.007914,-0.407811,-1.539028,2.484586,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019588.8168,E_right_right_r2,E,right,2,right,,3,157.9000,44.0000,150.7000,177.1000,40.6000,0.0000,178.4000,316.9000,62.0000,0.0000,106.0000,0.0000,148.9000,0.0000,-0.88500,0.02100,0.32700,4.09000,-12.77000,-4.65000,0.29200,-0.14500,0.88600,6.80000,-8.78000,-24.56000,12.9,4.2,1.0,1.0,1.025189,0.012544,2.007914,-0.407811,-1.539028,2.484586,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,9314,3815,3354,126090,7347,3346,1818,0,149,0.47296,-0.05114,1
1786019588.8286,E_right_right_r2,E,right,2,right,,4,157.9000,44.0000,150.7000,177.1000,40.6000,0.0000,178.4000,316.9000,62.0000,0.0000,106.0000,0.0000,148.9000,0.0000,-0.88500,0.02100,0.32700,4.09000,-12.77000,-4.65000,0.29200,-0.14500,0.88600,6.80000,-8.78000,-24.56000,12.9,4.2,1.0,1.0,1.025189,0.012544,2.007914,-0.407811,-1.539028,2.484586,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019588.8716,E_right_right_r2,E,right,2,right,,5,157.9000,344.2000,50.7000,177.3000,41.2000,0.0000,178.4000,318.0000,61.1000,0.0000,106.1000,0.0000,152.3000,0.0000,-0.87700,0.02400,0.36200,4.18000,9.04000,0.63000,0.29600,-0.19700,0.91800,-5.16000,1.09000,-9.51000,12.6,4.3,1.0,1.0,0.827959,0.901610,1.692522,-1.342284,-1.179302,3.007626,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019588.8720,E_right_right_r2,E,right,2,right,,6,157.9000,344.2000,50.7000,177.3000,41.2000,0.0000,178.4000,318.0000,61.1000,0.0000,106.1000,0.0000,152.3000,0.0000,-0.87700,0.02400,0.36200,4.18000,9.04000,0.63000,0.29600,-0.19700,0.91800,-5.16000,1.09000,-9.51000,12.6,4.3,1.0,1.0,0.827959,0.901610,1.692522,-1.342284,-1.179302,3.007626,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019588.9095,E_right_right_r2,E,right,2,right,,7,157.9000,344.0000,150.8000,1770.0000,41.5000,0.0000,178.4000,318.4000,60.9000,0.0000,106.3000,0.0000,152.9000,0.0000,-0.86100,0.01100,0.37000,2.89000,9.24000,-1.30000,0.27900,-0.20400,0.90700,4.64000,2.59000,-12.95000,13.5,5.0,1.0,1.0,0.827959,0.901610,1.692522,-1.342284,-1.179302,3.007626,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,0,1,1,0,0.0231,0.0000,,,,,129436,125765,3815,3410,126090,123760,3346,1858,0,147,0.47296,-0.05114,1
1786019588.9121,E_right_right_r2,E,right,2,right,,8,157.9000,344.0000,150.8000,1770.0000,41.5000,0.0000,178.4000,318.4000,60.9000,0.0000,106.3000,0.0000,152.9000,0.0000,-0.86100,0.01100,0.37000,2.89000,9.24000,-1.30000,0.27900,-0.20400,0.90700,4.64000,2.59000,-12.95000,13.5,5.0,1.0,1.0,0.827959,0.901610,1.692522,-1.342284,-1.179302,3.007626,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,0,1,1,0,0.0231,0.0000,,,,,129436,125765,3815,3410,126090,123760,3346,1858,0,147,0.47296,-0.05114,1
1786019588.9369,E_right_right_r2,E,right,2,right,,9,157.9000,344.1000,150.8000,176.6000,41.0000,0.0000,178.4000,318.5000,60.9000,0.0000,106.3000,0.0000,153.3000,0.0000,-0.86400,0.00500,0.36800,3.49000,7.09000,1.12000,0.27100,-0.16600,0.90500,6.88000,4.80000,-7.83000,12.9,6.7,1.0,1.0,1.022494,0.012334,2.005762,-0.407811,-1.539028,2.484586,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
