t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019661.7295,F_left_front_fast,F,left,0,front,fast,0,211.1000,343.9000,201.8000,282.5000,317.8000,0.0000,160.2000,350.4000,21.2000,0.0000,0.0000,0.0000,125.6000,0.0000,0.34100,0.04400,0.84900,-4.83000,7.00000,6.80000,-0.92200,0.02800,0.24100,-2.14000,-3.85000,2.07000,12.4,2.3,1.0,1.0,1.274282,1.835062,2.316563,-0.392309,-0.678285,2.592542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,4.4531,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019661.7497,F_left_front_fast,F,left,0,front,fast,1,211.1000,343.9000,201.8000,282.5000,317.8000,0.0000,160.2000,350.4000,21.2000,0.0000,0.0000,0.0000,125.6000,0.0000,0.34100,0.04400,0.84900,-4.83000,7.00000,6.80000,-0.92200,0.02800,0.24100,-2.14000,-3.85000,2.07000,12.4,2.3,1.0,1.0,1.274282,1.835062,2.316563,-0.392309,-0.678285,2.592542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,4.4531,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019661.7698,F_left_front_fast,F,left,0,front,fast,2,211.1000,343.9000,201.8000,282.5000,317.8000,0.0000,160.2000,350.4000,21.2000,0.0000,0.0000,0.0000,125.6000,0.0000,0.34100,0.04400,0.84900,-4.83000,7.00000,6.80000,-0.92200,0.02800,0.24100,-2.14000,-3.85000,2.07000,12.4,2.3,1.0,1.0,1.274282,1.835062,2.316563,-0.392309,-0.678285,2.592542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,4.4531,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019661.7909,F_left_front_fast,F,left,0,front,fast,3,211.1000,343.9000,201.8000,282.5000,317.8000,0.0000,160.2000,350.4000,21.2000,0.0000,0.0000,0.0000,125.6000,0.0000,0.34100,0.04400,0.84900,-4.83000,7.00000,6.80000,-0.92200,0.02800,0.24100,-2.14000,-3.85000,2.07000,12.4,2.3,1.0,1.0,1.274282,1.835062,2.316563,-0.392309,-0.678285,2.592542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,4.4531,,,,,129436,125765,3815,3410,126090,123760,3346,1858,0,147,0.47296,-0.05114,1
1786019661.8155,F_left_front_fast,F,left,0,front,fast,4,210.6000,343.9000,201.1000,282.7000,316.7000,0.0000,162.3000,350.4000,21.2000,0.0000,0.0000,0.0000,125.6000,0.0000,0.39200,0.08100,0.84500,-5.55000,2.75000,-2.62000,-0.92600,0.03200,0.26000,-5.44000,-2.34000,0.08000,13.1,3.2,1.0,1.0,0.827959,0.901610,1.692522,-1.446772,-1.203532,3.155968,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,12.0538,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019661.8313,F_left_front_fast,F,left,0,front,fast,5,210.6000,343.9000,201.2000,283.0000,316.3000,0.0000,162.7000,350.4000,21.2000,0.0000,0.0000,0.0000,125.6000,0.0000,0.35300,-0.02700,0.84200,-5.07000,12.72000,-1.07000,-0.92600,0.03200,0.26000,-5.44000,-2.34000,0.08000,10.9,3.6,1.0,1.0,0.827959,0.901610,1.692522,-1.446772,-1.203532,3.155968,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,12.0538,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019661.8499,F_left_front_fast,F,left,0,front,fast,6,210.6000,343.9000,201.2000,283.0000,316.3000,0.0000,162.7000,350.4000,21.2000,0.0000,0.0000,0.0000,125.6000,0.0000,0.35300,-0.02700,0.84200,-5.07000,12.72000,-1.07000,-0.91600,0.03300,0.24900,-1.08000,1.10000,-5.52000,10.9,3.6,1.0,1.0,0.827959,0.901610,1.692522,-1.446600,-1.203510,3.156032,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,12.0818,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019661.8696,F_left_front_fast,F,left,0,front,fast,7,210.6000,343.9000,201.2000,283.0000,316.3000,0.0000,162.7000,350.4000,21.2000,0.0000,0.0000,0.0000,125.6000,0.0000,0.35300,-0.02700,0.84200,-5.07000,12.72000,-1.07000,-0.91600,0.03300,0.24900,-1.08000,1.10000,-5.52000,10.9,3.6,1.0,1.0,0.827959,0.901610,1.692522,-1.446600,-1.203510,3.156032,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,12.0818,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019661.8900,F_left_front_fast,F,left,0,front,fast,8,210.6000,343.9000,201.2000,283.0000,316.3000,0.0000,162.7000,350.4000,21.2000,0.0000,0.0000,0.0000,125.6000,0.0000,0.35300,-0.02700,0.84200,-5.07000,12.72000,-1.07000,-0.91600,0.03300,0.24900,-1.08000,1.10000,-5.52000,10.9,3.6,1.0,1.0,0.827959,0.901610,1.692522,-1.446600,-1.203510,3.156032,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,12.0818,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019661.9246,F_left_front_fast,F,left,0,front,fast,9,210.6000,343.9000,201.2000,283.0000,316.3000,0.0000,162.7000,350.4000,21.2000,0.0000,0.0000,0.0000,125.6000,0.0000,0.35300,-0.02700,0.84200,-5.07000,12.72000,-1.07000,-0.91600,0.03300,0.24900,-1.08000,1.10000,-5.52000,10.9,3.6,1.0,1.0,0.827959,0.901610,1.692522,-1.446600,-1.203510,3.156032,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,12.0818,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
