t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019635.3912,F_left_front_slow,F,left,0,front,slow,0,223.4000,343.8000,208.2000,265.7000,315.2000,0.0000,170.2000,352.0000,25.3000,0.0000,150.5000,0.0000,122.8000,0.0000,0.34900,-0.14800,0.90400,-6.51000,5.48000,2.13000,-0.91100,-0.01800,0.31200,0.48000,1.05000,-5.37000,12.7,3.1,1.0,1.0,0.827959,0.901610,1.692522,-1.342284,-1.179302,3.007626,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019635.4113,F_left_front_slow,F,left,0,front,slow,1,223.5000,343.8000,208.3000,265.7000,315.1000,0.0000,170.0000,352.0000,25.2000,0.0000,150.5000,0.0000,122.8000,0.0000,0.34100,-0.12900,0.87700,4.36000,1.94000,0.43000,-0.91200,-0.02200,0.30800,3.21000,0.20000,-3.66000,13.6,2.9,1.0,1.0,1.051873,0.231017,2.196121,-0.434184,-1.550158,2.438292,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019635.4430,F_left_front_slow,F,left,0,front,slow,2,223.5000,343.8000,208.3000,265.7000,315.1000,0.0000,170.0000,352.0000,25.2000,0.0000,150.5000,0.0000,122.8000,0.0000,0.34100,-0.12900,0.87700,4.36000,1.94000,0.43000,-0.91200,-0.02200,0.30800,3.21000,0.20000,-3.66000,13.6,2.9,1.0,1.0,1.051873,0.231017,2.196121,-0.434184,-1.550158,2.438292,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,9314,3815,3354,126090,7347,3346,1818,0,149,0.47296,-0.05114,1
1786019635.4563,F_left_front_slow,F,left,0,front,slow,3,223.5000,343.8000,208.4000,265.6000,315.1000,0.0000,170.0000,352.2000,25.2000,0.0000,150.3000,0.0000,122.8000,0.0000,0.33200,-0.12800,0.88300,24.16000,-8.83000,5.25000,-0.93700,-0.02300,0.28400,-0.23000,-2.89000,6.59000,11.2,2.4,1.0,1.0,1.051873,0.231017,2.196121,-0.433790,-1.550012,2.438479,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019635.4727,F_left_front_slow,F,left,0,front,slow,4,223.5000,343.8000,208.4000,265.6000,315.1000,0.0000,170.0000,352.2000,25.2000,0.0000,150.3000,0.0000,122.8000,0.0000,0.33200,-0.12800,0.88300,24.16000,-8.83000,5.25000,-0.93700,-0.02300,0.28400,-0.23000,-2.89000,6.59000,11.2,2.4,1.0,1.0,1.051873,0.231017,2.196121,-0.433790,-1.550012,2.438479,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019635.4913,F_left_front_slow,F,left,0,front,slow,5,223.5000,343.8000,208.4000,265.6000,315.1000,0.0000,170.0000,352.2000,25.2000,0.0000,150.3000,0.0000,122.8000,0.0000,0.33200,-0.12800,0.88300,24.16000,-8.83000,5.25000,-0.93700,-0.02300,0.28400,-0.23000,-2.89000,6.59000,11.2,2.4,1.0,1.0,1.051873,0.231017,2.196121,-0.433790,-1.550012,2.438479,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019635.5114,F_left_front_slow,F,left,0,front,slow,6,223.5000,343.8000,208.4000,265.6000,315.1000,0.0000,170.0000,352.2000,25.2000,0.0000,150.3000,0.0000,122.8000,0.0000,0.33200,-0.12800,0.88300,24.16000,-8.83000,5.25000,-0.93700,-0.02300,0.28400,-0.23000,-2.89000,6.59000,11.2,2.4,1.0,1.0,1.051873,0.231017,2.196121,-0.433790,-1.550012,2.438479,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019635.5329,F_left_front_slow,F,left,0,front,slow,7,223.5000,343.8000,208.4000,265.6000,315.1000,0.0000,170.0000,352.2000,25.2000,0.0000,150.3000,0.0000,122.8000,0.0000,0.33200,-0.12800,0.88300,24.16000,-8.83000,5.25000,-0.93700,-0.02300,0.28400,-0.23000,-2.89000,6.59000,11.2,2.4,1.0,1.0,1.051873,0.231017,2.196121,-0.433790,-1.550012,2.438479,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019635.5515,F_left_front_slow,F,left,0,front,slow,8,223.5000,343.8000,208.4000,265.6000,315.1000,0.0000,170.0000,352.2000,25.2000,0.0000,150.3000,0.0000,122.8000,0.0000,0.33200,-0.12800,0.88300,24.16000,-8.83000,5.25000,-0.93700,-0.02300,0.28400,-0.23000,-2.89000,6.59000,11.2,2.4,1.0,1.0,1.051873,0.231017,2.196121,-0.433790,-1.550012,2.438479,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,9314,3815,3354,126090,7347,3346,1818,0,149,0.47296,-0.05114,1
1786019635.5751,F_left_front_slow,F,left,0,front,slow,9,223.5000,343.8000,208.4000,265.6000,315.1000,0.0000,170.0000,352.2000,25.2000,0.0000,150.3000,0.0000,122.8000,0.0000,0.33200,-0.12800,0.88300,24.16000,-8.83000,5.25000,-0.93700,-0.02300,0.28400,-0.23000,-2.89000,6.59000,11.2,2.4,1.0,1.0,1.051873,0.231017,2.196121,-0.433790,-1.550012,2.438479,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,125765,3815,3410,126090,123760,3346,1858,0,147,0.47296,-0.05114,1
