t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019691.7531,F_right_front_fast,F,right,0,front,fast,0,165.6000,344.0000,157.0000,353.9000,72.3000,167.3000,161.8000,303.1000,21.9000,0.0000,99.1000,0.0000,178.7000,0.0000,-0.88200,0.04500,0.32900,-1.04000,1.21000,1.75000,0.39700,0.22200,0.93500,24.63000,-8.52000,-1.56000,11.9,2.9,1.0,0.0,1.274043,1.832584,2.313979,-0.392309,-0.678285,2.592542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019691.7741,F_right_front_fast,F,right,0,front,fast,1,165.6000,344.0000,157.0000,353.8000,71.2000,167.3000,161.8000,303.4000,21.8000,0.0000,99.0000,0.0000,178.6000,0.0000,-0.88600,0.03600,0.32100,1.54000,-2.09000,-1.86000,0.41200,0.20100,0.92000,-1.01000,0.13000,3.47000,11.0,4.7,1.0,0.0,1.274571,1.833446,2.314903,-0.392309,-0.678285,2.592542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019691.7976,F_right_front_fast,F,right,0,front,fast,2,165.6000,344.0000,157.0000,353.8000,71.2000,167.3000,161.8000,303.4000,21.8000,0.0000,99.0000,0.0000,178.6000,0.0000,-0.88600,0.03600,0.32100,1.54000,-2.09000,-1.86000,0.41200,0.20100,0.92000,-1.01000,0.13000,3.47000,11.0,4.7,1.0,0.0,1.274571,1.833446,2.314903,-0.392309,-0.678285,2.592542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019691.8133,F_right_front_fast,F,right,0,front,fast,3,165.6000,344.0000,157.0000,353.8000,71.2000,167.3000,161.8000,303.4000,21.8000,0.0000,99.0000,0.0000,178.6000,0.0000,-0.88600,0.03600,0.32100,1.54000,-2.09000,-1.86000,0.41200,0.20100,0.92000,-1.01000,0.13000,3.47000,11.0,4.7,1.0,0.0,1.274571,1.833446,2.314903,-0.392309,-0.678285,2.592542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019691.8378,F_right_front_fast,F,right,0,front,fast,4,165.6000,344.0000,157.0000,353.8000,71.2000,167.3000,161.8000,303.4000,21.8000,0.0000,99.0000,0.0000,178.6000,0.0000,-0.88600,0.03600,0.32100,1.54000,-2.09000,-1.86000,0.41200,0.20100,0.92000,-1.01000,0.13000,3.47000,11.0,4.7,1.0,0.0,1.274571,1.833446,2.314903,-0.392309,-0.678285,2.592542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019691.8562,F_right_front_fast,F,right,0,front,fast,5,165.6000,344.0000,157.0000,353.8000,71.2000,167.3000,161.8000,303.4000,21.8000,0.0000,99.0000,0.0000,178.6000,0.0000,-0.88600,0.03600,0.32100,1.54000,-2.09000,-1.86000,0.41200,0.20100,0.92000,-1.01000,0.13000,3.47000,11.0,4.7,1.0,0.0,1.274571,1.833446,2.314903,-0.392309,-0.678285,2.592542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019691.8754,F_right_front_fast,F,right,0,front,fast,6,165.6000,344.0000,157.0000,353.8000,68.1000,167.5000,161.8000,301.4000,22.1000,0.0000,99.0000,0.0000,175.5000,0.0000,-0.88600,0.05600,0.33400,8.22000,4.02000,-0.19000,0.33200,0.05500,0.82000,-8.54000,1.13000,10.00000,11.7,0.7,1.0,0.0,0.965010,0.519355,2.236172,-0.409712,-1.866483,2.757433,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,125765,3771,3410,6825,123760,2978,1858,0,147,0.47296,-0.05114,1
1786019691.8946,F_right_front_fast,F,right,0,front,fast,7,165.6000,344.0000,157.0000,353.8000,71.3000,167.4000,161.8000,301.2000,22.2000,0.0000,99.0000,0.0000,175.0000,0.0000,-0.88100,0.07300,0.34500,5.50000,8.76000,-0.50000,0.32600,0.08300,0.86500,-6.27000,-0.89000,7.94000,12.0,1.4,1.0,0.0,0.966996,0.520499,2.237169,-0.409712,-1.866483,2.757433,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,125765,3771,3410,6825,123760,2978,1858,0,147,0.47296,-0.05114,1
1786019691.9133,F_right_front_fast,F,right,0,front,fast,8,165.6000,344.0000,157.0000,353.8000,79.3000,167.4000,161.8000,301.1000,22.2000,0.0000,99.0000,0.0000,174.7000,0.0000,-0.88100,0.07200,0.35600,0.60000,11.11000,3.01000,0.34500,0.08400,0.88000,-5.13000,-0.14000,-0.11000,12.2,1.7,1.0,0.0,1.274676,1.834358,2.315888,-0.392309,-0.678285,2.592542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019691.9392,F_right_front_fast,F,right,0,front,fast,9,165.6000,3440.0000,157.1000,353.8000,92.2000,166.6000,161.8000,300.9000,22.2000,0.0000,99.0000,0.0000,174.6000,0.0000,-0.87700,0.05400,0.35400,-1.08000,8.89000,2.93000,0.34900,0.07300,0.87400,-5.72000,-0.45000,-4.27000,11.6,3.5,1.0,0.0,1.274372,1.834548,2.316046,-0.392309,-0.678285,2.592542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,0,1,1,0,0.0211,0.0000,,,,,129436,125765,3815,3410,126090,123760,3346,1858,0,147,0.47296,-0.05114,1
