t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019671.9274,F_right_front_slow,F,right,0,front,slow,0,165.6000,344.1000,157.2000,353.8000,69.9000,131.3000,161.4000,289.4000,22.1000,0.0000,101.2000,0.0000,137.3000,0.0000,-0.86800,0.05000,0.36600,-7.57000,14.07000,1.24000,0.27500,0.05800,0.91800,-5.31000,-1.19000,-4.18000,20.5,9.1,1.0,0.0,0.827959,0.901610,1.692522,-1.331485,-1.402322,3.239294,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019671.9483,F_right_front_slow,F,right,0,front,slow,1,165.6000,344.1000,157.2000,353.8000,69.9000,131.3000,161.4000,289.4000,22.1000,0.0000,101.2000,0.0000,137.3000,0.0000,-0.86800,0.05000,0.36600,-7.57000,14.07000,1.24000,0.27500,0.05800,0.91800,-5.31000,-1.19000,-4.18000,20.5,9.1,1.0,0.0,0.827959,0.901610,1.692522,-1.331485,-1.402322,3.239294,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,9314,3815,3354,126090,7347,3346,1818,0,149,0.47296,-0.05114,1
1786019671.9688,F_right_front_slow,F,right,0,front,slow,2,165.6000,344.1000,157.2000,3538.0000,54.1000,107.0000,161.4000,289.3000,22.3000,0.0000,101.0000,0.0000,137.7000,0.0000,-0.88000,0.01500,0.33400,8.73000,-10.34000,-4.82000,0.24400,-0.00000,0.90200,2.04000,-0.13000,-2.41000,20.4,11.5,1.0,0.0,0.827959,0.901610,1.692522,-1.331485,-1.402322,3.239294,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019671.9875,F_right_front_slow,F,right,0,front,slow,3,165.6000,344.1000,157.2000,3538.0000,54.1000,107.0000,161.4000,289.3000,22.3000,0.0000,101.0000,0.0000,137.7000,0.0000,-0.88000,0.01500,0.33400,8.73000,-10.34000,-4.82000,0.24400,-0.00000,0.90200,2.04000,-0.13000,-2.41000,20.4,11.5,1.0,0.0,0.827959,0.901610,1.692522,-1.331485,-1.402322,3.239294,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019672.0156,F_right_front_slow,F,right,0,front,slow,4,165.6000,344.1000,157.2000,3538.0000,54.1000,107.0000,161.4000,289.3000,22.3000,0.0000,101.0000,0.0000,137.7000,0.0000,-0.88000,0.01500,0.33400,8.73000,-10.34000,-4.82000,0.24400,-0.00000,0.90200,2.04000,-0.13000,-2.41000,20.4,11.5,1.0,0.0,0.827959,0.901610,1.692522,-1.331485,-1.402322,3.239294,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019672.0301,F_right_front_slow,F,right,0,front,slow,5,165.6000,344.1000,157.2000,3538.0000,54.1000,107.0000,161.4000,289.3000,22.3000,0.0000,101.0000,0.0000,137.7000,0.0000,-0.88000,0.01500,0.33400,8.73000,-10.34000,-4.82000,0.24400,-0.00000,0.90200,2.04000,-0.13000,-2.41000,20.4,11.5,1.0,0.0,0.827959,0.901610,1.692522,-1.331485,-1.402322,3.239294,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,9314,3815,3354,126090,7347,3346,1818,0,149,0.47296,-0.05114,1
1786019672.0475,F_right_front_slow,F,right,0,front,slow,6,165.6000,344.1000,157.1000,353.9000,109.8000,93.7000,161.4000,289.1000,22.1000,0.0000,101.0000,0.0000,136.4000,0.0000,-0.87500,0.05200,0.32600,6.50000,2.31000,4.75000,0.27700,0.01100,0.89700,-3.61000,4.68000,7.46000,20.6,9.1,1.0,0.0,1.274282,1.835062,2.316563,-0.392309,-0.678285,2.592542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019672.0675,F_right_front_slow,F,right,0,front,slow,7,165.6000,344.1000,157.1000,353.9000,113.5000,91.6000,161.4000,289.1000,22.1000,0.0000,101.0000,0.0000,136.1000,0.0000,-0.87600,0.05300,0.32900,4.76000,8.56000,6.24000,0.27600,0.03400,0.92900,-2.86000,5.79000,4.38000,20.1,9.9,1.0,0.0,1.274282,1.835062,2.316563,-0.392309,-0.678285,2.592542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019672.0896,F_right_front_slow,F,right,0,front,slow,8,165.6000,344.1000,157.1000,353.9000,113.5000,91.6000,161.4000,289.1000,22.1000,0.0000,101.0000,0.0000,136.1000,0.0000,-0.87600,0.05300,0.32900,4.76000,8.56000,6.24000,0.27600,0.03400,0.92900,-2.86000,5.79000,4.38000,20.1,9.9,1.0,0.0,1.274282,1.835062,2.316563,-0.392309,-0.678285,2.592542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,125765,3771,3410,6825,123760,2978,1858,0,147,0.47296,-0.05114,1
1786019672.1217,F_right_front_slow,F,right,0,front,slow,9,15.6000,344.1000,157.1000,353.9000,72.2000,88.5000,161.4000,289.0000,22.0000,0.0000,100.9000,0.0000,135.5000,0.0000,-0.86300,0.03700,0.37300,4.67000,10.31000,6.98000,0.25100,0.02900,0.92500,-2.10000,1.20000,1.66000,19.7,9.7,1.0,0.0,1.012979,0.441191,2.230510,-0.401059,-1.763011,2.697292,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,9314,3815,3354,126090,7347,3346,1818,0,149,0.47296,-0.05114,1
1786019672.1288,F_right_front_slow,F,right,0,front,slow,10,15.6000,344.1000,157.1000,353.9000,72.2000,88.5000,161.4000,289.0000,22.0000,0.0000,100.9000,0.0000,135.5000,0.0000,-0.86300,0.03700,0.37300,4.67000,10.31000,6.98000,0.25100,0.02900,0.92500,-2.10000,1.20000,1.66000,19.7,9.7,1.0,0.0,1.012979,0.441191,2.230510,-0.401059,-1.763011,2.697292,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019672.1573,F_right_front_slow,F,right,0,front,slow,11,15.6000,344.1000,157.1000,353.9000,72.2000,88.5000,161.4000,289.0000,22.0000,0.0000,100.9000,0.0000,135.5000,0.0000,-0.86300,0.03700,0.37300,4.67000,10.31000,6.98000,0.25100,0.02900,0.92500,-2.10000,1.20000,1.66000,19.7,9.7,1.0,0.0,1.012979,0.441191,2.230510,-0.401059,-1.763011,2.697292,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
