t,segment,block,arm,rep,direction,speed,station,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_elev_deg,right_elev_deg,left_azim_deg,right_azim_deg,left_reach_m,right_reach_m,left_elev_held,right_elev_held,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,left_real_joint_1,left_real_joint_2,left_real_joint_3,left_real_joint_4,left_real_joint_5,left_real_joint_6,left_real_joint_7,right_real_joint_1,right_real_joint_2,right_real_joint_3,right_real_joint_4,right_real_joint_5,right_real_joint_6,right_real_joint_7,left_real_ee_x,left_real_ee_y,left_real_ee_z,right_real_ee_x,right_real_ee_y,right_real_ee_z,real_bridge_enabled,real_session_connected,t_mono,master_seq_left,master_seq_right,n_rejected_raw,estop
1788272135.4465,G_left_back_left_right,G,left,0,left_right,,back,0,164.0000,344.2000,59.3000,217.1000,218.9000,0.0000,351.3000,317.2000,35.3000,0.0000,147.9000,0.0000,72.2000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15.9,6.8,1.0,0.0,0.729221,0.335448,1.354037,-0.726300,0.341926,1.180942,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729221,0.335446,1.354037,-0.726285,0.341954,1.180942,1.057979,0.778982,2.206346,-1.630459,-2.083363,-0.623922,-0.441294,1.969992,-1.276924,1.599973,-1.446415,2.666874,0.127863,2.486927,1,1,1.0000,1.0000,39.0406,-64.3857,10.7000,-25.8000,0.040000,0.271887,1,1,1,1,0,0,0.0000,0.0000,,,,,16028,16000,0,0,15940,15951,88,36,0,13,0.52813,0.53522,,,,,,,,,,,,,,,,,,,,,,,140631.9694,12976,14298,0,0
1788272135.4684,G_left_back_left_right,G,left,0,left_right,,back,1,164.0000,344.2000,59.3000,217.1000,218.9000,0.0000,351.3000,317.2000,35.2000,0.0000,147.9000,0.0000,71.8000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15.9,7.1,1.0,0.0,0.729221,0.335449,1.354037,-0.726304,0.341919,1.180943,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729221,0.335446,1.354037,-0.726285,0.341954,1.180942,1.057980,0.778985,2.206342,-1.630457,-2.083362,-0.623918,-0.441292,1.969971,-1.276914,1.599976,-1.446441,2.666879,0.127857,2.486933,1,1,1.0000,1.0000,39.0406,-64.3857,10.7000,-25.8000,0.040000,0.271883,1,1,1,1,0,0,0.0000,0.0000,,,,,16030,16002,0,0,15942,15953,88,36,0,13,0.52813,0.53522,,,,,,,,,,,,,,,,,,,,,,,140631.9912,12976,14299,0,0
1788272135.4899,G_left_back_left_right,G,left,0,left_right,,back,2,164.0000,344.2000,59.3000,217.1000,218.9000,0.0000,351.3000,317.2000,35.2000,0.0000,147.9000,0.0000,71.9000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15.4,7.5,1.0,0.0,0.729221,0.335449,1.354037,-0.726307,0.341912,1.180943,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729221,0.335448,1.354037,-0.726304,0.341919,1.180943,1.057981,0.778988,2.206338,-1.630455,-2.083361,-0.623915,-0.441290,1.969948,-1.276902,1.599979,-1.446469,2.666883,0.127850,2.486941,1,1,1.0000,1.0000,39.0406,-64.3857,10.7000,-25.8000,0.040000,0.271883,1,1,1,1,0,0,0.0000,0.0000,,,,,16031,16002,0,0,15943,15953,88,36,0,13,0.52813,0.53522,,,,,,,,,,,,,,,,,,,,,,,140632.0128,12976,14300,0,0
1788272135.5098,G_left_back_left_right,G,left,0,left_right,,back,3,164.0000,344.2000,59.3000,217.1000,218.9000,0.0000,351.3000,317.2000,35.2000,0.0000,147.9000,0.0000,72.1000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15.1,7.9,1.0,0.0,0.729220,0.335450,1.354037,-0.726312,0.341902,1.180943,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729221,0.335448,1.354037,-0.726304,0.341919,1.180943,1.057981,0.778991,2.206334,-1.630453,-2.083360,-0.623911,-0.441288,1.969940,-1.276899,1.599980,-1.446479,2.666885,0.127848,2.486944,1,1,1.0000,1.0000,39.0406,-64.3857,10.7000,-25.8000,0.040000,0.271883,1,1,1,1,0,0,0.0000,0.0000,,,,,16032,16004,0,0,15944,15955,88,36,0,13,0.52813,0.53523,,,,,,,,,,,,,,,,,,,,,,,140632.0327,12976,14301,0,0
1788272135.5385,G_left_back_left_right,G,left,0,left_right,,back,4,164.0000,344.2000,59.3000,217.1000,218.9000,0.0000,351.3000,317.2000,35.2000,0.0000,147.9000,0.0000,72.4000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15.3,7.9,1.0,0.0,0.729220,0.335450,1.354037,-0.726315,0.341897,1.180944,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729221,0.335448,1.354037,-0.726304,0.341919,1.180943,1.057982,0.778994,2.206330,-1.630451,-2.083359,-0.623908,-0.441286,1.969925,-1.276891,1.599982,-1.446498,2.666888,0.127843,2.486950,1,1,1.0000,1.0000,39.0406,-64.3857,10.7000,-25.8000,0.040000,0.271883,1,1,1,1,0,0,0.0000,0.0000,,,,,16033,16005,0,0,15945,15956,88,36,0,13,0.52813,0.53523,,,,,,,,,,,,,,,,,,,,,,,140632.0613,12976,14302,0,0
1788272135.5487,G_left_back_left_right,G,left,0,left_right,,back,5,164.0000,344.2000,59.3000,217.1000,218.9000,0.0000,351.3000,317.2000,35.3000,0.0000,147.9000,0.0000,72.8000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,14.7,7.5,1.0,0.0,0.729220,0.335451,1.354037,-0.726317,0.341893,1.180944,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729221,0.335448,1.354037,-0.726304,0.341919,1.180943,1.057983,0.778996,2.206326,-1.630449,-2.083359,-0.623905,-0.441284,1.969910,-1.276884,1.599983,-1.446517,2.666890,0.127838,2.486955,1,1,1.0000,1.0000,39.0406,-64.3857,10.7000,-25.8000,0.040000,0.271887,1,1,1,1,0,0,0.0000,0.0000,,,,,16033,16005,0,0,15945,15956,88,36,0,13,0.52813,0.53523,,,,,,,,,,,,,,,,,,,,,,,140632.0716,12976,14303,0,0
1788272135.5694,G_left_back_left_right,G,left,0,left_right,,back,6,164.0000,344.2000,59.3000,217.1000,218.9000,0.0000,351.3000,317.2000,35.3000,0.0000,147.9000,0.0000,72.8000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,14.6,7.8,1.0,0.0,0.729220,0.335451,1.354037,-0.726319,0.341888,1.180943,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729220,0.335450,1.354037,-0.726313,0.341901,1.180943,1.057983,0.778997,2.206325,-1.630448,-2.083358,-0.623904,-0.441284,1.969902,-1.276879,1.599984,-1.446527,2.666892,0.127836,2.486957,1,1,1.0000,1.0000,39.0406,-64.3857,10.7000,-25.8000,0.040000,0.271887,1,1,1,1,0,0,0.0000,0.0000,,,,,16034,16006,0,0,15946,15957,88,36,0,13,0.52813,0.53523,,,,,,,,,,,,,,,,,,,,,,,140632.0923,12976,14303,0,0
1788272135.5994,G_left_back_left_right,G,left,0,left_right,,back,7,164.0000,344.2000,59.3000,217.1000,218.9000,0.0000,351.3000,317.2000,35.3000,0.0000,147.9000,0.0000,73.2000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13.9,7.9,1.0,0.0,0.729220,0.335451,1.354037,-0.726321,0.341884,1.180943,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729220,0.335450,1.354037,-0.726313,0.341901,1.180943,1.057984,0.778999,2.206322,-1.630447,-2.083358,-0.623901,-0.441282,1.969889,-1.276873,1.599986,-1.446543,2.666894,0.127831,2.486962,1,1,1.0000,1.0000,39.0406,-64.3857,10.7000,-25.8000,0.040000,0.271887,1,1,1,1,0,0,0.0000,0.0000,,,,,16035,16007,0,0,15947,15958,88,36,0,13,0.52813,0.53524,,,,,,,,,,,,,,,,,,,,,,,140632.1222,12976,14305,0,0
1788272135.6101,G_left_back_left_right,G,left,0,left_right,,back,8,164.0000,344.2000,59.3000,217.1000,218.9000,0.0000,351.3000,317.2000,35.3000,0.0000,147.9000,0.0000,73.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,14.4,8.2,1.0,0.0,0.729220,0.335452,1.354037,-0.726323,0.341880,1.180943,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729220,0.335450,1.354037,-0.726313,0.341901,1.180943,1.057985,0.779003,2.206318,-1.630445,-2.083357,-0.623897,-0.441280,1.969870,-1.276865,1.599989,-1.446566,2.666897,0.127826,2.486969,1,1,1.0000,1.0000,39.0406,-64.3857,10.7000,-25.8000,0.040000,0.271887,1,1,1,1,0,0,0.0000,0.0000,,,,,16037,16009,0,0,15949,15960,88,36,0,13,0.52813,0.53524,,,,,,,,,,,,,,,,,,,,,,,140632.1329,12976,14306,0,0
1788272135.6285,G_left_back_left_right,G,left,0,left_right,,back,9,164.0000,344.2000,59.3000,217.1000,218.9000,0.0000,351.3000,317.2000,35.3000,0.0000,147.9000,0.0000,74.8000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13.8,7.9,1.0,0.0,0.729220,0.335452,1.354037,-0.726325,0.341876,1.180943,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729220,0.335452,1.354037,-0.726321,0.341884,1.180943,1.057986,0.779004,2.206315,-1.630444,-2.083356,-0.623895,-0.441278,1.969865,-1.276862,1.599989,-1.446572,2.666898,0.127825,2.486971,1,1,1.0000,1.0000,39.0406,-64.3857,10.7000,-25.8000,0.040000,0.271887,1,1,1,1,0,0,0.0000,0.0000,,,,,16037,16010,0,0,15949,15961,88,36,0,13,0.52813,0.53524,,,,,,,,,,,,,,,,,,,,,,,140632.1514,12976,14307,0,0
