t,segment,block,arm,rep,direction,speed,station,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_elev_deg,right_elev_deg,left_azim_deg,right_azim_deg,left_reach_m,right_reach_m,left_elev_held,right_elev_held,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,left_real_joint_1,left_real_joint_2,left_real_joint_3,left_real_joint_4,left_real_joint_5,left_real_joint_6,left_real_joint_7,right_real_joint_1,right_real_joint_2,right_real_joint_3,right_real_joint_4,right_real_joint_5,right_real_joint_6,right_real_joint_7,left_real_ee_x,left_real_ee_y,left_real_ee_z,right_real_ee_x,right_real_ee_y,right_real_ee_z,real_bridge_enabled,real_session_connected,t_mono,master_seq_left,master_seq_right,n_rejected_raw,estop
1788272163.7126,G_left_back_up_down,G,left,0,up_down,,back,0,100.3000,344.2000,59.3000,217.1000,218.9000,0.0000,357.6000,317.5000,36.0000,0.0000,151.6000,0.0000,94.1000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.4,0.4,1.0,0.0,0.817223,0.173882,1.487604,-0.725993,0.342480,1.180864,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.818467,0.174706,1.487950,-0.725982,0.342502,1.180863,1.524949,0.435411,1.541572,-2.009769,-2.630369,-0.496640,-0.150341,1.971374,-1.277771,1.599838,-1.444596,2.666764,0.128397,2.486118,1,1,1.0000,1.0000,39.0406,-64.3857,-53.0000,-25.5000,0.252055,0.271967,1,1,1,1,0,0,0.0000,0.0000,,,,,17442,17411,0,0,17352,17362,90,36,0,13,0.58409,0.53496,,,,,,,,,,,,,,,,,,,,,,,140660.2354,13775,15492,0,0
1788272163.7326,G_left_back_up_down,G,left,0,up_down,,back,1,100.3000,344.2000,59.3000,217.1000,218.9000,0.0000,357.6000,317.5000,36.0000,0.0000,151.6000,0.0000,96.9000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.5,0.3,1.0,0.0,0.816872,0.173615,1.487604,-0.725997,0.342473,1.180864,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.818467,0.174706,1.487950,-0.725982,0.342502,1.180863,1.525226,0.434605,1.542216,-2.010737,-2.630617,-0.497640,-0.150316,1.971358,-1.277764,1.599840,-1.444616,2.666768,0.128392,2.486122,1,1,1.0000,1.0000,39.0406,-64.3857,-53.0000,-25.5000,0.252055,0.271967,1,1,1,1,0,0,0.0000,0.0000,,,,,17443,17412,0,0,17353,17363,90,36,0,13,0.58050,0.53497,,,,,,,,,,,,,,,,,,,,,,,140660.2554,13775,15493,0,0
1788272163.7622,G_left_back_up_down,G,left,0,up_down,,back,2,100.3000,344.2000,59.3000,217.1000,218.9000,0.0000,357.6000,317.5000,36.0000,0.0000,151.6000,0.0000,96.9000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.5,0.3,1.0,0.0,0.816872,0.173615,1.487604,-0.725997,0.342473,1.180864,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.818467,0.174706,1.487950,-0.725982,0.342502,1.180863,1.525226,0.434605,1.542216,-2.010737,-2.630617,-0.497640,-0.150316,1.971358,-1.277764,1.599840,-1.444616,2.666768,0.128392,2.486122,1,1,1.0000,1.0000,39.0406,-64.3857,-53.0000,-25.5000,0.252055,0.271967,1,1,1,1,0,0,0.0000,0.0000,,,,,17443,17412,0,0,17353,17363,90,36,0,13,0.58050,0.53497,,,,,,,,,,,,,,,,,,,,,,,140660.2851,13775,15493,0,0
1788272163.7733,G_left_back_up_down,G,left,0,up_down,,back,3,100.3000,344.2000,59.3000,217.1000,218.9000,0.0000,357.6000,317.5000,36.0000,0.0000,151.6000,0.0000,100.4000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.9,0.2,1.0,0.0,0.816608,0.173414,1.487604,-0.726004,0.342459,1.180865,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.817619,0.174215,1.487676,-0.725996,0.342473,1.180864,1.525419,0.433868,1.542822,-2.012139,-2.631008,-0.498672,-0.150262,1.971315,-1.277742,1.599844,-1.444669,2.666780,0.128378,2.486134,1,1,1.0000,1.0000,39.0406,-64.3857,-53.0000,-25.5000,0.252055,0.271967,1,1,1,1,0,0,0.0000,0.0000,,,,,17445,17414,0,0,17355,17365,90,36,0,13,0.58050,0.53497,,,,,,,,,,,,,,,,,,,,,,,140660.2961,13775,15495,0,0
1788272163.7975,G_left_back_up_down,G,left,0,up_down,,back,4,100.2000,344.2000,59.3000,217.1000,218.9000,0.0000,357.7000,317.5000,36.0000,0.0000,151.6000,0.0000,97.9000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.2,0.1,1.0,0.0,0.816432,0.173281,1.487604,-0.726007,0.342453,1.180866,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.817619,0.174215,1.487676,-0.725996,0.342473,1.180864,1.525439,0.433728,1.542963,-2.012515,-2.631102,-0.498914,-0.150251,1.971308,-1.277738,1.599845,-1.444678,2.666783,0.128375,2.486136,1,1,1.0000,1.0000,39.0406,-64.3857,-53.1000,-25.5000,0.252055,0.271967,1,1,1,1,0,0,0.0000,0.0000,,,,,17445,17414,0,0,17355,17365,90,36,0,13,0.58050,0.53497,,,,,,,,,,,,,,,,,,,,,,,140660.3204,13776,15496,0,0
1788272163.8146,G_left_back_up_down,G,left,0,up_down,,back,5,100.2000,344.2000,59.3000,217.1000,218.9000,0.0000,357.7000,317.5000,36.0000,0.0000,151.6000,0.0000,95.1000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.2,0.1,1.0,0.0,0.816337,0.173210,1.487604,-0.726010,0.342447,1.180866,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.817619,0.174215,1.487676,-0.725996,0.342473,1.180864,1.525518,0.432972,1.543635,-2.014355,-2.631543,-0.501315,-0.150192,1.971273,-1.277719,1.599848,-1.444723,2.666793,0.128363,2.486146,1,1,1.0000,1.0000,39.0406,-64.3857,-53.1000,-25.5000,0.252055,0.271967,1,1,1,1,0,0,0.0000,0.0000,,,,,17447,17416,0,0,17357,17367,90,36,0,13,0.57961,0.53498,,,,,,,,,,,,,,,,,,,,,,,140660.3374,13776,15497,0,0
1788272163.8332,G_left_back_up_down,G,left,0,up_down,,back,6,100.1000,344.2000,59.3000,217.1000,218.9000,0.0000,357.7000,317.5000,36.0000,0.0000,151.6000,0.0000,92.2000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.9,0.3,1.0,0.0,0.816172,0.173086,1.487604,-0.726012,0.342442,1.180866,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.817619,0.174215,1.487676,-0.725996,0.342473,1.180864,1.525518,0.432967,1.543640,-2.014368,-2.631546,-0.501334,-0.150192,1.971265,-1.277715,1.599849,-1.444732,2.666795,0.128361,2.486149,1,1,1.0000,1.0000,39.0406,-64.3857,-53.2000,-25.5000,0.252055,0.271967,1,1,1,1,0,0,0.0000,0.0000,,,,,17447,17416,0,0,17357,17367,90,36,0,13,0.57961,0.53498,,,,,,,,,,,,,,,,,,,,,,,140660.3561,13777,15498,0,0
1788272163.8543,G_left_back_up_down,G,left,0,up_down,,back,7,100.0000,344.2000,59.3000,217.1000,218.9000,0.0000,357.7000,317.5000,36.0000,0.0000,151.6000,0.0000,89.8000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.9,1.0,1.0,0.0,0.815932,0.172906,1.487604,-0.726015,0.342436,1.180866,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.816979,0.173687,1.487664,-0.726008,0.342450,1.180866,1.525565,0.432397,1.544150,-2.015788,-2.631856,-0.503325,-0.150162,1.971251,-1.277708,1.599850,-1.444750,2.666800,0.128356,2.486152,1,1,1.0000,1.0000,39.0406,-64.3857,-53.3000,-25.5000,0.252055,0.271967,1,1,1,1,0,0,0.0000,0.0000,,,,,17449,17418,0,0,17359,17369,90,36,0,13,0.57961,0.53499,,,,,,,,,,,,,,,,,,,,,,,140660.3771,13778,15499,0,0
1788272163.8726,G_left_back_up_down,G,left,0,up_down,,back,8,99.9000,344.2000,59.3000,217.1000,218.9000,0.0000,357.7000,317.5000,36.0000,0.0000,151.6000,0.0000,88.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.9,0.8,1.0,0.0,0.815699,0.172733,1.487604,-0.726018,0.342432,1.180867,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.816979,0.173687,1.487664,-0.726008,0.342450,1.180866,1.525588,0.432106,1.544410,-2.016502,-2.632008,-0.504303,-0.150152,1.971239,-1.277701,1.599852,-1.444766,2.666803,0.128352,2.486156,1,1,1.0000,1.0000,39.0406,-64.3857,-53.4000,-25.5000,0.252055,0.271967,1,1,1,1,0,0,0.0000,0.0000,,,,,17450,17419,0,0,17360,17370,90,36,0,13,0.57886,0.53499,,,,,,,,,,,,,,,,,,,,,,,140660.3954,13779,15500,0,0
1788272163.8929,G_left_back_up_down,G,left,0,up_down,,back,9,99.9000,344.2000,59.3000,217.1000,218.9000,0.0000,357.7000,317.5000,36.0000,0.0000,151.6000,0.0000,88.2000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.2,0.6,1.0,0.0,0.815568,0.172635,1.487604,-0.726020,0.342427,1.180867,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.816979,0.173687,1.487664,-0.726008,0.342450,1.180866,1.525615,0.431631,1.544841,-2.017532,-2.632184,-0.505538,-0.150200,1.971225,-1.277694,1.599853,-1.444783,2.666808,0.128347,2.486160,1,1,1.0000,1.0000,39.0406,-64.3857,-53.4000,-25.5000,0.252055,0.271967,1,1,1,1,0,0,0.0000,0.0000,,,,,17451,17420,0,0,17361,17371,90,36,0,13,0.57886,0.53499,,,,,,,,,,,,,,,,,,,,,,,140660.4157,13779,15501,0,0
