t,segment,block,arm,rep,direction,speed,station,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_elev_deg,right_elev_deg,left_azim_deg,right_azim_deg,left_reach_m,right_reach_m,left_elev_held,right_elev_held,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,left_real_joint_1,left_real_joint_2,left_real_joint_3,left_real_joint_4,left_real_joint_5,left_real_joint_6,left_real_joint_7,right_real_joint_1,right_real_joint_2,right_real_joint_3,right_real_joint_4,right_real_joint_5,right_real_joint_6,right_real_joint_7,left_real_ee_x,left_real_ee_y,left_real_ee_z,right_real_ee_x,right_real_ee_y,right_real_ee_z,real_bridge_enabled,real_session_connected,t_mono,master_seq_left,master_seq_right,n_rejected_raw,estop
1788271844.5684,G_left_centre_left_right,G,left,0,left_right,,centre,0,141.7000,344.2000,59.3000,217.1000,218.9000,0.0000,344.9000,314.8000,23.7000,0.0000,169.3000,0.0000,114.4000,0.0000,0.31100,-0.15200,0.88800,4.22000,0.22000,4.54000,-0.94700,-0.03900,0.21300,1.69000,-2.04000,1.40000,15.2,6.0,1.0,0.0,0.736365,0.321979,1.317856,-0.731209,0.338838,1.182797,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.736381,0.321978,1.317918,-0.731285,0.338885,1.182786,1.107827,0.751925,2.281445,-1.648594,-1.983310,-0.711647,-0.558336,1.962061,-1.264541,1.600815,-1.454752,2.675586,0.126881,2.490922,1,1,1.0000,1.0000,-16.5098,-64.7969,-11.6000,-28.2000,0.040000,0.268949,0,0,1,1,0,0,0.0000,0.0000,,,,,1493,1493,0,0,1433,1444,60,36,0,13,0.53055,0.54003,,,,,,,,,,,,,,,,,,,,,,,140341.0913,906,906,0,0
1788271844.5935,G_left_centre_left_right,G,left,0,left_right,,centre,1,141.7000,344.2000,59.3000,217.1000,218.9000,0.0000,344.9000,314.8000,23.6000,0.0000,169.4000,0.0000,113.5000,0.0000,0.31900,-0.16400,0.90000,5.92000,-0.28000,3.75000,-0.95900,-0.03900,0.22700,1.62000,-2.40000,1.79000,14.7,8.8,1.0,0.0,0.736360,0.321978,1.317838,-0.731226,0.338847,1.182789,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.736381,0.321978,1.317918,-0.731285,0.338885,1.182786,1.107871,0.751979,2.281430,-1.648582,-1.983243,-0.711656,-0.558347,1.962046,-1.264551,1.600817,-1.454764,2.675571,0.126881,2.490933,1,1,1.0000,1.0000,-16.3253,-64.8510,-11.6000,-28.2000,0.040000,0.268918,0,0,1,1,0,0,0.0000,0.0000,,,,,1493,1493,0,0,1433,1444,60,36,0,13,0.53055,0.54003,,,,,,,,,,,,,,,,,,,,,,,140341.1163,907,907,0,0
1788271844.6140,G_left_centre_left_right,G,left,0,left_right,,centre,2,141.7000,344.2000,59.3000,217.1000,218.9000,0.0000,344.9000,314.8000,23.7000,0.0000,169.4000,0.0000,112.9000,0.0000,0.33900,-0.19000,0.90600,9.99000,-0.60000,-1.55000,-0.95300,-0.02700,0.21800,0.53000,-2.98000,2.29000,15.5,8.1,1.0,0.0,0.736367,0.321975,1.317863,-0.731479,0.338983,1.182658,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.736381,0.321978,1.317918,-0.731285,0.338885,1.182786,1.107901,0.752003,2.281412,-1.648572,-1.983227,-0.711662,-0.558354,1.962023,-1.264565,1.600793,-1.454848,2.675541,0.126808,2.490960,1,1,1.0000,1.0000,-15.4064,-65.5233,-11.6000,-28.2000,0.040000,0.268920,0,0,1,1,0,0,0.0000,0.0000,,,,,1494,1494,0,0,1434,1445,60,36,0,13,0.53055,0.53958,,,,,,,,,,,,,,,,,,,,,,,140341.1368,908,908,0,0
1788271844.6312,G_left_centre_left_right,G,left,0,left_right,,centre,3,141.7000,344.2000,59.3000,217.1000,218.9000,0.0000,344.8000,314.8000,23.7000,0.0000,169.3000,0.0000,112.2000,0.0000,0.34200,-0.20500,0.90200,15.49000,-0.78000,-7.50000,-0.95000,-0.03200,0.21300,-1.00000,-3.14000,2.34000,15.9,7.1,1.0,0.0,0.736377,0.321972,1.317897,-0.731577,0.339036,1.182604,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.736381,0.321978,1.317918,-0.731285,0.338885,1.182786,1.107966,0.752077,2.281350,-1.648563,-1.983140,-0.711644,-0.558342,1.962007,-1.264575,1.600750,-1.455004,2.675494,0.126623,2.491006,1,1,1.0000,1.0000,-15.1981,-65.2131,-11.6000,-28.2000,0.040000,0.268949,0,0,1,1,0,0,0.0000,0.0000,,,,,1496,1496,0,0,1436,1447,60,36,0,13,0.53055,0.53958,,,,,,,,,,,,,,,,,,,,,,,140341.1540,909,909,0,0
1788271844.6485,G_left_centre_left_right,G,left,0,left_right,,centre,4,141.7000,344.2000,59.3000,217.1000,218.9000,0.0000,344.8000,314.8000,23.7000,0.0000,169.3000,0.0000,111.6000,0.0000,0.37800,-0.19800,0.90700,21.21000,2.95000,-15.26000,-0.95200,-0.04400,0.22300,-1.44000,-3.24000,2.41000,16.2,7.0,1.0,0.0,0.736414,0.321963,1.318042,-0.731463,0.338975,1.182664,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.736363,0.321977,1.317849,-0.731243,0.338855,1.182796,1.107968,0.752063,2.281302,-1.648579,-1.983187,-0.711604,-0.558304,1.962025,-1.264580,1.600805,-1.454876,2.675479,0.126782,2.491008,1,1,1.0000,1.0000,-13.3520,-64.5379,-11.6000,-28.2000,0.040000,0.268949,0,0,1,1,0,0,0.0000,0.0000,,,,,1497,1497,0,0,1437,1448,60,36,0,13,0.53055,0.53958,,,,,,,,,,,,,,,,,,,,,,,140341.1713,910,910,0,0
1788271844.6691,G_left_centre_left_right,G,left,0,left_right,,centre,5,141.7000,344.2000,59.3000,217.1000,218.9000,0.0000,344.8000,314.8000,23.7000,0.0000,169.3000,0.0000,111.6000,0.0000,0.37800,-0.19800,0.90700,21.21000,2.95000,-15.26000,-0.95200,-0.04400,0.22300,-1.44000,-3.24000,2.41000,16.1,6.3,1.0,0.0,0.736414,0.321963,1.318042,-0.731463,0.338975,1.182664,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.736363,0.321977,1.317849,-0.731243,0.338855,1.182796,1.107944,0.752010,2.281246,-1.648611,-1.983272,-0.711544,-0.558243,1.962058,-1.264587,1.600972,-1.454427,2.675467,0.127259,2.490994,1,1,1.0000,1.0000,-13.3520,-64.5379,-11.6000,-28.2000,0.040000,0.268949,0,0,1,1,0,0,0.0000,0.0000,,,,,1497,1497,0,0,1437,1448,60,36,0,13,0.53055,0.53958,,,,,,,,,,,,,,,,,,,,,,,140341.1919,910,910,0,0
1788271844.6894,G_left_centre_left_right,G,left,0,left_right,,centre,6,141.7000,344.2000,59.3000,217.1000,218.9000,0.0000,344.9000,314.8000,23.7000,0.0000,169.2000,0.0000,110.8000,0.0000,0.26300,-0.13900,0.89000,24.10000,5.66000,-15.92000,-0.93100,-0.04900,0.20600,0.84000,-2.13000,-0.34000,16.1,6.2,1.0,0.0,0.736352,0.321973,1.317842,-0.730596,0.338510,1.183124,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.736363,0.321977,1.317849,-0.731243,0.338855,1.182796,1.107923,0.751974,2.281222,-1.648632,-1.983317,-0.711513,-0.558209,1.962071,-1.264591,1.601090,-1.453924,2.675454,0.127807,2.490995,1,1,1.0000,1.0000,-19.2803,-64.1475,-11.6000,-28.2000,0.040000,0.268979,0,0,1,1,0,0,0.0000,0.0000,,,,,1499,1499,0,0,1439,1450,60,36,0,13,0.53053,0.53954,,,,,,,,,,,,,,,,,,,,,,,140341.2123,912,912,0,0
1788271844.7088,G_left_centre_left_right,G,left,0,left_right,,centre,7,141.7000,344.2000,59.3000,217.1000,218.9000,0.0000,344.9000,314.8000,23.7000,0.0000,169.2000,0.0000,110.8000,0.0000,0.26300,-0.13900,0.89000,24.10000,5.66000,-15.92000,-0.93100,-0.04900,0.20600,0.84000,-2.13000,-0.34000,15.1,5.7,1.0,0.0,0.736352,0.321973,1.317842,-0.730596,0.338510,1.183124,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.736363,0.321977,1.317849,-0.731243,0.338855,1.182796,1.107902,0.751931,2.281182,-1.648657,-1.983423,-0.711467,-0.558162,1.962057,-1.264589,1.601037,-1.453909,2.675443,0.127884,2.491015,1,1,1.0000,1.0000,-19.2803,-64.1475,-11.6000,-28.2000,0.040000,0.268979,0,0,1,1,0,0,0.0000,0.0000,,,,,1499,1499,0,0,1439,1450,60,36,0,13,0.53053,0.53954,,,,,,,,,,,,,,,,,,,,,,,140341.2317,912,912,0,0
1788271844.7295,G_left_centre_left_right,G,left,0,left_right,,centre,8,141.7000,344.2000,59.3000,217.1000,218.9000,0.0000,345.0000,314.8000,23.7000,0.0000,169.1000,0.0000,110.1000,0.0000,0.24100,-0.10500,0.87400,18.21000,-2.49000,-7.77000,-0.94600,-0.03000,0.21000,-0.26000,-2.76000,0.08000,15.6,5.2,1.0,0.0,0.736183,0.322005,1.317308,-0.730880,0.338662,1.182962,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.736407,0.321966,1.318001,-0.731402,0.338969,1.182566,1.107885,0.751850,2.281088,-1.648693,-1.983567,-0.711375,-0.558066,1.961986,-1.264578,1.600722,-1.454516,2.675399,0.127425,2.491109,1,1,1.0000,1.0000,-20.2191,-65.3165,-11.6000,-28.2000,0.040000,0.269008,0,0,1,1,0,0,0.0000,0.0000,,,,,1501,1501,0,0,1441,1452,60,36,0,13,0.53057,0.53970,,,,,,,,,,,,,,,,,,,,,,,140341.2523,914,914,0,0
1788271844.7496,G_left_centre_left_right,G,left,0,left_right,,centre,9,141.7000,344.2000,59.3000,217.1000,218.9000,0.0000,345.0000,314.8000,23.7000,0.0000,169.1000,0.0000,110.1000,0.0000,0.24100,-0.10500,0.87400,18.21000,-2.49000,-7.77000,-0.94600,-0.03000,0.21000,-0.26000,-2.76000,0.08000,15.6,5.2,1.0,0.0,0.736183,0.322005,1.317308,-0.730880,0.338662,1.182962,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.736407,0.321966,1.318001,-0.731402,0.338969,1.182566,1.107955,0.751970,2.281115,-1.648650,-1.983386,-0.711438,-0.558123,1.961968,-1.264577,1.600621,-1.454974,2.675387,0.126898,2.491133,1,1,1.0000,1.0000,-20.2191,-65.3165,-11.6000,-28.2000,0.040000,0.269008,0,0,1,1,0,0,0.0000,0.0000,,,,,1501,1501,0,0,1441,1452,60,36,0,13,0.53057,0.53970,,,,,,,,,,,,,,,,,,,,,,,140341.2724,914,914,0,0
