t,segment,block,arm,rep,direction,speed,station,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_elev_deg,right_elev_deg,left_azim_deg,right_azim_deg,left_reach_m,right_reach_m,left_elev_held,right_elev_held,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,left_real_joint_1,left_real_joint_2,left_real_joint_3,left_real_joint_4,left_real_joint_5,left_real_joint_6,left_real_joint_7,right_real_joint_1,right_real_joint_2,right_real_joint_3,right_real_joint_4,right_real_joint_5,right_real_joint_6,right_real_joint_7,left_real_ee_x,left_real_ee_y,left_real_ee_z,right_real_ee_x,right_real_ee_y,right_real_ee_z,real_bridge_enabled,real_session_connected,t_mono,master_seq_left,master_seq_right,n_rejected_raw,estop
1788271879.5782,G_left_centre_up_down,G,left,0,up_down,,centre,0,141.7000,344.2000,59.3000,217.1000,218.9000,0.0000,344.3000,315.8000,23.6000,0.0000,148.2000,0.0000,111.0000,0.0000,0.32700,-0.10100,0.91300,-4.75000,4.85000,1.84000,-0.93600,-0.02300,0.21900,-1.95000,0.14000,-2.02000,30.6,21.9,1.0,0.0,0.736417,0.321951,1.318055,-0.733136,0.342073,1.179431,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.736431,0.321947,1.318114,-0.733414,0.342215,1.179280,1.110442,0.754066,2.275446,-1.648697,-1.982972,-0.707772,-0.555514,1.966282,-1.269911,1.606826,-1.434292,2.680586,0.144617,2.479464,1,1,1.0000,1.0000,-15.9227,-65.7432,-11.6000,-27.2000,0.040000,0.270666,0,0,1,1,0,0,0.0000,0.0000,,,,,3243,3241,0,0,3183,3192,60,36,0,13,0.53063,0.54081,,,,,,,,,,,,,,,,,,,,,,,140376.1010,2656,2656,0,0
1788271879.5983,G_left_centre_up_down,G,left,0,up_down,,centre,1,141.7000,344.2000,59.3000,217.1000,218.9000,0.0000,344.2000,315.8000,23.6000,0.0000,148.2000,0.0000,111.1000,0.0000,0.32300,-0.09900,0.89300,-2.75000,3.37000,-0.02000,-0.94500,-0.02700,0.22600,-2.58000,-0.18000,-1.44000,30.0,22.4,1.0,0.0,0.736416,0.321951,1.318050,-0.733090,0.342050,1.179453,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.736431,0.321947,1.318114,-0.733414,0.342215,1.179280,1.110488,0.754151,2.275458,-1.648672,-1.982772,-0.707810,-0.555550,1.966234,-1.269914,1.606590,-1.435047,2.680577,0.143853,2.479500,1,1,1.0000,1.0000,-15.7448,-65.5275,-11.6000,-27.2000,0.040000,0.270666,0,0,1,1,0,0,0.0000,0.0000,,,,,3244,3242,0,0,3184,3193,60,36,0,13,0.53059,0.54083,,,,,,,,,,,,,,,,,,,,,,,140376.1212,2657,2657,0,0
1788271879.6183,G_left_centre_up_down,G,left,0,up_down,,centre,2,141.7000,344.2000,59.3000,217.1000,218.9000,0.0000,344.2000,315.8000,23.6000,0.0000,148.1000,0.0000,110.7000,0.0000,0.29900,-0.08400,0.87800,-1.55000,2.95000,-1.75000,-0.94900,-0.02300,0.21200,-3.36000,0.26000,-0.87000,29.7,21.8,1.0,0.0,0.736403,0.321953,1.318005,-0.733100,0.342055,1.179448,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.736431,0.321947,1.318114,-0.733414,0.342215,1.179280,1.110501,0.754158,2.275457,-1.648666,-1.982819,-0.707814,-0.555553,1.966209,-1.269917,1.606483,-1.435354,2.680573,0.143563,2.479516,1,1,1.0000,1.0000,-16.7635,-65.7380,-11.6000,-27.2000,0.040000,0.270653,0,0,1,1,0,0,0.0000,0.0000,,,,,3245,3243,0,0,3185,3194,60,36,0,13,0.53059,0.54083,,,,,,,,,,,,,,,,,,,,,,,140376.1412,2658,2658,0,0
1788271879.6467,G_left_centre_up_down,G,left,0,up_down,,centre,3,141.7000,344.2000,59.3000,217.1000,218.9000,0.0000,344.2000,315.8000,23.6000,0.0000,148.1000,0.0000,110.5000,0.0000,0.28900,-0.06800,0.89300,-0.69000,2.00000,-2.49000,-0.96000,-0.03100,0.21800,-3.56000,0.07000,-1.00000,30.4,21.8,1.0,0.0,0.736343,0.321964,1.317797,-0.732976,0.341992,1.179511,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.736412,0.321951,1.318041,-0.733117,0.342061,1.179459,1.110526,0.754183,2.275458,-1.648653,-1.982822,-0.707825,-0.555565,1.966180,-1.269921,1.606378,-1.435489,2.680570,0.143439,2.479533,1,1,1.0000,1.0000,-17.8284,-65.2984,-11.6000,-27.2000,0.040000,0.270653,0,0,1,1,0,0,0.0000,0.0000,,,,,3246,3244,0,0,3186,3195,60,36,0,13,0.53059,0.54083,,,,,,,,,,,,,,,,,,,,,,,140376.1695,2660,2659,0,0
1788271879.6591,G_left_centre_up_down,G,left,0,up_down,,centre,4,141.7000,344.2000,59.3000,217.1000,218.9000,0.0000,344.2000,315.8000,23.6000,0.0000,148.1000,0.0000,110.3000,0.0000,0.28900,-0.06800,0.89300,-0.69000,2.00000,-2.49000,-0.95200,-0.03200,0.21700,-2.77000,-0.37000,-1.23000,30.4,21.8,1.0,0.0,0.736343,0.321964,1.317797,-0.732833,0.341918,1.179584,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.736412,0.321951,1.318041,-0.733117,0.342061,1.179459,1.110562,0.754240,2.275473,-1.648630,-1.982728,-0.707857,-0.555598,1.966169,-1.269923,1.606340,-1.435517,2.680569,0.143411,2.479539,1,1,1.0000,1.0000,-17.5578,-65.2268,-11.6000,-27.2000,0.040000,0.270653,0,0,1,1,0,0,0.0000,0.0000,,,,,3247,3245,0,0,3187,3196,60,36,0,13,0.53059,0.54061,,,,,,,,,,,,,,,,,,,,,,,140376.1819,2660,2660,0,0
1788271879.6787,G_left_centre_up_down,G,left,0,up_down,,centre,5,141.5000,344.2000,59.3000,217.1000,218.9000,0.0000,344.2000,315.8000,23.7000,0.0000,148.1000,0.0000,110.2000,0.0000,0.29800,-0.07000,0.89300,-1.40000,1.39000,-1.18000,-0.94600,-0.03800,0.22100,-2.21000,0.23000,-1.29000,30.8,21.9,1.0,0.0,0.736328,0.321958,1.317749,-0.732562,0.341780,1.179722,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.736412,0.321951,1.318041,-0.733117,0.342061,1.179459,1.110645,0.754372,2.275508,-1.648576,-1.982503,-0.707930,-0.555673,1.966139,-1.269925,1.606253,-1.435762,2.680561,0.143178,2.479564,1,1,1.0000,1.0000,-17.0475,-64.8735,-11.8000,-27.2000,0.040000,0.270670,0,0,1,1,0,0,0.0000,0.0000,,,,,3248,3246,0,0,3188,3197,60,36,0,13,0.53057,0.54061,,,,,,,,,,,,,,,,,,,,,,,140376.2015,2661,2661,0,0
1788271879.6983,G_left_centre_up_down,G,left,0,up_down,,centre,6,141.6000,344.2000,59.3000,217.1000,218.9000,0.0000,344.2000,315.8000,23.7000,0.0000,148.1000,0.0000,110.1000,0.0000,0.30200,-0.07900,0.89700,-1.18000,1.11000,-0.75000,-0.94900,-0.03900,0.21000,-1.38000,0.45000,-0.95000,30.1,21.9,1.0,0.0,0.736315,0.321956,1.317708,-0.732246,0.341617,1.179884,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.736412,0.321951,1.318041,-0.733117,0.342061,1.179459,1.110802,0.754590,2.275566,-1.648508,-1.982172,-0.708071,-0.555784,1.966104,-1.269928,1.606098,-1.436169,2.680549,0.142747,2.479595,1,1,1.0000,1.0000,-16.9329,-64.7907,-11.7000,-27.2000,0.040000,0.270670,0,0,1,1,0,0,0.0000,0.0000,,,,,3249,3247,0,0,3189,3198,60,36,0,13,0.53057,0.54061,,,,,,,,,,,,,,,,,,,,,,,140376.2211,2662,2662,0,0
1788271879.7183,G_left_centre_up_down,G,left,0,up_down,,centre,7,141.5000,344.2000,59.3000,217.1000,218.9000,0.0000,344.2000,315.8000,23.7000,0.0000,148.1000,0.0000,110.0000,0.0000,0.32100,-0.10300,0.89500,1.08000,0.38000,-2.44000,-0.94900,-0.03600,0.21400,0.39000,0.89000,-0.47000,31.1,22.2,1.0,0.0,0.736317,0.321947,1.317718,-0.732071,0.341527,1.179973,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.736330,0.321956,1.317784,-0.732883,0.341939,1.179581,1.110827,0.754618,2.275576,-1.648501,-1.982149,-0.708092,-0.555801,1.966050,-1.269931,1.605859,-1.436832,2.680529,0.142052,2.479646,1,1,1.0000,1.0000,-15.9132,-64.9796,-11.8000,-27.2000,0.040000,0.270670,0,0,1,1,0,0,0.0000,0.0000,,,,,3250,3248,0,0,3190,3199,60,36,0,13,0.53057,0.54061,,,,,,,,,,,,,,,,,,,,,,,140376.2411,2663,2663,0,0
1788271879.7422,G_left_centre_up_down,G,left,0,up_down,,centre,8,141.5000,344.2000,59.3000,217.1000,218.9000,0.0000,344.7000,315.8000,23.8000,0.0000,148.1000,0.0000,102.0000,0.0000,0.32300,-0.06600,0.88900,4.61000,-1.36000,0.57000,-0.94800,-0.04800,0.22100,0.29000,-2.27000,1.06000,32.3,24.4,1.0,0.0,0.736323,0.321939,1.317744,-0.731510,0.341239,1.180264,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.736330,0.321956,1.317784,-0.732883,0.341939,1.179581,1.110866,0.754651,2.275589,-1.648501,-1.982110,-0.708127,-0.555815,1.965985,-1.269936,1.605568,-1.437648,2.680504,0.141210,2.479707,1,1,1.0000,1.0000,-15.5227,-64.2901,-11.8000,-27.2000,0.040000,0.270687,0,0,1,1,0,0,0.0000,0.0000,,,,,3251,3249,0,0,3191,3200,60,36,0,13,0.53050,0.54044,,,,,,,,,,,,,,,,,,,,,,,140376.2650,2664,2664,0,0
1788271879.7620,G_left_centre_up_down,G,left,0,up_down,,centre,9,141.4000,344.2000,59.3000,217.1000,218.9000,0.0000,344.7000,315.8000,23.8000,0.0000,148.1000,0.0000,101.1000,0.0000,0.32700,-0.05200,0.89200,4.38000,-1.16000,0.88000,-0.93900,-0.04700,0.21400,1.15000,-2.00000,-0.08000,32.3,24.4,1.0,0.0,0.736331,0.321925,1.317780,-0.731025,0.340990,1.180515,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.736330,0.321956,1.317784,-0.732883,0.341939,1.179581,1.110884,0.754646,2.275592,-1.648528,-1.982105,-0.708146,-0.555798,1.965921,-1.269939,1.605285,-1.438413,2.680480,0.140422,2.479767,1,1,1.0000,1.0000,-15.2912,-64.3105,-11.9000,-27.2000,0.040000,0.270687,0,0,1,1,0,0,0.0000,0.0000,,,,,3252,3250,0,0,3192,3201,60,36,0,13,0.53050,0.54044,,,,,,,,,,,,,,,,,,,,,,,140376.2848,2665,2665,0,0
