t,segment,block,arm,rep,direction,speed,station,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_elev_deg,right_elev_deg,left_azim_deg,right_azim_deg,left_reach_m,right_reach_m,left_elev_held,right_elev_held,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,left_real_joint_1,left_real_joint_2,left_real_joint_3,left_real_joint_4,left_real_joint_5,left_real_joint_6,left_real_joint_7,right_real_joint_1,right_real_joint_2,right_real_joint_3,right_real_joint_4,right_real_joint_5,right_real_joint_6,right_real_joint_7,left_real_ee_x,left_real_ee_y,left_real_ee_z,right_real_ee_x,right_real_ee_y,right_real_ee_z,real_bridge_enabled,real_session_connected,t_mono,master_seq_left,master_seq_right,n_rejected_raw,estop
1788272075.2412,G_left_front_left_right,G,left,0,left_right,,front,0,194.9000,344.2000,59.3000,217.1000,218.9000,0.0000,340.8000,317.1000,34.4000,0.0000,144.9000,0.0000,66.2000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.5,0.7,1.0,0.0,0.721961,0.350266,1.354037,-0.726641,0.341580,1.181267,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.721896,0.350335,1.354035,-0.726644,0.341577,1.181270,1.021276,0.808367,2.224461,-1.582622,-2.069864,-0.612516,-0.448667,1.969278,-1.275654,1.599824,-1.447843,2.666763,0.127079,2.488373,1,1,1.0000,1.0000,39.0406,-64.3857,41.6000,-25.9000,0.040000,0.271561,1,1,1,1,0,0,0.0000,0.0000,,,,,13018,12998,0,0,12930,12949,88,36,0,13,0.52639,0.53555,,,,,,,,,,,,,,,,,,,,,,,140571.7641,11437,11690,0,0
1788272075.2619,G_left_front_left_right,G,left,0,left_right,,front,1,194.9000,344.2000,59.3000,217.1000,218.9000,0.0000,340.9000,317.1000,34.4000,0.0000,144.9000,0.0000,68.4000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.4,1.1,1.0,0.0,0.721959,0.350269,1.354037,-0.726637,0.341587,1.181265,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.721896,0.350335,1.354035,-0.726644,0.341577,1.181270,1.021688,0.807869,2.224371,-1.583121,-2.069886,-0.612661,-0.448891,1.969246,-1.275647,1.599831,-1.447878,2.666766,0.127074,2.488378,1,1,1.0000,1.0000,39.0406,-64.3857,41.6000,-25.9000,0.040000,0.271561,1,1,1,1,0,0,0.0000,0.0000,,,,,13019,12999,0,0,12931,12950,88,36,0,13,0.52646,0.53555,,,,,,,,,,,,,,,,,,,,,,,140571.7848,11438,11691,0,0
1788272075.2823,G_left_front_left_right,G,left,0,left_right,,front,2,194.9000,344.2000,59.3000,217.1000,218.9000,0.0000,340.9000,317.1000,34.4000,0.0000,144.9000,0.0000,70.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.0,1.1,1.0,0.0,0.721956,0.350272,1.354037,-0.726633,0.341593,1.181264,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.721896,0.350335,1.354035,-0.726644,0.341577,1.181270,1.021750,0.807795,2.224357,-1.583195,-2.069889,-0.612683,-0.448925,1.969237,-1.275644,1.599832,-1.447887,2.666767,0.127072,2.488380,1,1,1.0000,1.0000,39.0406,-64.3857,41.6000,-25.9000,0.040000,0.271561,1,1,1,1,0,0,0.0000,0.0000,,,,,13020,13000,0,0,12932,12951,88,36,0,13,0.52646,0.53555,,,,,,,,,,,,,,,,,,,,,,,140571.8051,11438,11692,0,0
1788272075.3142,G_left_front_left_right,G,left,0,left_right,,front,3,194.9000,344.2000,59.3000,217.1000,218.9000,0.0000,340.9000,317.1000,34.4000,0.0000,144.9000,0.0000,72.6000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.0,1.1,1.0,0.0,0.721954,0.350275,1.354037,-0.726629,0.341599,1.181262,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.721959,0.350269,1.354037,-0.726638,0.341585,1.181266,1.021782,0.807740,2.224369,-1.583240,-2.069893,-0.612718,-0.448968,1.969256,-1.275659,1.599832,-1.447862,2.666761,0.127081,2.488371,1,1,1.0000,1.0000,39.0406,-64.3857,41.6000,-25.9000,0.040000,0.271561,1,1,1,1,0,0,0.0000,0.0000,,,,,13020,13000,0,0,12932,12951,88,36,0,13,0.52646,0.53555,,,,,,,,,,,,,,,,,,,,,,,140571.8370,11438,11693,0,0
1788272075.3242,G_left_front_left_right,G,left,0,left_right,,front,4,194.9000,344.2000,59.3000,217.1000,218.9000,0.0000,340.9000,317.1000,34.4000,0.0000,145.0000,0.0000,74.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.1,1.0,1.0,0.0,0.721952,0.350277,1.354037,-0.726625,0.341605,1.181260,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.721959,0.350269,1.354037,-0.726638,0.341585,1.181266,1.021737,0.807728,2.224426,-1.583224,-2.069911,-0.612751,-0.448987,1.969296,-1.275691,1.599831,-1.447806,2.666746,0.127101,2.488352,1,1,1.0000,1.0000,39.0406,-64.3857,41.6000,-25.9000,0.040000,0.271573,1,1,1,1,0,0,0.0000,0.0000,,,,,13022,13002,0,0,12934,12953,88,36,0,13,0.52649,0.53555,,,,,,,,,,,,,,,,,,,,,,,140571.8471,11438,11694,0,0
1788272075.3421,G_left_front_left_right,G,left,0,left_right,,front,5,194.9000,344.2000,59.3000,217.1000,218.9000,0.0000,340.9000,317.1000,34.3000,0.0000,145.0000,0.0000,75.0000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.1,1.0,1.0,0.0,0.721950,0.350280,1.354037,-0.726621,0.341610,1.181258,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.721959,0.350269,1.354037,-0.726638,0.341585,1.181266,1.021706,0.807723,2.224462,-1.583216,-2.069929,-0.612767,-0.448990,1.969309,-1.275702,1.599831,-1.447786,2.666741,0.127108,2.488345,1,1,1.0000,1.0000,39.0406,-64.3857,41.6000,-25.9000,0.040000,0.271566,1,1,1,1,0,0,0.0000,0.0000,,,,,13023,13003,0,0,12935,12954,88,36,0,13,0.52649,0.53555,,,,,,,,,,,,,,,,,,,,,,,140571.8650,11438,11695,0,0
1788272075.3884,G_left_front_left_right,G,left,0,left_right,,front,6,194.9000,344.2000,59.3000,217.1000,218.9000,0.0000,340.9000,317.1000,34.3000,0.0000,145.0000,0.0000,75.1000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.8,0.8,1.0,0.0,0.721949,0.350283,1.354037,-0.726618,0.341616,1.181257,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.721950,0.350279,1.354040,-0.726624,0.341607,1.181259,1.021704,0.807721,2.224475,-1.583210,-2.069912,-0.612774,-0.449011,1.969322,-1.275713,1.599831,-1.447768,2.666736,0.127115,2.488338,1,1,1.0000,1.0000,39.0406,-64.3857,41.6000,-25.9000,0.040000,0.271566,1,1,1,1,0,0,0.0000,0.0000,,,,,13024,13004,0,0,12936,12955,88,36,0,13,0.52649,0.53555,,,,,,,,,,,,,,,,,,,,,,,140571.9113,11438,11696,0,0
1788272075.3891,G_left_front_left_right,G,left,0,left_right,,front,7,194.9000,344.2000,59.3000,217.1000,218.9000,0.0000,340.9000,317.1000,34.3000,0.0000,145.0000,0.0000,75.1000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.8,0.8,1.0,0.0,0.721949,0.350283,1.354037,-0.726618,0.341616,1.181257,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.721950,0.350279,1.354040,-0.726624,0.341607,1.181259,1.021704,0.807721,2.224475,-1.583210,-2.069912,-0.612774,-0.449011,1.969322,-1.275713,1.599831,-1.447768,2.666736,0.127115,2.488338,1,1,1.0000,1.0000,39.0406,-64.3857,41.6000,-25.9000,0.040000,0.271566,1,1,1,1,0,0,0.0000,0.0000,,,,,13024,13004,0,0,12936,12955,88,36,0,13,0.52649,0.53555,,,,,,,,,,,,,,,,,,,,,,,140571.9119,11438,11696,0,0
1788272075.4022,G_left_front_left_right,G,left,0,left_right,,front,8,194.9000,344.2000,59.3000,217.1000,218.9000,0.0000,340.9000,317.1000,34.2000,0.0000,145.2000,0.0000,77.6000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.7,0.9,1.0,0.0,0.721946,0.350287,1.354037,-0.726611,0.341625,1.181253,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.721950,0.350279,1.354040,-0.726624,0.341607,1.181259,1.021686,0.807714,2.224518,-1.583197,-2.069892,-0.612797,-0.449050,1.969342,-1.275731,1.599831,-1.447739,2.666728,0.127126,2.488327,1,1,1.0000,1.0000,39.0406,-64.3857,41.6000,-25.9000,0.040000,0.271583,1,1,1,1,0,0,0.0000,0.0000,,,,,13026,13006,0,0,12938,12957,88,36,0,13,0.52649,0.53554,,,,,,,,,,,,,,,,,,,,,,,140571.9250,11438,11698,0,0
1788272075.4248,G_left_front_left_right,G,left,0,left_right,,front,9,194.9000,344.2000,59.3000,217.1000,218.9000,0.0000,340.9000,317.1000,34.2000,0.0000,145.2000,0.0000,77.6000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.7,0.9,1.0,0.0,0.721946,0.350287,1.354037,-0.726611,0.341625,1.181253,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.721950,0.350279,1.354040,-0.726624,0.341607,1.181259,1.021680,0.807712,2.224526,-1.583194,-2.069891,-0.612801,-0.449054,1.969347,-1.275736,1.599831,-1.447731,2.666726,0.127129,2.488324,1,1,1.0000,1.0000,39.0406,-64.3857,41.6000,-25.9000,0.040000,0.271583,1,1,1,1,0,0,0.0000,0.0000,,,,,13026,13006,0,0,12938,12957,88,36,0,13,0.52649,0.53554,,,,,,,,,,,,,,,,,,,,,,,140571.9477,11438,11698,0,0
