t,segment,block,arm,rep,direction,speed,station,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_elev_deg,right_elev_deg,left_azim_deg,right_azim_deg,left_reach_m,right_reach_m,left_elev_held,right_elev_held,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,left_real_joint_1,left_real_joint_2,left_real_joint_3,left_real_joint_4,left_real_joint_5,left_real_joint_6,left_real_joint_7,right_real_joint_1,right_real_joint_2,right_real_joint_3,right_real_joint_4,right_real_joint_5,right_real_joint_6,right_real_joint_7,left_real_ee_x,left_real_ee_y,left_real_ee_z,right_real_ee_x,right_real_ee_y,right_real_ee_z,real_bridge_enabled,real_session_connected,t_mono,master_seq_left,master_seq_right,n_rejected_raw,estop
1788272104.7574,G_left_front_up_down,G,left,0,up_down,,front,0,149.6000,344.2000,59.3000,217.1000,218.9000,0.0000,344.4000,317.3000,34.8000,0.0000,147.9000,0.0000,73.6000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.0,0.6,1.0,0.0,0.729712,0.328015,1.354037,-0.726305,0.341999,1.181016,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729720,0.328130,1.354036,-0.726312,0.341993,1.181025,1.073391,0.769721,2.198343,-1.656402,-2.096231,-0.632446,-0.426493,1.970182,-1.276796,1.599912,-1.446323,2.666602,0.127785,2.487325,1,1,1.0000,1.0000,39.0406,-64.3857,-3.7000,-25.7000,0.040000,0.271864,1,1,1,1,0,0,0.0000,0.0000,,,,,14493,14470,0,0,14405,14421,88,36,0,13,0.52620,0.53525,,,,,,,,,,,,,,,,,,,,,,,140601.2803,12296,12995,0,0
1788272104.7869,G_left_front_up_down,G,left,0,up_down,,front,1,149.6000,344.2000,59.3000,217.1000,218.9000,0.0000,344.5000,317.3000,34.8000,0.0000,147.9000,0.0000,78.2000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.9,0.8,1.0,0.0,0.729708,0.327943,1.354037,-0.726300,0.342000,1.181010,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729712,0.328069,1.354036,-0.726307,0.341997,1.181021,1.073425,0.769698,2.198330,-1.656479,-2.096268,-0.632473,-0.426449,1.970186,-1.276803,1.599913,-1.446315,2.666602,0.127789,2.487317,1,1,1.0000,1.0000,39.0406,-64.3857,-3.7000,-25.7000,0.040000,0.271864,1,1,1,1,0,0,0.0000,0.0000,,,,,14495,14472,0,0,14407,14423,88,36,0,13,0.52620,0.53525,,,,,,,,,,,,,,,,,,,,,,,140601.3098,12297,12997,0,0
1788272104.8142,G_left_front_up_down,G,left,0,up_down,,front,2,149.5000,344.2000,59.3000,217.1000,218.9000,0.0000,344.6000,316.9000,34.8000,0.0000,147.9000,0.0000,77.9000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.7,0.6,1.0,0.0,0.729706,0.327912,1.354037,-0.726321,0.341954,1.181007,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729712,0.328069,1.354036,-0.726307,0.341997,1.181021,1.073439,0.769689,2.198324,-1.656503,-2.096283,-0.632484,-0.426432,1.970187,-1.276805,1.599913,-1.446312,2.666602,0.127791,2.487315,1,1,1.0000,1.0000,39.0406,-64.3857,-3.8000,-26.1000,0.040000,0.271864,1,1,1,1,0,0,0.0000,0.0000,,,,,14496,14473,0,0,14408,14424,88,36,0,13,0.52617,0.53525,,,,,,,,,,,,,,,,,,,,,,,140601.3370,12298,12998,0,0
1788272104.8180,G_left_front_up_down,G,left,0,up_down,,front,3,149.5000,344.2000,59.3000,217.1000,218.9000,0.0000,344.6000,316.9000,34.8000,0.0000,147.9000,0.0000,77.9000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.7,0.6,1.0,0.0,0.729706,0.327912,1.354037,-0.726321,0.341954,1.181007,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729712,0.328069,1.354036,-0.726307,0.341997,1.181021,1.073487,0.769656,2.198308,-1.656582,-2.096334,-0.632524,-0.426377,1.970190,-1.276810,1.599914,-1.446307,2.666601,0.127794,2.487310,1,1,1.0000,1.0000,39.0406,-64.3857,-3.8000,-26.1000,0.040000,0.271864,1,1,1,1,0,0,0.0000,0.0000,,,,,14497,14474,0,0,14409,14425,88,36,0,13,0.52617,0.53525,,,,,,,,,,,,,,,,,,,,,,,140601.3408,12298,12998,0,0
1788272104.8380,G_left_front_up_down,G,left,0,up_down,,front,4,149.5000,344.2000,59.3000,217.1000,218.9000,0.0000,344.7000,317.0000,34.7000,0.0000,147.9000,0.0000,78.0000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.8,0.5,1.0,0.0,0.729705,0.327881,1.354037,-0.726335,0.341922,1.181004,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729705,0.327952,1.354036,-0.726301,0.342000,1.181010,1.073611,0.769557,2.198281,-1.656881,-2.096480,-0.632650,-0.426227,1.970189,-1.276835,1.599922,-1.446294,2.666596,0.127809,2.487289,1,1,1.0000,1.0000,39.0406,-64.3857,-3.8000,-26.0000,0.040000,0.271859,1,1,1,1,0,0,0.0000,0.0000,,,,,14498,14475,0,0,14410,14426,88,36,0,13,0.52617,0.53525,,,,,,,,,,,,,,,,,,,,,,,140601.3608,12299,12999,0,0
1788272104.8650,G_left_front_up_down,G,left,0,up_down,,front,5,149.5000,344.2000,59.3000,217.1000,218.9000,0.0000,344.8000,317.1000,34.7000,0.0000,147.9000,0.0000,78.4000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.5,0.5,1.0,0.0,0.729702,0.327831,1.354037,-0.726343,0.341904,1.181002,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729705,0.327952,1.354036,-0.726301,0.342000,1.181010,1.073747,0.769446,2.198252,-1.657175,-2.096638,-0.632787,-0.426066,1.970086,-1.276804,1.599938,-1.446413,2.666614,0.127791,2.487305,1,1,1.0000,1.0000,39.0406,-64.3857,-3.8000,-25.9000,0.040000,0.271859,1,1,1,1,0,0,0.0000,0.0000,,,,,14499,14476,0,0,14411,14427,88,36,0,13,0.52613,0.53524,,,,,,,,,,,,,,,,,,,,,,,140601.3878,12300,13000,0,0
1788272104.8775,G_left_front_up_down,G,left,0,up_down,,front,6,149.5000,344.2000,59.3000,217.1000,218.9000,0.0000,344.8000,317.1000,34.7000,0.0000,147.9000,0.0000,79.9000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.5,0.5,1.0,0.0,0.729702,0.327831,1.354037,-0.726349,0.341888,1.181000,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729705,0.327952,1.354036,-0.726301,0.342000,1.181010,1.073809,0.769400,2.198234,-1.657301,-2.096709,-0.632844,-0.425990,1.969986,-1.276769,1.599953,-1.446529,2.666633,0.127769,2.487325,1,1,1.0000,1.0000,39.0406,-64.3857,-3.8000,-25.9000,0.040000,0.271859,1,1,1,1,0,0,0.0000,0.0000,,,,,14500,14477,0,0,14412,14428,88,36,0,13,0.52613,0.53524,,,,,,,,,,,,,,,,,,,,,,,140601.4004,12300,13001,0,0
1788272104.8976,G_left_front_up_down,G,left,0,up_down,,front,7,149.5000,344.2000,59.3000,217.1000,218.9000,0.0000,344.8000,317.1000,34.7000,0.0000,147.9000,0.0000,79.9000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.7,0.4,1.0,0.0,0.729701,0.327807,1.354037,-0.726349,0.341888,1.181000,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729705,0.327952,1.354036,-0.726301,0.342000,1.181010,1.073829,0.769385,2.198228,-1.657338,-2.096730,-0.632862,-0.425967,1.969947,-1.276753,1.599960,-1.446572,2.666642,0.127759,2.487333,1,1,1.0000,1.0000,39.0406,-64.3857,-3.8000,-25.9000,0.040000,0.271859,1,1,1,1,0,0,0.0000,0.0000,,,,,14500,14477,0,0,14412,14428,88,36,0,13,0.52613,0.53524,,,,,,,,,,,,,,,,,,,,,,,140601.4204,12300,13001,0,0
1788272104.9227,G_left_front_up_down,G,left,0,up_down,,front,8,149.5000,344.2000,59.3000,217.1000,218.9000,0.0000,344.9000,317.1000,34.7000,0.0000,147.8000,0.0000,79.2000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.0,0.5,1.0,0.0,0.729700,0.327786,1.354037,-0.726364,0.341854,1.180996,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729700,0.327842,1.354036,-0.726343,0.341903,1.181002,1.073876,0.769353,2.198210,-1.657426,-2.096780,-0.632901,-0.425911,1.969896,-1.276734,1.599971,-1.446629,2.666655,0.127747,2.487344,1,1,1.0000,1.0000,39.0406,-64.3857,-3.8000,-25.9000,0.040000,0.271853,1,1,1,1,0,0,0.0000,0.0000,,,,,14502,14479,0,0,14414,14430,88,36,0,13,0.52613,0.53527,,,,,,,,,,,,,,,,,,,,,,,140601.4456,12301,13003,0,0
1788272104.9530,G_left_front_up_down,G,left,0,up_down,,front,9,149.5000,344.2000,59.3000,217.1000,218.9000,0.0000,344.9000,317.1000,34.7000,0.0000,147.8000,0.0000,79.2000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.0,0.5,1.0,0.0,0.729700,0.327786,1.354037,-0.726364,0.341854,1.180996,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729700,0.327842,1.354036,-0.726343,0.341903,1.181002,1.073876,0.769353,2.198210,-1.657426,-2.096780,-0.632901,-0.425911,1.969896,-1.276734,1.599971,-1.446629,2.666655,0.127747,2.487344,1,1,1.0000,1.0000,39.0406,-64.3857,-3.8000,-25.9000,0.040000,0.271853,1,1,1,1,0,0,0.0000,0.0000,,,,,14502,14479,0,0,14414,14430,88,36,0,13,0.52613,0.53527,,,,,,,,,,,,,,,,,,,,,,,140601.4759,12301,13003,0,0
