t,segment,block,arm,rep,direction,speed,station,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_elev_deg,right_elev_deg,left_azim_deg,right_azim_deg,left_reach_m,right_reach_m,left_elev_held,right_elev_held,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,left_real_joint_1,left_real_joint_2,left_real_joint_3,left_real_joint_4,left_real_joint_5,left_real_joint_6,left_real_joint_7,right_real_joint_1,right_real_joint_2,right_real_joint_3,right_real_joint_4,right_real_joint_5,right_real_joint_6,right_real_joint_7,left_real_ee_x,left_real_ee_y,left_real_ee_z,right_real_ee_x,right_real_ee_y,right_real_ee_z,real_bridge_enabled,real_session_connected,t_mono,master_seq_left,master_seq_right,n_rejected_raw,estop
1788272259.6781,G_left_low_left_right,G,left,0,left_right,,low,0,130.7000,344.2000,59.3000,217.1000,218.9000,0.0000,353.9000,317.5000,36.0000,0.0000,151.0000,0.0000,104.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15.1,7.3,1.0,0.0,0.727359,0.317715,1.354037,-0.726050,0.342358,1.180862,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.727358,0.317713,1.354037,-0.726050,0.342358,1.180862,1.092382,0.762021,2.187871,-1.695751,-2.120265,-0.647437,-0.394351,1.971020,-1.277610,1.599878,-1.445026,2.666877,0.128293,2.486184,1,1,1.0000,1.0000,39.0406,-64.3857,-22.6000,-25.5000,0.040000,0.271978,1,1,1,1,0,0,0.0000,0.0000,,,,,22238,22205,0,0,22148,22156,90,36,0,13,0.52067,0.53502,,,,,,,,,,,,,,,,,,,,,,,140756.2009,16666,19658,0,0
1788272259.7038,G_left_low_left_right,G,left,0,left_right,,low,1,130.7000,344.2000,59.3000,217.1000,218.9000,0.0000,353.9000,317.5000,36.0000,0.0000,151.0000,0.0000,104.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15.1,7.3,1.0,0.0,0.727359,0.317715,1.354037,-0.726050,0.342358,1.180862,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.727358,0.317713,1.354037,-0.726050,0.342358,1.180862,1.092386,0.762024,2.187865,-1.695752,-2.120266,-0.647434,-0.394346,1.971020,-1.277609,1.599878,-1.445026,2.666877,0.128293,2.486184,1,1,1.0000,1.0000,39.0406,-64.3857,-22.6000,-25.5000,0.040000,0.271978,1,1,1,1,0,0,0.0000,0.0000,,,,,22238,22205,0,0,22148,22156,90,36,0,13,0.52067,0.53502,,,,,,,,,,,,,,,,,,,,,,,140756.2266,16666,19658,0,0
1788272259.7184,G_left_low_left_right,G,left,0,left_right,,low,2,130.7000,344.2000,59.3000,217.1000,218.9000,0.0000,354.1000,317.5000,36.0000,0.0000,151.0000,0.0000,105.1000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,16.0,6.7,1.0,0.0,0.727361,0.317719,1.354037,-0.726050,0.342358,1.180862,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.727358,0.317713,1.354037,-0.726050,0.342358,1.180862,1.092393,0.762038,2.187841,-1.695740,-2.120260,-0.647413,-0.394339,1.971020,-1.277610,1.599878,-1.445026,2.666877,0.128293,2.486184,1,1,1.0000,1.0000,39.0406,-64.3857,-22.6000,-25.5000,0.040000,0.271978,1,1,1,1,0,0,0.0000,0.0000,,,,,22240,22207,0,0,22150,22158,90,36,0,13,0.52067,0.53502,,,,,,,,,,,,,,,,,,,,,,,140756.2413,16667,19660,0,0
1788272259.7397,G_left_low_left_right,G,left,0,left_right,,low,3,130.7000,344.2000,59.3000,217.1000,218.9000,0.0000,354.1000,317.5000,36.0000,0.0000,151.1000,0.0000,105.3000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15.5,6.5,1.0,0.0,0.727361,0.317721,1.354037,-0.726050,0.342358,1.180862,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.727360,0.317718,1.354037,-0.726050,0.342358,1.180862,1.092396,0.762046,2.187828,-1.695732,-2.120255,-0.647400,-0.394337,1.971020,-1.277610,1.599879,-1.445026,2.666877,0.128293,2.486184,1,1,1.0000,1.0000,39.0406,-64.3857,-22.6000,-25.5000,0.040000,0.271977,1,1,1,1,0,0,0.0000,0.0000,,,,,22241,22208,0,0,22151,22159,90,36,0,13,0.52067,0.53502,,,,,,,,,,,,,,,,,,,,,,,140756.2626,16667,19661,0,0
1788272259.7665,G_left_low_left_right,G,left,0,left_right,,low,4,130.7000,344.2000,59.3000,217.1000,218.9000,0.0000,354.0000,317.5000,36.0000,0.0000,151.0000,0.0000,105.5000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15.9,6.4,1.0,0.0,0.727362,0.317723,1.354037,-0.726050,0.342357,1.180862,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.727360,0.317718,1.354037,-0.726050,0.342358,1.180862,1.092398,0.762051,2.187819,-1.695726,-2.120252,-0.647391,-0.394336,1.971020,-1.277610,1.599879,-1.445026,2.666877,0.128293,2.486184,1,1,1.0000,1.0000,39.0406,-64.3857,-22.6000,-25.5000,0.040000,0.271978,1,1,1,1,0,0,0.0000,0.0000,,,,,22241,22209,0,0,22151,22160,90,36,0,13,0.52067,0.53502,,,,,,,,,,,,,,,,,,,,,,,140756.2893,16668,19662,0,0
1788272259.7821,G_left_low_left_right,G,left,0,left_right,,low,5,130.7000,344.2000,59.3000,217.1000,218.9000,0.0000,354.0000,317.5000,36.0000,0.0000,151.0000,0.0000,105.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15.1,6.7,1.0,0.0,0.727363,0.317724,1.354037,-0.726050,0.342357,1.180862,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.727360,0.317718,1.354037,-0.726050,0.342358,1.180862,1.092401,0.762059,2.187805,-1.695717,-2.120246,-0.647378,-0.394334,1.971020,-1.277610,1.599879,-1.445026,2.666877,0.128293,2.486184,1,1,1.0000,1.0000,39.0406,-64.3857,-22.6000,-25.5000,0.040000,0.271978,1,1,1,1,0,0,0.0000,0.0000,,,,,22243,22210,0,0,22153,22161,90,36,0,13,0.52067,0.53502,,,,,,,,,,,,,,,,,,,,,,,140756.3049,16668,19663,0,0
1788272259.7992,G_left_low_left_right,G,left,0,left_right,,low,6,130.7000,344.2000,59.3000,217.1000,218.9000,0.0000,354.0000,317.5000,36.0000,0.0000,151.0000,0.0000,105.9000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15.1,6.7,1.0,0.0,0.727363,0.317726,1.354037,-0.726050,0.342357,1.180862,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.727360,0.317718,1.354037,-0.726050,0.342358,1.180862,1.092405,0.762067,2.187792,-1.695710,-2.120243,-0.647366,-0.394331,1.971020,-1.277610,1.599879,-1.445026,2.666876,0.128293,2.486184,1,1,1.0000,1.0000,39.0406,-64.3857,-22.6000,-25.5000,0.040000,0.271978,1,1,1,1,0,0,0.0000,0.0000,,,,,22244,22211,0,0,22154,22162,90,36,0,13,0.52067,0.53502,,,,,,,,,,,,,,,,,,,,,,,140756.3221,16668,19664,0,0
1788272259.8209,G_left_low_left_right,G,left,0,left_right,,low,7,130.7000,344.2000,59.3000,217.1000,218.9000,0.0000,354.0000,317.5000,36.0000,0.0000,151.0000,0.0000,106.0000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,17.8,6.5,1.0,0.0,0.727364,0.317728,1.354037,-0.726050,0.342357,1.180862,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.727363,0.317724,1.354037,-0.726050,0.342357,1.180862,1.092407,0.762071,2.187785,-1.695707,-2.120241,-0.647359,-0.394328,1.971020,-1.277610,1.599879,-1.445026,2.666876,0.128293,2.486184,1,1,1.0000,1.0000,39.0406,-64.3857,-22.6000,-25.5000,0.040000,0.271978,1,1,1,1,0,0,0.0000,0.0000,,,,,22245,22212,0,0,22155,22163,90,36,0,13,0.52067,0.53502,,,,,,,,,,,,,,,,,,,,,,,140756.3438,16668,19665,0,0
1788272259.8382,G_left_low_left_right,G,left,0,left_right,,low,8,130.7000,344.2000,59.3000,217.1000,218.9000,0.0000,354.0000,317.5000,36.0000,0.0000,151.0000,0.0000,106.1000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,16.9,6.4,1.0,0.0,0.727365,0.317729,1.354037,-0.726050,0.342357,1.180862,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.727363,0.317724,1.354037,-0.726050,0.342357,1.180862,1.092410,0.762077,2.187775,-1.695700,-2.120237,-0.647349,-0.394327,1.971020,-1.277610,1.599879,-1.445026,2.666876,0.128293,2.486184,1,1,1.0000,1.0000,39.0406,-64.3857,-22.6000,-25.5000,0.040000,0.271978,1,1,1,1,0,0,0.0000,0.0000,,,,,22246,22213,0,0,22156,22164,90,36,0,13,0.52068,0.53502,,,,,,,,,,,,,,,,,,,,,,,140756.3610,16668,19666,0,0
1788272259.8582,G_left_low_left_right,G,left,0,left_right,,low,9,130.7000,344.2000,59.3000,217.1000,218.9000,0.0000,354.0000,317.5000,36.0000,0.0000,151.0000,0.0000,106.2000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,16.7,6.5,1.0,0.0,0.727365,0.317730,1.354037,-0.726050,0.342357,1.180862,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.727363,0.317724,1.354037,-0.726050,0.342357,1.180862,1.092414,0.762085,2.187761,-1.695694,-2.120234,-0.647337,-0.394322,1.971019,-1.277610,1.599879,-1.445026,2.666876,0.128293,2.486184,1,1,1.0000,1.0000,39.0406,-64.3857,-22.6000,-25.5000,0.040000,0.271978,1,1,1,1,0,0,0.0000,0.0000,,,,,22247,22214,0,0,22157,22165,90,36,0,13,0.52068,0.53502,,,,,,,,,,,,,,,,,,,,,,,140756.3810,16668,19667,0,0
