t,segment,block,arm,rep,direction,speed,station,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_elev_deg,right_elev_deg,left_azim_deg,right_azim_deg,left_reach_m,right_reach_m,left_elev_held,right_elev_held,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,left_real_joint_1,left_real_joint_2,left_real_joint_3,left_real_joint_4,left_real_joint_5,left_real_joint_6,left_real_joint_7,right_real_joint_1,right_real_joint_2,right_real_joint_3,right_real_joint_4,right_real_joint_5,right_real_joint_6,right_real_joint_7,left_real_ee_x,left_real_ee_y,left_real_ee_z,right_real_ee_x,right_real_ee_y,right_real_ee_z,real_bridge_enabled,real_session_connected,t_mono,master_seq_left,master_seq_right,n_rejected_raw,estop
1788272278.3005,G_left_low_up_down,G,left,0,up_down,,low,0,151.7000,344.2000,59.3000,217.1000,218.9000,0.0000,357.5000,317.9000,34.7000,0.0000,150.6000,0.0000,88.5000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.8,4.8,1.0,0.0,0.729748,0.328853,1.354037,-0.725706,0.343116,1.180888,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729748,0.328856,1.354037,-0.725705,0.343117,1.180888,1.072757,0.771451,2.197140,-1.653654,-2.094795,-0.630242,-0.427032,1.972964,-1.278382,1.599556,-1.442689,2.666886,0.128797,2.485318,1,1,1.0000,1.0000,39.0406,-64.3857,-1.6000,-25.1000,0.040000,0.271950,1,1,1,1,0,0,0.0000,0.0000,,,,,23169,23136,0,0,23079,23087,90,36,0,13,0.52646,0.53476,,,,,,,,,,,,,,,,,,,,,,,140774.8234,17020,20401,0,0
1788272278.3206,G_left_low_up_down,G,left,0,up_down,,low,1,151.7000,344.2000,59.3000,217.1000,218.9000,0.0000,357.5000,317.9000,34.7000,0.0000,150.6000,0.0000,88.6000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13.9,4.6,1.0,0.0,0.729748,0.328851,1.354037,-0.725706,0.343115,1.180888,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729748,0.328856,1.354037,-0.725705,0.343117,1.180888,1.072762,0.771446,2.197140,-1.653665,-2.094801,-0.630249,-0.427026,1.972960,-1.278381,1.599556,-1.442693,2.666888,0.128796,2.485318,1,1,1.0000,1.0000,39.0406,-64.3857,-1.6000,-25.1000,0.040000,0.271950,1,1,1,1,0,0,0.0000,0.0000,,,,,23170,23137,0,0,23080,23088,90,36,0,13,0.52646,0.53476,,,,,,,,,,,,,,,,,,,,,,,140774.8435,17020,20402,0,0
1788272278.3419,G_left_low_up_down,G,left,0,up_down,,low,2,151.7000,344.2000,59.3000,217.1000,218.9000,0.0000,357.5000,317.9000,34.7000,0.0000,150.6000,0.0000,88.2000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.7,7.5,1.0,0.0,0.729748,0.328849,1.354037,-0.725706,0.343114,1.180888,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729748,0.328856,1.354037,-0.725705,0.343117,1.180888,1.072767,0.771441,2.197140,-1.653676,-2.094807,-0.630254,-0.427021,1.972958,-1.278380,1.599556,-1.442695,2.666889,0.128796,2.485318,1,1,1.0000,1.0000,39.0406,-64.3857,-1.6000,-25.1000,0.040000,0.271950,1,1,1,1,0,0,0.0000,0.0000,,,,,23171,23138,0,0,23081,23089,90,36,0,13,0.52646,0.53476,,,,,,,,,,,,,,,,,,,,,,,140774.8647,17020,20403,0,0
1788272278.3609,G_left_low_up_down,G,left,0,up_down,,low,3,151.7000,344.2000,59.3000,217.1000,218.9000,0.0000,357.5000,317.9000,34.7000,0.0000,150.6000,0.0000,88.2000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13.8,7.1,1.0,0.0,0.729748,0.328847,1.354037,-0.725707,0.343114,1.180888,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729748,0.328850,1.354037,-0.725706,0.343115,1.180888,1.072768,0.771440,2.197140,-1.653679,-2.094809,-0.630256,-0.427020,1.972957,-1.278380,1.599557,-1.442697,2.666889,0.128795,2.485318,1,1,1.0000,1.0000,39.0406,-64.3857,-1.6000,-25.1000,0.040000,0.271950,1,1,1,1,0,0,0.0000,0.0000,,,,,23172,23139,0,0,23082,23090,90,36,0,13,0.52646,0.53476,,,,,,,,,,,,,,,,,,,,,,,140774.8838,17020,20403,0,0
1788272278.3868,G_left_low_up_down,G,left,0,up_down,,low,4,151.7000,344.2000,59.3000,217.1000,218.9000,0.0000,357.5000,317.9000,34.7000,0.0000,150.6000,0.0000,88.2000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13.5,6.2,1.0,0.0,0.729748,0.328844,1.354037,-0.725707,0.343113,1.180888,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729748,0.328850,1.354037,-0.725706,0.343115,1.180888,1.072771,0.771437,2.197140,-1.653686,-2.094813,-0.630260,-0.427016,1.972955,-1.278379,1.599557,-1.442699,2.666890,0.128795,2.485318,1,1,1.0000,1.0000,39.0406,-64.3857,-1.6000,-25.1000,0.040000,0.271950,1,1,1,1,0,0,0.0000,0.0000,,,,,23173,23140,0,0,23083,23091,90,36,0,13,0.52646,0.53476,,,,,,,,,,,,,,,,,,,,,,,140774.9096,17020,20403,0,0
1788272278.4006,G_left_low_up_down,G,left,0,up_down,,low,5,151.7000,344.2000,59.3000,217.1000,218.9000,0.0000,357.5000,317.9000,34.7000,0.0000,150.6000,0.0000,87.4000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13.5,6.2,1.0,0.0,0.729748,0.328844,1.354037,-0.725707,0.343113,1.180887,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729748,0.328850,1.354037,-0.725706,0.343115,1.180888,1.072774,0.771434,2.197140,-1.653692,-2.094815,-0.630262,-0.427014,1.972953,-1.278378,1.599557,-1.442701,2.666891,0.128794,2.485318,1,1,1.0000,1.0000,39.0406,-64.3857,-1.6000,-25.1000,0.040000,0.271950,1,1,1,1,0,0,0.0000,0.0000,,,,,23174,23141,0,0,23084,23092,90,36,0,13,0.52646,0.53476,,,,,,,,,,,,,,,,,,,,,,,140774.9235,17020,20404,0,0
1788272278.4206,G_left_low_up_down,G,left,0,up_down,,low,6,151.7000,344.2000,59.3000,217.1000,218.9000,0.0000,357.5000,317.9000,34.7000,0.0000,150.6000,0.0000,87.4000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13.6,5.4,1.0,0.0,0.729748,0.328843,1.354037,-0.725707,0.343112,1.180887,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729748,0.328850,1.354037,-0.725706,0.343115,1.180888,1.072776,0.771432,2.197139,-1.653698,-2.094819,-0.630266,-0.427011,1.972952,-1.278378,1.599557,-1.442703,2.666891,0.128794,2.485318,1,1,1.0000,1.0000,39.0406,-64.3857,-1.6000,-25.1000,0.040000,0.271950,1,1,1,1,0,0,0.0000,0.0000,,,,,23175,23142,0,0,23085,23093,90,36,0,13,0.52646,0.53476,,,,,,,,,,,,,,,,,,,,,,,140774.9435,17020,20404,0,0
1788272278.4406,G_left_low_up_down,G,left,0,up_down,,low,7,151.7000,344.2000,59.3000,217.1000,218.9000,0.0000,357.5000,317.9000,34.7000,0.0000,150.6000,0.0000,87.6000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,14.2,5.3,1.0,0.0,0.729748,0.328842,1.354037,-0.725707,0.343112,1.180887,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729748,0.328844,1.354037,-0.725707,0.343113,1.180887,1.072779,0.771430,2.197139,-1.653703,-2.094821,-0.630268,-0.427009,1.972950,-1.278378,1.599557,-1.442705,2.666892,0.128794,2.485317,1,1,1.0000,1.0000,39.0406,-64.3857,-1.6000,-25.1000,0.040000,0.271950,1,1,1,1,0,0,0.0000,0.0000,,,,,23176,23143,0,0,23086,23094,90,36,0,13,0.52646,0.53476,,,,,,,,,,,,,,,,,,,,,,,140774.9635,17020,20405,0,0
1788272278.4607,G_left_low_up_down,G,left,0,up_down,,low,8,151.7000,344.2000,59.3000,217.1000,218.9000,0.0000,357.5000,318.2000,34.7000,0.0000,150.6000,0.0000,87.9000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13.7,5.0,1.0,0.0,0.729748,0.328840,1.354037,-0.725691,0.343148,1.180887,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729748,0.328844,1.354037,-0.725707,0.343113,1.180887,1.072780,0.771429,2.197139,-1.653705,-2.094822,-0.630269,-0.427008,1.972949,-1.278377,1.599558,-1.442706,2.666893,0.128793,2.485317,1,1,1.0000,1.0000,39.0406,-64.3857,-1.6000,-24.8000,0.040000,0.271950,1,1,1,1,0,0,0.0000,0.0000,,,,,23177,23144,0,0,23087,23095,90,36,0,13,0.52646,0.53476,,,,,,,,,,,,,,,,,,,,,,,140774.9835,17020,20406,0,0
1788272278.4806,G_left_low_up_down,G,left,0,up_down,,low,9,151.7000,344.2000,59.3000,217.1000,218.9000,0.0000,357.5000,318.1000,34.7000,0.0000,150.6000,0.0000,87.9000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15.2,4.7,1.0,0.0,0.729748,0.328839,1.354037,-0.725680,0.343170,1.180887,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729748,0.328844,1.354037,-0.725707,0.343113,1.180887,1.072783,0.771425,2.197139,-1.653713,-2.094827,-0.630274,-0.427004,1.972974,-1.278389,1.599555,-1.442675,2.666888,0.128801,2.485309,1,1,1.0000,1.0000,39.0406,-64.3857,-1.6000,-24.9000,0.040000,0.271950,1,1,1,1,0,0,0.0000,0.0000,,,,,23178,23145,0,0,23088,23096,90,36,0,13,0.52646,0.53476,,,,,,,,,,,,,,,,,,,,,,,140775.0035,17020,20407,0,0
