t,segment,block,arm,rep,direction,speed,station,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_elev_deg,right_elev_deg,left_azim_deg,right_azim_deg,left_reach_m,right_reach_m,left_elev_held,right_elev_held,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,left_real_joint_1,left_real_joint_2,left_real_joint_3,left_real_joint_4,left_real_joint_5,left_real_joint_6,left_real_joint_7,right_real_joint_1,right_real_joint_2,right_real_joint_3,right_real_joint_4,right_real_joint_5,right_real_joint_6,right_real_joint_7,left_real_ee_x,left_real_ee_y,left_real_ee_z,right_real_ee_x,right_real_ee_y,right_real_ee_z,real_bridge_enabled,real_session_connected,t_mono,master_seq_left,master_seq_right,n_rejected_raw,estop
1788272349.9876,G_right_centre_up_down,G,right,0,up_down,,centre,0,161.5000,344.2000,59.3000,217.1000,218.9000,0.0000,346.7000,328.4000,42.9000,0.0000,94.9000,0.0000,218.3000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.0,6.2,0.0,1.0,0.729440,0.334129,1.354037,-0.730111,0.367190,1.206523,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729440,0.334131,1.354037,-0.729989,0.367506,1.206518,1.061250,0.777520,2.203960,-1.634988,-2.085421,-0.624754,-0.438535,2.049072,-1.234459,1.564778,-1.386718,2.680603,0.111800,2.516109,1,1,1.0000,1.0000,39.0406,-64.3857,8.2000,-14.6000,0.040000,0.243484,1,1,1,1,0,0,0.0000,0.0000,,,,,26753,26720,0,0,26663,26671,90,36,0,13,0.52790,0.54319,,,,,,,,,,,,,,,,,,,,,,,140846.5104,18240,23538,0,0
1788272350.0119,G_right_centre_up_down,G,right,0,up_down,,centre,1,161.5000,344.2000,59.3000,217.1000,218.9000,0.0000,346.7000,328.4000,43.1000,0.0000,94.9000,0.0000,218.3000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.5,5.9,0.0,1.0,0.729440,0.334129,1.354037,-0.730153,0.367023,1.206522,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729440,0.334131,1.354037,-0.729989,0.367506,1.206518,1.061252,0.777519,2.203960,-1.634991,-2.085423,-0.624755,-0.438534,2.048640,-1.234261,1.564792,-1.387370,2.680614,0.111548,2.516315,1,1,1.0000,1.0000,39.0406,-64.3857,8.2000,-14.6000,0.040000,0.243551,1,1,1,1,0,0,0.0000,0.0000,,,,,26755,26722,0,0,26665,26673,90,36,0,13,0.52790,0.54331,,,,,,,,,,,,,,,,,,,,,,,140846.5348,18240,23539,0,0
1788272350.0289,G_right_centre_up_down,G,right,0,up_down,,centre,2,161.5000,344.2000,59.3000,217.1000,218.9000,0.0000,346.7000,328.4000,43.1000,0.0000,94.9000,0.0000,218.3000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.6,5.2,0.0,1.0,0.729440,0.334128,1.354037,-0.730153,0.367023,1.206522,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729440,0.334131,1.354037,-0.729989,0.367506,1.206518,1.061253,0.777518,2.203960,-1.634993,-2.085424,-0.624756,-0.438534,2.048414,-1.234158,1.564800,-1.387702,2.680615,0.111416,2.516430,1,1,1.0000,1.0000,39.0406,-64.3857,8.2000,-14.6000,0.040000,0.243551,1,1,1,1,0,0,0.0000,0.0000,,,,,26756,26723,0,0,26666,26674,90,36,0,13,0.52790,0.54331,,,,,,,,,,,,,,,,,,,,,,,140846.5517,18240,23539,0,0
1788272350.0562,G_right_centre_up_down,G,right,0,up_down,,centre,3,161.5000,344.2000,59.3000,217.1000,218.9000,0.0000,346.7000,328.4000,43.2000,0.0000,94.8000,0.0000,218.1000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.5,5.6,0.0,1.0,0.729440,0.334128,1.354037,-0.730185,0.366901,1.206527,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729440,0.334129,1.354037,-0.730078,0.367179,1.206536,1.061254,0.777516,2.203960,-1.634996,-2.085425,-0.624757,-0.438532,2.048187,-1.234067,1.564813,-1.388018,2.680605,0.111292,2.516545,1,1,1.0000,1.0000,39.0406,-64.3857,8.2000,-14.6000,0.040000,0.243479,1,1,1,1,0,0,0.0000,0.0000,,,,,26757,26724,0,0,26667,26675,90,36,0,13,0.52790,0.54337,,,,,,,,,,,,,,,,,,,,,,,140846.5791,18240,23541,0,0
1788272350.0706,G_right_centre_up_down,G,right,0,up_down,,centre,4,161.5000,344.2000,59.3000,217.1000,218.9000,0.0000,346.7000,328.4000,43.1000,0.0000,94.8000,0.0000,218.0000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.3,5.7,0.0,1.0,0.729441,0.334127,1.354037,-0.730202,0.366849,1.206534,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729440,0.334129,1.354037,-0.730078,0.367179,1.206536,1.061255,0.777516,2.203960,-1.634997,-2.085425,-0.624758,-0.438532,2.048065,-1.234014,1.564821,-1.388184,2.680596,0.111221,2.516612,1,1,1.0000,1.0000,39.0406,-64.3857,8.2000,-14.6000,0.040000,0.243446,1,1,1,1,0,0,0.0000,0.0000,,,,,26758,26725,0,0,26668,26676,90,36,0,13,0.52790,0.54337,,,,,,,,,,,,,,,,,,,,,,,140846.5935,18240,23542,0,0
1788272350.0911,G_right_centre_up_down,G,right,0,up_down,,centre,5,161.5000,344.2000,59.3000,217.1000,218.9000,0.0000,346.7000,328.4000,43.1000,0.0000,94.8000,0.0000,217.9000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.8,5.8,0.0,1.0,0.729441,0.334127,1.354037,-0.730218,0.366798,1.206541,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729440,0.334129,1.354037,-0.730078,0.367179,1.206536,1.061256,0.777515,2.203959,-1.634998,-2.085426,-0.624759,-0.438531,2.047809,-1.233898,1.564835,-1.388558,2.680592,0.111072,2.516738,1,1,1.0000,1.0000,39.0406,-64.3857,8.2000,-14.6000,0.040000,0.243446,1,1,1,1,0,0,0.0000,0.0000,,,,,26759,26726,0,0,26669,26677,90,36,0,13,0.52790,0.54337,,,,,,,,,,,,,,,,,,,,,,,140846.6139,18240,23543,0,0
1788272350.1097,G_right_centre_up_down,G,right,0,up_down,,centre,6,161.5000,344.2000,59.3000,217.1000,218.9000,0.0000,346.7000,328.4000,43.1000,0.0000,94.8000,0.0000,217.9000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.6,5.8,0.0,1.0,0.729441,0.334127,1.354037,-0.730218,0.366798,1.206541,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729441,0.334127,1.354037,-0.730177,0.366876,1.206536,1.061256,0.777514,2.203959,-1.635000,-2.085427,-0.624759,-0.438531,2.047661,-1.233822,1.564842,-1.388781,2.680570,0.110980,2.516852,1,1,1.0000,1.0000,39.0406,-64.3857,8.2000,-14.6000,0.040000,0.243446,1,1,1,1,0,0,0.0000,0.0000,,,,,26759,26726,0,0,26669,26677,90,36,0,13,0.52790,0.54337,,,,,,,,,,,,,,,,,,,,,,,140846.6326,18240,23543,0,0
1788272350.1278,G_right_centre_up_down,G,right,0,up_down,,centre,7,161.5000,344.2000,59.3000,217.1000,218.9000,0.0000,346.7000,328.4000,43.0000,0.0000,94.8000,0.0000,217.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.6,5.8,0.0,1.0,0.729441,0.334126,1.354037,-0.730234,0.366755,1.206551,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729441,0.334127,1.354037,-0.730177,0.366876,1.206536,1.061257,0.777514,2.203959,-1.635001,-2.085427,-0.624760,-0.438531,2.047655,-1.233819,1.564842,-1.388790,2.680569,0.110976,2.516856,1,1,1.0000,1.0000,39.0406,-64.3857,8.2000,-14.6000,0.040000,0.243413,1,1,1,1,0,0,0.0000,0.0000,,,,,26760,26727,0,0,26670,26678,90,36,0,13,0.52790,0.54337,,,,,,,,,,,,,,,,,,,,,,,140846.6506,18240,23544,0,0
1788272350.1544,G_right_centre_up_down,G,right,0,up_down,,centre,8,161.5000,344.2000,59.3000,217.1000,218.9000,0.0000,346.7000,328.4000,42.9000,0.0000,94.8000,0.0000,217.4000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.5,6.3,0.0,1.0,0.729441,0.334126,1.354037,-0.730256,0.366699,1.206567,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729441,0.334127,1.354037,-0.730177,0.366876,1.206536,1.061259,0.777512,2.203959,-1.635004,-2.085429,-0.624761,-0.438529,2.047418,-1.233680,1.564849,-1.389155,2.680506,0.110817,2.517072,1,1,1.0000,1.0000,39.0406,-64.3857,8.2000,-14.6000,0.040000,0.243379,1,1,1,1,0,0,0.0000,0.0000,,,,,26762,26729,0,0,26672,26680,90,36,0,13,0.52790,0.54344,,,,,,,,,,,,,,,,,,,,,,,140846.6772,18240,23546,0,0
1788272350.1690,G_right_centre_up_down,G,right,0,up_down,,centre,9,161.5000,344.2000,59.3000,217.1000,218.9000,0.0000,346.7000,328.4000,42.9000,0.0000,94.8000,0.0000,217.4000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.5,6.3,0.0,1.0,0.729441,0.334126,1.354037,-0.730256,0.366699,1.206567,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729441,0.334127,1.354037,-0.730177,0.366876,1.206536,1.061259,0.777512,2.203959,-1.635004,-2.085429,-0.624761,-0.438529,2.047418,-1.233680,1.564849,-1.389155,2.680506,0.110817,2.517072,1,1,1.0000,1.0000,39.0406,-64.3857,8.2000,-14.6000,0.040000,0.243379,1,1,1,1,0,0,0.0000,0.0000,,,,,26762,26729,0,0,26672,26680,90,36,0,13,0.52790,0.54344,,,,,,,,,,,,,,,,,,,,,,,140846.6918,18240,23546,0,0
