t,segment,block,arm,rep,direction,speed,station,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_elev_deg,right_elev_deg,left_azim_deg,right_azim_deg,left_reach_m,right_reach_m,left_elev_held,right_elev_held,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,left_real_joint_1,left_real_joint_2,left_real_joint_3,left_real_joint_4,left_real_joint_5,left_real_joint_6,left_real_joint_7,right_real_joint_1,right_real_joint_2,right_real_joint_3,right_real_joint_4,right_real_joint_5,right_real_joint_6,right_real_joint_7,left_real_ee_x,left_real_ee_y,left_real_ee_z,right_real_ee_x,right_real_ee_y,right_real_ee_z,real_bridge_enabled,real_session_connected,t_mono,master_seq_left,master_seq_right,n_rejected_raw,estop
1788272450.5496,G_right_far_left_right,G,right,0,left_right,,far,0,159.9000,344.2000,59.3000,217.1000,218.9000,0.0000,347.4000,318.8000,25.6000,0.0000,99.8000,0.0000,181.8000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,16.2,10.2,0.0,1.0,0.729553,0.333260,1.354037,-0.736819,0.350172,1.208094,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729553,0.333260,1.354037,-0.736815,0.350183,1.208096,1.063224,0.776433,2.202769,-1.638017,-2.086847,-0.625572,-0.436832,2.006979,-1.212500,1.569689,-1.446262,2.667627,0.091285,2.552273,1,1,1.0000,1.0000,39.0406,-64.3857,6.6000,-24.2000,0.040000,0.241784,1,1,1,1,0,0,0.0000,0.0000,,,,,31781,31746,0,0,31691,31627,90,106,0,13,0.52772,0.54853,,,,,,,,,,,,,,,,,,,,,,,140947.0725,19326,26985,0,0
1788272450.5746,G_right_far_left_right,G,right,0,left_right,,far,1,159.9000,344.2000,59.3000,217.1000,218.9000,0.0000,347.4000,318.8000,25.6000,0.0000,99.8000,0.0000,181.8000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,16.7,10.2,0.0,1.0,0.729553,0.333260,1.354037,-0.736821,0.350166,1.208093,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729553,0.333260,1.354037,-0.736819,0.350172,1.208094,1.063224,0.776433,2.202770,-1.638017,-2.086847,-0.625572,-0.436832,2.006971,-1.212498,1.569690,-1.446271,2.667628,0.091283,2.552274,1,1,1.0000,1.0000,39.0406,-64.3857,6.6000,-24.2000,0.040000,0.241784,1,1,1,1,0,0,0.0000,0.0000,,,,,31783,31748,0,0,31693,31629,90,106,0,13,0.52772,0.54853,,,,,,,,,,,,,,,,,,,,,,,140947.0974,19326,26985,0,0
1788272450.5968,G_right_far_left_right,G,right,0,left_right,,far,2,159.9000,344.2000,59.3000,217.1000,218.9000,0.0000,347.4000,318.8000,25.6000,0.0000,99.8000,0.0000,181.8000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,16.5,10.4,0.0,1.0,0.729553,0.333260,1.354037,-0.736822,0.350164,1.208093,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729553,0.333260,1.354037,-0.736819,0.350172,1.208094,1.063224,0.776433,2.202770,-1.638017,-2.086847,-0.625572,-0.436832,2.006964,-1.212496,1.569692,-1.446280,2.667629,0.091282,2.552276,1,1,1.0000,1.0000,39.0406,-64.3857,6.6000,-24.2000,0.040000,0.241784,1,1,1,1,0,0,0.0000,0.0000,,,,,31784,31749,0,0,31694,31630,90,106,0,13,0.52772,0.54854,,,,,,,,,,,,,,,,,,,,,,,140947.1196,19326,26985,0,0
1788272450.6143,G_right_far_left_right,G,right,0,left_right,,far,3,159.9000,344.2000,59.3000,217.1000,218.9000,0.0000,347.4000,318.8000,25.6000,0.0000,99.8000,0.0000,181.8000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,16.5,10.4,0.0,1.0,0.729553,0.333260,1.354037,-0.736822,0.350164,1.208093,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729553,0.333260,1.354037,-0.736819,0.350172,1.208094,1.063224,0.776433,2.202770,-1.638017,-2.086847,-0.625572,-0.436832,2.006961,-1.212495,1.569693,-1.446283,2.667629,0.091281,2.552276,1,1,1.0000,1.0000,39.0406,-64.3857,6.6000,-24.2000,0.040000,0.241784,1,1,1,1,0,0,0.0000,0.0000,,,,,31784,31749,0,0,31694,31630,90,106,0,13,0.52772,0.54854,,,,,,,,,,,,,,,,,,,,,,,140947.1372,19326,26985,0,0
1788272450.6313,G_right_far_left_right,G,right,0,left_right,,far,4,159.9000,344.2000,59.3000,217.1000,218.9000,0.0000,347.4000,318.8000,25.4000,0.0000,99.7000,0.0000,181.9000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,17.1,10.2,0.0,1.0,0.729553,0.333260,1.354037,-0.736829,0.350162,1.208104,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729553,0.333260,1.354037,-0.736819,0.350172,1.208094,1.063224,0.776433,2.202770,-1.638017,-2.086847,-0.625572,-0.436832,2.006953,-1.212492,1.569694,-1.446292,2.667630,0.091279,2.552278,1,1,1.0000,1.0000,39.0406,-64.3857,6.6000,-24.2000,0.040000,0.241584,1,1,1,1,0,0,0.0000,0.0000,,,,,31786,31751,0,0,31696,31632,90,106,0,13,0.52772,0.54854,,,,,,,,,,,,,,,,,,,,,,,140947.1542,19326,26987,0,0
1788272450.6497,G_right_far_left_right,G,right,0,left_right,,far,5,159.9000,344.2000,59.3000,217.1000,218.9000,0.0000,347.4000,318.8000,25.4000,0.0000,99.7000,0.0000,181.9000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,17.1,10.2,0.0,1.0,0.729553,0.333260,1.354037,-0.736829,0.350162,1.208104,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729553,0.333260,1.354037,-0.736822,0.350164,1.208093,1.063224,0.776433,2.202770,-1.638017,-2.086847,-0.625572,-0.436832,2.006950,-1.212491,1.569695,-1.446296,2.667630,0.091278,2.552279,1,1,1.0000,1.0000,39.0406,-64.3857,6.6000,-24.2000,0.040000,0.241584,1,1,1,1,0,0,0.0000,0.0000,,,,,31786,31751,0,0,31696,31632,90,106,0,13,0.52772,0.54854,,,,,,,,,,,,,,,,,,,,,,,140947.1725,19326,26987,0,0
1788272450.6714,G_right_far_left_right,G,right,0,left_right,,far,6,159.9000,344.2000,59.3000,217.1000,218.9000,0.0000,347.4000,318.8000,25.2000,0.0000,99.5000,0.0000,181.8000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,17.7,11.6,0.0,1.0,0.729553,0.333260,1.354037,-0.736851,0.350168,1.208152,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729553,0.333260,1.354037,-0.736822,0.350164,1.208093,1.063224,0.776433,2.202770,-1.638017,-2.086847,-0.625572,-0.436832,2.006951,-1.212465,1.569686,-1.446308,2.667642,0.091264,2.552295,1,1,1.0000,1.0000,39.0406,-64.3857,6.6000,-24.2000,0.040000,0.241276,1,1,1,1,0,0,0.0000,0.0000,,,,,31788,31753,0,0,31698,31634,90,106,0,13,0.52772,0.54854,,,,,,,,,,,,,,,,,,,,,,,140947.1943,19326,26989,0,0
1788272450.6904,G_right_far_left_right,G,right,0,left_right,,far,7,159.9000,344.2000,59.3000,217.1000,218.9000,0.0000,347.4000,318.8000,25.2000,0.0000,99.5000,0.0000,181.8000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,17.8,10.9,0.0,1.0,0.729553,0.333260,1.354037,-0.736867,0.350172,1.208185,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729553,0.333260,1.354037,-0.736822,0.350164,1.208093,1.063224,0.776433,2.202770,-1.638017,-2.086847,-0.625572,-0.436832,2.006966,-1.212413,1.569666,-1.446317,2.667662,0.091238,2.552325,1,1,1.0000,1.0000,39.0406,-64.3857,6.6000,-24.2000,0.040000,0.241276,1,1,1,1,0,0,0.0000,0.0000,,,,,31789,31754,0,0,31699,31635,90,106,0,13,0.52772,0.54854,,,,,,,,,,,,,,,,,,,,,,,140947.2133,19326,26989,0,0
1788272450.7146,G_right_far_left_right,G,right,0,left_right,,far,8,159.9000,344.2000,59.3000,217.1000,218.9000,0.0000,347.4000,318.8000,25.1000,0.0000,99.5000,0.0000,181.5000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,17.9,9.9,0.0,1.0,0.729553,0.333260,1.354037,-0.736867,0.350172,1.208185,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729553,0.333260,1.354037,-0.736842,0.350166,1.208135,1.063224,0.776433,2.202770,-1.638017,-2.086847,-0.625572,-0.436832,2.006975,-1.212393,1.569654,-1.446322,2.667674,0.091224,2.552341,1,1,1.0000,1.0000,39.0406,-64.3857,6.6000,-24.2000,0.040000,0.241229,1,1,1,1,0,0,0.0000,0.0000,,,,,31789,31755,0,0,31699,31636,90,106,0,13,0.52772,0.54854,,,,,,,,,,,,,,,,,,,,,,,140947.2375,19326,26990,0,0
1788272450.7354,G_right_far_left_right,G,right,0,left_right,,far,9,159.9000,344.2000,59.3000,217.1000,218.9000,0.0000,347.4000,318.8000,25.1000,0.0000,99.6000,0.0000,180.9000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,17.6,9.5,0.0,1.0,0.729553,0.333260,1.354037,-0.736881,0.350175,1.208215,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729553,0.333260,1.354037,-0.736842,0.350166,1.208135,1.063224,0.776433,2.202770,-1.638017,-2.086847,-0.625572,-0.436832,2.007018,-1.212267,1.569601,-1.446339,2.667724,0.091160,2.552414,1,1,1.0000,1.0000,39.0406,-64.3857,6.6000,-24.2000,0.040000,0.241337,1,1,1,1,0,0,0.0000,0.0000,,,,,31791,31756,0,0,31701,31637,90,106,0,13,0.52772,0.54856,,,,,,,,,,,,,,,,,,,,,,,140947.2583,19326,26992,0,0
