t,segment,block,arm,rep,direction,speed,station,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_elev_deg,right_elev_deg,left_azim_deg,right_azim_deg,left_reach_m,right_reach_m,left_elev_held,right_elev_held,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,left_real_joint_1,left_real_joint_2,left_real_joint_3,left_real_joint_4,left_real_joint_5,left_real_joint_6,left_real_joint_7,right_real_joint_1,right_real_joint_2,right_real_joint_3,right_real_joint_4,right_real_joint_5,right_real_joint_6,right_real_joint_7,left_real_ee_x,left_real_ee_y,left_real_ee_z,right_real_ee_x,right_real_ee_y,right_real_ee_z,real_bridge_enabled,real_session_connected,t_mono,master_seq_left,master_seq_right,n_rejected_raw,estop
1788272468.9747,G_right_far_up_down,G,right,0,up_down,,far,0,161.4000,344.2000,59.3000,217.1000,218.9000,0.0000,347.4000,235.8000,52.0000,0.0000,101.6000,0.0000,104.5000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,17.0,8.0,0.0,1.0,0.729448,0.334073,1.354037,-0.861229,0.288041,1.198906,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729448,0.334075,1.354037,-0.858254,0.287374,1.199203,1.061388,0.777456,2.203863,-1.635186,-2.085513,-0.624795,-0.438415,1.797704,-1.067641,1.728737,-1.445927,2.771164,0.291105,2.598703,1,1,1.0000,1.0000,39.0406,-64.3857,8.1000,-107.2000,0.040000,0.252285,1,1,1,1,0,0,0.0000,0.0000,,,,,32702,32667,0,0,32612,32548,90,106,0,13,0.52789,0.64264,,,,,,,,,,,,,,,,,,,,,,,140965.4975,19488,27789,0,0
1788272469.0042,G_right_far_up_down,G,right,0,up_down,,far,1,161.4000,344.2000,59.3000,217.1000,218.9000,0.0000,347.4000,235.5000,52.0000,0.0000,101.6000,0.0000,103.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,17.5,7.5,0.0,1.0,0.729448,0.334072,1.354037,-0.863897,0.288691,1.198697,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729448,0.334073,1.354037,-0.858386,0.287381,1.199196,1.061390,0.777455,2.203863,-1.635189,-2.085515,-0.624796,-0.438414,1.797690,-1.067524,1.728591,-1.445981,2.771802,0.291005,2.598127,1,1,1.0000,1.0000,39.0406,-64.3857,8.1000,-107.5000,0.040000,0.252285,1,1,1,1,0,0,0.0000,0.0000,,,,,32704,32669,0,0,32614,32550,90,106,0,13,0.52789,0.64277,,,,,,,,,,,,,,,,,,,,,,,140965.5270,19488,27791,0,0
1788272469.0241,G_right_far_up_down,G,right,0,up_down,,far,2,161.2000,344.2000,59.3000,217.1000,218.9000,0.0000,347.4000,234.7000,52.0000,0.0000,101.8000,0.0000,102.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,17.3,7.3,0.0,1.0,0.729451,0.334056,1.354037,-0.865532,0.289115,1.198549,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729448,0.334073,1.354037,-0.858386,0.287381,1.199196,1.061390,0.777454,2.203863,-1.635190,-2.085515,-0.624797,-0.438413,1.798014,-1.066856,1.729042,-1.444874,2.772298,0.291904,2.597956,1,1,1.0000,1.0000,39.0406,-64.3857,7.9000,-108.3000,0.040000,0.252457,1,1,1,1,0,0,0.0000,0.0000,,,,,32705,32670,0,0,32615,32551,90,106,0,13,0.52789,0.64277,,,,,,,,,,,,,,,,,,,,,,,140965.5470,19490,27793,0,0
1788272469.0484,G_right_far_up_down,G,right,0,up_down,,far,3,161.1000,344.2000,59.3000,217.1000,218.9000,0.0000,347.4000,234.4000,51.9000,0.0000,101.9000,0.0000,102.3000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,16.9,8.2,0.0,1.0,0.729452,0.334047,1.354037,-0.866208,0.289297,1.198482,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729450,0.334060,1.354037,-0.859882,0.287718,1.199403,1.061406,0.777439,2.203861,-1.635219,-2.085529,-0.624811,-0.438403,1.798298,-1.066263,1.729514,-1.442951,2.772797,0.293570,2.597892,1,1,1.0000,1.0000,39.0406,-64.3857,7.8000,-108.6000,0.040000,0.252524,1,1,1,1,0,0,0.0000,0.0000,,,,,32706,32671,0,0,32616,32552,90,106,0,13,0.52789,0.64277,,,,,,,,,,,,,,,,,,,,,,,140965.5712,19491,27794,0,0
1788272469.0579,G_right_far_up_down,G,right,0,up_down,,far,4,161.1000,344.2000,59.3000,217.1000,218.9000,0.0000,347.4000,234.4000,51.9000,0.0000,101.9000,0.0000,102.3000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,16.9,8.2,0.0,1.0,0.729452,0.334047,1.354037,-0.866208,0.289297,1.198482,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729450,0.334060,1.354037,-0.859882,0.287718,1.199403,1.061420,0.777425,2.203859,-1.635247,-2.085542,-0.624824,-0.438393,1.798571,-1.065708,1.729957,-1.440414,2.773301,0.295837,2.597837,1,1,1.0000,1.0000,39.0406,-64.3857,7.8000,-108.6000,0.040000,0.252524,1,1,1,1,0,0,0.0000,0.0000,,,,,32707,32672,0,0,32617,32553,90,106,0,13,0.52789,0.64277,,,,,,,,,,,,,,,,,,,,,,,140965.5807,19491,27794,0,0
1788272469.0769,G_right_far_up_down,G,right,0,up_down,,far,5,161.2000,344.2000,59.3000,217.1000,218.9000,0.0000,347.4000,234.1000,51.8000,0.0000,101.9000,0.0000,101.9000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15.7,8.4,0.0,1.0,0.729453,0.334041,1.354037,-0.866867,0.289498,1.198451,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729450,0.334060,1.354037,-0.859882,0.287718,1.199403,1.061432,0.777413,2.203857,-1.635273,-2.085553,-0.624834,-0.438385,1.798901,-1.065055,1.730474,-1.437058,2.773889,0.298873,2.597769,1,1,1.0000,1.0000,39.0406,-64.3857,7.9000,-108.9000,0.040000,0.252505,1,1,1,1,0,0,0.0000,0.0000,,,,,32708,32673,0,0,32618,32554,90,106,0,13,0.52789,0.64387,,,,,,,,,,,,,,,,,,,,,,,140965.5998,19492,27795,0,0
1788272469.0980,G_right_far_up_down,G,right,0,up_down,,far,6,161.2000,344.2000,59.3000,217.1000,218.9000,0.0000,347.4000,234.1000,51.8000,0.0000,101.9000,0.0000,101.9000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15.8,8.3,0.0,1.0,0.729453,0.334041,1.354037,-0.866867,0.289498,1.198451,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729450,0.334060,1.354037,-0.859882,0.287718,1.199403,1.061432,0.777413,2.203857,-1.635273,-2.085553,-0.624834,-0.438385,1.798901,-1.065055,1.730474,-1.437058,2.773889,0.298873,2.597769,1,1,1.0000,1.0000,39.0406,-64.3857,7.9000,-108.9000,0.040000,0.252505,1,1,1,1,0,0,0.0000,0.0000,,,,,32708,32673,0,0,32618,32554,90,106,0,13,0.52789,0.64387,,,,,,,,,,,,,,,,,,,,,,,140965.6208,19492,27795,0,0
1788272469.1157,G_right_far_up_down,G,right,0,up_down,,far,7,161.3000,344.2000,59.3000,217.1000,218.9000,0.0000,347.3000,233.7000,51.8000,0.0000,101.9000,0.0000,101.5000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,16.6,8.5,0.0,1.0,0.729453,0.334038,1.354037,-0.867801,0.289801,1.198429,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729450,0.334060,1.354037,-0.859882,0.287718,1.199403,1.061448,0.777398,2.203854,-1.635300,-2.085566,-0.624848,-0.438374,1.799464,-1.063994,1.731294,-1.431370,2.774841,0.304008,2.597653,1,1,1.0000,1.0000,39.0406,-64.3857,8.0000,-109.3000,0.040000,0.252505,1,1,1,1,0,0,0.0000,0.0000,,,,,32710,32675,0,0,32620,32556,90,106,0,13,0.52789,0.64387,,,,,,,,,,,,,,,,,,,,,,,140965.6385,19494,27797,0,0
1788272469.1354,G_right_far_up_down,G,right,0,up_down,,far,8,161.4000,344.2000,59.3000,217.1000,218.9000,0.0000,347.3000,233.5000,51.8000,0.0000,101.9000,0.0000,101.4000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15.9,8.4,0.0,1.0,0.729453,0.334039,1.354037,-0.868162,0.289924,1.198425,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729453,0.334040,1.354037,-0.863539,0.288713,1.198171,1.061452,0.777394,2.203853,-1.635309,-2.085570,-0.624852,-0.438371,1.800182,-1.062728,1.732194,-1.425106,2.775974,0.309545,2.597507,1,1,1.0000,1.0000,39.0406,-64.3857,8.1000,-109.5000,0.040000,0.252505,1,1,1,1,0,0,0.0000,0.0000,,,,,32711,32676,0,0,32621,32557,90,106,0,13,0.52789,0.64663,,,,,,,,,,,,,,,,,,,,,,,140965.6583,19495,27798,0,0
1788272469.1774,G_right_far_up_down,G,right,0,up_down,,far,9,161.4000,344.2000,59.3000,217.1000,218.9000,0.0000,347.3000,233.4000,51.8000,0.0000,101.9000,0.0000,101.4000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,16.2,7.8,0.0,1.0,0.729453,0.334041,1.354037,-0.868453,0.290024,1.198423,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729453,0.334040,1.354037,-0.863539,0.288713,1.198171,1.061454,0.777393,2.203853,-1.635312,-2.085572,-0.624853,-0.438370,1.800422,-1.062315,1.732473,-1.423214,2.776346,0.311199,2.597455,1,1,1.0000,1.0000,39.0406,-64.3857,8.1000,-109.6000,0.040000,0.252505,1,1,1,1,0,0,0.0000,0.0000,,,,,32712,32677,0,0,32622,32558,90,106,0,13,0.52788,0.64663,,,,,,,,,,,,,,,,,,,,,,,140965.7003,19495,27799,0,0
