t,segment,block,arm,rep,direction,speed,station,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_elev_deg,right_elev_deg,left_azim_deg,right_azim_deg,left_reach_m,right_reach_m,left_elev_held,right_elev_held,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,left_real_joint_1,left_real_joint_2,left_real_joint_3,left_real_joint_4,left_real_joint_5,left_real_joint_6,left_real_joint_7,right_real_joint_1,right_real_joint_2,right_real_joint_3,right_real_joint_4,right_real_joint_5,right_real_joint_6,right_real_joint_7,left_real_ee_x,left_real_ee_y,left_real_ee_z,right_real_ee_x,right_real_ee_y,right_real_ee_z,real_bridge_enabled,real_session_connected,t_mono,master_seq_left,master_seq_right,n_rejected_raw,estop
1788272516.2337,G_right_front_up_down,G,right,0,up_down,,front,0,155.9000,344.2000,59.3000,217.1000,218.9000,0.0000,347.5000,267.9000,52.4000,0.0000,91.9000,0.0000,114.3000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,22.5,16.5,0.0,1.0,0.729729,0.331065,1.354037,-0.803472,0.291700,1.206543,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729728,0.331062,1.354038,-0.803301,0.291729,1.206506,1.068052,0.773814,2.199931,-1.645758,-2.090666,-0.627825,-0.432216,1.831782,-1.107415,1.658880,-1.549166,2.757522,0.150830,2.572456,1,1,1.0000,1.0000,39.0406,-64.3857,2.6000,-75.1000,0.040000,0.243137,1,1,1,1,0,0,0.0000,0.0000,,,,,35066,35031,0,0,34976,34865,90,153,0,13,0.52716,0.60171,,,,,,,,,,,,,,,,,,,,,,,141012.7566,20060,29560,0,0
1788272516.2565,G_right_front_up_down,G,right,0,up_down,,front,1,155.9000,344.2000,59.3000,217.1000,218.9000,0.0000,347.5000,267.9000,52.4000,0.0000,91.9000,0.0000,114.4000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,22.8,16.9,0.0,1.0,0.729729,0.331067,1.354037,-0.803623,0.291673,1.206572,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729728,0.331062,1.354038,-0.803301,0.291729,1.206506,1.068052,0.773818,2.199930,-1.645751,-2.090658,-0.627821,-0.432222,1.831784,-1.107413,1.658887,-1.549164,2.757484,0.150833,2.572490,1,1,1.0000,1.0000,39.0406,-64.3857,2.6000,-75.1000,0.040000,0.243137,1,1,1,1,0,0,0.0000,0.0000,,,,,35067,35032,0,0,34977,34866,90,153,0,13,0.52716,0.60172,,,,,,,,,,,,,,,,,,,,,,,141012.7794,20060,29561,0,0
1788272516.2774,G_right_front_up_down,G,right,0,up_down,,front,2,155.9000,344.2000,59.3000,217.1000,218.9000,0.0000,347.5000,267.9000,52.4000,0.0000,91.9000,0.0000,114.5000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,21.9,15.9,0.0,1.0,0.729729,0.331069,1.354037,-0.803759,0.291649,1.206599,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729728,0.331062,1.354038,-0.803301,0.291729,1.206506,1.068048,0.773821,2.199931,-1.645743,-2.090654,-0.627818,-0.432225,1.831745,-1.107346,1.658944,-1.549119,2.757484,0.150899,2.572580,1,1,1.0000,1.0000,39.0406,-64.3857,2.6000,-75.1000,0.040000,0.243137,1,1,1,1,0,0,0.0000,0.0000,,,,,35068,35033,0,0,34978,34867,90,153,0,13,0.52716,0.60172,,,,,,,,,,,,,,,,,,,,,,,141012.8003,20060,29562,0,0
1788272516.2947,G_right_front_up_down,G,right,0,up_down,,front,3,155.9000,344.2000,59.3000,217.1000,218.9000,0.0000,347.5000,267.9000,52.4000,0.0000,91.9000,0.0000,114.6000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,21.7,16.4,0.0,1.0,0.729728,0.331070,1.354037,-0.803886,0.291626,1.206623,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729728,0.331062,1.354038,-0.803301,0.291729,1.206506,1.068045,0.773825,2.199931,-1.645737,-2.090651,-0.627814,-0.432228,1.831649,-1.107138,1.659083,-1.549015,2.757521,0.151146,2.572733,1,1,1.0000,1.0000,39.0406,-64.3857,2.6000,-75.1000,0.040000,0.243137,1,1,1,1,0,0,0.0000,0.0000,,,,,35069,35034,0,0,34979,34868,90,153,0,13,0.52716,0.60172,,,,,,,,,,,,,,,,,,,,,,,141012.8175,20060,29563,0,0
1788272516.3183,G_right_front_up_down,G,right,0,up_down,,front,4,155.9000,344.2000,59.3000,217.1000,218.9000,0.0000,347.5000,267.9000,52.4000,0.0000,91.9000,0.0000,114.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,22.2,15.6,0.0,1.0,0.729728,0.331072,1.354037,-0.803993,0.291607,1.206644,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729729,0.331069,1.354037,-0.803560,0.291681,1.206573,1.068042,0.773828,2.199931,-1.645730,-2.090647,-0.627811,-0.432230,1.831526,-1.106883,1.659261,-1.548880,2.757579,0.151429,2.572923,1,1,1.0000,1.0000,39.0406,-64.3857,2.6000,-75.1000,0.040000,0.243137,1,1,1,1,0,0,0.0000,0.0000,,,,,35070,35035,0,0,34980,34869,90,153,0,13,0.52716,0.60194,,,,,,,,,,,,,,,,,,,,,,,141012.8411,20060,29564,0,0
1788272516.3339,G_right_front_up_down,G,right,0,up_down,,front,5,155.9000,344.2000,59.3000,217.1000,218.9000,0.0000,347.5000,267.9000,52.4000,0.0000,91.9000,0.0000,114.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,22.9,15.4,0.0,1.0,0.729728,0.331074,1.354037,-0.804093,0.291589,1.206663,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729729,0.331069,1.354037,-0.803560,0.291681,1.206573,1.068038,0.773832,2.199931,-1.645721,-2.090643,-0.627806,-0.432234,1.831355,-1.106570,1.659495,-1.548696,2.757659,0.151764,2.573172,1,1,1.0000,1.0000,39.0406,-64.3857,2.6000,-75.1000,0.040000,0.243137,1,1,1,1,0,0,0.0000,0.0000,,,,,35071,35036,0,0,34981,34870,90,153,0,13,0.52716,0.60194,,,,,,,,,,,,,,,,,,,,,,,141012.8567,20060,29564,0,0
1788272516.3539,G_right_front_up_down,G,right,0,up_down,,front,6,155.9000,344.2000,59.3000,217.1000,218.9000,0.0000,347.5000,267.9000,52.4000,0.0000,91.9000,0.0000,114.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,21.9,15.1,0.0,1.0,0.729728,0.331075,1.354037,-0.804182,0.291573,1.206681,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729729,0.331069,1.354037,-0.803560,0.291681,1.206573,1.068036,0.773833,2.199931,-1.645718,-2.090642,-0.627805,-0.432235,1.831307,-1.106484,1.659561,-1.548644,2.757679,0.151858,2.573246,1,1,1.0000,1.0000,39.0406,-64.3857,2.6000,-75.1000,0.040000,0.243137,1,1,1,1,0,0,0.0000,0.0000,,,,,35072,35037,0,0,34982,34871,90,153,0,13,0.52716,0.60194,,,,,,,,,,,,,,,,,,,,,,,141012.8767,20060,29564,0,0
1788272516.3744,G_right_front_up_down,G,right,0,up_down,,front,7,155.9000,344.2000,59.3000,217.1000,218.9000,0.0000,347.5000,267.9000,52.4000,0.0000,91.9000,0.0000,114.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,21.7,14.8,0.0,1.0,0.729728,0.331077,1.354037,-0.804182,0.291573,1.206681,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729728,0.331074,1.354037,-0.804026,0.291598,1.206662,1.068034,0.773836,2.199932,-1.645713,-2.090639,-0.627802,-0.432237,1.831219,-1.106326,1.659683,-1.548549,2.757706,0.152031,2.573388,1,1,1.0000,1.0000,39.0406,-64.3857,2.6000,-75.1000,0.040000,0.243137,1,1,1,1,0,0,0.0000,0.0000,,,,,35073,35038,0,0,34983,34872,90,153,0,13,0.52716,0.60194,,,,,,,,,,,,,,,,,,,,,,,141012.8972,20060,29564,0,0
1788272516.4006,G_right_front_up_down,G,right,0,up_down,,front,8,155.9000,344.2000,59.3000,217.1000,218.9000,0.0000,347.5000,267.8000,52.4000,0.0000,91.9000,0.0000,114.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,21.8,14.8,0.0,1.0,0.729728,0.331078,1.354037,-0.804392,0.291532,1.206715,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729728,0.331074,1.354037,-0.804026,0.291598,1.206662,1.068033,0.773837,2.199931,-1.645710,-2.090638,-0.627801,-0.432238,1.831138,-1.106180,1.659796,-1.548461,2.757727,0.152192,2.573522,1,1,1.0000,1.0000,39.0406,-64.3857,2.6000,-75.2000,0.040000,0.243137,1,1,1,1,0,0,0.0000,0.0000,,,,,35073,35038,0,0,34983,34872,90,153,0,13,0.52716,0.60194,,,,,,,,,,,,,,,,,,,,,,,141012.9235,20060,29565,0,0
1788272516.4229,G_right_front_up_down,G,right,0,up_down,,front,9,155.9000,344.2000,59.3000,217.1000,218.9000,0.0000,347.5000,267.7000,52.4000,0.0000,91.9000,0.0000,114.6000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,22.1,15.9,0.0,1.0,0.729728,0.331079,1.354037,-0.804491,0.291512,1.206729,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729728,0.331074,1.354037,-0.804026,0.291598,1.206662,1.068031,0.773839,2.199932,-1.645706,-2.090635,-0.627799,-0.432240,1.831098,-1.106113,1.659852,-1.548420,2.757735,0.152272,2.573585,1,1,1.0000,1.0000,39.0406,-64.3857,2.6000,-75.3000,0.040000,0.243137,1,1,1,1,0,0,0.0000,0.0000,,,,,35075,35040,0,0,34985,34874,90,153,0,13,0.52716,0.60232,,,,,,,,,,,,,,,,,,,,,,,141012.9457,20060,29566,0,0
