t,segment,block,arm,rep,direction,speed,station,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_elev_deg,right_elev_deg,left_azim_deg,right_azim_deg,left_reach_m,right_reach_m,left_elev_held,right_elev_held,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,left_real_joint_1,left_real_joint_2,left_real_joint_3,left_real_joint_4,left_real_joint_5,left_real_joint_6,left_real_joint_7,right_real_joint_1,right_real_joint_2,right_real_joint_3,right_real_joint_4,right_real_joint_5,right_real_joint_6,right_real_joint_7,left_real_ee_x,left_real_ee_y,left_real_ee_z,right_real_ee_x,right_real_ee_y,right_real_ee_z,real_bridge_enabled,real_session_connected,t_mono,master_seq_left,master_seq_right,n_rejected_raw,estop
1788272600.8768,G_right_high_up_down,G,right,0,up_down,,high,0,157.8000,344.2000,59.3000,217.1000,218.9000,0.0000,347.8000,302.9000,75.3000,0.0000,93.6000,0.0000,212.0000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.3,4.0,0.0,1.0,0.729661,0.332152,1.354037,-0.750365,0.323974,1.202877,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729661,0.332156,1.354037,-0.750419,0.323929,1.202903,1.065721,0.775136,2.201219,-1.641892,-2.088728,-0.626613,-0.434509,1.934188,-1.191403,1.593980,-1.515646,2.681004,0.089751,2.560848,1,1,1.0000,1.0000,39.0406,-64.3857,4.5000,-40.1000,0.040000,0.247689,1,1,1,1,0,0,0.0000,0.0000,,,,,39298,39263,0,0,39208,39051,90,199,0,13,0.52746,0.55838,,,,,,,,,,,,,,,,,,,,,,,141097.3997,21001,32832,0,0
1788272600.9121,G_right_high_up_down,G,right,0,up_down,,high,1,157.8000,344.2000,59.3000,217.1000,218.9000,0.0000,347.8000,302.9000,75.4000,0.0000,93.6000,0.0000,212.0000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.2,4.3,0.0,1.0,0.729662,0.332150,1.354037,-0.750346,0.323980,1.202854,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729661,0.332156,1.354037,-0.750419,0.323929,1.202903,1.065723,0.775135,2.201219,-1.641896,-2.088730,-0.626615,-0.434508,1.934239,-1.191427,1.593963,-1.515605,2.680931,0.089745,2.560888,1,1,1.0000,1.0000,39.0406,-64.3857,4.5000,-40.1000,0.040000,0.247689,1,1,1,1,0,0,0.0000,0.0000,,,,,39299,39264,0,0,39209,39052,90,199,0,13,0.52746,0.55838,,,,,,,,,,,,,,,,,,,,,,,141097.4349,21001,32833,0,0
1788272600.9194,G_right_high_up_down,G,right,0,up_down,,high,2,157.8000,344.2000,59.3000,217.1000,218.9000,0.0000,347.9000,302.9000,75.5000,0.0000,93.5000,0.0000,212.0000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.2,4.7,0.0,1.0,0.729662,0.332148,1.354037,-0.750337,0.323989,1.202851,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729661,0.332156,1.354037,-0.750419,0.323929,1.202903,1.065724,0.775133,2.201220,-1.641899,-2.088731,-0.626617,-0.434507,1.934249,-1.191463,1.593964,-1.515588,2.680893,0.089754,2.560895,1,1,1.0000,1.0000,39.0406,-64.3857,4.5000,-40.1000,0.040000,0.247605,1,1,1,1,0,0,0.0000,0.0000,,,,,39300,39265,0,0,39210,39053,90,199,0,13,0.52746,0.55838,,,,,,,,,,,,,,,,,,,,,,,141097.4422,21002,32834,0,0
1788272600.9375,G_right_high_up_down,G,right,0,up_down,,high,3,157.8000,344.2000,59.3000,217.1000,218.9000,0.0000,347.9000,302.9000,75.6000,0.0000,93.5000,0.0000,212.0000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.4,4.5,0.0,1.0,0.729662,0.332147,1.354037,-0.750332,0.323994,1.202850,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729662,0.332150,1.354037,-0.750362,0.323974,1.202875,1.065726,0.775130,2.201220,-1.641904,-2.088734,-0.626620,-0.434505,1.934260,-1.191502,1.593966,-1.515570,2.680852,0.089763,2.560903,1,1,1.0000,1.0000,39.0406,-64.3857,4.5000,-40.1000,0.040000,0.247604,1,1,1,1,0,0,0.0000,0.0000,,,,,39301,39265,0,0,39211,39053,90,199,0,13,0.52746,0.55838,,,,,,,,,,,,,,,,,,,,,,,141097.4604,21002,32835,0,0
1788272600.9591,G_right_high_up_down,G,right,0,up_down,,high,4,157.9000,344.2000,59.3000,217.1000,218.9000,0.0000,347.9000,302.9000,75.7000,0.0000,93.4000,0.0000,212.0000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.5,5.2,0.0,1.0,0.729662,0.332150,1.354037,-0.750330,0.324005,1.202863,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729662,0.332150,1.354037,-0.750362,0.323974,1.202875,1.065729,0.775127,2.201220,-1.641911,-2.088737,-0.626623,-0.434503,1.934271,-1.191602,1.593983,-1.515528,2.680741,0.089800,2.560914,1,1,1.0000,1.0000,39.0406,-64.3857,4.6000,-40.1000,0.040000,0.247520,1,1,1,1,0,0,0.0000,0.0000,,,,,39302,39266,0,0,39212,39054,90,199,0,13,0.52745,0.55833,,,,,,,,,,,,,,,,,,,,,,,141097.4820,21003,32836,0,0
1788272600.9770,G_right_high_up_down,G,right,0,up_down,,high,5,157.9000,344.2000,59.3000,217.1000,218.9000,0.0000,347.9000,302.9000,75.8000,0.0000,93.4000,0.0000,212.0000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.6,5.4,0.0,1.0,0.729661,0.332152,1.354037,-0.750329,0.324013,1.202871,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729662,0.332150,1.354037,-0.750362,0.323974,1.202875,1.065723,0.775122,2.201222,-1.641916,-2.088753,-0.626622,-0.434492,1.934282,-1.191631,1.593987,-1.515511,2.680704,0.089810,2.560928,1,1,1.0000,1.0000,39.0406,-64.3857,4.6000,-40.1000,0.040000,0.247519,1,1,1,1,0,0,0.0000,0.0000,,,,,39303,39267,0,0,39213,39055,90,199,0,13,0.52745,0.55833,,,,,,,,,,,,,,,,,,,,,,,141097.4998,21003,32837,0,0
1788272600.9976,G_right_high_up_down,G,right,0,up_down,,high,6,157.9000,344.2000,59.3000,217.1000,218.9000,0.0000,348.0000,302.4000,75.9000,0.0000,93.2000,0.0000,211.2000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.7,5.0,0.0,1.0,0.729661,0.332153,1.354037,-0.750451,0.323896,1.202908,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729662,0.332150,1.354037,-0.750362,0.323974,1.202875,1.065724,0.775124,2.201222,-1.641912,-2.088748,-0.626622,-0.434496,1.934300,-1.191632,1.593981,-1.515498,2.680673,0.089806,2.560954,1,1,1.0000,1.0000,39.0406,-64.3857,4.6000,-40.6000,0.040000,0.247350,1,1,1,1,0,0,0.0000,0.0000,,,,,39304,39268,0,0,39214,39056,90,199,0,13,0.52745,0.55833,,,,,,,,,,,,,,,,,,,,,,,141097.5205,21004,32838,0,0
1788272601.0179,G_right_high_up_down,G,right,0,up_down,,high,7,157.9000,344.2000,59.3000,217.1000,218.9000,0.0000,348.0000,302.4000,75.9000,0.0000,93.3000,0.0000,211.1000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.5,5.0,0.0,1.0,0.729661,0.332155,1.354037,-0.750512,0.323833,1.202918,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729661,0.332151,1.354038,-0.750333,0.324001,1.202862,1.065725,0.775131,2.201221,-1.641902,-2.088733,-0.626619,-0.434507,1.934357,-1.191629,1.593959,-1.515463,2.680592,0.089789,2.561033,1,1,1.0000,1.0000,39.0406,-64.3857,4.6000,-40.6000,0.040000,0.247434,1,1,1,1,0,0,0.0000,0.0000,,,,,39305,39268,0,0,39215,39056,90,199,0,13,0.52745,0.55833,,,,,,,,,,,,,,,,,,,,,,,141097.5407,21004,32839,0,0
1788272601.0370,G_right_high_up_down,G,right,0,up_down,,high,8,157.9000,344.2000,59.3000,217.1000,218.9000,0.0000,348.0000,302.4000,75.9000,0.0000,93.3000,0.0000,211.1000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.6,6.0,0.0,1.0,0.729661,0.332156,1.354037,-0.750591,0.323749,1.202931,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729661,0.332151,1.354038,-0.750333,0.324001,1.202862,1.065719,0.775135,2.201223,-1.641891,-2.088727,-0.626615,-0.434512,1.934272,-1.191529,1.593991,-1.515556,2.680620,0.089781,2.561108,1,1,1.0000,1.0000,39.0406,-64.3857,4.6000,-40.6000,0.040000,0.247434,1,1,1,1,0,0,0.0000,0.0000,,,,,39306,39269,0,0,39216,39057,90,199,0,13,0.52745,0.55830,,,,,,,,,,,,,,,,,,,,,,,141097.5598,21004,32839,0,0
1788272601.0586,G_right_high_up_down,G,right,0,up_down,,high,9,157.9000,344.2000,59.3000,217.1000,218.9000,0.0000,348.0000,302.4000,75.9000,0.0000,93.3000,0.0000,211.1000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.5,6.7,0.0,1.0,0.729661,0.332158,1.354037,-0.750650,0.323687,1.202941,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729661,0.332151,1.354038,-0.750333,0.324001,1.202862,1.065718,0.775136,2.201223,-1.641889,-2.088726,-0.626614,-0.434513,1.934091,-1.191383,1.594047,-1.515725,2.680658,0.089778,2.561211,1,1,1.0000,1.0000,39.0406,-64.3857,4.6000,-40.6000,0.040000,0.247434,1,1,1,1,0,0,0.0000,0.0000,,,,,39307,39270,0,0,39217,39058,90,199,0,13,0.52745,0.55830,,,,,,,,,,,,,,,,,,,,,,,141097.5815,21004,32839,0,0
