#,points,area px,x m,y m,z m,range m,length mm,width mm,height mm,yaw deg,graspable
0,7729,251248,-0.0832,0.0631,0.5989,0.608,389.4,190,63.9,169.2,no
1,3470,78915,-0.106,0.1263,0.4213,0.4524,163.2,4.6,51.2,76.5,yes
2,2829,203250,-0.115,0.0385,0.6598,0.6708,495.3,263.9,63.9,166,no
3,2189,52507,-0.0185,0.0638,0.641,0.6445,226.7,119.2,52.4,126.5,no
4,1293,25580,0.1507,0.127,0.3447,0.3971,36.1,4.2,162.8,76,yes
5,975,17506,0.1528,0.1415,0.349,0.4064,28.2,3.5,133.5,79.8,yes
6,773,99837,0.2169,0.0143,0.6159,0.6532,590.2,106.1,220.6,155,no
7,734,60470,0.339,-0.0424,0.8304,0.898,91,67.1,222.8,155,yes
8,586,8119,0.1489,0.126,0.3466,0.3977,21,2.5,163,73,yes
9,405,16739,-0.2003,0.1106,0.4403,0.4962,33,5.9,45,64.2,yes
10,368,7114,-0.19,0.0629,0.5615,0.5961,77.9,10,61,168.5,yes
11,293,8987,0.1379,0.1271,0.3486,0.3958,10,3.4,156.9,73.8,yes
