object A,object B,centre to centre m,free gap m
0,1,0.1738,0.0126
0,2,0.1791,0
0,3,0.1879,0.0291
0,4,0.2896,0.1865
0,5,0.3022,0.2046
0,6,0.3432,0.1926
0,7,0.5595,0.4309
0,8,0.3069,0.148
0,9,0.2946,0.198
1,2,0.3427,0.1687
1,3,0.3302,0.201
1,4,0.2055,0.1319
1,5,0.2207,0.1527
1,6,0.4167,0.2956
1,7,0.6576,0.5585
1,8,0.3672,0.2379
1,9,0.214,0.1469
2,3,0.0786,0
2,4,0.3994,0.2836
2,5,0.4056,0.2953
2,6,0.309,0.1458
2,7,0.466,0.3248
2,8,0.2961,0.1245
2,9,0.4012,0.2919
3,4,0.3466,0.2755
3,5,0.3505,0.2849
3,6,0.2372,0.1186
3,7,0.4089,0.3124
3,8,0.2228,0.096
3,9,0.347,0.2823
4,5,0.0203,0.0104
4,6,0.3116,0.2486
4,7,0.55,0.5091
4,8,0.2593,0.1881
4,9,0.0091,0.0001
5,6,0.3103,0.2529
5,7,0.5463,0.5109
5,8,0.2585,0.1928
5,9,0.016,0.0125
6,7,0.2443,0.156
6,8,0.0531,0
6,9,0.3063,0.2498
7,8,0.2968,0.2002
7,9,0.5438,0.5093
8,9,0.2542,0.1894
