area px,points,top mm,median height mm,box x,box y,box w,box h
7500,7291,455.9,85.8,361,207,164,140
6531,6467,161.6,54.5,194,109,102,155
3307,3262,224,56.4,398,15,60,140
2059,2016,408.3,77.6,328,61,40,124
1699,1684,1414,1341,443,0,86,39
494,470,89.4,62.5,0,256,22,31
383,383,182.6,89.2,15,155,24,21
287,281,1477,1464,111,387,22,29
252,246,59.9,18.2,195,61,32,25
233,233,118.7,93,14,367,21,15
204,203,2268,2264,64,409,21,17
196,178,428.9,327.8,474,268,26,16
165,165,158.4,140.9,43,30,16,18
159,159,56.1,23,226,244,12,25
141,141,27,11.4,273,292,15,17
103,103,12.3,4,198,96,9,22
96,96,53.4,35.9,0,365,10,13
86,86,679.6,661.4,575,323,8,13
54,54,1158,1110,569,164,14,6
53,52,46.6,7.3,186,108,7,15
46,46,36.7,15.2,221,266,7,11
