object A,object B,centre to centre m,free gap m
0,1,1.2444,0
0,2,1.0674,0.1577
0,3,1.2369,0.2832
0,4,0.7167,0
0,5,0.9217,0
0,6,2.3481,1.4419
0,7,2.3496,1.4449
0,8,1.1823,0.2807
0,9,0.8046,0
1,2,0.2321,0
1,3,0.3502,0
1,4,1.129,0.3756
1,5,1.6997,0.9686
1,6,1.1647,0.4927
1,7,1.1662,0.4957
1,8,0.1274,0
1,9,1.2948,0.6126
2,3,0.25,0.124
2,4,1.0461,0.8863
2,5,1.5055,1.368
2,6,1.3238,1.2454
2,7,1.3253,1.2484
2,8,0.1714,0.0976
2,9,1.223,1.1344
3,4,1.2142,1.0103
3,5,1.5435,1.362
3,6,1.2506,1.1281
3,7,1.252,1.131
3,8,0.2783,0.1604
3,9,1.3966,1.2639
4,5,1.0689,0.8536
4,6,2.2793,2.123
4,7,2.2809,2.1261
4,8,1.0579,0.9061
4,9,0.1863,0.0199
5,6,2.7937,2.6597
5,7,2.7952,2.6627
5,8,1.5865,1.4571
5,9,1.1399,0.9957
6,7,0.0015,0
6,8,1.2577,1.1873
6,9,2.4337,2.3486
7,8,1.2592,1.1903
7,9,2.4352,2.3516
8,9,1.2301,1.1495
