#,points,area px,x m,y m,z m,range m,length mm,width mm,height mm,yaw deg,graspable
0,1310,70421,-0.5762,0.0663,1.7137,1.8092,1575,733,2404,80.2,no
1,1185,82781,0.0941,0.0654,1.7534,1.7571,934.4,667.7,1961,176,no
2,572,4138,-0.0572,0.1178,2.7867,2.7898,216.9,90.5,71,9.5,no
3,444,827,0.5843,-0.8622,2.2002,2.4343,321.6,102.5,690.2,132.8,no
4,412,27250,-0.4109,-0.7875,2.0367,2.2219,1529,296,1559,77.8,no
5,327,17688,-0.0058,-0.6528,1.9323,2.0396,682.9,96.7,1559,53,no
6,162,8377,0.0174,-0.6997,2.721,2.8095,276.2,65.8,27.1,9.2,yes
7,135,395,0.032,0.1949,2.7656,2.7727,99.5,64.5,74.8,81.5,yes
8,107,835,-0.0816,-0.0354,2.7871,2.7885,70.6,41.9,59.4,150.8,yes
9,87,2517,-0.0086,-0.3081,2.7445,2.7618,69.7,50.9,58,150,yes
10,87,821,-0.9957,-0.8087,2.6826,2.9735,106.3,45.3,637.1,62.5,yes
11,87,1189,0.2506,0.2484,2.7286,2.7514,51,44.4,34.8,122.5,yes
