instance,points,area px,claimed overlap,verdict
48,25,783,0,kept
47,35,72,0,kept
46,39,331,0,kept
45,44,85,0,kept
44,45,1597,0.022,kept
40,47,413,0,kept
41,47,87,0,kept
42,47,95,0,kept
43,47,85,0,kept
39,52,9892,0,kept
37,72,331,0,kept
35,79,132,0,kept
36,79,13369,0,kept
34,80,447,0,kept
33,85,793,0,kept
32,87,194,0,kept
31,88,191,0,kept
28,92,3024,0,kept
27,102,928,0.353,kept
26,114,3448,0,kept
25,142,198,0,kept
24,159,224,0,kept
23,167,422,0,kept
22,180,2371,0,kept
21,220,1819,0,kept
20,233,2522,0,kept
19,306,1593,0.042,kept
18,309,50177,0.041,kept
17,375,561,0,kept
16,383,519,0.188,kept
14,419,615,0,kept
13,423,1192,0,kept
11,597,906,0,kept
10,598,26768,0,kept
9,785,5594,0.292,kept
8,811,1584,0.012,kept
6,1243,5548,0.005,kept
3,1487,6609,0.383,kept
2,2273,45012,0.112,kept
1,3559,69938,0.114,kept
0,5862,75485,0.487,kept
38,53,4534,0.975,dropped
29,91,23878,0.8,dropped
30,91,3388,0.8,dropped
15,392,9173,0.953,dropped
12,593,897,0.821,dropped
7,1017,1450,0.765,dropped
5,1461,2492,0.789,dropped
4,1486,2546,0.862,dropped
