object A,object B,centre to centre m,free gap m
0,1,0.8203,0
0,2,1.4522,0.2281
0,3,1.9812,1.1649
0,4,1.3661,0.3716
0,5,1.3614,0.458
0,6,1.2234,0.1951
0,7,1.6305,0.857
0,8,1.9158,1.0311
0,9,1.5051,0.6947
1,2,1.7853,0.6289
1,3,1.3149,0.5662
1,4,1.6806,0.7538
1,5,1.0127,0.1771
1,6,1.1916,0.2309
1,7,1.1771,0.4712
1,8,2.0724,1.2553
1,9,1.0488,0.3061
2,3,2.8348,2.1079
2,4,1.1394,0.2344
2,5,1.4692,0.6553
2,6,1.0739,0.135
2,7,1.7206,1.0365
2,8,1.4359,0.6407
2,9,2.0489,1.328
3,4,2.3284,1.8312
3,5,1.4653,1.0592
3,6,1.8672,1.3361
3,7,1.3596,1.0832
3,8,2.483,2.0956
3,9,0.9152,0.6021
4,5,1.1587,0.5745
4,6,0.7301,0.0209
4,7,1.3873,0.9329
4,8,0.5971,0.0315
4,9,1.4489,0.9576
5,6,0.4811,0
5,7,0.2985,0
5,8,1.2841,0.8097
5,9,0.6666,0.2665
6,7,0.7429,0.2545
6,8,0.9475,0.348
6,9,1.0062,0.4811
7,8,1.4113,1.0666
7,9,0.628,0.3576
8,9,1.5735,1.192
