t,phase,master_x,master_y,master_z,master_qx,master_qy,master_qz,master_qw,pointing_x,pointing_y,pointing_z,clutch,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,cmd_x,cmd_y,cmd_z,gripper_rad,autonomy_state,intent_top,intent_top_p,intent_margin,intent_ambiguous,intent_dist,intent_ids,grasp_offered,channels_live,ik_success,ik_fail,ik_rejected,clearance_m,payload_kg,estop
0.5034,reach,-0.5195,0.2138,1.3928,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,-0.5194999845936851,0.21379981710571866,1.3927999722138735,1.5557568566748614e-08,1.9659133151939126e-07,4.0248909628781686e-08,0.9999999999999797,-0.5195,0.2138,1.3928,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",25724.0,4478.0,1.0,0.09161205562912907,0.0,0
0.5045,reach,-0.5195,0.2138,1.3928,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,-0.5194999845936851,0.21379981710571866,1.3927999722138735,1.5557568566748614e-08,1.9659133151939126e-07,4.0248909628781686e-08,0.9999999999999797,-0.5195,0.2138,1.3928,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",25724.0,4478.0,1.0,0.09161205562912907,0.0,0
0.5062,reach,-0.5195,0.2138,1.3928,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,-0.5194999668009573,0.21379995479746444,1.3928000882109801,1.801169163817562e-08,1.9844616391817557e-07,4.240903673374818e-08,0.9999999999999792,-0.5195,0.2138,1.3928,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",25724.0,4478.0,1.0,0.09161205562912907,0.0,0
0.5104,reach,-0.5195,0.2138,1.3928,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,-0.5194999668009573,0.21379995479746444,1.3928000882109801,1.801169163817562e-08,1.9844616391817557e-07,4.240903673374818e-08,0.9999999999999792,-0.5195,0.2138,1.3928,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",25725.0,4478.0,1.0,0.09182652665460035,0.0,0
0.5145,reach,-0.5195,0.2138,1.3928,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,-0.5194999668009573,0.21379995479746444,1.3928000882109801,1.801169163817562e-08,1.9844616391817557e-07,4.240903673374818e-08,0.9999999999999792,-0.5195,0.2138,1.3928,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",25725.0,4478.0,1.0,0.09182652665460035,0.0,0
0.5191,reach,-0.5186872574462257,0.21493783957528403,1.3908494178709416,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,-0.5194999668009573,0.21379995479746444,1.3928000882109801,1.801169163817562e-08,1.9844616391817557e-07,4.240903673374818e-08,0.9999999999999792,-0.5186872574462257,0.21493783957528403,1.3908494178709416,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",25725.0,4478.0,1.0,0.09182652665460035,0.0,0
0.5197,reach,-0.5186872574462257,0.21493783957528403,1.3908494178709416,0.0,0.0,0.0,1.0,0.33864273073929824,0.4740998230350175,-0.8127425537743155,1,-0.5194999668009573,0.21379995479746444,1.3928000882109801,1.801169163817562e-08,1.9844616391817557e-07,4.240903673374818e-08,0.9999999999999792,-0.5186872574462257,0.21493783957528403,1.3908494178709416,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",25725.0,4478.0,1.0,0.09182652665460035,0.0,0
0.52,reach,-0.5186872574462257,0.21493783957528403,1.3908494178709416,0.0,0.0,0.0,1.0,0.33864273073929824,0.4740998230350175,-0.8127425537743155,1,-0.5194999668009573,0.21379995479746444,1.3928000882109801,1.801169163817562e-08,1.9844616391817557e-07,4.240903673374818e-08,0.9999999999999792,-0.5186872574462257,0.21493783957528403,1.3908494178709416,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",25725.0,4478.0,1.0,0.09182652665460035,0.0,0
0.5235,reach,-0.5186872574462257,0.21493783957528403,1.3908494178709416,0.0,0.0,0.0,1.0,0.33864273073929824,0.4740998230350175,-0.8127425537743155,1,-0.5194999668009573,0.21379995479746444,1.3928000882109801,1.801169163817562e-08,1.9844616391817557e-07,4.240903673374818e-08,0.9999999999999792,-0.5186872574462257,0.21493783957528403,1.3908494178709416,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",25725.0,4478.0,1.0,0.09182652665460035,0.0,0
0.5252,reach,-0.5186872574462257,0.21493783957528403,1.3908494178709416,0.0,0.0,0.0,1.0,0.33864273073929824,0.4740998230350175,-0.8127425537743155,1,-0.5194999668009573,0.21379995479746444,1.3928000882109801,1.801169163817562e-08,1.9844616391817557e-07,4.240903673374818e-08,0.9999999999999792,-0.5186872574462257,0.21493783957528403,1.3908494178709416,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",25725.0,4478.0,1.0,0.09182652665460035,0.0,0
0.5255,reach,-0.5186872574462257,0.21493783957528403,1.3908494178709416,0.0,0.0,0.0,1.0,0.33864273073929824,0.4740998230350175,-0.8127425537743155,1,-0.5194999668009573,0.21379995479746444,1.3928000882109801,1.801169163817562e-08,1.9844616391817557e-07,4.240903673374818e-08,0.9999999999999792,-0.5186872574462257,0.21493783957528403,1.3908494178709416,0.7929,DIRECT,tag_0,0.6840194240984502,0.36803884819690025,0,"[0.6840194240984502, 0.31598057590154993]","[""tag_0"", ""tag_1""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",25725.0,4478.0,1.0,0.09182652665460035,0.0,0
0.5304,reach,-0.5186872574462257,0.21493783957528403,1.3908494178709416,0.0,0.0,0.0,1.0,0.33864273073929824,0.4740998230350175,-0.8127425537743155,1,-0.5194999668009573,0.21379995479746444,1.3928000882109801,1.801169163817562e-08,1.9844616391817557e-07,4.240903673374818e-08,0.9999999999999792,-0.5186872574462257,0.21493783957528403,1.3908494178709416,0.7929,DIRECT,tag_0,0.6840194240984502,0.36803884819690025,0,"[0.6840194240984502, 0.31598057590154993]","[""tag_0"", ""tag_1""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",25726.0,4478.0,1.0,0.09182652665460035,0.0,0
