t,phase,master_x,master_y,master_z,master_qx,master_qy,master_qz,master_qw,pointing_x,pointing_y,pointing_z,clutch,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,cmd_x,cmd_y,cmd_z,gripper_rad,autonomy_state,intent_top,intent_top_p,intent_margin,intent_ambiguous,intent_dist,intent_ids,grasp_offered,channels_live,ik_success,ik_fail,ik_rejected,clearance_m,payload_kg,estop
0.5038,reach,-0.4398185638443584,0.3253540106178986,1.2015645532264603,0.0,0.0,0.0,1.0,-0.33864273073929785,-0.4740998230350188,0.8127425537743149,1,-0.43616806923240503,0.33053836641280565,1.1926886722842485,-2.825400931305567e-05,4.3944035226090045e-06,1.624153296413828e-05,0.9999999994593064,-0.4398185638443584,0.3253540106178986,1.2015645532264603,0.7929,ASSIST,tag_1,0.9721416554202381,0.9442833108404762,0,"[0.027858344579761933, 0.9721416554202381]","[""tag_0"", ""tag_1""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",27373.0,4493.0,2.0,0.1455912173018526,0.0,0
0.5056,reach,-0.4398185638443584,0.3253540106178986,1.2015645532264603,0.0,0.0,0.0,1.0,-0.33864273073929785,-0.4740998230350188,0.8127425537743149,1,-0.43616806923240503,0.33053836641280565,1.1926886722842485,-2.825400931305567e-05,4.3944035226090045e-06,1.624153296413828e-05,0.9999999994593064,-0.4398185638443584,0.3253540106178986,1.2015645532264603,0.7929,ASSIST,tag_1,0.9721416554202381,0.9442833108404762,0,"[0.027858344579761933, 0.9721416554202381]","[""tag_0"", ""tag_1""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",27373.0,4493.0,2.0,0.1455912173018526,0.0,0
0.5065,reach,-0.4398185638443584,0.3253540106178986,1.2015645532264603,0.0,0.0,0.0,1.0,-0.33864273073929785,-0.4740998230350188,0.8127425537743149,1,-0.43616806923240503,0.33053836641280565,1.1926886722842485,-2.825400931305567e-05,4.3944035226090045e-06,1.624153296413828e-05,0.9999999994593064,-0.4398185638443584,0.3253540106178986,1.2015645532264603,0.7929,ASSIST,tag_1,0.9711645047708005,0.942329009541601,0,"[0.02883549522919951, 0.9711645047708005]","[""tag_0"", ""tag_1""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",27373.0,4493.0,2.0,0.1455912173018526,0.0,0
0.5125,reach,-0.4398185638443584,0.3253540106178986,1.2015645532264603,0.0,0.0,0.0,1.0,-0.33864273073929785,-0.4740998230350188,0.8127425537743149,1,-0.43616806923240503,0.33053836641280565,1.1926886722842485,-2.825400931305567e-05,4.3944035226090045e-06,1.624153296413828e-05,0.9999999994593064,-0.4398185638443584,0.3253540106178986,1.2015645532264603,0.7929,ASSIST,tag_1,0.9711645047708005,0.942329009541601,0,"[0.02883549522919951, 0.9711645047708005]","[""tag_0"", ""tag_1""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",27373.0,4493.0,2.0,0.1455912173018526,0.0,0
0.5131,reach,-0.4398185638443584,0.3253540106178986,1.2015645532264603,0.0,0.0,0.0,1.0,-0.33864273073929785,-0.4740998230350188,0.8127425537743149,1,-0.43616806923240503,0.33053836641280565,1.1926886722842485,-2.825400931305567e-05,4.3944035226090045e-06,1.624153296413828e-05,0.9999999994593064,-0.4398185638443584,0.3253540106178986,1.2015645532264603,0.7929,ASSIST,tag_1,0.9711645047708005,0.942329009541601,0,"[0.02883549522919951, 0.9711645047708005]","[""tag_0"", ""tag_1""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",27374.0,4493.0,2.0,0.1455912173018526,0.0,0
0.5141,reach,-0.4398185638443584,0.3253540106178986,1.2015645532264603,0.0,0.0,0.0,1.0,-0.33864273073929785,-0.4740998230350188,0.8127425537743149,1,-0.43616806923240503,0.33053836641280565,1.1926886722842485,-2.825400931305567e-05,4.3944035226090045e-06,1.624153296413828e-05,0.9999999994593064,-0.4398185638443584,0.3253540106178986,1.2015645532264603,0.7929,ASSIST,tag_1,0.9711645047708005,0.942329009541601,0,"[0.02883549522919951, 0.9711645047708005]","[""tag_0"", ""tag_1""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",27374.0,4493.0,2.0,0.1455912173018526,0.0,0
0.5149,reach,-0.4398185638443584,0.3253540106178986,1.2015645532264603,0.0,0.0,0.0,1.0,-0.33864273073929785,-0.4740998230350188,0.8127425537743149,1,-0.43616806923240503,0.33053836641280565,1.1926886722842485,-2.825400931305567e-05,4.3944035226090045e-06,1.624153296413828e-05,0.9999999994593064,-0.4398185638443584,0.3253540106178986,1.2015645532264603,0.7929,ASSIST,tag_1,0.9711645047708005,0.942329009541601,0,"[0.02883549522919951, 0.9711645047708005]","[""tag_0"", ""tag_1""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",27374.0,4493.0,2.0,0.1455912173018526,0.0,0
0.5192,reach,-0.4390058212905841,0.3264918501931826,1.1996139710974019,0.0,0.0,0.0,1.0,-0.33864273073929785,-0.4740998230350188,0.8127425537743149,1,-0.43616806923240503,0.33053836641280565,1.1926886722842485,-2.825400931305567e-05,4.3944035226090045e-06,1.624153296413828e-05,0.9999999994593064,-0.4390058212905841,0.3264918501931826,1.1996139710974019,0.7929,ASSIST,tag_1,0.9711645047708005,0.942329009541601,0,"[0.02883549522919951, 0.9711645047708005]","[""tag_0"", ""tag_1""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",27374.0,4493.0,2.0,0.1455912173018526,0.0,0
0.52,reach,-0.4390058212905841,0.3264918501931826,1.1996139710974019,0.0,0.0,0.0,1.0,0.3386427307392991,0.47409982303501297,-0.8127425537743178,1,-0.43616806923240503,0.33053836641280565,1.1926886722842485,-2.825400931305567e-05,4.3944035226090045e-06,1.624153296413828e-05,0.9999999994593064,-0.4390058212905841,0.3264918501931826,1.1996139710974019,0.7929,ASSIST,tag_1,0.9711645047708005,0.942329009541601,0,"[0.02883549522919951, 0.9711645047708005]","[""tag_0"", ""tag_1""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",27374.0,4493.0,2.0,0.1455912173018526,0.0,0
0.5207,reach,-0.4390058212905841,0.3264918501931826,1.1996139710974019,0.0,0.0,0.0,1.0,0.3386427307392991,0.47409982303501297,-0.8127425537743178,1,-0.43616806923240503,0.33053836641280565,1.1926886722842485,-2.825400931305567e-05,4.3944035226090045e-06,1.624153296413828e-05,0.9999999994593064,-0.4390058212905841,0.3264918501931826,1.1996139710974019,0.7929,ASSIST,tag_1,0.9711645047708005,0.942329009541601,0,"[0.02883549522919951, 0.9711645047708005]","[""tag_0"", ""tag_1""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",27374.0,4493.0,2.0,0.1455912173018526,0.0,0
