t,phase,master_x,master_y,master_z,master_qx,master_qy,master_qz,master_qw,pointing_x,pointing_y,pointing_z,clutch,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,cmd_x,cmd_y,cmd_z,gripper_rad,autonomy_state,intent_top,intent_top_p,intent_margin,intent_ambiguous,intent_dist,intent_ids,grasp_offered,channels_live,ik_success,ik_fail,ik_rejected,clearance_m,payload_kg,estop
0.5029,reach,-0.38649143474154535,0.338495529929801,1.1600350107977027,0.0,0.0,0.0,1.0,-0.4498572456924246,-0.4217411678366473,0.7872501799617491,1,-0.37947452837066886,0.3451110539425889,1.1477020498288195,-1.5032554627814054e-05,1.5284244463814598e-06,5.095346720905558e-06,0.9999999998728618,-0.38649143474154535,0.338495529929801,1.1600350107977027,0.7929,ASSIST,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",26965.0,4490.0,2.0,0.15527690187083526,0.0,0
0.507,reach,-0.38649143474154535,0.338495529929801,1.1600350107977027,0.0,0.0,0.0,1.0,-0.4498572456924246,-0.4217411678366473,0.7872501799617491,1,-0.38327593678054084,0.34154712535097487,1.1543518766582916,-1.4329634826837361e-05,1.951646242726036e-06,5.447154258306221e-06,0.9999999998805905,-0.38649143474154535,0.338495529929801,1.1600350107977027,0.7929,ASSIST,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",26965.0,4490.0,2.0,0.15527690187083526,0.0,0
0.5136,reach,-0.38649143474154535,0.338495529929801,1.1600350107977027,0.0,0.0,0.0,1.0,-0.4498572456924246,-0.4217411678366473,0.7872501799617491,1,-0.38327593678054084,0.34154712535097487,1.1543518766582916,-1.4329634826837361e-05,1.951646242726036e-06,5.447154258306221e-06,0.9999999998805905,-0.38649143474154535,0.338495529929801,1.1600350107977027,0.7929,ASSIST,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",26965.0,4490.0,2.0,0.15527690187083526,0.0,0
0.5141,reach,-0.38649143474154535,0.338495529929801,1.1600350107977027,0.0,0.0,0.0,1.0,-0.4498572456924246,-0.4217411678366473,0.7872501799617491,1,-0.38327593678054084,0.34154712535097487,1.1543518766582916,-1.4329634826837361e-05,1.951646242726036e-06,5.447154258306221e-06,0.9999999998805905,-0.38649143474154535,0.338495529929801,1.1600350107977027,0.7929,ASSIST,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",26965.0,4490.0,2.0,0.15527690187083526,0.0,0
0.5149,reach,-0.38649143474154535,0.338495529929801,1.1600350107977027,0.0,0.0,0.0,1.0,-0.4498572456924246,-0.4217411678366473,0.7872501799617491,1,-0.38327593678054084,0.34154712535097487,1.1543518766582916,-1.4329634826837361e-05,1.951646242726036e-06,5.447154258306221e-06,0.9999999998805905,-0.38649143474154535,0.338495529929801,1.1600350107977027,0.7929,ASSIST,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",26965.0,4490.0,2.0,0.15527690187083526,0.0,0
0.5156,reach,-0.38649143474154535,0.338495529929801,1.1600350107977027,0.0,0.0,0.0,1.0,-0.4498572456924246,-0.4217411678366473,0.7872501799617491,1,-0.38327593678054084,0.34154712535097487,1.1543518766582916,-1.4329634826837361e-05,1.951646242726036e-06,5.447154258306221e-06,0.9999999998805905,-0.38649143474154535,0.338495529929801,1.1600350107977027,0.7929,ASSIST,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",26965.0,4490.0,2.0,0.15527690187083526,0.0,0
0.5193,reach,-0.3854117773518835,0.339507708732609,1.1581456103657946,0.0,0.0,0.0,1.0,-0.4498572456924246,-0.4217411678366473,0.7872501799617491,1,-0.38327593678054084,0.34154712535097487,1.1543518766582916,-1.4329634826837361e-05,1.951646242726036e-06,5.447154258306221e-06,0.9999999998805905,-0.3854117773518835,0.339507708732609,1.1581456103657946,0.7929,ASSIST,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",26965.0,4490.0,2.0,0.15527690187083526,0.0,0
0.5203,reach,-0.3854117773518835,0.339507708732609,1.1581456103657946,0.0,0.0,0.0,1.0,0.44985724569243546,0.4217411678366625,-0.7872501799617349,1,-0.38327593678054084,0.34154712535097487,1.1543518766582916,-1.4329634826837361e-05,1.951646242726036e-06,5.447154258306221e-06,0.9999999998805905,-0.3854117773518835,0.339507708732609,1.1581456103657946,0.7929,ASSIST,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",26965.0,4490.0,2.0,0.15527690187083526,0.0,0
0.5207,reach,-0.3854117773518835,0.339507708732609,1.1581456103657946,0.0,0.0,0.0,1.0,0.44985724569243546,0.4217411678366625,-0.7872501799617349,1,-0.38327593678054084,0.34154712535097487,1.1543518766582916,-1.4329634826837361e-05,1.951646242726036e-06,5.447154258306221e-06,0.9999999998805905,-0.3854117773518835,0.339507708732609,1.1581456103657946,0.7929,ASSIST,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",26965.0,4490.0,2.0,0.15527690187083526,0.0,0
0.5228,reach,-0.3854117773518835,0.339507708732609,1.1581456103657946,0.0,0.0,0.0,1.0,0.44985724569243546,0.4217411678366625,-0.7872501799617349,1,-0.38327593678054084,0.34154712535097487,1.1543518766582916,-1.4329634826837361e-05,1.951646242726036e-06,5.447154258306221e-06,0.9999999998805905,-0.3854117773518835,0.339507708732609,1.1581456103657946,0.7929,ASSIST,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",26966.0,4490.0,2.0,0.15431791752666502,0.0,0
0.5238,reach,-0.3854117773518835,0.339507708732609,1.1581456103657946,0.0,0.0,0.0,1.0,0.44985724569243546,0.4217411678366625,-0.7872501799617349,1,-0.38327593678054084,0.34154712535097487,1.1543518766582916,-1.4329634826837361e-05,1.951646242726036e-06,5.447154258306221e-06,0.9999999998805905,-0.3854117773518835,0.339507708732609,1.1581456103657946,0.7929,ASSIST,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",26966.0,4490.0,2.0,0.15431791752666502,0.0,0
0.5297,reach,-0.3854117773518835,0.339507708732609,1.1581456103657946,0.0,0.0,0.0,1.0,0.44985724569243546,0.4217411678366625,-0.7872501799617349,1,-0.38327593678054084,0.34154712535097487,1.1543518766582916,-1.4329634826837361e-05,1.951646242726036e-06,5.447154258306221e-06,0.9999999998805905,-0.3854117773518835,0.339507708732609,1.1581456103657946,0.7929,ASSIST,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",1,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",26966.0,4490.0,2.0,0.15431791752666502,0.0,0
