timestamp,label,k1j1,k1j2,k1j3,k1j4,k1j5,k1j6,k1j7,k2j1,k2j2,k2j3,k2j4,k2j5,k2j6,k2j7,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,fsr1,fsr2,btn1,btn2
1785171199.8059585,LEFTARMDOWN,142.6,342.3,190.8,304.4,331.0,149.2,343.2,339.8,29.3,0.0,162.1,0.0,127.0,0.0,0.514,-0.134,0.767,-18.66,45.5,-4.09,-0.815,0.041,0.486,-1.05,1.95,-1.34,81.37,80.65,0,1
1785171199.8143914,LEFTARMDOWN,142.6,342.3,190.7,304.9,330.6,150.2,343.2,339.8,29.3,0.0,162.1,0.0,127.0,0.0,0.438,-0.098,0.874,-15.79,45.6,-7.46,-0.823,0.033,0.491,-1.28,1.95,-1.23,89.78,88.74,0,1
1785171199.827362,LEFTARMDOWN,142.6,342.3,190.5,305.3,330.4,151.2,343.1,339.8,29.3,0.0,162.1,0.0,127.0,0.0,0.437,-0.044,0.893,-17.36,38.58,-4.43,-0.818,0.022,0.483,-1.56,1.98,-1.28,90.33,89.3,0,1
1785171199.8347154,LEFTARMDOWN,142.6,342.4,190.3,305.7,330.3,152.2,343.1,339.8,29.3,0.0,162.1,0.0,127.0,0.0,0.383,-0.122,0.936,-18.02,32.94,2.81,-0.824,0.021,0.495,-1.65,2.05,-1.01,90.25,88.73,0,1
1785171199.846428,LEFTARMDOWN,142.6,342.5,190.1,306.0,329.9,153.2,343.1,339.8,29.3,0.0,162.1,0.0,127.0,0.0,0.414,-0.159,0.886,-8.98,25.63,-0.26,-0.818,0.022,0.49,-1.34,1.95,-1.43,105.19,104.05,0,1
1785171199.8555005,LEFTARMDOWN,142.6,342.5,190.0,306.4,329.5,154.1,343.1,339.8,29.3,0.0,162.1,0.0,127.0,0.0,0.37,-0.108,0.899,-6.3,20.49,-0.48,-0.829,0.021,0.496,-1.04,1.63,-1.52,101.14,100.03,0,1
1785171199.8639176,LEFTARMDOWN,142.6,342.5,189.9,306.7,329.3,154.8,343.1,339.8,29.3,0.0,162.1,0.0,127.0,0.0,0.445,-0.112,0.893,-3.32,11.87,-3.15,-0.829,0.022,0.486,-1.28,0.98,-1.04,96.86,96.78,0,1
1785171199.8764021,LEFTARMDOWN,142.6,342.5,189.7,307.1,329.1,155.5,343.1,339.8,29.3,0.0,162.1,0.0,127.0,0.0,0.459,-0.113,0.931,-0.8,7.88,-4.56,-0.838,0.016,0.486,-1.06,0.37,-0.66,96.64,95.58,0,1
1785171199.886475,LEFTARMDOWN,142.6,342.5,189.6,307.5,328.9,156.3,343.1,339.7,29.3,0.0,162.1,0.0,127.0,0.0,0.508,-0.065,0.934,-2.68,6.66,-1.11,-0.819,0.009,0.494,-0.25,0.31,-0.84,98.48,97.44,0,1
1785171199.896565,LEFTARMDOWN,142.6,342.5,189.4,307.7,328.7,157.2,343.1,339.7,29.3,0.0,162.1,0.0,126.6,0.0,0.531,-0.033,0.957,-5.4,12.07,3.24,-0.813,0.014,0.498,0.56,0.17,-1.32,93.86,92.58,0,1
